"","time","x","y","z","BRcom$azimuth","BRgyro$x","BRgyro$y","BRgyro$z","BRlig$lx","BRsou$dB.SPL."
"1",33,0.40141,-0.36931,9.63057,-39,-0.09497,0.01476,0.24297,2696,25.57507
"2",83,0.944,-0.76248,9.63972,-39,-0.11932,0.02069,0.24446,2696,57.60484
"3",133,1.12837,-0.85805,9.61057,-38,-0.11575,0.02235,0.1853,2753,57.94154
"4",183,0.70555,-1.3492,9.59053,-40,-0.11906,0.02216,0.16736,2753,33.62482
"5",233,0.51035,-1.30655,9.68675,-41,-0.10571,0.01425,0.16185,2753,29.54243
"6",283,-0.03027,-1.59596,9.64018,-44,-0.11215,0.01448,0.29393,2753,32.0412
"7",341,0.01874,-1.41875,9.57967,-43,-0.19003,0.02998,0.59117,2823,30.37028
"8",389,0.56686,-1.52556,9.41393,-46,-0.21539,0.03479,0.78549,2823,27.23456
"9",432,1.0607,-1.3752,9.90576,-42,-0.25476,0.02705,0.79913,2823,20
"10",483,1.18451,-2.43982,9.42111,-46,-0.19676,0.0233,0.55954,2823,33.44196
"11",534,0.56291,-1.96786,9.14053,-48,-0.25014,0.05733,0.74405,3011,34.48552
"12",582,1.15843,-1.37683,9.22327,-43,-0.30672,0.02431,1.02008,3011,58.02917
"13",634,1.09731,-1.96555,9.33345,-47,-0.30069,0.0168,1.00212,3011,58.67986
"14",683,1.30798,-1.91327,9.96266,-49,-0.27632,-0.00392,0.9769,3011,46.52672
"15",733,0.04187,-3.17325,9.5134,-53,-0.24312,-0.0058,0.84325,3240,32.46499
"16",783,0.09843,-2.44482,10.07909,-53,-0.19728,-0.06447,0.81718,3240,29.24796
"17",833,-0.25772,-2.31586,10.86563,-49,-0.13097,-0.05885,0.71451,3240,28.94316
"18",883,1.24496,-1.99457,9.17874,-55,-0.10606,-0.09894,0.76411,3240,32.46499
"19",932,1.05461,-3.44557,9.01131,-56,-0.10991,-0.17671,0.73953,3238,32.0412
