"","time","x","y","z","BRcom$azimuth","BRgyro$x","BRgyro$y","BRgyro$z","BRlig$lx","BRsou$dB.SPL."
"1",40,0.38727,-0.92508,9.63809,-39,-0.00027,0.00156,-0.00288,2818,35.84783
"2",89,0.33775,-1.02306,9.60268,-39,-0.00183,-0.00037,0.00174,2818,31.59567
"3",140,0.34198,-0.86034,9.63327,-39,-0.00421,0.00214,-0.00615,2818,35.56303
"4",189,0.33716,-0.48021,9.56746,-38,-0.02451,-0.00128,0.00662,2818,44.0824
"5",239,0.34731,-0.61937,9.47591,-38,-0.08177,0.00989,0.13457,2818,33.62482
"6",289,0.75172,-0.40099,9.6022,-36,-0.13725,0.02068,0.23042,2818,32.86905
"7",339,0.68799,-0.86018,9.61253,-37,-0.15607,0.03183,0.24889,2818,31.82129
"8",389,0.63409,-0.98235,9.49602,-40,-0.20583,0.04005,0.35753,2818,34.32007
"9",439,0.43919,-0.98463,9.40518,-40,-0.2419,0.04785,0.45078,2818,27.60422
"10",489,0.09737,-1.24677,9.52406,-42,-0.30963,0.06435,0.61227,2866,34.64788
"11",539,-0.1633,-1.64717,9.30984,-41,-0.39995,0.09282,0.86494,2866,42.92256
"12",589,-0.05446,-2.14828,9.7282,-45,-0.45256,0.101,1.10477,2866,36.1236
"13",639,-0.07719,-3.27863,9.60663,-47,-0.45915,0.10538,1.16219,2866,33.44196
"14",688,-0.22748,-2.64339,9.25279,-51,-0.4371,0.11011,1.23338,2892,33.9794
"15",739,0.58853,-2.32092,9.80281,-49,-0.36603,0.07538,1.08441,2892,33.06425
"16",793,1.12529,-2.94662,10.03621,-47,-0.26045,0.04189,0.70238,2892,34.80725
"17",841,0.70409,-2.91495,9.8965,-51,-0.0946,-0.00848,0.30922,2892,44.0824
"18",889,-0.11511,-2.86888,9.19083,-51,-0.07507,-0.05731,0.26505,2707,52.42353
"19",939,-0.48045,-3.18141,8.94589,-53,-0.12112,-0.04654,0.46571,2707,33.44196
"20",988,-0.74567,-2.94003,8.63153,-56,-0.20775,-0.04266,0.59917,2707,34.32007
"21",1039,0.24706,-3.14384,9.40721,-55,-0.15932,-0.07054,0.61017,2707,28.29947
"22",1089,0.09186,-2.63222,9.51976,-54,-0.11389,-0.10858,0.51759,2450,31.36403
"23",1141,1.09351,-2.10085,9.34695,-51,-0.01195,-0.15622,0.46931,2450,28.94316
"24",1192,0.24217,-3.51044,10.28931,-58,-0.07542,-0.17117,0.59125,2450,53.58856
"25",1240,-0.09761,-2.68195,9.19502,-57,-0.18552,-0.17493,0.77419,2450,51.97581
"26",1289,1.12679,-2.78528,8.63107,-54,-0.1044,-0.22266,0.726,2218,53.00615
"27",1339,1.13045,-2.36026,10.34091,-59,-0.05443,-0.26451,0.59131,2218,52.17052
"28",1390,2.2153,-3.3055,9.90964,-59,0.03914,-0.30515,0.36678,2218,52.36096
"29",1439,0.39967,-2.21809,10.34454,-62,0.06758,-0.31438,0.41832,2218,52.68955
"30",1489,-0.95068,-1.78755,10.63344,-67,-0.16412,-0.2704,0.77126,2020,61.53281
"31",1539,-0.7063,-3.14151,9.61977,-62,-0.28865,-0.2337,1.23976,2020,60.05196
"32",1592,-1.35431,-3.37367,8.28555,-64,-0.30418,-0.28427,1.51294,2020,50.85651
"33",1640,2.683,-3.65579,10.24568,-53,-0.1597,-0.32718,0.98824,2020,49.39644
