"","time","x","y","z","BRcom$azimuth","BRgyro$x","BRgyro$y","BRgyro$z","BRlig$lx","BRsou$dB.SPL."
"1",35,1.86513,0.21335,9.4678,-68,-0.01331,-0.00041,-0.00963,2712,31.36403
"2",85,1.8322,0.26695,9.44548,-67,-0.02133,-0.00206,0.01945,2712,60.08643
"3",136,1.88516,0.13759,9.42638,-69,-0.02312,-0.00052,0.0448,2712,48.59505
"4",186,1.92659,0.12228,9.48451,-67,-0.03108,-0.00111,0.07443,2712,34.32007
"5",236,2.01756,-0.07027,9.53682,-67,-0.03134,-0.00417,0.05713,2712,31.82129
"6",287,1.82106,-0.22833,9.41638,-68,-0.00229,-0.00653,-0.01073,2712,35.98681
"7",337,1.72464,-0.0416,9.69508,-68,0,-0.00775,-0.01408,2712,56.98839
"8",387,1.41357,-0.10306,9.44069,-70,-0.01718,-0.01003,0.03679,2712,58.39202
"9",438,1.11488,0.41446,9.41687,-69,-0.00578,-0.01517,-0.00241,2712,30.88136
"10",485,1.50687,-0.10147,9.60931,-70,0.01372,-0.01228,-0.01718,2665,28.94316
"11",537,1.8476,0.36292,9.55029,-70,-0.01096,-0.0052,0.07648,2665,36.25827
"12",586,1.35545,0.13524,9.79671,-68,-0.04115,0.00734,0.19849,2665,35.7066
"13",636,0.96761,-0.59573,9.12796,-70,-0.047,0.01622,0.14548,2665,33.80392
"14",687,2.90962,-0.04973,9.42281,-67,-0.02606,-0.00294,0.11397,2573,35.7066
"15",743,4.14896,1.03865,9.04216,-59,-0.02048,-0.0251,-0.12416,2573,30.103
"16",787,4.79889,-0.69402,8.58292,-63,-0.02357,-0.05502,-0.26595,2573,29.54243
"17",836,4.67259,0.07904,8.90149,-61,0.00815,-0.05931,-0.42108,2573,26.44439
"18",886,4.62665,-0.2166,8.79739,-64,-0.01491,-0.09935,-0.55042,1927,34.32007
"19",937,4.07509,-0.50319,9.06108,-63,-0.00879,-0.06052,-0.46448,1927,36.65018
"20",986,4.66536,-0.31636,8.85756,-61,0.05057,0.03485,-0.34793,1927,36.5215
"21",1037,5.48549,0.58418,9.89209,-56,0.0708,0.13066,-0.2298,1927,33.9794
"22",1086,5.10376,-0.55049,9.65215,-59,0.11951,0.18953,0.10532,1322,30.62958
