"","time","x","y","z","BRcom$azimuth","BRgyro$x","BRgyro$y","BRgyro$z","BRlig$lx","BRsou$dB.SPL."
"1",46,-0.43282,-2.37608,9.42749,-47,-0.01018,0.01038,-0.01489,40,26.84845
"2",96,-0.38344,-2.31516,9.44209,-48,-0.00873,0.0058,-0.0103,26,56.05547
"3",146,-0.39365,-2.2937,9.43158,-45,-0.00854,0.0065,-0.0097,26,57.39636
"4",195,-0.41768,-2.33449,9.42638,-47,-0.01143,0.00648,-0.00632,26,38.68997
"5",246,-0.47304,-2.36609,9.42337,-47,-0.01221,0.00691,-6e-05,26,32.86905
"6",296,-0.4476,-2.3929,9.43861,-46,-0.00887,0.00676,0.00087,30,34.80725
"7",347,-0.51257,-2.37244,9.41766,-47,-0.00943,0.00578,0.00581,30,32.86905
"8",396,-0.51009,-2.40497,9.42047,-47,-0.0063,0.00192,0.01279,30,36.25827
"9",446,-0.50316,-2.38132,9.41617,-46,-0.00854,-0.00082,0.02026,30,33.06425
"10",496,-0.49484,-2.35553,9.40663,-46,-0.01283,0.00253,0.02814,30,34.80725
"11",546,-0.41058,-2.23984,9.43382,-46,-0.02086,0.00471,0.05042,30,34.48552
"12",597,-0.45923,-2.32698,9.4165,-46,-0.02443,0.00632,0.05737,30,33.80392
"13",646,-0.53343,-2.39644,9.38776,-47,-0.03561,0.00804,0.07573,30,30.103
"14",696,-0.46684,-2.41234,9.39076,-47,-0.04556,0.0027,0.11569,1273,31.82129
"15",746,-0.6299,-2.81509,9.28799,-48,-0.03679,-0.02249,0.12682,1273,31.59567
"16",795,-0.39796,-2.44804,9.32524,-47,-0.01378,-0.03819,0.09732,1273,31.12605
"17",846,-0.14677,-1.09209,8.78488,-43,-0.03908,-0.00723,0.03246,1273,33.80392
"18",896,-0.27014,-1.92291,9.0909,-46,-0.0872,0.04941,0.00687,4086,33.80392
"19",950,-0.1156,-2.13698,9.40236,-45,-0.1265,0.07916,0.05336,4086,31.36403
"20",996,-0.20985,-1.55431,9.08922,-46,-0.14111,0.08182,0.03902,4086,59.58186
"21",1045,-1.1147,-3.33415,9.58496,-49,-0.1349,0.10469,-0.01759,4086,44.60898
"22",1095,-0.25522,-2.91998,9.40115,-47,-0.18086,0.10329,0.17355,4086,36.5215
"23",1146,1.46321,-0.8607,9.25563,-41,-0.21281,0.12085,0.2662,4047,32.66937
"24",1196,1.1909,-3.51978,9.37051,-45,-0.21919,0.08055,0.24243,4047,31.82129
"25",1246,0.76588,-4.25305,9.77415,-47,-0.18942,0.02742,0.36113,4047,34.1514
"26",1296,0.6891,-3.91443,9.30293,-47,-0.11084,-0.04474,0.34431,4047,57.9745
"27",1346,0.04744,-3.57855,8.31625,-47,-0.0311,-0.12512,0.2957,3975,42.41148
"28",1396,1.06973,-3.52826,9.77393,-46,0.04373,-0.20128,0.22594,3975,30.37028
"29",1446,1.54196,-4.38466,8.13292,-49,0.12138,-0.19743,0.14931,3975,34.1514
"30",1496,0.38402,-3.75165,9.44688,-50,0.14745,-0.25671,0.11201,3975,33.25516
"31",1546,0.05215,-2.89091,9.16426,-47,0.22446,-0.25729,-0.00095,3839,28.94316
"32",1597,0.70483,-2.25523,10.24969,-45,0.22836,-0.2146,-0.0739,3839,28.29947
"33",1646,0.67654,-2.80577,9.34006,-50,0.26595,-0.25377,-0.15369,3839,31.36403
"34",1696,-0.38588,-2.97818,9.08624,-50,0.27231,-0.18895,-0.23671,3839,32.25568
"35",1746,0.25786,-2.04527,8.48477,-40,0.23849,-0.14485,-0.22267,3665,30.88136
"36",1797,1.68385,-3.56583,11.08275,-46,0.2184,-0.18585,-0.07933,3665,32.25568
"37",1846,-1.15321,-3.45967,9.0331,-54,0.22263,-0.15862,0.07797,3665,28.94316
"38",1896,2.36113,-0.43163,8.83368,-33,0.18968,-0.16096,0.11519,3665,26.0206
"39",1952,6.18369,-0.80125,9.2758,-38,0.14532,-0.15497,0.16972,3665,29.24796
"40",1996,1.99483,-0.14632,9.62161,-54,0.12125,-0.15392,0.29364,3730,30.37028
"41",2046,1.80905,-0.95422,7.55191,-53,-0.05138,-0.14853,0.6498,3730,30.103
