"","time","x","y","z","BRcom$azimuth","BRgyro$x","BRgyro$y","BRgyro$z","BRlig$lx","BRsou$dB.SPL."
"1",35,2.20026,0.02969,10.4705,-42,-0.25909,-0.31133,0.00862,1978,31.36403
"2",85,2.08984,0.11923,9.94902,-42,-0.11876,-0.14497,0.00758,1978,21.58362
"3",135,2.05963,0.07584,9.76645,-43,-0.02827,-0.04893,0.02005,1978,56.49553
"4",185,2.00955,0.05775,9.58723,-43,-0.01697,-0.03937,0.05769,1978,57.99641
"5",234,1.97449,0.22827,9.44724,-42,0.0018,-0.0136,0.1386,1958,42.98438
"6",285,2.17828,0.03398,9.43506,-43,9e-05,-0.00032,0.25163,1958,33.06425
"7",335,2.17818,0.09927,9.42149,-43,-0.00821,-0.01335,0.34628,1958,33.80392
"8",384,2.18484,0.44893,9.36647,-42,-0.00838,-0.00229,0.47711,1958,34.1514
"9",435,2.38133,0.43059,9.34352,-44,-0.03444,0.01039,0.57874,1943,34.96376
"10",486,2.77147,-0.09743,9.19281,-46,-0.08591,0.00327,0.69524,1943,34.1514
"11",535,3.10263,-0.14543,9.3087,-46,-0.11186,-0.00114,0.73895,1943,33.9794
"12",585,3.25972,-0.19916,9.46356,-47,-0.10422,0.01221,0.72606,1943,35.41704
"13",635,3.73917,0.1534,9.45279,-49,-0.05057,0.04126,0.65433,1875,34.48552
"14",685,4.32471,-0.87761,9.04614,-49,-0.10686,0.00941,0.56523,1875,31.36403
"15",735,3.86661,-0.84793,9.03725,-48,-0.11363,0.03555,0.45248,1875,30.88136
"16",785,3.774,-0.64148,8.89934,-50,-0.14583,-0.06154,0.45264,1875,32.0412
"17",842,3.83434,-0.56425,9.69632,-50,-0.05435,0.0509,0.43437,1765,58.68997
"18",885,4.07405,-1.42284,8.86151,-54,0.00011,0.11543,0.48616,1765,44.95947
"19",935,3.59956,-1.16397,8.6273,-52,-0.00121,0.07744,0.41969,1765,34.96376
"20",985,2.85289,-1.20212,7.68346,-54,-0.1059,-0.02049,0.36946,1765,34.32007
"21",1039,3.15565,-1.14798,9.01585,-53,-0.29614,-0.18515,0.32706,1789,32.0412
"22",1085,1.97159,-0.64389,10.21964,-53,-0.06844,-0.01999,0.20857,1789,28.62728
"23",1136,1.32996,-1.70795,8.25009,-58,0.04283,0.09068,0.22856,1789,58.1697
"24",1186,3.52461,-1.06912,8.8311,-49,0.13011,0.12543,0.04822,1789,42.8603
"25",1235,2.93634,-0.97313,11.15425,-57,0.19225,0.13586,0.27225,1908,29.24796
"26",1285,0.92738,-2.21605,12.66151,-62,-0.20421,-0.2285,0.65401,1908,31.36403
"27",1335,2.05933,-2.83733,8.84201,-63,-0.26854,-0.45531,0.60713,1908,29.54243
"28",1386,0.76555,-2.86868,6.22466,-64,0.10803,-0.05302,0.0658,1908,27.23456
"29",1435,-0.27838,-0.65245,6.58913,-55,0.2731,0.02187,-0.85268,2004,22.92256
"30",1484,1.38176,-1.28015,9.28093,-57,0.50452,0.36746,-0.89943,2004,29.54243
"31",1535,5.38394,-1.14238,9.46877,-57,0.09361,0.01039,-0.54567,2004,32.66937
"32",1585,6.06194,-0.54358,9.55511,-62,-0.18013,-0.20538,-0.07118,2004,30.37028
"33",1634,4.40527,-1.78503,8.45317,-59,-0.0394,0.0249,0.41968,1949,28.94316
"34",1684,1.35254,-1.09027,8.10654,-59,0.1151,0.32428,0.9359,1949,30.88136
"35",1735,2.14131,-1.16101,6.63673,-57,0.45959,0.70044,1.11923,1949,33.62482
"36",1786,0.91093,0.55296,7.1152,-67,0.33015,0.48805,1.2901,1949,35.41704
"37",1842,0.25464,-1.40053,10.27344,-69,0.6214,0.74013,1.14984,2072,32.66937
"38",1885,1.77167,-0.05272,9.06339,-65,0.59602,0.59052,1.0024,2072,30.88136
"39",1935,2.93678,-0.34352,10.05301,-59,0.48253,0.33723,0.75998,2072,31.82129
"40",1985,0.60252,-2.04927,7.93736,-72,0.1772,-0.0161,0.50961,2072,29.54243
"41",2036,2.97597,0.99561,10.35713,-45,0.17856,-0.07486,0.10152,2378,34.48552
"42",2086,4.70082,-1.24767,14.35419,-77,-1.2231,-1.72418,0.38374,2378,30.62958
"43",2135,-2.44788,-1.30659,10.59624,-85,-0.06351,-0.30214,-0.02083,2378,22.27887
"44",2186,2.6844,-1.39824,4.89555,-77,0.58389,0.62617,-0.03876,2378,26.84845
"45",2235,0.95622,-2.64453,10.91762,-62,0.72415,0.48032,-0.05939,2451,30.37028
"46",2285,2.0975,-2.67142,11.27959,-76,-0.21671,-0.50488,-0.30894,2451,23.52183
"47",2335,2.03928,-1.83763,9.70198,-72,-0.245,-0.45499,-0.40614,2451,32.66937
"48",2385,-0.27176,-3.00943,9.11519,-58,-0.13707,-0.2429,-0.13605,2451,28.62728
"49",2438,-1.22409,-2.95787,8.42123,-85,0.20563,0.18242,-0.04567,2486,29.54243
"50",2484,0.39583,-0.26659,7.59714,-69,0.13448,-0.06171,-0.18294,2486,28.29947
"51",2535,2.62389,-2.50937,11.6028,-69,0.18816,0.09929,0.11644,2486,28.94316
"52",2586,-1.70494,-3.77075,14.80978,-79,0.11079,-0.08284,0.20518,2486,30.103
"53",2635,3.84288,-1.32582,14.78935,-74,0.50919,0.35884,-0.02231,2535,28.29947
"54",2687,1.93846,-2.20383,11.464,-74,0.52596,0.33244,-0.35266,2535,26.0206
"55",2736,0.30795,-2.75885,8.03026,-70,0.52382,0.39566,-0.37244,2535,27.23456
"56",2784,0.34631,0.23157,11.24609,-70,0.46117,0.33942,-0.25928,2535,28.29947
"57",2835,5.56847,-0.22028,6.32625,-55,0.17397,0.10643,-0.1904,2509,35.41704
"58",2892,4.84721,-0.98154,6.80779,-70,-0.01678,-0.10004,-0.15047,2509,30.88136
"59",2935,2.81154,0.20244,9.96867,-67,0.08803,0.05298,-0.0078,2509,27.23456
"60",2986,1.38522,0.45505,11.20847,-65,0.12616,0.07072,0.17554,2509,23.52183
"61",3035,2.36365,-0.2077,10.37393,-64,-0.03435,-0.10703,0.23959,2480,34.64788
"62",3086,3.70926,-3.06288,6.06036,-72,-0.05522,-0.19962,0.05226,2480,33.06425
"63",3137,6.64157,0.53169,10.68884,-69,-0.03003,-0.09125,-0.01958,2480,30.88136
"64",3185,5.32324,-0.89613,10.06448,-61,0.10017,-0.00194,-0.1781,2480,28.62728
"65",3235,3.12701,0.2016,7.08049,-69,-0.12294,-0.22586,-0.26677,2443,30.37028
"66",3285,0.48181,0.49147,9.44916,-53,-0.0246,-0.22253,-0.24234,2443,33.9794
"67",3336,1.90721,-1.45515,9.42197,-67,0.30765,0.16785,-0.04111,2443,31.82129
"68",3388,0.91399,-0.66093,4.47786,-59,0.2375,0.03426,-0.2054,2443,31.36403
"69",3436,1.01532,-1.81235,10.29741,-61,0.4218,0.19479,-0.31322,2384,22.92256
"70",3485,1.64186,-1.01006,13.30716,-62,-0.00838,-0.23528,-0.65439,2384,24.0824
"71",3535,-1.15823,-0.79471,8.44531,-71,0.3273,0.12442,-0.66985,2384,31.12605
"72",3586,0.43442,-0.76534,8.70477,-65,0.69991,0.51454,-0.75316,2384,32.25568
"73",3635,0.5419,-0.49541,8.72437,-60,0.66534,0.64511,-0.3931,2312,25.10545
"74",3685,-0.05309,-1.53679,9.55414,-66,0.07915,0.04257,-0.31215,2312,20
"75",3737,4.62785,0.82939,7.82098,-64,-0.10339,-0.04738,-0.21953,2312,23.52183
"76",3785,-2.70781,1.43541,9.99352,-55,0.24281,0.20325,-0.33217,2312,21.58362
"77",3835,2.3972,-0.47809,8.07338,-57,0.0869,0.08633,-0.40565,2277,22.27887
"78",3885,2.09,-1.51538,7.02998,-49,-0.02429,-0.12997,-0.53429,2277,32.86905
"79",3943,-0.47162,0.03262,7.59734,-61,0.02498,-0.03279,-0.57327,2277,28.94316
"80",3985,3.1134,0.98068,3.58868,-61,-0.00073,-0.04187,-0.32146,2277,22.27887
"81",4037,-1.90771,2.065,11.98651,-41,-0.58752,-0.69266,-0.09439,2221,33.44196
"82",4086,3.62694,0.44176,10.32919,-52,-0.16238,-0.03937,0.52592,2221,35.98681
"83",4135,-0.87025,-0.05966,8.43263,-39,-0.28465,-0.21542,0.6035,2221,32.0412
"84",4185,2.86475,0.30017,5.33609,-58,-0.7326,-0.6754,0.33116,2221,30.88136
"85",4235,6.97169,1.89008,3.86603,-59,-0.49979,-0.4881,-0.06615,2257,30.37028
"86",4285,2.18108,0.45262,4.88031,-41,-0.88226,-1.04868,-0.03101,2257,20
"87",4337,8.61034,2.10971,4.82713,-64,-0.63954,-0.60722,0.1161,2257,24.0824
"88",4385,3.81685,1.76527,11.05487,-36,-0.38918,-0.31271,0.5034,2257,21.58362
"89",4435,2.15056,1.27206,7.56068,-52,0.18768,0.28833,0.37688,2458,27.9588
"90",4485,2.35658,0.82727,10.57932,-58,0.0802,0.11714,0.29999,2458,32.0412
"91",4535,4.98979,-1.23248,8.10583,-55,0.1525,0.04436,-0.18839,2458,58.45451
"92",4588,4.89085,1.18523,12.96916,-69,-0.44856,-0.53711,-0.47079,2458,51.24586
"93",4636,0.47589,-1.25616,14.63303,-63,0.23936,0.0473,-0.69594,2578,26.44439
"94",4686,6.87265,0.37926,12.75406,-51,-0.38391,-0.55125,-0.80847,2578,20.82785
"95",4735,4.1813,0.15021,13.69099,-53,-0.32916,-0.30557,-0.50966,2578,18.0618
"96",4785,1.9921,1.54448,8.15327,-46,-0.66898,-0.69429,-0.38469,2578,21.58362
"97",4835,3.9119,2.44182,9.42209,-62,-0.2045,0.0818,-0.16658,2431,28.94316
"98",4886,-2.86017,0.06201,9.79117,-45,-0.17671,-0.04865,0.20274,2431,23.52183
"99",4941,-0.95538,1.08455,11.57748,-65,0.06023,0.24918,0.31259,2431,15.56303
"100",4985,0.63208,0.33719,7.52753,-53,0.13651,0.36406,0.4008,2431,55.94535
"101",5035,0.99768,-2.12563,10.22385,-49,-0.26514,-0.18188,0.66574,2404,58.26568
"102",5085,1.86731,-0.91818,11.0107,-59,-0.14944,0.00102,0.59991,2404,59.70853
"103",5135,2.52029,0.42685,9.50691,-59,-0.40031,-0.27383,0.44434,2404,48.53023
"104",5185,0.66382,-0.07111,9.02908,-53,-0.39912,-0.42615,0.42992,2404,27.9588
"105",5235,1.7037,-1.23924,8.16023,-63,-0.34387,-0.39833,0.30208,2592,25.57507
"106",5286,4.76767,1.78235,7.67673,-64,-0.14307,-0.28787,0.15678,2592,19.08485
"107",5335,2.94029,-1.48157,7.24315,-67,0.10631,-0.07123,-0.03909,2592,23.52183
"108",5385,-1.64586,-2.03987,6.22472,-41,-0.08075,-0.51567,-0.29573,2592,15.56303
"109",5436,-2.13358,-0.70976,12.33475,-70,0.0058,-0.24112,-0.41557,2613,19.08485
"110",5485,4.11151,-1.14621,12.34683,-69,0.46834,0.33682,-0.32617,2613,16.90196
"111",5535,3.00702,-1.16409,4.97777,-56,0.24409,0.08069,-0.61647,2613,33.06425
"112",5585,0.91722,-0.33275,8.24527,-60,0.12283,-0.01227,-0.78365,2613,32.86905
"113",5636,-0.74879,-1.3051,7.70656,-59,0.18317,-0.01808,-0.7849,2364,31.12605
"114",5685,1.6012,0.69008,11.16322,-55,0.15564,0.03465,-0.58865,2364,23.52183
"115",5735,2.22545,0.25372,9.1543,-53,0.10686,0.153,-0.49229,2364,25.57507
"116",5785,2.63293,0.9326,11.27029,-53,-0.0941,-0.06873,-0.25653,2364,18.0618
"117",5836,6.08031,0.57007,7.95068,-45,-0.24429,-0.14392,-0.1911,1996,27.23456
"118",5885,5.22354,0.34111,5.94939,-53,-0.30775,-0.21104,-0.28275,1996,24.0824
"119",5935,-0.3107,-0.72072,8.62022,-49,-0.19371,-0.26006,-0.33304,1996,21.58362
"120",5996,1.13406,-1.17543,5.32028,-50,-0.19305,-0.12289,-0.22475,1996,20.82785
"121",6034,7.79108,3.12462,6.79724,-56,-0.63104,-0.59053,-0.27994,1848,22.27887
"122",6085,2.72581,1.01775,5.99883,-42,0.12535,0.27847,-0.23598,1848,21.58362
