"","time","x","y","z","BRcom$azimuth","BRgyro$x","BRgyro$y","BRgyro$z","BRlig$lx","BRsou$dB.SPL."
"1",8,1.5726,-0.53357,9.72014,-28,0.00119,-0.03362,0.03983,1823,28.94316
"2",59,1.26622,0.09099,9.42015,-27,0.03259,-0.01773,0.14229,1823,24.60898
"3",108,1.23906,-0.03758,9.26205,-26,-0.00955,-0.0042,0.23988,1823,30.88136
"4",161,2.04233,-0.77084,9.52518,-29,-0.01938,-0.00766,0.3407,1823,35.98681
"5",208,2.47507,-0.03436,9.37924,-27,0.00716,-0.00885,0.31155,1805,34.80725
"6",257,2.97003,-0.29457,9.6454,-27,0.01518,-0.00952,0.10535,1805,32.66937
"7",308,2.3898,0.07516,9.75952,-27,0.06532,-0.00484,-0.16574,1805,33.44196
"8",358,2.59094,1.19519,9.36916,-26,0.03226,-0.00113,-0.0638,1805,37.26646
"9",409,2.97047,0.63885,9.2684,-25,0.00349,-0.00476,-0.02542,1768,33.80392
"10",458,1.68784,-0.70595,9.84723,-30,-0.08498,0.0027,0.4035,1768,37.14665
"11",509,0.85365,2.30098,8.41014,-25,-0.02077,0.02524,0.89427,1768,33.25516
"12",558,1.85335,0.78365,10.15462,-30,-0.16977,0.02165,1.16403,1768,32.46499
"13",609,3.68416,2.4312,9.98166,-25,-0.21875,0.06238,0.86238,1590,37.84189
"14",658,3.13582,1.37775,9.25009,-24,-0.27625,0.08389,0.64902,1590,27.60422
"15",708,2.43663,-0.83665,9.44876,-34,-0.28603,0.09717,0.67772,1590,32.0412
"16",758,3.3748,-1.15845,9.44591,-34,-0.28546,0.07402,1.03049,1590,32.46499
"17",808,5.37895,-2.03903,9.17122,-37,-0.29324,0.02179,1.24316,1471,36.39088
"18",858,5.99747,-0.82626,10.65657,-36,-0.19574,0.07277,0.85925,1471,32.46499
"19",909,5.43529,-2.49034,8.2847,-45,-0.29353,-0.24246,0.81694,1471,29.54243
"20",958,3.04738,-4.38921,6.3412,-48,-0.05595,-0.18968,0.57312,1471,24.0824
"21",1008,4.12248,-1.39064,9.29308,-38,-0.02426,-0.16934,0.34671,1492,24.60898
"22",1058,2.39052,-0.67624,8.75047,-36,0.07736,-0.11153,-0.0748,1492,27.23456
"23",1108,1.20538,-1.65045,8.8239,-41,0.02914,-0.06296,-0.11304,1492,35.26856
"24",1167,0.06943,-1.26508,11.77965,-44,0.11626,0.01422,0.01431,1492,58.9878
"25",1209,2.38234,-2.33614,9.55641,-44,0.00348,-0.14491,0.08456,1681,41.65571
"26",1258,1.78142,-2.07416,7.8455,-39,-0.08308,-0.15324,0.26971,1681,31.82129
"27",1308,-1.05907,0.13203,9.08849,-34,0.01141,-0.04527,0.26752,1681,32.66937
"28",1358,0.30176,-0.92911,10.1517,-45,0.06367,-0.07352,0.43849,1681,32.25568
"29",1408,3.74396,-1.57002,11.6823,-43,0.02888,-0.07637,0.64323,1929,35.56303
"30",1457,2.71544,-1.32881,7.76291,-43,-0.01466,-0.10344,0.63408,1929,34.1514
"31",1508,2.7807,-2.16357,7.85088,-40,0.29886,0.21242,0.4565,1929,35.56303
"32",1558,1.27472,-3.83624,6.86815,-52,0.09569,-0.21899,0.60541,1929,33.25516
"33",1609,4.40862,-0.09459,9.7851,-39,0.06866,-0.17494,0.54662,2082,31.59567
"34",1660,7.03734,-0.26744,8.21613,-43,0.14624,-0.1562,0.36119,2082,26.84845
