"","time","x","y","z","BRcom$azimuth","BRgyro$x","BRgyro$y","BRgyro$z","BRlig$lx","BRsou$dB.SPL."
"1",22,1.0703,-0.63632,9.8531,-25,0.06772,-0.02666,0.00127,2397,26.44439
"2",70,1.73012,-0.20837,9.82053,-28,-0.12234,0.07407,0.00401,2397,28.29947
"3",121,0.87897,-0.96399,8.6301,-29,-0.06349,-0.04259,-0.03421,2397,33.80392
"4",172,0.57129,-0.54387,9.70924,-26,-0.04199,0.0013,0.04227,2397,28.62728
"5",221,0.49721,-0.9444,9.75269,-27,-0.01848,0.00789,0.02972,2397,33.62482
"6",271,0.64528,-1.02031,9.76909,-27,-0.00249,0.00528,-0.01465,2397,34.64788
"7",322,0.05615,-1.91084,9.7574,-26,-0.00745,0.00691,-0.02802,2397,33.25516
"8",371,0.31929,-0.96111,9.63585,-26,-0.00623,0.00203,-0.04857,2397,31.59567
"9",422,0.45749,0.26521,10.29536,-22,0.03008,0.00301,-0.0739,2397,31.36403
"10",471,0.4754,-0.85872,9.70792,-25,0.03607,0.0032,-0.12418,2397,31.82129
"11",521,0.5533,-0.98341,9.63902,-26,0.02495,-0.00468,-0.15825,2397,33.80392
"12",577,0.26013,-0.54987,9.5318,-25,0.01086,-0.00395,-0.11424,2374,33.25516
"13",621,0.05489,-0.5899,9.45447,-25,-0.0343,0.00081,0.02472,2374,35.26856
"14",672,0.00298,-0.93605,9.69052,-27,-0.0672,-0.00186,0.14473,2374,34.32007
"15",721,0.59612,-1.42842,9.76868,-27,-0.06827,0.00569,0.18854,2374,33.06425
"16",772,0.97133,-0.99973,9.52821,-26,-0.02698,0.00179,0.11586,2374,35.1175
"17",821,1.05524,-0.66287,9.57332,-26,-0.0098,0.00221,0.06757,2374,33.25516
"18",871,0.96407,-0.61412,9.37703,-25,-0.04684,0.00861,0.14084,2394,35.56303
"19",922,1.25085,-0.60489,9.49608,-25,-0.07971,0.01088,0.25078,2394,30.37028
"20",971,1.11925,-1.09921,9.35292,-27,-0.14952,0.01984,0.48254,2394,30.88136
"21",1022,1.1656,-0.72781,9.72728,-26,-0.20686,0.02199,0.71104,2394,24.60898
"22",1073,1.15602,-0.89944,9.7076,-26,-0.23219,0.04245,0.75102,2415,24.60898
"23",1122,1.6384,-1.2274,9.48639,-29,-0.18687,0.02443,0.69861,2415,26.84845
"24",1171,1.01286,-2.13188,9.24167,-33,-0.15067,0.00441,0.6586,2415,23.52183
"25",1224,-0.30675,-2.13446,9.79681,-34,-0.14966,-0.00488,0.72533,2415,29.24796
"26",1271,0.68396,-1.56979,9.17644,-34,-0.15993,-0.04401,0.74416,2544,28.62728
"27",1320,1.91931,-2.12683,9.9449,-35,-0.17867,-0.02632,0.81554,2544,32.86905
"28",1371,1.38574,-0.96129,10.60487,-32,-0.1573,-0.05379,0.80283,2544,34.32007
"29",1421,1.14055,-2.46657,8.36829,-39,-0.14059,-0.06168,0.70284,2544,33.9794
"30",1472,1.37456,-2.32637,8.51625,-38,-0.03172,-0.09914,0.68533,2544,30.62958
"31",1522,4.31096,-1.7513,11.02469,-37,0.05219,-0.12216,0.366,2475,33.44196
"32",1577,5.05496,-2.42397,10.43617,-38,0.17845,-0.15236,-0.06023,2475,58.85008
