"","time","x","y","z","BRcom$azimuth","BRgyro$x","BRgyro$y","BRgyro$z","BRlig$lx","BRsou$dB.SPL."
"1",23,0.21962,-1.71844,9.52707,-44,-0.0041,0.00273,-0.02646,2100,34.48552
"2",72,0.0457,-1.76515,9.56152,-45,-0.00977,0.00655,-0.01698,2100,57.69591
"3",122,-0.08958,-1.73959,9.54774,-46,-0.00821,0.00536,-0.00151,2100,58.19112
"4",172,-0.00325,-1.67064,9.5101,-45,-0.01822,0.0108,0.01125,2100,38.38156
"5",222,-0.22844,-1.8768,9.53716,-46,-0.02992,0.00938,0.0451,2100,34.64788
"6",272,-0.2861,-2.00249,9.6373,-48,-0.0358,0.00085,0.12068,2100,31.12605
"7",321,-0.17851,-1.75935,9.55594,-46,-0.00684,0.00142,0.04941,2100,34.32007
"8",372,-0.29694,-2.12175,9.46919,-47,-0.00322,0.00409,0.00156,2100,32.46499
"9",422,0.34158,-1.59499,9.55437,-46,-0.0495,0.01189,0.15508,2100,32.86905
"10",472,0.73303,-1.40334,9.56039,-43,-0.10631,0.02138,0.29015,2082,29.24796
"11",521,1.06442,-2.08679,9.75322,-45,-0.13043,0.02724,0.31795,2082,36.39088
"12",573,0.80344,-2.1862,9.64633,-45,-0.05508,0.03355,0.12189,2082,33.62482
"13",621,0.57719,-2.20776,9.80501,-46,-0.04669,0.01042,0.05118,2082,37.02517
"14",672,-0.15938,-2.33614,8.987,-46,-0.01666,0.00418,-0.05035,2049,36.39088
"15",722,-0.28265,-1.42674,9.42084,-46,-0.0961,0.0155,0.10204,2049,34.32007
"16",772,0.59854,-1.32693,9.38287,-44,-0.17085,0.02536,0.35271,2049,28.29947
"17",825,0.50298,-1.83806,9.15588,-47,-0.26151,0.03992,0.66042,2049,30.103
"18",871,0.3595,-2.14508,9.76779,-48,-0.31241,0.04332,0.75465,2021,28.94316
"19",922,-0.0728,-2.21333,9.55641,-47,-0.26108,0.03961,0.64397,2021,36.25827
