time,x,y,z
33,0.40141,-0.36931,9.63057
83,0.94400,-0.76248,9.63972
133,1.12837,-0.85805,9.61057
183,0.70555,-1.34920,9.59053
233,0.51035,-1.30655,9.68675
283,-0.03027,-1.59596,9.64018
341,0.01874,-1.41875,9.57967
389,0.56686,-1.52556,9.41393
432,1.06070,-1.37520,9.90576
483,1.18451,-2.43982,9.42111
534,0.56291,-1.96786,9.14053
582,1.15843,-1.37683,9.22327
634,1.09731,-1.96555,9.33345
683,1.30798,-1.91327,9.96266
733,0.04187,-3.17325,9.51340
783,0.09843,-2.44482,10.07909
833,-0.25772,-2.31586,10.86563
883,1.24496,-1.99457,9.17874
932,1.05461,-3.44557,9.01131
983,-0.23795,-2.38722,9.20724
1034,-0.54221,-1.58960,9.78059
1083,-1.88237,-2.76372,9.21288
1133,1.93483,-2.27072,8.82770
1184,0.57121,-4.22459,11.01387
1234,1.56247,-2.10994,9.71283
1284,1.12828,-2.44917,8.18764
1341,1.59921,-1.53954,8.15732
1382,-2.38441,-1.74762,11.73395
1433,-0.35472,-3.82942,10.41772
1482,0.41534,-2.37909,10.72948
1533,1.62692,-1.84473,9.57509
1583,0.98744,-2.21176,11.69948
1633,-3.84071,-4.12038,7.71239
1686,0.99515,0.79625,8.98349
1734,0.65756,1.78648,10.42387
1783,1.37579,1.50334,11.77779
1835,0.52928,-0.15804,9.14084
1884,1.17220,-1.51927,8.61340
1935,0.12711,-1.67226,9.91183
1984,0.32919,-1.20084,10.80939
2033,-1.19774,-1.74907,11.53108
2083,-0.68161,2.59132,7.59578
2134,2.53519,0.68655,12.17953
2190,2.24969,-1.45331,10.63037
2233,1.26845,-1.96426,9.58342
2283,-0.93654,-1.17526,10.91098
2347,0.78523,-0.40372,9.97844
2382,-0.13441,-1.47806,9.34756
2432,2.00868,0.07372,8.64284
2483,1.46887,1.26804,8.54831
2533,0.29030,0.39926,9.90536
2585,-1.70360,-0.03772,8.88536
2633,-0.95209,2.17004,9.51552
2683,-2.05563,2.18967,11.29193
2733,0.69554,1.58961,9.56500
2785,0.11548,1.18506,10.48067
2834,0.69205,2.25574,11.31139
2885,0.64162,0.64157,10.44104
2933,-0.26028,1.42946,11.36243
2984,1.72995,-0.11551,8.47575
3033,2.53944,0.00043,9.14308
3085,2.85796,0.98262,8.61458
3135,0.86832,0.38914,10.65622
3183,-0.56836,1.17372,9.35262
3233,-0.48212,2.11659,10.11295
3283,0.08536,1.48148,9.05701
3337,1.37598,2.11298,10.71187
3383,0.62270,1.57166,9.15207
3434,0.54004,1.55502,9.84946
3483,-1.17667,1.27824,9.60307
3533,1.29381,3.08430,10.40779
3583,0.01500,0.62318,11.83755
3633,-1.35117,1.60036,12.21449
3685,2.27547,1.79941,7.95380
3733,2.62828,1.79665,9.69450
3783,0.66914,-1.22330,10.64133
3833,3.23875,0.48387,8.75459
3884,-0.14522,0.43631,8.36345
3933,0.60043,0.66289,8.10065
3984,-1.22203,1.73264,8.62991
4034,-2.78290,2.72438,10.45294
4086,-1.39531,0.51868,8.75146
4133,1.53960,1.82352,9.38206
4183,-1.42439,0.41934,12.15544
4233,5.00073,-3.27440,9.51994
4284,2.77557,-3.64119,10.46681
4333,5.88554,-0.40852,12.93867
4395,1.37148,-3.72159,9.70734
4433,-1.22792,-2.76877,8.17242
4483,-2.13158,3.31891,12.67661
4533,3.73979,4.96802,8.36963
4583,1.87607,0.85460,9.67476
4633,0.31158,3.22778,9.76054
4684,-0.88376,1.83383,9.56517
