time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
344,36,3727,30.2,-9223372036854775808,1001000,0
1346,36,3727,30.2,-9223372036854775808,1001000,0
2351,36,3727,30.2,-9223372036854775808,1001000,0
3338,36,3727,30.2,-9223372036854775808,601000,0
4396,36,3727,30.2,-9223372036854775808,601000,0
5395,36,3727,30.2,-9223372036854775808,601000,0
6395,36,3727,30.2,-9223372036854775808,601000,0
7449,36,3727,30.2,-9223372036854775808,601000,0
8491,36,3727,30.2,-9223372036854775808,601000,0
9491,36,3727,30.2,-9223372036854775808,480000,0
10493,36,3727,30.2,-9223372036854775808,480000,0
11540,36,3727,30.2,-9223372036854775808,480000,0
12536,36,3727,30.2,-9223372036854775808,480000,0
13589,36,3727,30.2,-9223372036854775808,480000,0
14587,36,3727,30.2,-9223372036854775808,480000,0
15591,36,3727,30.2,-9223372036854775808,498000,0
16592,36,3727,30.2,-9223372036854775808,498000,0
17593,36,3727,30.2,-9223372036854775808,498000,0
18601,36,3727,30.2,-9223372036854775808,498000,0
19641,36,3727,30.2,-9223372036854775808,498000,0
20686,36,3727,30.2,-9223372036854775808,498000,0
21698,36,3727,30.2,-9223372036854775808,493000,0
22700,36,3727,30.2,-9223372036854775808,493000,0
23743,36,3727,30.2,-9223372036854775808,493000,0
24740,36,3727,30.2,-9223372036854775808,493000,0
25739,36,3727,30.2,-9223372036854775808,493000,0
26746,36,3727,30.2,-9223372036854775808,493000,0
27800,36,3727,30.2,-9223372036854775808,628000,0
28837,36,3727,30.2,-9223372036854775808,628000,0
29892,36,3727,30.2,-9223372036854775808,628000,0
30936,36,3727,30.2,-9223372036854775808,628000,0
31941,36,3727,30.2,-9223372036854775808,628000,0
32939,36,3727,30.2,-9223372036854775808,854000,0
33942,36,3727,30.2,-9223372036854775808,854000,0
34947,36,3727,30.2,-9223372036854775808,854000,0
36003,36,3727,30.2,-9223372036854775808,854000,0
36991,36,3727,30.2,-9223372036854775808,854000,0
38039,36,3727,30.2,-9223372036854775808,854000,0
39049,36,3727,30.2,-9223372036854775808,459000,0
40049,36,3727,30.2,-9223372036854775808,459000,0
41092,36,3727,30.2,-9223372036854775808,459000,0
42139,36,3727,30.2,-9223372036854775808,459000,0
43140,36,3727,30.2,-9223372036854775808,459000,0
44189,36,3727,30.2,-9223372036854775808,459000,0
45194,36,3727,30.2,-9223372036854775808,569000,0
46244,36,3727,30.2,-9223372036854775808,569000,0
47237,36,3727,30.2,-9223372036854775808,569000,0
48241,36,3727,30.2,-9223372036854775808,569000,0
49300,36,3727,30.2,-9223372036854775808,569000,0
50337,36,3727,30.2,-9223372036854775808,569000,0
51340,36,3727,30.2,-9223372036854775808,516000,0
52350,36,3727,30.2,-9223372036854775808,516000,0
53345,36,3727,30.2,-9223372036854775808,516000,0
54391,36,3727,30.2,-9223372036854775808,516000,0
55391,36,3727,30.2,-9223372036854775808,516000,0
56407,36,3727,30.2,-9223372036854775808,516000,0
57443,36,3727,30.2,-9223372036854775808,553000,0
58487,36,3727,30.2,-9223372036854775808,553000,0
59510,36,3727,30.2,-9223372036854775808,553000,0
60512,36,3727,30.2,-9223372036854775808,553000,0
61547,36,3727,30.2,-9223372036854775808,553000,0
62588,36,3727,30.2,-9223372036854775808,553000,0
63606,36,3727,30.2,-9223372036854775808,530000,0
64644,36,3727,30.2,-9223372036854775808,530000,0
65648,36,3727,30.2,-9223372036854775808,530000,0
66643,36,3727,30.2,-9223372036854775808,530000,0
67645,36,3727,30.2,-9223372036854775808,530000,0
68637,36,3727,30.2,-9223372036854775808,530000,0
69650,36,3727,30.2,-9223372036854775808,495000,0
70641,36,3727,30.2,-9223372036854775808,495000,0
71640,36,3727,30.2,-9223372036854775808,495000,0
72646,36,3727,30.2,-9223372036854775808,495000,0
73644,36,3727,30.2,-9223372036854775808,495000,0
74688,36,3727,30.2,-9223372036854775808,495000,0
75737,36,3727,30.2,-9223372036854775808,637000,0
76735,36,3727,30.2,-9223372036854775808,637000,0
77737,36,3727,30.2,-9223372036854775808,637000,0
78736,36,3727,30.2,-9223372036854775808,637000,0
79737,36,3727,30.2,-9223372036854775808,637000,0
80739,36,3727,30.2,-9223372036854775808,637000,0
81790,36,3727,30.2,-9223372036854775808,743000,0
82790,36,3727,30.2,-9223372036854775808,743000,0
83838,36,3727,30.2,-9223372036854775808,743000,0
84843,36,3727,30.2,-9223372036854775808,743000,0
85838,36,3727,30.2,-9223372036854775808,743000,0
86848,36,3727,30.2,-9223372036854775808,743000,0
87838,36,3727,30.2,-9223372036854775808,529000,0
88838,36,3727,30.2,-9223372036854775808,529000,0
89886,36,3727,30.2,-9223372036854775808,529000,0
90897,36,3727,30.2,-9223372036854775808,529000,0
91909,36,3727,30.2,-9223372036854775808,529000,0
92947,36,3727,30.2,-9223372036854775808,529000,0
93938,36,3727,30.2,-9223372036854775808,756000,0
94955,36,3727,30.2,-9223372036854775808,756000,0
95952,36,3727,30.2,-9223372036854775808,756000,0
96940,36,3727,30.2,-9223372036854775808,756000,0
97937,36,3727,30.2,-9223372036854775808,756000,0
98946,36,3727,30.2,-9223372036854775808,756000,0
99943,36,3727,30.2,-9223372036854775808,770000,0
100993,36,3727,30.2,-9223372036854775808,770000,0
101986,36,3727,30.2,-9223372036854775808,770000,0
102986,36,3727,30.2,-9223372036854775808,770000,0
103991,36,3727,30.2,-9223372036854775808,770000,0
105045,36,3727,30.2,-9223372036854775808,604000,0
106088,36,3727,30.2,-9223372036854775808,604000,0
107096,36,3727,30.2,-9223372036854775808,604000,0
108085,36,3727,30.2,-9223372036854775808,604000,0
109090,36,3727,30.2,-9223372036854775808,604000,0
110087,36,3727,30.2,-9223372036854775808,604000,0
111139,36,3727,30.2,-9223372036854775808,893000,0
112147,36,3727,30.2,-9223372036854775808,893000,0
113142,36,3727,30.2,-9223372036854775808,893000,0
114159,36,3727,30.2,-9223372036854775808,893000,0
115139,36,3727,30.2,-9223372036854775808,893000,0
116138,36,3727,30.2,-9223372036854775808,893000,0
117148,36,3727,30.2,-9223372036854775808,545000,0
118155,36,3727,30.2,-9223372036854775808,545000,0
119141,36,3727,30.2,-9223372036854775808,545000,0
120149,36,3727,30.2,-9223372036854775808,545000,0
121146,36,3727,30.2,-9223372036854775808,545000,0
122151,36,3701,29.8,-9223372036854775808,545000,0
123157,36,3701,29.8,-9223372036854775808,545000,0
124147,36,3701,29.8,-9223372036854775808,545000,0
125159,36,3701,29.8,-9223372036854775808,545000,0
126187,36,3701,29.8,-9223372036854775808,545000,0
127271,36,3701,29.8,-9223372036854775808,545000,0
128307,36,3701,29.8,-9223372036854775808,545000,0
129346,36,3701,29.8,-9223372036854775808,308000,0
130395,36,3701,29.8,-9223372036854775808,308000,0
131441,36,3701,29.8,-9223372036854775808,308000,0
132474,36,3701,29.8,-9223372036854775808,308000,0
133473,36,3701,29.8,-9223372036854775808,308000,0
134469,36,3701,29.8,-9223372036854775808,308000,0
135488,36,3701,29.8,-9223372036854775808,286000,0
136495,36,3701,29.8,-9223372036854775808,286000,0
137487,36,3701,29.8,-9223372036854775808,286000,0
138493,36,3701,29.8,-9223372036854775808,286000,0
139539,36,3701,29.8,-9223372036854775808,286000,0
140537,36,3701,29.8,-9223372036854775808,286000,0
141547,36,3701,29.8,-9223372036854775808,231000,0
142614,36,3701,29.8,-9223372036854775808,231000,0
143606,36,3701,29.8,-9223372036854775808,231000,0
144652,36,3701,29.8,-9223372036854775808,231000,0
145667,36,3701,29.8,-9223372036854775808,231000,0
146660,36,3701,29.8,-9223372036854775808,231000,0
147703,35,3743,29.6,-9223372036854775808,262000,0
148698,35,3743,29.6,-9223372036854775808,262000,0
149696,35,3743,29.6,-9223372036854775808,262000,0
150704,35,3743,29.6,-9223372036854775808,262000,0
151700,35,3743,29.6,-9223372036854775808,262000,0
152748,35,3743,29.6,-9223372036854775808,262000,0
153755,35,3743,29.6,-9223372036854775808,451000,0
154750,35,3743,29.6,-9223372036854775808,451000,0
155807,35,3743,29.6,-9223372036854775808,451000,0
156809,35,3743,29.6,-9223372036854775808,451000,0
157787,35,3743,29.6,-9223372036854775808,451000,0
158789,35,3741,29.5,-9223372036854775808,451000,0
159799,35,3741,29.5,-9223372036854775808,757000,0
