time,azimuth
34,-39
83,-39
134,-38
185,-40
233,-41
283,-44
342,-43
390,-46
432,-42
483,-46
535,-48
582,-43
634,-47
684,-49
734,-53
784,-53
834,-49
883,-55
933,-56
984,-55
1035,-60
1085,-51
1133,-53
1185,-61
1235,-58
1285,-65
1342,-71
1382,-78
1434,-71
1483,-63
1533,-60
1584,-53
1633,-70
1687,-50
1735,-52
1783,-56
1836,-54
1885,-55
1936,-54
1985,-63
2034,-60
2084,-52
2137,-58
2194,-54
2233,-55
2284,-60
2350,-58
2382,-51
2432,-48
2484,-41
2533,-41
2590,-38
2634,-34
2684,-29
2734,-39
2787,-38
2834,-38
2886,-37
2934,-30
2987,-37
3034,-40
3086,-37
3136,-37
3183,-42
3233,-38
3283,-36
3338,-31
3383,-30
3434,-32
3483,-33
3533,-34
3584,-40
3634,-37
3686,-42
3734,-37
3784,-43
3833,-39
3885,-39
3934,-38
3985,-41
4035,-41
4087,-44
4134,-47
4184,-36
4233,-48
4286,-45
4333,-46
4396,-54
4434,-53
4484,-57
4533,-17
4583,-30
4634,-21
4685,-49
4736,-33
4786,-41
4834,-28
4885,-30
4934,-19
4984,-22
5034,-17
5087,-26
5134,-13
5185,-10
5235,-18
5288,-9
5337,-17
5394,-30
5437,-32
5483,-20
5534,-28
5583,-27
5634,-31
5684,-20
5733,-32
5784,-35
5833,-38
5884,-47
5933,-41
5987,-48
6033,-55
6086,-44
6134,-49
6184,-46
6235,-34
6285,-52
6334,-47
6395,-48
6434,-43
6483,-56
6533,-52
6585,-46
6637,-48
6686,-44
6734,-45
6786,-33
6836,-41
6890,-41
6936,-49
6983,-40
7033,-43
7085,-52
7136,-54
7183,-41
7234,-43
7285,-52
7335,-38
7383,-47
7444,-34
7484,-40
7533,-38
7583,-43
7636,-36
7686,-40
7733,-44
7784,-48
7836,-40
7885,-47
7934,-45
7984,-44
8033,-41
8085,-51
8136,-41
8184,-44
8237,-51
8284,-61
8336,-40
8385,-29
8434,-14
8491,-49
8534,-42
8583,-40
8633,-55
8686,-55
8735,-52
8784,-43
8835,-56
8885,-56
8933,-24
8984,-42
9037,-40
9085,-42
9134,-38
9184,-57
9234,-52
9287,-56
9334,-59
9385,-36
9435,-55
9490,-51
9533,-62
9584,-40
9634,-50
9684,-86
9734,-49
9783,-59
9833,-46
9884,-39
9935,-64
9985,-41
10034,-55
10084,-68
10134,-67
10184,-32
10236,-47
10284,-53
10335,-53
10386,-54
10434,-47
10492,-55
10532,-63
10583,-45
10633,-50
10684,-32
10737,-58
10783,-65
10836,-40
10887,-53
10935,-94
10988,-52
11034,-46
11085,-55
11135,-40
11185,-39
11234,-43
11284,-49
11334,-67
11385,-37
11434,-54
11483,-46
11539,-42
11583,-56
11633,-44
11687,-47
11734,-50
11785,-49
11834,-32
11884,-43
11935,-42
11984,-48
12033,-37
12085,-46
12134,-40
12184,-43
12235,-39
12285,-62
12335,-36
12385,-43
12437,-40
12483,-39
12535,-42
12584,-41
12633,-52
12683,-36
12736,-48
12786,-42
12835,-44
12884,-47
12934,-50
12984,-41
13034,-37
13086,-26
13134,-43
13187,-41
13236,-47
13284,-51
13334,-33
13383,-34
13434,-45
13484,-45
13533,-43
13589,-37
13633,-27
13683,-41
13734,-43
13786,-47
13834,-45
13887,-50
13935,-32
13985,-48
14033,-34
14084,-67
14135,-43
14184,-45
14235,-25
14288,-30
14334,-33
14385,-46
14435,-31
14491,-57
14533,-45
14585,-77
14633,110
14683,-36
14733,-36
14784,-23
14834,-30
14883,-30
14933,-32
14984,-43
15036,-59
15085,-57
15137,-49
15184,-36
15233,-51
15284,-47
15334,-45
15384,-44
15434,-50
15483,-44
15534,-41
15591,-50
15633,-43
15683,-39
15735,-55
15785,-38
15836,-56
15885,-48
15935,-89
15986,-43
16036,-63
16084,-38
16136,-47
16184,-41
16233,-50
16285,-51
16336,-50
16384,-48
16434,-53
16484,-36
16534,-35
16589,-63
16633,-49
16683,-50
16734,-51
16784,-67
16834,-32
16888,-53
16933,-42
16983,-63
17032,-63
17084,-56
17133,-41
17183,-58
17233,-50
17283,-37
17336,-45
17383,-53
17435,-36
17483,-34
17535,-61
17592,-51
17633,-141
17683,-49
17734,-58
17785,-45
17835,-45
17883,-42
17934,-49
17984,-38
18033,-61
18084,-62
18134,-43
18185,-48
18233,-45
18285,-47
18333,-34
18384,-51
18433,-46
18485,-22
18534,-45
18600,-45
18633,-38
18683,-43
18733,-52
18784,-49
18833,-34
18886,-31
18935,-41
18983,-61
19036,-40
19088,-55
19136,-28
19184,-50
19235,-52
19284,-47
19333,-61
19385,-48
19435,-51
19486,-45
19534,-49
19589,-48
19639,-27
19683,-38
19733,-71
19784,-44
19837,-40
19885,-59
19933,-47
19984,-50
20035,-43
20084,-24
20135,-47
20184,-44
20235,-39
20284,-42
20334,-43
20386,-55
20434,-41
20483,-63
20533,-50
20584,-51
20633,-51
20686,-54
20732,-51
20783,-43
20834,-55
20883,-59
20936,-29
20983,-45
21033,-23
21083,-42
21134,-51
21183,-49
21234,-52
21284,-45
21334,-39
21385,-43
21434,-39
21483,-37
21534,-56
21584,-44
21634,-33
21696,-52
21734,-50
21783,-31
21833,-48
21887,-39
21935,-48
21985,-43
22034,-42
22085,-44
22133,-46
22183,-48
22233,-42
22284,-45
22333,-39
22383,-52
22434,-41
22483,-50
22535,-51
22588,-28
22634,-46
22699,-52
22732,-58
22783,-41
22833,-47
22883,-53
22935,-53
22983,-51
23035,-52
23085,-43
23134,-56
23184,-56
23234,-45
23285,-46
23336,-41
23384,-62
23434,-53
23483,-48
23534,-56
23583,-46
23635,-40
23683,-53
23742,-42
23783,-40
23833,-50
23885,-46
23934,-43
23983,-56
24034,-56
24083,-43
24134,-44
24183,-48
24237,-51
24284,-49
24335,-44
24383,-44
24437,-66
24484,-78
24533,-32
24583,-45
24635,-43
24683,-49
24738,-46
24783,-41
24833,-46
24884,-44
24933,-46
24984,-42
25033,-45
25085,-46
25134,-51
25183,-39
25234,-44
25286,-54
25333,-37
25385,-51
25433,-41
25483,-52
25534,-49
25583,-47
25633,-38
25682,-49
25738,-39
25783,-44
25833,-39
25883,-37
25937,-41
25983,-42
26034,-43
26084,-48
26135,-46
26184,-44
26233,-36
26283,-40
26333,-48
26385,-41
26433,-38
26484,-39
26533,-47
26586,-41
26635,-37
26684,-49
26742,-43
26783,-34
26833,-46
26883,-48
26934,-48
26984,-46
27034,-59
27085,-44
27134,-40
27184,-54
27236,-45
27285,-52
27335,-50
27384,-54
27434,-47
27483,-58
27533,-39
27585,-53
27635,-45
27689,-44
27734,-48
27799,-50
27833,-55
27884,-45
27934,-62
27984,-44
28036,-40
28087,-45
28135,-52
28184,-44
28233,-45
28284,-63
28334,-46
28384,-50
28433,-48
28483,-52
28533,-44
28586,-46
28636,-49
28683,-46
28734,-52
28783,-49
28837,-49
28883,-54
28933,-44
28985,-44
29034,-47
29085,-48
29135,-50
29185,-44
29234,-38
29285,-45
29335,-54
29384,-40
29434,-40
29484,-53
29534,-55
29586,-52
29637,-53
29684,-50
29734,-47
29784,-41
29833,-45
29891,-52
29933,-54
29983,-50
30034,-48
30084,-43
30134,-48
30184,-48
30234,-43
30285,-50
30334,-40
30384,-47
30434,-46
30483,-44
30533,-48
30583,-47
30634,-42
30683,-45
30735,-40
30783,-40
30835,-41
30883,-41
30936,-42
30987,-55
31033,-48
31083,-49
31132,-59
31183,-46
31234,-43
31283,-57
31333,-39
31384,-47
31435,-39
31484,-56
31533,-51
31583,-55
31633,-39
31683,-49
31733,-46
31783,-62
31834,-40
31885,-53
31940,-42
31985,-49
32033,-39
32085,-42
32133,-51
32184,-48
32233,-45
32286,-53
32334,-61
32387,-48
32433,-43
32484,-36
32534,-55
32585,-50
32635,-59
32685,-58
32735,-50
32783,-50
32835,-54
32884,-45
32939,-59
32984,-46
33033,-48
33083,-46
33136,-36
33185,-55
33233,-57
33285,-55
33335,-46
33383,-64
33433,-52
33483,-59
33534,-49
33587,-48
33633,-55
33684,-46
33735,-54
33787,-62
33834,-58
33884,-49
33940,-48
33983,-52
34033,-51
34084,-46
34133,-53
34184,-46
34234,-49
34285,-49
34336,-44
34384,-46
34436,-50
34484,-44
34534,-38
34584,-44
34634,-45
34684,-52
34735,-43
34785,-50
34834,-41
34884,-42
34946,-40
34984,-46
35033,-40
35083,-40
35134,-41
35184,-41
35234,-42
35286,-46
35334,-36
35384,-46
35434,-40
35483,-42
35534,-41
35585,-44
35636,-44
35685,-40
35735,-42
35784,-42
35834,-42
35884,-48
35934,-49
36000,-55
36033,-39
36083,-48
36135,-45
36184,-49
36234,-47
36285,-57
36334,-46
36384,-41
36433,-36
36484,-52
36533,-44
36583,-47
36634,-48
36685,-48
36733,-50
36786,-54
36833,-49
36884,-52
36934,-47
36990,-61
37033,-74
37084,-94
37136,-40
37186,-76
37234,-77
37283,-71
37333,-74
37383,-60
37433,-90
37483,-62
37534,-88
37583,-76
37633,-56
37685,-73
37735,-92
37788,-120
37833,-105
37885,-71
37932,-65
37983,-60
38038,-107
38083,-131
38134,-120
38183,-111
38234,-127
38283,-114
38333,-155
38384,-133
38434,-161
38484,-100
38535,-91
38587,-103
38633,-91
38683,-119
38735,-96
38783,-133
38835,-142
38884,-140
38933,-118
38984,180
39048,-155
39083,-155
39134,-172
39186,161
39233,-70
39286,-149
39335,-138
39384,-150
39434,-80
39485,-125
39534,-129
39582,-137
39633,-135
39685,-155
39734,-88
39784,-147
39835,-151
39884,-133
39933,-145
39986,-119
40049,-147
40082,-127
40134,-124
40183,-131
40237,5
40286,-150
40333,-131
40385,-99
40436,-124
40483,-144
40533,-119
40583,-116
40634,-126
40684,-139
40735,-161
40785,-160
40834,-162
40885,156
40933,-99
40985,-179
41034,-169
41092,53
41133,175
41183,-173
41233,-165
41283,-83
41333,-166
41383,-141
41434,-177
41484,-173
41533,176
41584,173
41634,149
41683,160
41733,16
41785,132
41834,-172
41883,-171
41934,-166
41984,169
42035,-178
42083,-141
42138,-172
42183,176
42234,166
42285,-179
42334,37
42384,-142
42433,-168
42484,0
42535,-138
42584,-125
42635,-126
42685,-160
42733,-149
42784,-170
42833,-43
42887,-169
42935,141
42985,-105
43034,-145
43086,-118
43139,-156
43183,179
43233,-164
43284,-155
43334,2
43388,-175
43433,-135
43483,-167
43533,-161
43584,-159
43632,-168
43683,12
43733,74
43786,162
43834,145
43885,168
43937,173
43985,145
44034,176
44083,177
44134,178
44187,-171
44233,-179
44284,172
44333,138
44383,131
44435,160
44483,140
44532,156
44584,132
44632,104
44683,156
44734,154
44783,122
44834,119
44884,153
44934,130
44984,61
45034,118
45085,149
45134,43
45193,98
45234,114
45283,143
45333,164
45386,98
45435,146
45484,131
45533,148
45586,77
45635,115
45683,98
45735,163
45783,158
45835,154
45883,144
45934,43
45983,146
46035,144
46084,146
46133,112
46184,70
46239,159
46283,117
46333,159
46383,159
46436,175
46484,-2
46533,176
46583,145
46634,146
46683,168
46733,159
46784,-7
46834,-69
46884,-164
46933,176
46983,173
47034,174
47085,172
47133,128
47184,163
47236,47
47283,170
47333,148
47384,174
47433,140
47484,-178
47534,136
47583,121
47634,137
47686,-176
47734,127
47785,174
47835,104
47885,166
47935,-173
47986,163
48033,175
48085,179
48135,98
48183,176
48240,-165
48284,151
48333,-172
48383,-178
48433,-179
48483,-131
48534,-157
48583,180
48633,179
48684,168
48733,-166
48784,130
48833,178
48883,174
48935,177
48984,155
49034,-150
49088,-175
49134,167
49184,179
49234,-148
49300,-70
49333,-178
49383,-151
49434,-176
49485,176
49535,170
49586,170
49634,-8
49685,-154
49734,-99
49784,-156
49834,-145
49883,176
49935,-164
49985,-167
50034,166
50086,104
50136,-147
50183,-173
50235,-169
50283,175
50337,-178
50383,7
50433,146
50484,-143
50533,165
50586,151
50634,53
50685,-115
50733,162
50784,175
50835,-163
50885,-168
50936,-163
50986,-170
51034,-33
51083,172
51134,172
51184,-8
51234,150
51286,113
51339,150
51383,143
51433,149
51483,50
51532,170
51583,165
51633,138
51684,150
51735,-156
51789,178
51834,170
51885,170
51934,138
51987,-170
52035,178
52085,109
52134,164
52188,126
52233,177
52283,169
52350,146
52382,101
52433,-168
52482,162
52533,109
52583,160
52638,-145
52684,-171
52735,-173
52784,165
52835,175
52884,170
52934,-143
52985,174
53034,-83
53084,-168
53134,48
53184,164
53234,172
53285,-167
53342,-165
53385,-177
53433,-160
53483,174
53534,121
53587,176
53634,36
53685,178
53736,-174
53784,-152
53834,178
53887,-161
53933,164
53985,172
54033,140
54084,92
54134,161
54185,-36
54234,-135
54284,-166
54333,-145
54391,-162
54433,169
54483,-160
54533,-150
54585,-138
54634,-145
54683,-176
54734,159
54784,179
54835,-176
54884,154
54934,159
54984,-172
55033,-177
55085,-176
55133,-176
55183,-150
55233,179
55283,161
55334,19
55391,-175
55433,-170
55484,-172
55533,-178
55583,-146
55633,-160
55685,-168
55734,-165
55784,-44
55834,-176
55884,165
55933,99
55983,173
56034,169
56084,119
56135,-105
56188,138
56233,-141
56286,156
56334,-179
56406,-136
56433,-163
56483,158
56533,173
56584,173
56634,-173
56685,130
56734,139
56784,149
56833,-176
56885,-171
56933,-161
56987,-156
57033,-166
57083,-179
57132,78
57184,-177
57234,85
57284,2
57335,148
57384,-171
57442,152
57483,-174
57533,-151
57584,168
57634,-159
57685,-155
57734,111
57785,153
57835,73
57883,-178
57933,-175
57984,-157
58033,167
58085,-163
58133,155
58184,167
58234,155
58285,-144
58335,-167
58384,150
58433,176
58487,175
58533,-168
58583,148
58633,175
58683,145
58736,172
58783,-4
58834,172
58886,-160
58934,8
58984,171
59035,-168
59085,84
59133,-135
59183,173
59234,-159
59284,159
59335,177
59384,-168
59433,-133
59509,-1
59533,-135
59583,170
59634,-160
59683,168
59733,-26
59783,72
59834,171
59884,-179
59934,104
59985,176
60033,46
60084,-179
60134,-148
60185,-162
60233,-134
60283,180
60334,-171
60384,-71
60433,-159
60511,-175
60533,-173
60583,-137
60634,-160
60684,-15
60734,-167
60783,9
60835,-149
60884,112
60934,-176
60984,177
61034,-160
61084,-155
61135,170
61184,168
61233,172
61284,-135
61333,-146
61383,180
61433,-129
61483,-167
61547,151
61583,174
61633,-168
61684,-151
61735,-180
61784,177
61834,-150
61884,-160
61935,-164
61988,125
62033,136
62084,173
62134,166
62184,34
62234,-173
62285,35
62334,174
62384,141
62435,-174
62483,143
62533,67
62588,161
62633,-160
62682,179
62733,-145
62785,138
62834,11
62884,142
62934,129
62983,121
63036,-169
63083,163
63135,141
63185,24
63236,176
63284,-177
63335,134
63384,173
63434,179
63483,165
63534,158
63599,41
63633,170
63683,119
63733,157
63783,-68
63835,161
63884,60
63936,169
63984,-163
64033,164
64084,163
64133,165
64183,10
64235,-171
64283,179
64334,160
64384,135
64434,175
64483,149
64534,148
64586,-31
64640,151
64683,168
64734,-131
64783,-173
64836,164
64886,158
64933,137
64985,164
65035,-167
65085,157
65133,-175
65184,-160
65233,176
65284,175
65334,36
65387,162
65433,120
65483,0
65533,173
65583,-167
65647,173
65688,-116
65733,-179
65785,-154
65835,131
65883,171
65935,148
65983,-175
66035,174
66083,125
66135,149
66185,177
66233,173
66284,-173
66335,-162
66384,-23
66434,169
66484,143
66534,-172
66584,-167
66640,155
66683,-174
66733,161
66785,140
66835,172
66886,179
66934,179
66984,-148
67034,-2
67084,1
67134,152
67184,171
67236,-127
67284,-176
67334,165
67384,161
67434,123
67484,-34
67533,174
67585,161
67642,153
67683,146
67733,-159
67783,179
67834,-179
67884,-169
67934,-177
67984,162
68033,-175
68084,137
68135,146
68184,-171
68234,-170
68285,67
68335,152
68385,-168
68436,179
68484,169
68533,13
68583,-177
68637,144
68683,180
68733,144
68784,177
68833,-125
68883,165
68937,-163
68983,165
69033,-162
69083,-162
69134,-163
69183,180
69233,-152
69289,175
69335,-176
69383,174
69433,176
69483,168
69533,138
69585,-171
69644,-26
69683,-169
69733,169
69784,178
69835,-75
69887,-174
69934,-179
69983,162
70034,-170
70083,176
70135,-167
70185,-157
70235,-174
70283,178
70335,-148
70386,161
70434,-158
70484,-71
70533,-180
70584,-161
70641,171
70683,173
70733,168
70784,171
70834,75
70884,160
70934,86
70985,168
71034,86
71085,151
71133,176
71184,156
71235,165
71286,157
71333,-158
71383,-178
71433,146
71483,141
71533,163
71583,-165
71640,74
71684,156
71734,175
71784,97
71834,165
71883,169
71934,161
71983,171
72034,164
72085,148
72134,116
72183,177
72235,69
72284,105
72335,165
72385,110
72434,125
72483,155
72534,157
72584,172
72645,170
72683,153
72733,99
72785,155
72834,-62
72885,158
72934,143
72984,153
73033,161
73085,152
73135,-179
73185,176
73236,162
73283,158
73333,122
73383,168
73435,-96
73483,134
73535,170
73583,179
73643,1
73683,-171
73733,174
73783,140
73836,-177
73884,173
73933,162
73984,169
74034,147
74085,-167
74134,7
74183,171
74234,-14
74285,27
74334,-168
74384,-18
74433,-159
74484,170
74535,162
74584,173
74634,162
74688,64
74733,-67
74783,162
74833,141
74884,157
74935,166
74984,92
75033,150
75084,125
75135,150
75184,104
75235,150
75284,84
75336,105
75385,91
75433,95
75486,79
75536,116
75582,102
75633,96
75683,78
75737,95
75783,115
75832,102
75883,114
75933,77
75984,113
76038,105
76083,87
76134,103
76185,52
76233,116
76284,84
76334,78
76384,124
76435,102
76483,89
76533,82
76584,78
76635,61
76683,55
76734,76
76783,53
76835,79
76889,58
76934,70
76983,76
77032,82
77084,60
77133,65
77184,46
77233,62
77285,73
77334,72
77387,55
77433,89
77483,60
77533,82
77583,62
77634,57
77686,58
77737,49
77782,49
77835,51
77886,32
77935,75
77985,77
78033,55
78085,60
78134,57
78184,55
78234,53
78285,101
78334,66
78385,47
78435,37
78483,44
78534,41
78583,43
78634,19
78683,67
78736,50
78782,56
78833,48
78883,51
78933,43
78984,64
79033,56
79083,41
79133,51
79186,39
79233,49
79283,39
79333,36
79384,47
79433,49
79483,46
79534,47
79584,44
79634,42
79685,33
79736,48
79785,39
79834,51
79883,41
79933,35
79983,55
80033,35
80085,37
80133,39
80184,53
80235,43
80283,39
80333,34
80384,51
80435,45
80483,33
80533,54
80587,47
80635,38
80684,46
80738,34
80785,48
80833,47
80883,31
80933,46
80984,41
81033,41
81087,33
81135,37
81185,38
81233,42
81285,39
81333,42
81384,44
81436,49
81484,42
81533,38
81584,49
81635,55
81684,39
81733,-12
81789,47
81833,55
81883,47
81934,48
81984,30
82033,32
82083,51
82134,58
82186,58
82235,76
82283,57
82335,45
82383,41
82435,52
82484,81
82533,52
82583,33
82633,47
82684,27
82734,31
82789,54
82833,41
82884,38
82937,44
82983,40
83034,43
83085,66
83134,43
83184,51
83235,43
83285,52
83335,47
83385,45
83435,39
83488,44
83533,46
83584,45
83635,37
83688,24
83733,47
83783,46
83837,31
83883,48
83933,50
83983,37
84034,53
84084,43
84135,64
84187,44
84234,37
84284,44
84336,42
84383,39
84436,43
84484,53
84534,60
84583,44
84635,38
84684,43
84734,51
84783,17
84841,69
84883,40
84934,25
84986,38
85034,41
85085,47
85133,46
85184,47
85235,76
85283,40
85333,50
85384,44
85433,48
85484,29
85534,37
85583,31
85633,38
85687,39
85733,57
85784,-16
85837,47
85884,42
85933,36
85984,39
86034,37
86085,41
86134,38
86186,41
86234,46
86286,36
86334,51
86383,37
86433,33
86484,68
86534,35
86585,46
86634,41
86684,37
86735,37
86785,35
86848,36
86883,47
86934,35
86984,35
87035,17
87084,46
87134,32
87183,47
87234,43
87283,40
87334,34
87385,36
87434,41
87483,35
87534,65
87583,31
87634,35
87683,38
87734,28
87787,38
87838,36
87882,37
87933,52
87984,43
88033,47
88084,59
88133,39
88184,35
88234,45
88285,37
88334,45
88383,33
88435,36
88483,42
88535,47
88585,43
88637,62
88685,42
88734,54
88789,52
88838,44
88884,47
88933,47
88985,39
89033,35
89084,36
89134,43
89185,52
89235,39
89285,39
89333,47
89385,49
89436,41
89483,46
89534,52
89585,89
89636,42
89683,45
89735,69
89783,42
89834,49
89886,47
89933,44
89983,33
90034,48
90085,45
90134,48
90183,43
90236,46
90283,41
90334,38
90386,39
90435,53
90484,56
90534,41
90583,46
90634,48
90684,40
90735,49
90785,43
90837,42
90895,41
90933,43
90984,41
91033,38
91084,39
91136,52
91186,54
91234,48
91286,45
91333,47
91384,49
91433,40
91485,54
91533,35
91582,47
91633,52
91683,47
91733,40
91783,45
91833,40
91900,41
91936,52
91983,58
92035,46
92087,39
92135,53
92185,43
92234,24
92283,42
92337,6
92385,45
92434,48
92484,44
92534,40
92584,58
92636,40
92686,39
92734,46
92784,58
92835,41
92884,36
92946,50
92984,30
93033,40
93084,31
93134,31
93184,41
93234,41
93284,45
93334,47
93385,41
93435,45
93483,35
93533,45
93585,50
93636,38
93684,56
93736,36
93785,39
93834,35
93883,42
93937,42
93983,57
94034,43
94083,53
94136,45
94184,38
94233,37
94284,51
94334,40
94385,32
94433,32
94483,37
94533,40
94585,40
94636,44
94684,38
94734,41
94785,46
94834,60
94884,51
94948,39
94984,39
95034,40
95083,41
95134,37
95183,52
95233,36
95283,38
95334,43
95385,31
95435,52
95483,45
95533,39
95583,34
95633,50
95683,51
95734,32
95785,42
95834,45
95884,45
95952,28
95984,52
96033,52
96084,36
96134,40
96183,52
96235,53
96284,41
96334,36
96384,33
96434,35
96483,46
96536,70
96583,51
96636,45
96685,44
96734,45
96784,27
96836,60
96885,47
96940,50
96983,48
97033,45
97084,59
97135,50
97184,32
97233,49
97284,55
97334,39
97386,47
97434,47
97484,52
97534,42
97584,46
97634,46
97687,41
97735,35
97783,46
97833,39
97883,44
97937,55
97984,44
98032,50
98084,62
98132,52
98182,54
98234,65
98285,42
98335,53
98384,42
98434,38
98483,45
98536,47
98584,40
98634,44
98684,43
98734,40
98784,39
98836,36
98883,49
98945,49
98983,52
99034,45
99084,45
99134,53
99184,37
99235,38
99286,38
99334,26
99384,22
99439,41
99483,34
99534,37
99587,39
99634,28
99686,46
99734,58
99783,43
99834,45
99884,47
99943,38
99984,46
100033,44
100083,47
100134,35
100184,38
100234,46
100284,36
100334,46
100383,46
100434,32
100483,39
100535,32
100584,39
100634,45
100683,43
100734,48
100784,52
100834,43
100885,45
100933,44
100992,33
101033,33
101084,41
101134,44
101184,41
101234,46
101285,52
101334,51
101387,43
101433,59
101484,41
101533,65
101583,46
101634,46
101684,36
101736,50
101784,58
101833,42
101883,46
101933,41
101985,52
102037,71
102083,36
102133,30
102183,40
102233,19
102283,41
102335,55
102383,80
102433,34
102483,48
102534,59
102586,60
102635,68
102688,57
102733,87
102785,38
102838,71
102883,36
102933,61
102986,65
103032,76
103084,56
103134,100
103184,61
103234,74
103285,49
103335,56
103385,48
103435,75
103483,15
103533,82
103584,28
103635,69
103683,41
103734,73
103785,24
103835,56
103883,69
103935,44
103991,55
104033,65
104083,36
104133,34
104183,98
104234,-93
104283,112
104333,57
104384,78
104434,112
104484,100
104533,75
104583,68
104634,79
104684,103
104736,51
104784,62
104835,52
104885,57
104934,67
104984,45
105040,46
105083,42
105135,80
105183,76
105235,69
105289,68
105333,70
105383,20
105433,64
105483,66
105534,68
105586,35
105633,54
105683,51
105733,45
105784,43
105832,88
105885,73
105934,77
105984,47
106033,58
106088,52
106133,73
106183,54
106233,35
106283,83
106334,48
106384,45
106433,62
106483,43
106533,59
106583,54
106634,79
106685,54
106734,58
106785,58
106833,57
106885,61
106934,56
106984,56
107035,40
107091,55
107133,63
107185,48
107233,63
107285,58
107334,59
107385,61
107434,52
107485,62
107534,49
107583,54
107634,48
107683,43
107735,41
107784,47
107833,45
107884,58
107933,49
107986,53
108033,45
108084,32
108133,60
108185,79
108234,48
108283,43
108333,58
108384,64
108433,61
108485,46
108533,75
108582,51
108633,50
108683,48
108733,49
108783,46
108833,44
108883,60
108935,58
