time,USER,SYSTEM,IOW,IRQ
345,-1,-1,-1,-1
1346,-1,-1,-1,-1
2351,-1,-1,-1,-1
3338,-1,-1,-1,-1
4396,-1,-1,-1,-1
5395,-1,-1,-1,-1
6395,-1,-1,-1,-1
7449,-1,-1,-1,-1
8491,-1,-1,-1,-1
9491,-1,-1,-1,-1
10493,-1,-1,-1,-1
11540,-1,-1,-1,-1
12536,-1,-1,-1,-1
13590,-1,-1,-1,-1
14587,-1,-1,-1,-1
15591,-1,-1,-1,-1
16592,-1,-1,-1,-1
17593,-1,-1,-1,-1
18601,-1,-1,-1,-1
19641,-1,-1,-1,-1
20686,-1,-1,-1,-1
21698,-1,-1,-1,-1
22700,-1,-1,-1,-1
23743,-1,-1,-1,-1
24740,-1,-1,-1,-1
25740,-1,-1,-1,-1
26746,-1,-1,-1,-1
27800,-1,-1,-1,-1
28837,-1,-1,-1,-1
29893,-1,-1,-1,-1
30936,-1,-1,-1,-1
31941,-1,-1,-1,-1
32939,-1,-1,-1,-1
33942,-1,-1,-1,-1
34947,-1,-1,-1,-1
36004,-1,-1,-1,-1
36991,-1,-1,-1,-1
38039,-1,-1,-1,-1
39049,-1,-1,-1,-1
40049,-1,-1,-1,-1
41092,-1,-1,-1,-1
42139,-1,-1,-1,-1
43140,-1,-1,-1,-1
44189,-1,-1,-1,-1
45194,-1,-1,-1,-1
46244,-1,-1,-1,-1
47237,-1,-1,-1,-1
48241,-1,-1,-1,-1
49300,-1,-1,-1,-1
50337,-1,-1,-1,-1
51340,-1,-1,-1,-1
52350,-1,-1,-1,-1
53346,-1,-1,-1,-1
54391,-1,-1,-1,-1
55391,-1,-1,-1,-1
56407,-1,-1,-1,-1
57443,-1,-1,-1,-1
58488,-1,-1,-1,-1
59510,-1,-1,-1,-1
60512,-1,-1,-1,-1
61548,-1,-1,-1,-1
62588,-1,-1,-1,-1
63607,-1,-1,-1,-1
64645,-1,-1,-1,-1
65648,-1,-1,-1,-1
66643,-1,-1,-1,-1
67645,-1,-1,-1,-1
68638,-1,-1,-1,-1
69651,-1,-1,-1,-1
70642,-1,-1,-1,-1
71640,-1,-1,-1,-1
72646,-1,-1,-1,-1
73644,-1,-1,-1,-1
74689,-1,-1,-1,-1
75737,-1,-1,-1,-1
76735,-1,-1,-1,-1
77737,-1,-1,-1,-1
78736,-1,-1,-1,-1
79737,-1,-1,-1,-1
80739,-1,-1,-1,-1
81792,-1,-1,-1,-1
82790,-1,-1,-1,-1
83838,-1,-1,-1,-1
84843,-1,-1,-1,-1
85838,-1,-1,-1,-1
86848,-1,-1,-1,-1
87838,-1,-1,-1,-1
88838,-1,-1,-1,-1
89887,-1,-1,-1,-1
90897,-1,-1,-1,-1
91909,-1,-1,-1,-1
92947,-1,-1,-1,-1
93938,-1,-1,-1,-1
94955,-1,-1,-1,-1
95953,-1,-1,-1,-1
96940,-1,-1,-1,-1
97937,-1,-1,-1,-1
98946,-1,-1,-1,-1
99944,-1,-1,-1,-1
100993,-1,-1,-1,-1
101986,-1,-1,-1,-1
102986,-1,-1,-1,-1
103991,-1,-1,-1,-1
105045,-1,-1,-1,-1
106089,-1,-1,-1,-1
107098,-1,-1,-1,-1
108085,-1,-1,-1,-1
109090,-1,-1,-1,-1
110087,-1,-1,-1,-1
111139,-1,-1,-1,-1
112147,-1,-1,-1,-1
113142,-1,-1,-1,-1
114165,-1,-1,-1,-1
115139,-1,-1,-1,-1
116138,-1,-1,-1,-1
117148,-1,-1,-1,-1
118156,-1,-1,-1,-1
119141,-1,-1,-1,-1
120149,-1,-1,-1,-1
121146,-1,-1,-1,-1
122151,-1,-1,-1,-1
123157,-1,-1,-1,-1
124148,-1,-1,-1,-1
125159,-1,-1,-1,-1
126187,-1,-1,-1,-1
127271,-1,-1,-1,-1
128307,-1,-1,-1,-1
129346,-1,-1,-1,-1
130395,-1,-1,-1,-1
131441,-1,-1,-1,-1
132475,-1,-1,-1,-1
133473,-1,-1,-1,-1
134469,-1,-1,-1,-1
135488,-1,-1,-1,-1
136495,-1,-1,-1,-1
137487,-1,-1,-1,-1
138493,-1,-1,-1,-1
139540,-1,-1,-1,-1
140538,-1,-1,-1,-1
141547,-1,-1,-1,-1
142614,-1,-1,-1,-1
143606,-1,-1,-1,-1
144652,-1,-1,-1,-1
145667,-1,-1,-1,-1
146660,-1,-1,-1,-1
147707,-1,-1,-1,-1
148699,-1,-1,-1,-1
149696,-1,-1,-1,-1
150704,-1,-1,-1,-1
151700,-1,-1,-1,-1
152749,-1,-1,-1,-1
153755,-1,-1,-1,-1
154750,-1,-1,-1,-1
155807,-1,-1,-1,-1
156809,-1,-1,-1,-1
157787,-1,-1,-1,-1
158789,-1,-1,-1,-1
159799,-1,-1,-1,-1
