time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
342,22.32102980,87.30828990,4,-15.00000,0.00000,33,16
1346,22.32103830,87.30828740,4,-15.00000,0.00000,33,17
2351,22.32103690,87.30827910,4,-17.00000,0.61000,33,17
3338,22.32103590,87.30826760,4,-18.00000,0.80000,33,17
4396,22.32103770,87.30825150,4,-18.00000,1.24000,34,17
5395,22.32104320,87.30823170,4,-17.00000,1.71000,34,18
6395,22.32104940,87.30821410,4,-18.00000,1.62000,34,18
7447,22.32105480,87.30819520,4,-18.00000,1.60000,34,18
8491,22.32105480,87.30815540,4,-18.00000,1.93000,34,18
9490,22.32105470,87.30813050,4,-19.00000,2.66000,34,18
10493,22.32105580,87.30810350,4,-19.00000,2.46000,34,17
11539,22.32105770,87.30807650,4,-18.00000,2.59000,34,17
12536,22.32105900,87.30804570,4,-18.00000,3.00000,34,17
13589,22.32105910,87.30801080,4,-12.00000,3.17000,30,13
14587,22.32105970,87.30796950,4,-14.00000,3.68000,32,16
15591,22.32106110,87.30793210,4,-14.00000,3.09000,33,16
16591,22.32106250,87.30789650,4,-14.00000,3.55000,32,16
17593,22.32106170,87.30785780,4,-14.00000,3.60000,33,16
18600,22.32105970,87.30781690,4,-14.00000,3.77000,33,16
19641,22.32105880,87.30777680,4,-16.00000,3.63000,33,16
20686,22.32105950,87.30774030,4,-16.00000,3.25000,30,14
21697,22.32106080,87.30770630,4,-16.00000,3.25000,30,14
22699,22.32106150,87.30767050,4,-16.00000,3.48000,34,17
23742,22.32106120,87.30763120,4,-16.00000,3.55000,33,17
24739,22.32105980,87.30759240,4,-16.00000,3.58000,31,15
25739,22.32106000,87.30755470,4,-17.00000,3.56000,32,16
26743,22.32106080,87.30751950,4,-16.00000,3.31000,32,16
27799,22.32106130,87.30748420,4,-16.00000,3.66000,33,16
28837,22.32106060,87.30744820,4,-16.00000,3.62000,33,16
29892,22.32106070,87.30741400,4,-15.00000,3.24000,32,16
30936,22.32105810,87.30738140,4,-16.00000,3.35000,32,16
31940,22.32105970,87.30734650,4,-16.00000,3.56000,33,16
32939,22.32106090,87.30731520,4,-16.00000,3.00000,32,15
33940,22.32106100,87.30728990,4,-17.00000,3.56000,31,15
34947,22.32105950,87.30726270,4,-16.00000,2.84000,32,15
36002,22.32105840,87.30723500,4,-17.00000,3.05000,33,16
36990,22.32105710,87.30720660,4,-18.00000,3.01000,33,17
38039,22.32105140,87.30718260,4,-17.00000,2.34000,34,17
39048,22.32103370,87.30716820,4,-17.00000,2.42000,31,15
40049,22.32101010,87.30715900,4,-17.00000,2.59000,33,16
41092,22.32098650,87.30715260,4,-16.00000,2.37000,32,15
42139,22.32096070,87.30714710,4,-16.00000,2.79000,34,17
43140,22.32093840,87.30714280,4,-16.00000,1.90000,32,15
44189,22.32091700,87.30714080,4,-15.00000,2.55000,32,15
45193,22.32089350,87.30713930,4,-15.00000,2.56000,32,14
46243,22.32086730,87.30714060,4,-16.00000,2.89000,32,16
47236,22.32083560,87.30714750,4,-16.00000,3.88000,33,14
48241,22.32080020,87.30715700,4,-16.00000,3.86000,33,15
49300,22.32076610,87.30716580,4,-16.00000,3.56000,32,15
50337,22.32073670,87.30717140,3,-16.00000,3.33000,32,15
51340,22.32070840,87.30717410,4,-16.00000,3.31000,33,16
52350,22.32067990,87.30717490,4,-16.00000,3.29000,33,16
53345,22.32064950,87.30717530,3,-15.00000,3.69000,29,11
54391,22.32061480,87.30717670,4,-16.00000,3.72000,32,15
55391,22.32058010,87.30718000,4,-15.00000,3.97000,30,13
56406,22.32054440,87.30718480,4,-15.00000,3.97000,30,13
57443,22.32050380,87.30718930,4,-16.00000,4.46000,33,14
58487,22.32042480,87.30719520,4,-16.00000,4.09000,31,13
59509,22.32042480,87.30719520,4,-16.00000,4.09000,31,13
60511,22.32038730,87.30719930,4,-16.00000,4.09000,30,11
61547,22.32032620,87.30721090,4,-16.00000,3.07000,30,14
62588,22.32029540,87.30721940,4,-17.00000,4.03000,32,15
63605,22.32026250,87.30722670,4,-17.00000,3.69000,31,14
64641,22.32023040,87.30723520,4,-17.00000,3.69000,31,14
65647,22.32020160,87.30723920,4,-17.00000,3.76000,32,15
66641,22.32016570,87.30724440,4,-16.00000,3.85000,31,12
67644,22.32012960,87.30724730,4,-16.00000,3.39000,32,12
68637,22.32009290,87.30725050,4,-17.00000,4.11000,31,12
69644,22.32005640,87.30725240,4,-16.00000,3.78000,32,12
70641,22.32002840,87.30724300,4,-16.00000,2.92000,33,13
71640,22.32000270,87.30724110,4,-17.00000,2.92000,33,14
72646,22.31997220,87.30724790,3,-16.00000,3.37000,33,13
73643,22.31994450,87.30725570,4,-16.00000,3.05000,31,12
74688,22.31991890,87.30726020,4,-16.00000,2.46000,29,13
75737,22.31989610,87.30726390,4,-16.00000,2.46000,29,13
76735,22.31987930,87.30727570,4,-16.00000,1.99000,33,16
77737,22.31986400,87.30728680,4,-16.00000,0.28000,33,17
78736,22.31985040,87.30729600,4,-16.00000,0.94000,33,17
79737,22.31983680,87.30731560,4,-17.00000,2.46000,33,17
80738,22.31982400,87.30734930,4,-17.00000,3.32000,33,18
81790,22.31981900,87.30738980,4,-16.00000,3.73000,34,18
82789,22.31981900,87.30742880,4,-16.00000,3.35000,34,18
83838,22.31982140,87.30746570,4,-16.00000,3.49000,34,19
84843,22.31981710,87.30752870,4,-14.00000,3.09000,34,19
85838,22.31982280,87.30756930,4,-13.00000,3.32000,34,19
86848,22.31982420,87.30762450,4,-12.00000,3.81000,34,19
87838,22.31982320,87.30766400,4,-11.00000,3.97000,34,19
88838,22.31982920,87.30770840,4,-10.00000,4.09000,34,19
89886,22.31983850,87.30774220,4,-10.00000,3.90000,34,19
90895,22.31983600,87.30779110,4,-9.00000,4.17000,34,19
91903,22.31982810,87.30781590,4,-13.00000,3.42000,33,19
92946,22.31983020,87.30785540,4,-13.00000,3.47000,33,18
93937,22.31983500,87.30789610,4,-15.00000,3.60000,33,15
94952,22.31984150,87.30792650,4,-15.00000,3.60000,32,14
95952,22.31984500,87.30795770,4,-16.00000,3.23000,32,15
96940,22.31986160,87.30801090,4,-17.00000,4.18000,30,11
97937,22.31987660,87.30806470,4,-16.00000,3.38000,32,13
