time,x,y,z
33,-0.09497,0.01476,0.24297
83,-0.11932,0.02069,0.24446
134,-0.11575,0.02235,0.18530
184,-0.11906,0.02216,0.16736
233,-0.10571,0.01425,0.16185
283,-0.11215,0.01448,0.29393
342,-0.19003,0.02998,0.59117
390,-0.21539,0.03479,0.78549
432,-0.25476,0.02705,0.79913
483,-0.19676,0.02330,0.55954
535,-0.25014,0.05733,0.74405
582,-0.30672,0.02431,1.02008
634,-0.30069,0.01680,1.00212
684,-0.27632,-0.00392,0.97690
734,-0.24312,-0.00580,0.84325
784,-0.19728,-0.06447,0.81718
834,-0.13097,-0.05885,0.71451
883,-0.10606,-0.09894,0.76411
933,-0.10991,-0.17671,0.73953
984,-0.09169,-0.15907,0.71753
1035,-0.00652,-0.16211,0.62419
1085,0.03650,-0.18852,0.58118
1133,0.07571,-0.27696,0.47733
1185,0.13110,-0.29256,0.03081
1234,0.33382,-0.30280,-0.20265
1284,0.20654,-0.21828,0.02994
1342,0.11925,-0.19969,0.23370
1382,0.10803,-0.12859,0.23561
1434,0.20699,-0.18433,0.03468
1483,0.30450,-0.16833,-0.08247
1533,0.26222,-0.15016,-0.22963
1584,0.53506,-0.14984,-0.93979
1633,0.62602,-0.12616,-1.15428
1686,0.44753,-0.05324,-0.79147
1735,0.24055,-0.00548,-0.40974
1783,0.12939,0.00221,-0.13611
1836,0.14110,-0.00526,-0.17722
1884,0.08470,-0.00774,-0.22157
1936,0.13281,-0.02872,-0.32504
1984,0.13315,0.00479,-0.19505
2034,0.13527,0.00629,0.00815
2083,0.07837,-0.00391,0.33609
2136,0.08276,-0.01018,0.28838
2190,0.10690,-0.04956,-0.10872
2233,0.40956,-0.06764,-0.74509
2284,0.48228,-0.00732,-1.20207
2350,0.58139,-0.06339,-1.64032
2382,0.58823,-0.03810,-1.79469
2432,0.48006,-0.06425,-1.70602
2483,0.46037,-0.10416,-1.67502
2533,0.32692,-0.15671,-1.39291
2590,0.40562,-0.14453,-0.91243
2634,-0.00072,-0.08194,-0.29472
2683,-0.20479,-0.06670,0.12254
2734,-0.24202,-0.05264,0.21944
2786,-0.15837,-0.04088,0.19243
2834,-0.08415,-0.05101,0.19171
2886,-0.19196,-0.01633,0.39790
2934,-0.24782,0.01958,0.44002
2985,-0.10623,-0.00130,0.18008
3034,-0.00685,-0.01050,-0.07982
3086,0.08493,-0.04054,-0.43761
3136,0.13985,-0.03670,-0.69504
3183,0.14903,-0.02386,-0.78229
3233,0.03583,0.00143,-0.62126
3283,-0.06535,-0.04195,-0.38672
3337,-0.12334,-0.03627,-0.12971
3383,-0.17538,-0.01823,0.07843
3434,-0.33789,0.01181,0.55756
3483,-0.38007,0.06775,0.82642
3533,-0.32841,0.04897,0.81763
3584,-0.24623,0.07478,0.60907
3633,-0.12192,0.08104,0.31682
3685,-0.06715,0.04646,0.25116
3734,-0.13461,0.06104,0.22351
3784,0.06668,0.01830,-0.12291
3833,0.18764,-0.02443,-0.38216
3885,0.17166,-0.04002,-0.62341
3934,0.11618,-0.03127,-0.64786
3984,-0.04977,0.00127,-0.34161
4034,-0.22321,0.03705,0.18541
4087,-0.42491,0.08170,1.13200
4134,-0.55646,0.09187,2.05444
4184,-0.53656,0.13907,2.19167
4233,-0.52826,0.05333,1.70329
4285,0.43874,-0.15686,0.01683
4333,0.62874,-0.12973,-0.93530
4396,1.20006,-0.16426,-2.64281
4433,1.08463,-0.05650,-2.87212
4484,0.69713,-0.04356,-2.25003
4533,0.31970,-0.15831,-1.31158
4583,-0.04816,-0.10596,-0.23541
4634,-0.30370,0.04741,0.63307
4685,-0.42513,-0.02715,0.64067
4735,-0.00374,-0.00117,-0.55872
4785,0.40875,0.04054,-1.28439
4834,0.57367,-0.04895,-1.89459
4884,0.49463,-0.17513,-2.13217
4934,0.30858,-0.29388,-1.93860
4984,0.13908,-0.28629,-1.63081
5034,-0.04584,-0.46100,-1.10265
5087,-0.33804,-0.42249,-0.47334
5134,-0.57333,-0.28438,0.26920
5185,-0.60023,-0.08488,0.82310
5235,-1.02925,-0.01137,1.72838
5288,-0.90839,0.13335,1.74962
5336,-0.81786,0.09396,1.11708
5394,-0.37048,0.05396,0.55521
5437,-0.36670,0.05334,0.52133
5483,-0.29402,0.06935,0.58739
5533,-0.38307,0.11298,0.69516
5583,-0.35829,0.10262,0.82454
5634,-0.45670,0.07283,1.46999
5684,-0.51514,0.06635,1.76007
5733,-0.49727,0.02473,1.80336
5784,-0.26143,-0.03293,1.38736
5833,0.11716,-0.09160,0.47063
5883,0.32343,-0.18292,0.07236
5933,0.28065,-0.20483,-0.25642
5986,0.26556,-0.12509,-0.46519
6033,0.22203,-0.12979,-0.45694
6086,0.29138,-0.06255,-0.32251
6133,0.00980,-0.02408,0.30997
6184,-0.21422,0.00815,0.85732
6235,-0.32150,0.00519,1.28340
6284,-0.22847,0.02153,1.37048
6333,-0.13982,-0.11734,1.27693
6395,-0.02907,-0.11586,0.78253
6434,0.24689,-0.16309,0.19514
6483,0.55557,-0.18738,-0.51411
6533,0.51723,-0.10986,-0.72556
6584,0.43494,-0.05574,-0.85011
6636,0.32892,-0.06030,-0.68195
6686,0.13977,-0.01721,-0.33612
6734,-0.01100,-0.01744,0.04518
6785,-0.07057,0.00504,0.34425
6835,-0.11729,0.00577,0.56027
6887,0.02348,-0.04356,0.24028
6935,0.13548,-0.04048,-0.11467
6983,0.27759,-0.05496,-0.43024
7033,0.26881,-0.05310,-0.49661
7084,0.17665,-0.02579,-0.34094
7136,0.11069,0.02985,-0.27420
7183,0.08755,0.01321,-0.29428
7234,0.08176,-0.01822,-0.30957
7284,0.06653,0.01398,-0.35477
7335,0.06641,0.02652,-0.38504
7383,0.00378,-0.01476,-0.30426
7444,0.02045,-0.03912,-0.34192
7484,-0.05241,0.01695,-0.13731
7533,-0.11620,0.04854,-0.01604
7583,-0.25414,-0.01479,0.20187
7636,-0.19949,-0.10146,0.09233
7686,-0.22000,-0.00835,0.36407
7733,-0.28319,-0.00128,0.63408
7783,-0.23944,-0.00763,0.70834
7836,-0.19824,0.05051,0.74300
7885,-0.01524,0.04413,0.54538
7934,0.07651,0.03781,0.41838
7984,0.07582,-0.04253,0.36826
8033,0.14847,-0.05461,0.03191
8084,0.26970,-0.02438,-0.42982
8136,0.24879,-0.02271,-0.52798
8184,0.27469,-0.08800,-0.64584
8236,0.08813,-0.00523,-0.47906
8284,0.06230,-0.04541,-0.41609
8335,-0.20241,0.04964,0.13559
8385,-0.39581,0.04782,0.63338
8434,-0.40741,0.10335,0.97009
8490,-0.39017,0.13120,1.09187
8534,-0.23178,0.06139,1.10902
8583,-0.04831,0.04916,0.76440
8633,0.03514,-0.02322,0.33232
8685,0.36020,-0.06279,-0.38994
8735,0.43672,-0.00735,-0.90639
8783,0.34654,-0.09677,-0.96378
8835,0.18199,-0.02422,-0.85786
8884,-0.04645,0.02983,-0.32523
8933,-0.28699,-0.06876,0.41115
8983,-0.43922,0.00912,0.83034
9036,-0.35178,0.02359,1.01024
9085,-0.19028,0.06921,0.97786
9134,-0.02716,-0.05641,0.45537
9184,0.20486,0.08228,0.01538
9234,0.47646,-0.12924,-0.54488
9285,0.39142,-0.06844,-0.79028
9334,0.38725,0.06824,-1.02675
9384,0.31714,-0.03276,-0.97243
9434,0.12895,-0.01959,-0.57074
9490,-0.11394,0.04103,-0.10641
9533,-0.15945,-0.00853,0.23764
9583,-0.29529,-0.00523,0.72409
9634,-0.27654,0.06908,0.90295
9684,-0.07597,0.01723,0.73706
9733,0.03792,-0.04048,0.35744
9783,0.39362,0.04539,-0.16510
9833,0.44180,-0.08383,-0.42830
9884,0.41452,-0.05096,-0.64609
9934,0.33572,-0.04933,-0.66963
9984,0.15207,-0.08203,-0.51720
10034,-0.00531,0.03033,-0.32022
10084,-0.19133,-0.06068,0.09886
10134,-0.24506,0.08052,0.32860
10183,-0.23334,0.10149,0.44832
10236,-0.19034,0.01967,0.50784
10284,-0.05055,0.04926,0.40279
10334,0.03964,0.02832,0.28069
10386,0.00993,0.04303,0.15111
10434,0.16576,0.01013,-0.27182
10491,0.22018,-0.02899,-0.56541
10532,0.25307,-0.12311,-0.75970
10582,0.13768,-0.02698,-0.52892
10633,-0.00812,-0.06589,-0.27003
10684,-0.09262,0.01054,-0.01631
10737,-0.11511,-0.01257,0.07275
10783,-0.12172,-0.00645,0.10878
10835,-0.08095,0.00130,0.17570
10886,-0.08002,0.08649,0.26416
10934,-0.00826,-0.13533,-0.02898
10987,0.11130,0.09195,-0.30911
11034,0.15149,0.00813,-0.43253
11084,0.14668,-0.03944,-0.58290
11134,0.16299,0.02597,-0.65868
11185,0.05711,-0.07292,-0.55740
11234,-0.03123,-0.04146,-0.42429
11283,-0.14059,-0.03598,-0.13188
11334,-0.23866,-0.16135,0.30917
11384,-0.23280,-0.02762,0.57719
11433,-0.26247,-0.03941,0.78784
11483,-0.11273,0.09500,0.63341
11539,0.03754,-0.03334,0.32968
11583,0.22398,0.04539,-0.08585
11633,0.35847,0.08771,-0.50386
11687,0.35358,0.04294,-0.94064
11734,0.19316,-0.06493,-0.82813
11784,0.10063,-0.02759,-0.68747
11834,-0.10785,-0.03778,-0.16806
11883,-0.23415,0.06396,0.22095
11935,-0.31023,0.02032,0.38713
11984,-0.25204,-0.05992,0.42979
12033,-0.17596,-0.00385,0.28629
12085,-0.03773,-0.05482,0.01474
12134,0.08218,-0.08328,-0.29614
12184,0.15953,-0.00143,-0.49506
12234,0.05362,0.10666,-0.44373
12285,-0.06532,0.04378,-0.09810
12334,-0.25525,-0.03238,0.21960
12385,-0.13731,0.08748,0.22108
12436,-0.08630,0.04846,0.21704
12483,-0.06113,0.04095,0.14020
12535,0.04994,0.00371,-0.01062
12584,0.07159,0.02122,-0.03928
12633,0.05652,-0.04016,-0.12206
12683,0.13533,-0.03746,-0.30429
12736,0.11940,-0.02974,-0.30481
12785,0.13022,-0.01459,-0.32466
12835,0.09428,-0.03223,-0.26479
12884,-0.02634,-0.01567,-0.06512
12934,-0.05208,-0.02541,0.00516
12984,-0.10649,0.01341,0.21999
13033,-0.13803,0.03662,0.38702
13086,-0.09781,-0.00824,0.35547
13134,-0.10971,0.05411,0.26941
13187,0.09569,0.02899,0.04617
13236,0.15050,-0.00220,-0.19418
13284,0.12404,0.01022,-0.23395
13334,0.09056,0.07945,-0.35771
13383,0.10344,-0.01880,-0.44476
13434,-0.00343,-0.01848,-0.46077
13484,-0.10623,-0.09583,-0.20737
13533,-0.16866,-0.02129,0.01266
13588,-0.26573,0.06201,0.42421
13633,-0.33945,-0.01216,0.60991
13683,-0.25006,0.02211,0.53363
13734,-0.14497,0.04939,0.46851
13785,0.01033,-0.00990,0.09331
13833,0.11246,-0.04364,-0.30560
13885,0.24597,-0.04976,-0.68362
13934,0.12569,-0.08801,-0.60027
13985,0.08606,0.07990,-0.44807
14033,-0.07100,-0.05312,-0.21848
14084,-0.17163,0.01074,-0.04825
14134,-0.21678,0.02211,0.14006
14184,-0.25171,0.03404,0.47884
14234,-0.24652,0.01703,0.82549
14288,-0.26295,-0.07368,0.70952
14334,-0.13226,0.03151,0.61835
14384,-0.02092,-0.07057,0.36876
14435,0.14969,0.08801,0.06589
14490,0.20219,-0.11096,-0.10266
14533,0.05827,0.09732,-0.23805
14585,0.12497,0.08392,-0.35889
14633,0.16805,0.07300,-0.50137
14683,0.01784,-0.02223,-0.29794
14733,-0.24123,-0.01251,0.20702
14784,-0.27304,0.12643,0.50694
14834,-0.47836,-0.11452,1.09026
14883,-0.50673,0.07509,1.33498
14933,-0.15970,-0.04207,0.93341
14984,0.24184,-0.01529,0.27020
15035,0.42876,-0.08197,-0.20724
15085,0.49374,-0.07124,-0.51251
15137,0.39763,-0.00957,-0.65065
15184,0.37033,-0.05420,-0.73228
15233,0.23622,-0.01965,-0.75476
15284,0.08501,-0.02524,-0.53386
15334,-0.10123,-0.04236,-0.15259
15384,-0.22765,-0.02185,0.11049
15434,-0.31522,-0.02635,0.49171
15483,-0.24132,0.05472,0.67343
15534,-0.20813,-0.03619,0.70457
15590,-0.01270,0.07631,0.55981
15633,0.17403,0.06262,0.21609
15683,0.28093,-0.09186,-0.09209
15735,0.21233,0.13715,-0.19810
15785,0.20074,-0.09315,-0.34862
15835,0.19569,-0.02443,-0.43915
15885,0.05180,0.00098,-0.30443
15935,-0.05707,-0.03410,-0.07771
15986,-0.13319,0.11658,0.15312
16035,-0.14145,-0.08652,0.25554
16084,-0.23288,0.03799,0.41992
16136,-0.13023,0.04041,0.41733
16184,-0.11330,0.03320,0.43509
16233,-0.00278,-0.04507,0.21962
16285,0.11502,-0.01625,0.03714
16336,0.17003,0.04564,-0.14967
16384,0.08588,-0.04810,-0.05954
16434,0.12527,-0.00107,-0.14355
16484,0.05652,-0.06937,-0.08974
16533,0.09126,0.01518,-0.03877
16589,0.05614,-0.03258,-0.07990
16633,0.07393,-0.02606,-0.18027
16683,0.00287,-0.05270,-0.11140
16734,0.03545,0.02361,-0.05629
16784,0.00305,0.04315,-0.00044
16834,-0.03566,-0.02846,0.10028
16887,0.05603,0.04266,0.08762
16933,0.00160,0.12721,0.15132
16983,0.04741,0.01855,0.16139
17032,0.07196,-0.01811,-0.00584
17084,0.20007,-0.02167,-0.29102
17133,0.17101,-0.00316,-0.26888
17183,0.08615,-0.02983,-0.37352
17233,0.10266,-0.10669,-0.47198
17283,-0.02631,-0.03076,-0.24246
17336,-0.14874,-0.02852,-0.00983
17383,-0.23863,0.08586,0.33366
17434,-0.25641,-0.01636,0.49400
17483,-0.24632,0.01050,0.50627
17534,-0.18562,0.04572,0.45374
17592,-0.15620,0.00510,0.25375
17633,0.19887,0.07837,-0.09084
17683,0.20700,-0.04245,-0.45253
17734,0.12082,-0.04666,-0.41597
17784,0.10556,-0.00191,-0.38750
17834,-0.01768,0.02209,-0.22308
17883,-0.05496,0.05273,-0.18987
17934,-0.07574,-0.05537,-0.02629
17983,-0.13266,0.02031,0.41159
18033,-0.25253,0.04637,0.63127
18084,-0.06870,0.07268,0.31534
18133,0.17366,-0.04744,-0.02386
18185,0.32092,0.03513,-0.37448
18233,0.30917,0.01434,-0.43573
18285,0.27176,-0.10338,-0.55002
18333,0.08243,-0.06680,-0.31021
18384,-0.08856,-0.02087,-0.10428
18433,-0.12836,0.00047,0.06143
18484,-0.16357,0.01251,0.20317
18534,-0.15399,0.01816,0.35628
18600,-0.10309,-0.00127,0.33966
18633,-0.12056,0.01300,0.30692
18683,0.05547,0.04597,0.02495
18733,0.12155,0.02539,-0.15515
18784,0.15285,-0.08504,-0.34497
18833,0.09705,0.04587,-0.40746
18885,0.08374,-0.10547,-0.52011
18934,-0.06221,-0.07480,-0.31258
18983,-0.15390,0.01666,-0.08095
19035,-0.25742,-0.00258,0.18503
19087,-0.27312,0.06674,0.42744
19136,-0.23878,-0.04834,0.53120
19183,-0.16139,0.02202,0.36960
19234,-0.03052,0.02222,0.33685
19284,0.07642,-0.03531,-0.01901
19333,0.15262,0.09816,-0.19814
19385,0.28624,-0.02602,-0.55637
19435,0.23291,-0.10129,-0.59189
19486,0.14906,0.04320,-0.44505
19534,-0.03058,-0.08426,-0.26907
19589,-0.12361,0.05408,0.01852
19639,-0.25249,-0.06186,0.32988
19683,-0.31506,0.04794,0.62738
19733,-0.30142,0.04483,0.76561
19784,-0.17195,0.07976,0.58485
19837,0.05338,0.06609,0.22102
19885,0.11621,-0.03265,-0.08867
19933,0.23434,-0.01361,-0.33360
19984,0.21634,-0.02045,-0.43047
20035,0.19112,-0.02890,-0.41165
20083,0.02158,0.05856,-0.23424
20135,-0.08641,-0.00014,-0.05580
20184,-0.14726,0.00377,0.07736
20235,-0.07030,0.05464,0.05902
20284,-0.18719,-0.03690,0.31371
20334,-0.16817,-0.00288,0.37123
20385,-0.09648,0.01459,0.41362
20433,-0.03432,-0.00681,0.27385
20483,0.11900,-0.02939,-0.04398
20533,0.14752,-0.03786,-0.13411
20583,0.22256,0.03752,-0.30623
20633,0.19977,0.07225,-0.45441
20686,0.07433,-0.01038,-0.26393
20732,0.08734,-0.12212,-0.31322
20783,0.02505,-0.04036,-0.31505
20833,-0.08421,-0.05568,-0.04700
20883,-0.17137,0.02324,0.24156
20935,-0.17708,0.07965,0.41986
20983,-0.28307,-0.02383,0.63058
21033,-0.10924,0.02859,0.48746
21083,0.07896,-0.05579,0.13934
21134,0.06699,-0.00850,0.01593
21183,0.15782,-0.01033,-0.22076
21233,0.15161,-0.03052,-0.32687
21284,0.18690,0.04425,-0.45535
21334,0.06842,-0.07968,-0.29231
21384,-0.03490,-0.06061,-0.19945
21433,-0.10519,0.03104,-0.01419
21483,-0.27870,0.07744,0.46538
21533,-0.26784,0.05328,0.65930
21584,-0.18950,0.06659,0.59889
21633,-0.01236,-0.03899,0.34419
21694,0.08980,0.02992,0.12344
21734,0.16110,-0.01503,-0.06418
21783,0.26173,-0.01036,-0.42058
21833,0.20413,-0.03160,-0.54793
21887,0.13510,-0.02904,-0.56410
21935,0.07646,-0.03148,-0.44046
21985,-0.07642,-0.00655,-0.14790
22034,-0.14729,0.04388,0.03726
22085,-0.20825,0.04080,0.32704
22133,-0.20979,0.08148,0.60820
22183,-0.18649,-0.00037,0.75716
22233,-0.03552,0.03055,0.59259
22284,0.15056,0.00407,0.28741
22333,0.29422,0.02727,-0.14182
22383,0.26627,-0.04308,-0.34276
22434,0.37332,-0.08206,-0.62692
22483,0.29584,0.02449,-0.73839
22535,0.14203,0.02202,-0.63881
22587,0.05420,-0.04674,-0.48524
22634,-0.15594,-0.05597,-0.13924
22696,-0.32733,0.04048,0.37642
22732,-0.45485,0.03984,0.69017
22783,-0.39946,0.04994,0.88423
22833,-0.23428,0.07994,0.68936
22883,-0.10550,0.08353,0.37523
22934,0.31126,-0.01501,-0.14488
22983,0.41780,-0.07925,-0.57278
23034,0.38728,0.00992,-0.65628
23085,0.30209,-0.17017,-0.71550
23134,0.15364,-0.17050,-0.60027
23184,0.02174,-0.07324,-0.45633
23234,-0.09392,-0.04787,-0.14629
23285,-0.22600,-0.00851,0.11699
23336,-0.25697,0.02254,0.31427
23384,-0.29927,0.13451,0.53647
23434,-0.27962,0.14139,0.67601
23483,-0.09160,0.07220,0.44955
