time,lx
34,2696.00000
83,2696.00000
134,2753.00000
185,2753.00000
233,2753.00000
283,2753.00000
342,2823.00000
390,2823.00000
432,2823.00000
483,2823.00000
535,3011.00000
582,3011.00000
634,3011.00000
684,3011.00000
734,3240.00000
784,3240.00000
834,3240.00000
883,3240.00000
933,3238.00000
984,3238.00000
1035,3238.00000
1085,3238.00000
1133,3068.00000
1185,3068.00000
1234,3068.00000
1284,3068.00000
1342,2957.00000
1382,2957.00000
1434,2957.00000
1483,2957.00000
1533,2957.00000
1584,2934.00000
1633,2934.00000
1687,2934.00000
1735,2934.00000
1783,2906.00000
1836,2906.00000
1884,2906.00000
1936,2906.00000
1985,2813.00000
2034,2813.00000
2083,2813.00000
2136,2813.00000
2194,2754.00000
2233,2754.00000
2284,2754.00000
2350,2754.00000
2382,2704.00000
2432,2704.00000
2483,2704.00000
2533,2704.00000
2590,2161.00000
2634,2161.00000
2684,2161.00000
2734,2161.00000
2786,1762.00000
2834,1762.00000
2886,1762.00000
2934,1762.00000
2985,1850.00000
3034,1850.00000
3086,1850.00000
3136,1850.00000
3183,1950.00000
3233,1950.00000
3283,1950.00000
3337,1950.00000
3383,1792.00000
3434,1792.00000
3483,1792.00000
3533,1792.00000
3584,1864.00000
3633,1864.00000
3685,1864.00000
3734,1864.00000
3784,2138.00000
3833,2138.00000
3885,2138.00000
3934,2138.00000
3985,2091.00000
4035,2091.00000
4087,2091.00000
4134,2091.00000
4184,2041.00000
4233,2041.00000
4286,2041.00000
4333,2041.00000
4396,2592.00000
4433,2592.00000
4484,2592.00000
4533,2592.00000
4583,1622.00000
4634,1622.00000
4685,1622.00000
4736,1622.00000
4785,1533.00000
4834,1533.00000
4884,1533.00000
4934,1533.00000
4984,1423.00000
5034,1423.00000
5087,1423.00000
5134,1423.00000
5185,1448.00000
5235,1448.00000
5288,1448.00000
5336,1448.00000
5394,1514.00000
5437,1514.00000
5483,1514.00000
5533,1514.00000
5583,1593.00000
5634,1593.00000
5684,1593.00000
5733,1593.00000
5784,1689.00000
5833,1689.00000
5884,1689.00000
5933,1689.00000
5986,2016.00000
6033,2016.00000
6086,2016.00000
6134,2016.00000
6184,1779.00000
6235,1779.00000
6284,1779.00000
6333,1779.00000
6395,1726.00000
6434,1726.00000
6483,1726.00000
6533,1726.00000
6585,1730.00000
6636,1730.00000
6686,1730.00000
6734,1730.00000
6785,1385.00000
6836,1385.00000
6888,1385.00000
6936,1385.00000
6983,1292.00000
7033,1292.00000
7085,1292.00000
7136,1292.00000
7183,1120.00000
7234,1120.00000
7285,1120.00000
7335,1120.00000
7383,977.00000
7444,977.00000
7484,977.00000
7533,977.00000
7583,820.00000
7636,820.00000
7686,820.00000
7733,820.00000
7783,800.00000
7836,800.00000
7885,800.00000
7934,800.00000
7984,977.00000
8033,977.00000
8084,977.00000
8136,977.00000
8184,965.00000
8236,965.00000
8284,965.00000
8335,965.00000
8385,924.00000
8434,924.00000
8490,924.00000
8534,924.00000
8583,1251.00000
8633,1251.00000
8685,1251.00000
8735,1251.00000
8783,1412.00000
8835,1412.00000
8885,1412.00000
8933,1412.00000
8983,1352.00000
9036,1352.00000
9085,1352.00000
9134,1352.00000
9184,1527.00000
9234,1527.00000
9285,1527.00000
9334,1527.00000
9384,1783.00000
9434,1783.00000
9490,1783.00000
9533,1783.00000
9583,1592.00000
9634,1592.00000
9684,1592.00000
9734,1592.00000
9783,1761.00000
9833,1761.00000
9884,1761.00000
9935,1761.00000
9984,1821.00000
10034,1821.00000
10084,1821.00000
10134,1821.00000
10183,1786.00000
10236,1786.00000
10284,1786.00000
10335,1786.00000
10386,2003.00000
10434,2003.00000
10491,2003.00000
10532,2003.00000
10582,2059.00000
10633,2059.00000
10684,2059.00000
10737,2059.00000
10783,1927.00000
10835,1927.00000
10886,1927.00000
10935,1927.00000
10987,1875.00000
11034,1875.00000
11084,1875.00000
11135,1875.00000
11185,1698.00000
11234,1698.00000
11283,1698.00000
11334,1698.00000
11384,1423.00000
11433,1423.00000
11483,1423.00000
11539,1423.00000
11583,1394.00000
11633,1394.00000
11687,1394.00000
11734,1394.00000
11785,1127.00000
11834,1127.00000
11883,1127.00000
11935,1127.00000
11984,928.00000
12033,928.00000
12085,928.00000
12134,928.00000
12184,950.00000
12235,950.00000
12285,950.00000
12334,950.00000
12385,966.00000
12436,966.00000
12483,966.00000
12535,966.00000
12584,997.00000
12633,997.00000
12683,997.00000
12736,997.00000
12785,1070.00000
12835,1070.00000
12884,1070.00000
12934,1070.00000
12984,1188.00000
13034,1188.00000
13086,1188.00000
13134,1188.00000
13187,1315.00000
13236,1315.00000
13284,1315.00000
13334,1315.00000
13383,1443.00000
13434,1443.00000
13484,1443.00000
13533,1443.00000
13588,1572.00000
13633,1572.00000
13683,1572.00000
13734,1572.00000
13785,1587.00000
13833,1587.00000
13887,1587.00000
13935,1587.00000
13985,1557.00000
14033,1557.00000
14084,1557.00000
14135,1557.00000
14184,1632.00000
14234,1632.00000
14288,1632.00000
14334,1632.00000
14385,1546.00000
14435,1546.00000
14490,1546.00000
14533,1546.00000
14585,1460.00000
14633,1460.00000
14683,1460.00000
14733,1460.00000
14784,1482.00000
14834,1482.00000
14883,1482.00000
14933,1482.00000
14984,1325.00000
15036,1325.00000
15085,1325.00000
15137,1325.00000
15184,1265.00000
15233,1265.00000
15284,1265.00000
15334,1265.00000
15384,1251.00000
15434,1251.00000
15483,1251.00000
15534,1251.00000
15590,1145.00000
15633,1145.00000
15683,1145.00000
15735,1145.00000
15785,988.00000
15836,988.00000
15885,988.00000
15935,988.00000
15986,782.00000
16035,782.00000
16084,782.00000
16136,782.00000
16184,707.00000
16233,707.00000
16285,707.00000
16336,707.00000
16384,647.00000
16434,647.00000
16484,647.00000
16533,647.00000
16589,567.00000
16633,567.00000
16683,567.00000
16734,567.00000
16784,534.00000
16834,534.00000
16888,534.00000
16933,534.00000
16983,507.00000
17032,507.00000
17084,507.00000
17133,507.00000
17183,502.00000
17233,502.00000
17283,502.00000
17336,502.00000
17383,485.00000
17435,485.00000
17483,485.00000
17535,485.00000
17592,525.00000
17633,525.00000
17683,525.00000
17734,525.00000
17784,579.00000
17834,579.00000
17883,579.00000
17934,579.00000
17984,626.00000
18033,626.00000
18084,626.00000
18134,626.00000
18185,642.00000
18233,642.00000
18285,642.00000
18333,642.00000
18384,678.00000
18433,678.00000
18484,678.00000
18534,678.00000
18600,773.00000
18633,773.00000
18683,773.00000
18733,773.00000
18784,926.00000
18833,926.00000
18885,926.00000
18934,926.00000
18983,1240.00000
19035,1240.00000
19087,1240.00000
19136,1240.00000
19183,1630.00000
19234,1630.00000
19284,1630.00000
19333,1630.00000
19385,1932.00000
19435,1932.00000
19486,1932.00000
19534,1932.00000
19589,2374.00000
19639,2374.00000
19683,2374.00000
19733,2374.00000
19784,2498.00000
19837,2498.00000
19885,2498.00000
19933,2498.00000
19984,2614.00000
20035,2614.00000
20083,2614.00000
20135,2614.00000
20184,2745.00000
20235,2745.00000
20284,2745.00000
20334,2745.00000
20385,2871.00000
20433,2871.00000
20483,2871.00000
20533,2871.00000
