time,x,y,z
33,37.29095,-29.45862,-35.49194
83,36.95526,-29.28009,-34.09576
134,37.87689,-30.18951,-34.27124
184,37.99133,-29.89502,-33.97522
233,37.11090,-29.47693,-34.64661
283,36.44562,-29.06952,-35.69946
342,34.79156,-28.77960,-37.01019
390,34.31854,-28.87421,-36.88354
432,32.81860,-28.51868,-36.77216
483,31.95343,-28.57819,-36.66992
535,32.09534,-28.81012,-35.45837
582,30.31158,-28.18909,-36.50665
634,30.07050,-28.00140,-36.45935
684,28.87573,-28.11432,-36.24268
734,26.91498,-27.28271,-36.36932
784,25.77209,-26.85547,-36.65466
834,25.00610,-26.64337,-37.13379
883,23.55804,-26.09253,-37.59460
933,22.12372,-25.90332,-37.29095
984,21.21735,-25.58441,-37.02850
1035,20.10956,-25.22583,-36.84845
1084,19.21844,-24.76349,-37.01324
1133,17.75513,-24.51172,-37.08344
1184,17.39655,-24.39117,-36.00616
1234,16.79688,-24.62158,-35.62927
1284,16.01715,-25.33112,-34.51538
1341,15.65857,-25.70953,-34.18884
1382,15.00397,-25.31281,-34.45587
1433,13.15765,-24.48883,-35.65369
1483,14.71252,-25.24414,-33.79517
1533,14.28223,-26.07574,-31.90613
1583,15.71960,-26.23138,-31.51703
1633,17.08221,-28.02734,-30.49927
1686,19.00482,-29.60663,-29.06799
1735,19.64111,-30.10254,-29.07104
1783,19.78302,-30.44586,-28.54614
1836,20.07294,-30.67169,-28.59344
1884,19.98901,-30.95398,-28.47595
1936,20.74127,-31.19354,-28.17993
1984,20.94421,-31.15845,-28.05634
2034,21.29364,-31.35071,-28.61938
2083,21.02203,-31.56433,-28.40271
2135,20.23010,-31.45142,-27.94647
2190,20.07294,-31.37054,-27.43378
2233,20.04242,-31.42395,-27.19727
2284,22.12219,-32.73926,-26.21002
2350,23.47565,-33.17719,-25.70343
2382,26.56403,-34.14764,-26.74561
2432,27.66418,-34.34906,-26.33362
2483,32.12280,-35.17151,-23.25439
2533,36.41510,-35.69641,-23.01025
2588,37.75635,-35.54688,-22.54639
2634,39.04877,-35.31799,-22.73102
2683,39.30359,-35.47821,-22.59674
2733,39.16016,-35.05554,-23.12775
2786,38.39569,-35.07538,-23.63586
2834,37.75482,-35.03876,-23.78540
2885,37.95166,-34.92279,-23.71216
2934,36.70197,-34.79309,-24.85046
2984,36.19080,-34.97620,-24.57581
3034,35.67963,-34.84497,-24.92523
3085,36.32965,-35.00671,-24.67499
3135,37.10022,-34.52606,-24.66125
3183,38.30872,-34.65881,-24.07684
3233,39.44397,-34.49860,-24.43237
3283,41.10260,-34.47571,-24.94965
3337,40.90271,-34.01337,-24.92523
3383,40.52277,-33.59680,-26.04218
3434,38.66882,-33.26874,-26.78833
3483,38.96027,-33.49762,-26.18713
3533,38.09052,-33.97827,-26.24054
3584,37.32605,-34.03625,-26.74561
3633,35.82001,-33.90350,-27.40631
3685,35.85815,-33.74329,-26.86462
3733,35.18829,-33.83331,-28.06854
3783,34.79614,-33.83789,-27.48871
3833,35.23865,-33.79822,-27.37885
3884,35.98022,-33.75854,-27.19421
3934,37.69836,-33.70972,-26.88446
3984,38.00812,-33.48541,-27.24304
4034,38.87024,-33.26874,-27.35596
4087,38.13477,-33.58307,-27.52075
4134,34.62219,-32.88727,-28.98102
4184,32.09534,-33.04138,-29.09698
4233,28.49731,-32.43713,-29.75769
4285,26.43433,-31.68335,-29.31824
4333,26.39618,-32.00378,-28.59955
4395,30.64880,-33.39386,-26.44043
4433,34.32922,-34.02252,-25.96741
4483,37.85248,-32.98492,-25.97198
4533,44.07806,-33.17261,-23.78540
4583,46.17004,-32.91016,-23.64960
4634,45.78094,-33.49762,-23.12317
4685,44.79675,-33.22906,-23.91663
4735,43.73169,-33.20770,-24.54834
4785,45.87097,-32.64008,-23.69843
4834,47.44720,-32.13348,-23.27271
4884,51.28174,-30.64880,-22.26257
4934,55.55420,-28.07312,-22.32971
4983,57.29065,-26.72272,-22.85309
5034,59.12628,-24.67651,-23.84644
5087,59.83124,-23.71826,-24.60480
5134,59.98840,-23.71826,-25.77057
5184,59.60846,-23.80219,-26.99280
5234,57.27234,-24.56207,-28.55835
5285,54.49829,-26.17645,-29.66766
5336,53.04108,-26.69678,-30.46875
5394,51.52130,-26.70898,-30.70221
5436,51.19476,-26.95465,-31.22101
5483,48.29407,-26.69525,-33.00934
5533,49.41711,-27.14386,-32.99866
5583,47.97974,-27.68097,-33.52356
5634,46.70410,-27.84729,-33.11157
5684,44.49615,-28.47900,-33.58307
5733,40.70740,-28.17993,-36.24878
5784,39.29291,-29.43878,-34.64050
5833,36.72333,-29.01764,-35.21118
5883,36.83472,-29.60968,-34.48181
5933,36.70349,-29.97284,-33.70819
5985,36.88812,-29.96521,-33.16345
6033,37.13837,-30.58777,-32.53326
6084,37.99286,-30.94482,-32.18842
6133,38.01270,-31.07758,-31.94885
6184,37.14142,-31.08978,-32.58972
6235,35.42938,-31.49261,-32.87659
6284,32.95135,-31.37665,-32.92236
6333,30.61676,-31.17981,-32.98187
6394,28.53088,-31.21490,-32.99408
6434,27.36053,-30.95703,-33.68225
6483,26.23138,-30.46112,-34.43756
6533,28.14484,-32.35016,-31.22406
6584,29.47845,-32.80945,-30.99365
6636,30.97839,-33.24890,-29.80194
6685,32.44019,-33.73260,-29.16107
6734,32.47681,-33.83789,-29.34113
6784,32.42645,-33.56781,-29.31061
6835,31.35529,-33.65936,-29.37927
6887,30.68542,-33.75549,-29.28619
6935,30.37720,-33.67157,-28.85742
6983,30.12238,-33.85773,-29.06036
7033,31.75659,-34.09119,-28.63159
7084,32.61719,-34.22241,-28.16467
7136,32.69958,-34.25446,-27.05688
7183,32.84149,-34.74884,-27.21558
7234,33.80127,-34.64661,-27.32697
7284,35.30884,-34.54742,-27.23846
7334,34.90448,-34.26971,-27.41852
7383,35.15015,-34.34906,-26.73340
7444,35.50262,-34.35059,-27.21710
7484,36.32050,-34.21326,-27.92358
7533,36.09619,-33.84094,-28.90778
7583,36.54022,-33.84399,-28.14789
7635,37.35046,-34.66644,-27.86102
7685,36.62262,-33.79059,-28.34167
7732,34.49554,-33.20770,-30.10712
7783,34.61914,-33.53882,-29.16565
7835,33.10852,-33.05817,-29.15649
7884,31.37970,-33.48694,-29.02222
7934,30.85938,-33.27026,-30.11780
7984,30.84564,-33.30078,-29.65240
8033,29.87061,-33.85468,-29.18396
8084,29.66766,-33.89130,-28.66058
8135,30.27344,-33.70972,-28.29285
8183,31.68640,-34.38721,-27.68097
8236,31.92902,-34.11407,-27.62299
8284,33.93097,-34.24530,-27.45514
8335,33.35114,-33.83026,-28.00446
8385,33.31299,-33.98895,-29.19464
8434,30.79529,-33.29315,-30.99213
8490,29.79431,-32.70416,-31.94580
8533,26.75476,-31.91833,-32.23724
8583,24.69482,-31.66504,-32.50275
8633,26.05591,-32.73773,-29.40674
8685,25.87433,-33.02460,-28.63464
8735,27.05688,-33.55865,-28.48206
8783,27.97546,-33.85315,-27.91443
8835,28.95355,-33.99963,-27.17590
8884,30.58472,-34.10645,-28.09906
8933,30.54199,-34.22852,-28.04108
8983,29.74854,-34.14612,-28.92456
9036,28.47900,-33.62274,-28.93219
9085,26.72272,-33.13904,-29.64935
9134,25.43945,-32.75452,-30.52521
9184,24.69025,-32.75452,-29.50897
9234,25.38300,-33.25806,-28.77350
9285,26.07574,-33.64563,-28.00140
9334,26.90735,-33.87146,-27.29340
9384,28.61481,-34.42841,-27.26440
9434,30.96466,-34.60388,-26.32751
9490,30.65491,-34.59015,-27.23541
9533,29.93774,-34.18121,-28.33252
9583,29.84619,-34.03015,-28.89252
9633,29.82025,-34.36127,-27.98920
9684,27.59094,-33.39996,-27.78473
9733,26.25732,-33.55560,-28.15704
9783,25.01221,-33.93707,-28.00903
9833,26.22833,-34.23004,-27.36664
9884,27.64130,-34.90753,-26.75476
9934,28.11279,-35.12573,-25.65765
9984,30.06592,-35.71930,-25.59357
10034,30.66711,-35.61096,-25.31281
10084,30.44128,-35.12421,-25.65765
10134,30.34363,-34.93347,-25.61951
10183,30.22461,-35.14709,-25.96741
10235,28.53394,-34.40857,-26.38092
10284,28.39508,-34.87701,-27.03400
10334,28.10059,-34.60846,-27.03552
10385,26.76697,-34.11255,-26.62048
10434,27.32086,-34.62219,-26.43280
10491,27.65503,-34.91974,-26.57013
10532,27.20642,-34.64050,-27.99835
10582,28.85437,-34.88464,-27.38495
10633,30.63354,-35.27679,-25.05646
10684,31.26984,-35.38361,-25.64240
10737,30.14221,-34.85413,-25.70496
10783,29.96216,-34.78851,-26.16119
10835,30.18799,-35.04181,-25.78735
10885,29.77600,-34.95178,-26.09253
10934,30.07050,-34.83429,-26.02539
10987,29.99420,-35.24017,-25.80719
11034,30.99670,-35.21118,-25.36011
11084,31.74133,-35.21423,-25.12665
11134,32.27539,-35.01282,-25.08087
11185,34.05914,-35.35614,-25.30060
11234,34.43604,-35.11047,-25.38757
11283,35.24323,-34.92737,-25.58746
11334,34.73053,-34.45129,-25.86823
11384,33.93860,-35.02808,-26.19629
11433,32.55920,-34.45282,-27.03400
11483,31.52924,-34.30328,-27.81677
11539,30.08881,-34.53369,-27.66876
11583,29.69055,-34.30328,-27.10571
11633,30.42297,-34.68170,-26.47400
11687,32.13806,-34.82513,-25.59509
11733,33.31604,-35.27985,-25.49438
11784,35.34088,-35.19897,-24.97253
11834,35.11505,-34.94568,-25.34637
11883,35.69489,-34.93347,-25.38300
11935,35.19135,-35.03723,-26.31683
11984,34.60388,-34.77020,-26.99432
12033,33.69598,-34.56726,-26.77002
12084,33.63647,-34.36584,-26.87378
12134,33.36639,-34.31091,-26.58386
12184,34.88617,-34.64661,-26.41907
12234,35.34393,-34.42535,-26.09100
12284,35.89020,-34.15527,-26.51367
12334,35.34393,-34.22699,-27.35596
12384,34.79004,-33.91113,-27.57568
12436,34.96094,-33.96454,-27.90680
12483,34.58099,-34.28650,-27.86102
12535,33.41370,-33.48846,-29.05121
12584,32.59430,-33.00018,-30.19409
12633,33.35724,-33.79669,-27.91595
12683,34.87396,-34.13239,-27.14844
12735,35.30121,-34.15833,-26.61743
12785,35.59265,-34.42688,-26.01318
12834,36.25793,-34.05151,-27.42157
12884,36.77979,-34.26514,-26.97601
12934,36.41357,-33.70972,-27.22473
12984,36.02448,-33.71582,-27.24609
13033,36.55701,-34.35822,-28.01971
13085,35.81543,-34.32312,-27.56195
13134,34.39941,-33.98895,-28.28827
13187,34.06830,-33.69446,-28.10364
13235,33.72498,-33.54187,-28.14026
