time,available,total
345,3129262080,6018187264
1346,3125178368,6018187264
2351,3123482624,6018187264
3338,3121438720,6018187264
4397,3118456832,6018187264
5395,3116859392,6018187264
6395,3138854912,6018187264
7449,3137568768,6018187264
8491,3135873024,6018187264
9491,3132895232,6018187264
10493,3129802752,6018187264
11540,3127988224,6018187264
12536,3125764096,6018187264
13590,3123691520,6018187264
14587,3133423616,6018187264
15591,3139928064,6018187264
16593,3138617344,6018187264
17593,3136704512,6018187264
18604,3151220736,6018187264
19641,3149561856,6018187264
20686,3146084352,6018187264
21698,3144335360,6018187264
22700,3141599232,6018187264
23743,3139952640,6018187264
24740,3137470464,6018187264
25740,3143888896,6018187264
26746,3142123520,6018187264
27800,3140173824,6018187264
28838,3137744896,6018187264
29893,3135741952,6018187264
30936,3134525440,6018187264
31941,3143376896,6018187264
32939,3140804608,6018187264
33942,3138727936,6018187264
34947,3142983680,6018187264
36004,3141124096,6018187264
36991,3142180864,6018187264
38039,3140407296,6018187264
39049,3138740224,6018187264
40049,3136589824,6018187264
41093,3135365120,6018187264
42139,3133046784,6018187264
43140,3126882304,6018187264
44189,3125866496,6018187264
45194,3131392000,6018187264
46244,3129585664,6018187264
47237,3128729600,6018187264
48241,3125772288,6018187264
49300,3124330496,6018187264
50337,3121631232,6018187264
51340,3119538176,6018187264
52350,3118481408,6018187264
53346,3138981888,6018187264
54391,3145748480,6018187264
55391,3143532544,6018187264
56407,3142000640,6018187264
57443,3143024640,6018187264
58488,3141558272,6018187264
59510,3140145152,6018187264
60512,3138416640,6018187264
61548,3136815104,6018187264
62588,3134783488,6018187264
63607,3141185536,6018187264
64645,3140489216,6018187264
65648,3137998848,6018187264
66643,3136970752,6018187264
67646,3136000000,6018187264
68638,3135270912,6018187264
69652,3132780544,6018187264
70642,3130441728,6018187264
71641,3127320576,6018187264
72647,3134914560,6018187264
73644,3133509632,6018187264
74689,3131801600,6018187264
75737,3132497920,6018187264
76735,3125006336,6018187264
77737,3121098752,6018187264
78737,3115814912,6018187264
79737,3114446848,6018187264
80739,3132682240,6018187264
81792,3131842560,6018187264
82790,3138228224,6018187264
83838,3137228800,6018187264
84843,3135725568,6018187264
85838,3134144512,6018187264
86848,3134033920,6018187264
87839,3133165568,6018187264
88838,3132436480,6018187264
89887,3130171392,6018187264
90897,3129163776,6018187264
91909,3133079552,6018187264
92948,3131232256,6018187264
93938,3129524224,6018187264
94955,3128082432,6018187264
95953,3125702656,6018187264
96942,3123974144,6018187264
97937,3122290688,6018187264
98946,3118768128,6018187264
99944,3116081152,6018187264
100993,3114795008,6018187264
101986,3120427008,6018187264
102986,3114618880,6018187264
103991,3109371904,6018187264
105045,3107680256,6018187264
106089,3103154176,6018187264
107099,3099713536,6018187264
108085,3108810752,6018187264
109090,3110158336,6018187264
110087,3120750592,6018187264
111139,3120594944,6018187264
112147,3119087616,6018187264
113142,3120975872,6018187264
114165,3120128000,6018187264
115139,3118088192,6018187264
116138,3116883968,6018187264
117148,3114688512,6018187264
118156,3112943616,6018187264
119141,3108315136,6018187264
120149,3114672128,6018187264
121146,3113648128,6018187264
122151,3107405824,6018187264
123157,3055947776,6018187264
124148,3053862912,6018187264
125159,3061424128,6018187264
126187,3060301824,6018187264
127271,3058888704,6018187264
128307,3049857024,6018187264
129346,3087839232,6018187264
130395,3112886272,6018187264
131441,3120918528,6018187264
132475,3119415296,6018187264
133473,3118305280,6018187264
134470,3117334528,6018187264
135488,3116113920,6018187264
136495,3113746432,6018187264
137487,3112812544,6018187264
138493,3110084608,6018187264
139540,3108257792,6018187264
140538,3119149056,6018187264
141547,3118665728,6018187264
142614,3117821952,6018187264
143606,3116421120,6018187264
144652,3115634688,6018187264
145667,3117727744,6018187264
146660,3116728320,6018187264
147707,3116027904,6018187264
148699,3115393024,6018187264
149697,3115233280,6018187264
150704,3114614784,6018187264
151700,3114024960,6018187264
152749,3122262016,6018187264
153755,3120287744,6018187264
154750,3120369664,6018187264
155807,3119353856,6018187264
156810,3119443968,6018187264
157787,3119345664,6018187264
158789,3104702464,6018187264
159799,3070640128,6018187264
