time,total received,total sent,mobile received,mobile sent
345,8748158,1597371,0,0
1346,8749198,1598602,0,0
2352,8749718,1599502,0,0
3338,8750158,1600042,0,0
4397,8750638,1600762,0,0
5396,8750798,1601078,0,0
6395,8750958,1601318,0,0
7449,8751278,1601798,0,0
8493,8751278,1601798,0,0
9491,8751438,1602038,0,0
10494,8751918,1602834,0,0
11540,8752238,1603314,0,0
12536,8752558,1603850,0,0
13590,8752598,1603910,0,0
14587,8752878,1604330,0,0
15591,8752878,1604406,0,0
16593,8753038,1604646,0,0
17593,8753198,1604886,0,0
18604,8753474,1605415,0,0
19641,8757156,1607089,0,0
20686,8758200,1607637,0,0
21698,8758360,1607877,0,0
22700,8759603,1609521,0,0
23743,8759603,1609521,0,0
24740,8759763,1609761,0,0
25740,8759763,1609761,0,0
26747,8760262,1610322,0,0
27801,8760742,1611042,0,0
28838,8761094,1611522,0,0
29893,8761094,1611522,0,0
30936,8761094,1611522,0,0
31941,8761509,1612082,0,0
32939,8762273,1612510,0,0
33942,8762600,1612890,0,0
34947,8763080,1613550,0,0
36008,8763372,1614070,0,0
36991,8764092,1615030,0,0
38039,8764632,1615750,0,0
39049,8764672,1615750,0,0
40049,8764784,1616074,0,0
41093,8765124,1616554,0,0
42139,8765484,1616974,0,0
43140,8765484,1617107,0,0
44189,8765636,1617547,0,0
45194,8765636,1617607,0,0
46244,8765636,1621309,0,0
47237,8765688,1623149,0,0
48241,8765688,1629029,0,0
49300,8765728,1630829,0,0
50337,8765728,1632749,0,0
51340,8765728,1632869,0,0
52350,8765728,1634549,0,0
53347,8765728,1638407,0,0
54391,8765728,1640027,0,0
55391,8765728,1641827,0,0
56407,8765728,1642330,0,0
57443,8765728,1642510,0,0
58488,8765728,1642823,0,0
59510,8765728,1642883,0,0
60512,8765728,1643128,0,0
61548,8765728,1643488,0,0
62588,8765728,1643848,0,0
63608,8765728,1644221,0,0
64645,8765728,1644461,0,0
65648,8765728,1644706,0,0
66643,8765728,1644826,0,0
67646,8765728,1645066,0,0
68638,8765728,1645199,0,0
69652,8765728,1645319,0,0
70642,8765728,1646849,13624,93013
71641,8765728,1647749,13624,93913
72647,8765728,1647809,13624,93973
73644,8765728,1648834,13624,94998
74689,8772522,1649050,13624,94998
75737,8786069,1649872,13624,95688
76735,8793225,1650283,13624,95776
77738,8799444,1652733,13624,96741
78737,8805293,1655099,0,0
79737,8812028,1656458,0,0
80739,8819461,1658547,0,0
81792,8825825,1659087,0,0
82790,8837784,1661632,0,0
83838,8845238,1662232,0,0
84843,8854503,1662532,0,0
85838,8874224,1665730,0,0
86848,8878008,1665906,0,0
87839,8882290,1665966,0,0
88839,8883581,1666086,0,0
89887,8889876,1666929,0,0
90897,8892888,1667231,0,0
91909,8892888,1667351,0,0
92948,8893043,1667992,0,0
93938,8894602,1668172,0,0
94956,8894602,1668232,0,0
95953,8894905,1668472,0,0
96942,8894955,1668832,0,0
97937,8896915,1669385,0,0
98946,8897080,1669565,0,0
99944,8897080,1669932,13624,96926
100993,8897080,1670232,13624,96926
101986,8897080,1670348,13624,96926
102986,8897080,1671075,13624,97411
103991,8897080,1671923,13624,98259
105045,8897080,1672528,13624,98864
106089,8897080,1673188,13624,99524
107099,8897080,1673644,13624,99764
108085,8897408,1674234,13624,100146
109090,8897408,1674474,13624,100521
110087,8913939,1683449,0,0
111139,8917973,1688910,0,0
112147,8918293,1689446,0,0
113142,8918533,1689806,0,0
114168,8918533,1689806,0,0
115139,8918653,1689986,0,0
116138,8918653,1689986,0,0
117148,8918813,1690226,0,0
118156,8918933,1690406,0,0
119141,8920133,1691795,0,0
120149,8920409,1692486,0,0
121147,8921021,1693078,0,0
122151,8921061,1693138,0,0
123157,8921181,1693318,0,0
124148,8921661,1694038,0,0
125160,8921853,1694278,0,0
126187,8921853,1694278,0,0
127271,8922213,1694758,0,0
128307,8922213,1694758,0,0
129346,8922361,1694938,0,0
130396,8922801,1696018,0,0
131442,8923829,1697338,0,0
132476,8924257,1698058,0,0
133473,8925532,1699751,0,0
134470,8925692,1700167,0,0
135488,8926172,1701127,0,0
136495,8926969,1702454,0,0
137487,8927871,1705894,0,0
138493,8929623,1707431,0,0
139540,8930063,1708211,0,0
140538,8930703,1709231,0,0
141547,8930903,1709531,0,0
142614,8931223,1710251,0,0
143607,8931703,1710971,0,0
144652,8932063,1711571,0,0
145667,8932063,1711691,0,0
146660,8932103,1711991,0,0
147707,8932103,1712411,0,0
148699,8932103,1712711,0,0
149697,8932103,1713131,0,0
150704,8932103,1713431,0,0
151700,8932103,1713671,0,0
152749,8932103,1713731,0,0
153755,8932103,1714331,0,0
154750,8932103,1714631,0,0
155807,8932103,1714691,0,0
156810,8932103,1715171,0,0
157787,8932103,1715591,0,0
158789,8932103,1716392,13624,101340
159799,8941130,1717464,14418,102196
