time,distance
34,5.00031
83,5.00031
134,5.00031
185,5.00031
233,5.00031
283,5.00031
342,5.00031
390,5.00031
432,5.00031
483,5.00031
535,5.00031
582,5.00031
634,5.00031
684,5.00031
734,5.00031
784,5.00031
834,5.00031
883,5.00031
933,5.00031
984,5.00031
1035,5.00031
1085,5.00031
1133,5.00031
1185,5.00031
1234,5.00031
1285,5.00031
1342,5.00031
1382,5.00031
1434,5.00031
1483,5.00031
1533,5.00031
1584,5.00031
1633,5.00031
1687,5.00031
1735,5.00031
1783,5.00031
1836,5.00031
1885,5.00031
1936,5.00031
1985,5.00031
2034,5.00031
2084,5.00031
2136,5.00031
2194,5.00031
2233,5.00031
2284,5.00031
2350,5.00031
2382,5.00031
2432,5.00031
2483,5.00031
2533,5.00031
2590,5.00031
2634,5.00031
2684,5.00031
2734,5.00031
2786,5.00031
2834,5.00031
2886,5.00031
2934,5.00031
2985,5.00031
3034,5.00031
3086,5.00031
3136,5.00031
3183,5.00031
3233,5.00031
3283,5.00031
3338,5.00031
3383,5.00031
3434,5.00031
3483,5.00031
3533,5.00031
3584,5.00031
3633,5.00031
3686,5.00031
3734,5.00031
3784,5.00031
3833,5.00031
3885,5.00031
3934,5.00031
3985,5.00031
4035,5.00031
4087,5.00031
4134,5.00031
4184,5.00031
4233,5.00031
4286,5.00031
4333,5.00031
4396,5.00031
4433,5.00031
4484,5.00031
4533,5.00031
4583,5.00031
4634,5.00031
4685,5.00031
4736,5.00031
4785,5.00031
4834,5.00031
4884,5.00031
4934,5.00031
4984,5.00031
5034,5.00031
5087,5.00031
5134,5.00031
5185,5.00031
5235,5.00031
5288,5.00031
5336,5.00031
5394,5.00031
5437,5.00031
5483,5.00031
5533,5.00031
5583,5.00031
5634,5.00031
5684,5.00031
5733,5.00031
5784,5.00031
5833,5.00031
5884,5.00031
5933,5.00031
5986,5.00031
6033,5.00031
6086,5.00031
6134,5.00031
6184,5.00031
6235,5.00031
6285,5.00031
6333,5.00031
6395,5.00031
6434,5.00031
6483,5.00031
6533,5.00031
6585,5.00031
6637,5.00031
6686,5.00031
6734,5.00031
