time,strength,level,source
344,99,2,gsm
2351,99,2,gsm
4396,99,2,gsm
7447,99,2,gsm
10493,99,2,gsm
13589,99,2,gsm
16592,99,2,gsm
18601,99,2,gsm
19641,99,2,gsm
22700,99,3,gsm
25739,99,3,gsm
28837,99,3,gsm
31941,99,2,gsm
34947,99,3,gsm
38039,99,2,gsm
41092,99,3,gsm
44189,99,2,gsm
47236,99,2,gsm
50337,99,2,gsm
52350,99,2,gsm
56406,99,2,gsm
57443,99,2,gsm
59509,99,2,gsm
62588,99,3,gsm
65648,99,3,gsm
68637,99,2,gsm
71640,99,2,gsm
77737,99,3,gsm
79737,99,3,gsm
80738,99,3,gsm
83838,99,3,gsm
85838,99,3,gsm
92946,99,3,gsm
94952,99,3,gsm
98945,99,3,gsm
101985,99,2,gsm
103991,99,3,gsm
106088,99,3,gsm
108085,99,2,gsm
111139,99,3,gsm
113142,99,2,gsm
120149,99,3,gsm
158789,99,3,gsm
