time,dB(SPL)
33,25.57507
83,57.60484
133,57.94154
184,33.62482
233,29.54243
283,32.04120
341,30.37028
389,27.23456
432,20.00000
483,33.44196
535,34.48552
582,58.02917
634,58.67986
684,46.52672
734,32.46499
784,29.24796
834,28.94316
883,32.46499
932,32.04120
984,32.04120
1035,31.36403
1084,27.60422
1133,30.62958
1184,30.62958
1234,30.10300
1284,29.54243
1341,28.94316
1382,27.60422
1433,31.82129
1482,33.25516
1533,34.64788
1583,30.37028
1633,30.62958
1686,28.94316
1734,26.44439
1783,33.25516
1835,30.10300
1884,27.60422
1935,20.82785
1984,22.27887
2034,31.36403
2083,28.29947
2134,29.24796
2190,30.62958
2233,24.60898
2284,28.94316
2349,28.29947
2382,24.60898
2432,19.08485
2483,20.00000
2533,34.80725
2586,32.04120
2633,26.02060
2683,26.84845
2733,31.82129
2785,28.62728
2834,20.82785
2885,24.60898
2933,19.08485
2984,25.57507
3033,26.84845
3085,25.10545
3135,22.92256
3183,26.84845
3233,29.82723
3283,33.97940
3337,20.82785
3383,22.27887
3434,20.00000
3483,30.62958
3533,27.95880
3584,25.10545
3633,15.56303
3685,18.06180
3733,16.90196
3783,19.08485
3833,24.60898
3884,16.90196
3933,18.06180
3984,15.56303
4034,15.56303
4086,18.06180
4134,12.04120
4183,18.06180
4233,21.58362
4285,20.00000
4333,30.88136
4395,20.82785
4433,20.82785
4483,19.08485
4533,32.46499
4583,33.44196
4633,29.54243
4684,21.58362
4735,20.00000
4784,19.08485
4834,20.00000
4884,15.56303
4934,15.56303
4983,18.06180
5034,15.56303
5085,15.56303
5134,20.82785
5184,16.90196
5234,16.90196
5285,18.06180
5335,16.90196
5393,13.97940
5436,25.57507
5483,20.00000
5533,34.64788
5583,60.48971
5634,32.04120
5684,25.10545
5733,23.52183
5783,57.71853
5833,58.65962
5883,27.60422
5933,16.90196
5984,18.06180
6033,18.06180
6084,30.62958
6133,18.06180
6184,19.08485
6234,16.90196
6284,13.97940
6333,18.06180
6394,18.06180
6434,13.97940
6483,27.23456
6533,31.36403
6584,34.48552
6635,26.44439
6685,20.82785
6733,20.00000
6784,16.90196
6835,18.06180
6885,27.95880
6935,20.82785
6983,16.90196
7033,15.56303
7084,20.00000
7135,13.97940
7183,18.06180
7233,27.23456
7284,27.23456
7334,24.60898
7383,26.84845
7443,25.57507
7483,20.82785
7533,33.44196
7583,33.62482
7635,25.10545
7685,21.58362
7732,19.08485
7783,27.23456
7834,33.06425
7884,24.08240
7934,26.44439
7984,28.29947
8033,19.08485
8084,18.06180
8135,15.56303
8183,26.84845
8235,19.08485
8284,18.06180
8334,15.56303
8385,18.06180
8433,21.58362
8490,31.82129
8533,34.96376
8583,34.15140
8633,32.66937
8684,32.86905
8734,26.02060
8783,16.90196
8835,20.00000
8884,22.27887
8932,24.08240
8983,60.89863
9035,38.79039
9084,25.57507
9133,21.58362
9184,26.84845
9233,24.08240
9285,26.44439
9334,22.92256
9384,20.82785
9434,31.36403
9490,30.37028
9533,20.82785
9583,32.66937
9633,34.32007
9684,29.54243
9733,28.29947
9783,20.00000
9833,21.58362
9884,26.02060
9934,27.23456
9984,25.10545
10034,16.90196
10084,19.08485
10134,18.06180
10183,15.56303
10235,15.56303
10284,18.06180
10334,15.56303
10385,19.08485
10434,15.56303
10490,21.58362
10532,26.84845
10582,59.46256
10633,37.61627
10684,33.62482
10737,27.60422
10783,58.32908
10835,47.88903
10885,29.82723
10934,20.00000
10987,21.58362
11034,13.97940
11084,20.00000
11134,19.08485
11184,31.82129
11233,20.82785
11283,27.23456
11334,21.58362
11384,20.82785
11433,22.92256
11483,20.00000
11539,25.57507
11583,32.04120
11633,32.86905
11687,35.41704
11733,26.02060
11784,25.10545
11834,26.84845
11883,21.58362
11935,20.00000
11984,26.02060
12033,28.62728
12084,35.84783
12134,31.59567
12183,22.92256
12234,18.06180
12284,18.06180
12334,25.10545
12384,19.08485
12435,22.92256
12483,21.58362
12535,15.56303
12583,26.84845
12632,28.29947
12683,34.80725
12735,27.23456
12784,26.84845
12834,22.27887
12884,22.92256
12934,19.08485
12984,24.08240
13033,20.00000
13085,30.62958
13134,28.94316
13187,24.08240
13235,19.08485
13283,34.32007
13334,29.54243
13382,21.58362
13433,31.12605
13484,31.82129
13532,25.10545
13588,28.29947
13633,26.84845
13683,33.44196
13734,30.62958
13784,32.46499
13833,24.08240
13885,22.27887
13934,22.27887
13984,21.58362
