time,x,y,z
40,0.38727,-0.92508,9.63809
89,0.33775,-1.02306,9.60268
140,0.34198,-0.86034,9.63327
189,0.33716,-0.48021,9.56746
239,0.34731,-0.61937,9.47591
289,0.75172,-0.40099,9.60220
339,0.68799,-0.86018,9.61253
389,0.63409,-0.98235,9.49602
439,0.43919,-0.98463,9.40518
489,0.09737,-1.24677,9.52406
539,-0.16330,-1.64717,9.30984
589,-0.05446,-2.14828,9.72820
639,-0.07719,-3.27863,9.60663
688,-0.22748,-2.64339,9.25279
739,0.58853,-2.32092,9.80281
793,1.12529,-2.94662,10.03621
841,0.70409,-2.91495,9.89650
889,-0.11511,-2.86888,9.19083
939,-0.48045,-3.18141,8.94589
988,-0.74567,-2.94003,8.63153
1039,0.24706,-3.14384,9.40721
1089,0.09186,-2.63222,9.51976
1141,1.09351,-2.10085,9.34695
1192,0.24217,-3.51044,10.28931
1240,-0.09761,-2.68195,9.19502
1289,1.12679,-2.78528,8.63107
1339,1.13045,-2.36026,10.34091
1390,2.21530,-3.30550,9.90964
1439,0.39967,-2.21809,10.34454
1489,-0.95068,-1.78755,10.63344
1539,-0.70630,-3.14151,9.61977
1592,-1.35431,-3.37367,8.28555
1640,2.68300,-3.65579,10.24568
1691,1.89703,-2.96091,9.41022
1739,-1.55817,-3.69122,9.06541
1792,1.10016,-2.67087,10.87076
1839,2.64030,-1.58598,9.60504
1890,0.80901,-2.23007,9.50446
1939,1.49161,-3.00618,10.84131
1989,-1.71109,-2.70636,8.94002
2039,-3.09348,-1.37001,13.39182
2089,1.63120,-3.23708,8.16751
2140,-1.93681,1.69237,8.30226
2190,-1.43541,0.72183,5.50114
2240,1.07938,0.17719,9.41757
2290,0.25870,-2.25084,7.80351
2340,0.74307,-1.04817,10.23322
2390,-0.22397,-3.38806,9.30289
2439,0.09039,-1.34331,11.22923
2490,1.24738,-2.65546,10.26427
2540,1.66412,-2.77773,8.88849
2589,-0.10156,-3.55383,9.77274
2639,-1.62128,-2.75868,9.04611
2690,-0.81474,-0.24977,8.76224
2740,-1.75191,0.11702,8.58611
2798,2.21870,-1.47116,9.32950
2839,1.67635,-0.31186,10.70808
2889,1.97069,-2.52254,14.01762
2939,-2.94531,-1.16527,10.34453
2990,-2.26024,0.90790,8.38245
3040,-0.05762,0.02704,8.97243
3091,2.52898,-0.47888,9.93542
3139,1.58775,-2.78908,10.93155
3191,0.44933,-3.18338,12.78493
3239,2.24649,-0.29993,10.42996
3289,1.72932,-1.47411,8.85205
3339,0.53833,-1.43526,9.93567
3389,1.72415,0.00766,10.13387
3439,4.18135,0.19626,10.31226
3490,3.65492,-2.86276,6.83777
3539,-0.77759,-0.07767,12.00674
3591,1.62109,-0.38477,10.53392
3639,3.42114,-1.70461,9.19499
3689,-0.20300,-1.27367,9.35551
3739,2.51740,1.74286,8.88197
3812,1.19035,0.27605,9.93816
3839,0.38457,-1.00128,10.80479
3889,0.94350,-0.69730,10.22832
3939,0.85774,-1.09221,10.67285
3990,1.02283,-0.78487,9.81178
4040,-0.97455,2.09818,10.45688
4089,0.09094,-0.05440,8.71867
4139,-0.78053,-2.39595,8.83971
4189,1.70566,1.00374,10.10234
4239,-1.57967,1.04568,9.90060
4289,-0.90050,1.29904,9.62267
4340,-1.63530,-0.06009,10.14470
4391,1.03528,-0.01643,10.83478
4439,0.61861,-0.90790,11.69427
4491,-1.40329,-1.36165,10.26517
4540,-0.64012,-0.21303,12.93823
4590,-1.04588,2.38165,7.00969
4640,-2.63251,2.36649,8.81407
4690,-1.57950,3.76602,9.28983
4738,-1.01935,3.53485,10.86728
4789,1.76723,3.76698,8.58846
4845,1.27042,3.17787,9.24948
4888,1.88412,1.70395,10.66556
4938,-0.90460,-0.64946,9.61481
4988,-1.67487,-1.41411,8.96713
5040,-1.42474,0.33151,8.26163
5090,1.42511,2.37904,10.04495
5139,0.17175,1.91367,11.91704
5191,2.16165,-3.10396,10.08409
5241,-6.03194,0.14291,7.68021
5289,0.31294,3.58311,7.07938
5339,1.18695,0.95981,8.49420
5390,2.09590,4.73868,7.08321
5439,-1.25714,4.46692,10.81496
5489,2.95140,0.59865,8.23865
5540,3.32629,5.58051,8.38190
5590,1.07584,2.80110,10.33807
5639,-1.87878,2.84612,9.56288
5690,-1.99019,1.38887,13.56665
5741,-0.54692,-0.04808,10.68036
5791,2.03375,1.33322,7.71368
5843,-0.06544,0.90169,8.57246
5890,-0.44952,0.52815,11.22618
5939,0.93973,1.57375,8.42859
5990,-1.30261,-0.95999,10.46968
6039,-0.88702,-0.04529,13.56001
6091,0.66537,1.21275,9.14337
6139,-0.99246,2.23958,12.37170
6190,3.03665,2.31581,9.21532
6240,1.32149,0.56436,6.90839
6290,1.39774,2.43048,9.08261
6340,3.61810,4.90965,9.23578
6388,2.01326,1.12628,10.87405
6439,0.17853,-1.09630,13.02101
6489,2.48364,-0.88699,8.92946
6541,-3.49265,-0.29947,8.49858
6591,-2.22511,0.37915,9.83952
6640,-1.29445,-0.45540,12.31580
6690,-3.32164,-2.20097,10.32001
6739,0.56651,-2.35785,8.84564
6789,-2.44064,0.04002,9.09569
6845,-4.47813,1.81683,12.31627
6890,2.13986,-0.18520,7.48073
6939,2.36234,2.21799,10.15643
6990,3.55093,1.25909,8.11195
7040,-0.11818,-2.97299,8.89473
7089,6.69424,0.27763,10.62894
7138,0.20454,-0.66084,11.94139
7189,0.32008,-3.68500,7.38029
7239,-3.30994,-2.32841,13.81567
7290,-1.16370,-1.31216,7.38103
7340,-3.35484,0.31882,9.45955
7389,1.89322,-1.50395,6.47107
7439,-5.82114,-2.77069,12.33607
7490,0.53006,-0.90332,11.09950
7539,-0.69301,-2.06529,7.43048
7588,-4.28583,-0.16290,10.45497
7640,-2.85382,0.67325,9.96413
7689,-1.17773,-0.50807,10.46782
7740,8.33418,1.52550,7.29034
7789,2.71332,1.40543,10.70848
7862,1.13643,-4.27921,7.66478
7889,0.53160,-2.60461,8.01846
7939,-5.08859,-3.28896,14.79750
7991,-1.33664,0.24258,7.48714
8040,0.90767,1.14476,9.87755
8089,0.09447,-0.60310,12.58513
8139,-1.05447,-0.08781,10.36548
8191,2.22696,-2.33415,10.24396
8240,0.06332,-2.49162,10.35565
8291,0.27438,0.42993,8.77379
8340,1.66206,-0.83348,9.36360
8390,1.69749,-2.01860,9.18173
8439,2.18837,-1.59319,6.50565
8490,-0.02457,-0.76257,10.21596
8539,1.22401,1.68073,8.64598
8590,1.99426,2.31940,10.09544
8641,-0.40149,0.68510,11.33917
8690,1.61986,0.02011,6.00571
8741,-0.46022,-2.23242,11.51854
8790,1.01434,-2.45915,7.85840
8840,0.49846,0.38429,8.21454
8897,0.25728,0.16725,8.86806
8939,0.87630,1.84387,9.17624
8990,-2.15459,0.69696,12.20552
9039,0.24544,-0.90746,8.54343
9089,2.24680,-2.73473,8.59686
9139,1.96446,-0.35912,11.12422
9189,1.98552,2.25491,10.53670
9239,0.69974,2.89575,10.69847
9290,2.98045,0.47937,8.67352
9339,2.66106,-2.57806,10.05164
9389,-0.00615,0.60950,8.41034
9439,1.39503,-0.59016,10.15375
9490,-2.11584,1.97078,12.54733
9540,0.88728,0.64850,10.99742
9589,1.17078,1.97055,9.35399
9639,-2.24930,1.16425,8.61095
9691,0.77185,5.23489,12.12743
9740,-0.34712,1.45195,7.39229
9790,0.31895,0.37823,18.32973
9840,-1.30563,0.21353,12.16989
9894,2.20935,-0.59572,15.29236
9939,-3.31477,-1.92847,20.02681
9989,2.01511,-0.94197,13.89075
10040,-1.33112,2.29497,8.85181
10089,-6.14067,5.17601,13.39665
10139,-6.37596,0.81509,15.76291
10189,-2.59338,-2.07529,8.06335
10241,-0.81320,3.81262,8.33551
10290,-0.42250,4.61287,8.04512
10339,-3.27069,0.90930,14.24803
10391,1.03046,2.65533,6.52780
10439,2.31007,1.02490,6.12202
10489,-1.78052,1.47466,13.25732
10539,-4.10268,-2.21446,7.37206
10591,2.68575,-0.73288,8.75500
