time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
795,35,3741,29.5,-9223372036854775808,1006000,0
1794,35,3741,29.5,-9223372036854775808,776000,0
2800,35,3741,29.5,-9223372036854775808,776000,0
3813,35,3741,29.5,-9223372036854775808,776000,0
4847,35,3741,29.5,-9223372036854775808,776000,0
5846,35,3741,29.5,-9223372036854775808,776000,0
6847,35,3741,29.5,-9223372036854775808,776000,0
7863,35,3741,29.5,-9223372036854775808,626000,0
8900,35,3741,29.5,-9223372036854775808,626000,0
9895,35,3741,29.5,-9223372036854775808,626000,0
10899,35,3741,29.5,-9223372036854775808,626000,0
11944,35,3741,29.5,-9223372036854775808,626000,0
12948,35,3741,29.5,-9223372036854775808,626000,0
13955,35,3741,29.5,-9223372036854775808,507000,0
14955,35,3741,29.5,-9223372036854775808,507000,0
15953,35,3741,29.5,-9223372036854775808,507000,0
16956,35,3741,29.5,-9223372036854775808,507000,0
17948,35,3741,29.5,-9223372036854775808,507000,0
18947,35,3741,29.5,-9223372036854775808,507000,0
19950,35,3741,29.5,-9223372036854775808,565000,0
20946,35,3741,29.5,-9223372036854775808,565000,0
22000,35,3741,29.5,-9223372036854775808,565000,0
22996,35,3714,29.5,-9223372036854775808,565000,0
23996,35,3714,29.5,-9223372036854775808,565000,0
25013,35,3714,29.5,-9223372036854775808,565000,0
26003,35,3714,29.5,-9223372036854775808,513000,0
27010,35,3714,29.5,-9223372036854775808,513000,0
28048,35,3714,29.5,-9223372036854775808,513000,0
29054,35,3714,29.5,-9223372036854775808,513000,0
30095,35,3714,29.5,-9223372036854775808,513000,0
31145,35,3714,29.5,-9223372036854775808,513000,0
32195,35,3714,29.5,-9223372036854775808,623000,0
33201,35,3714,29.5,-9223372036854775808,623000,0
34245,35,3714,29.5,-9223372036854775808,623000,0
35243,35,3714,29.5,-9223372036854775808,623000,0
36246,35,3714,29.5,-9223372036854775808,623000,0
37295,35,3714,29.5,-9223372036854775808,623000,0
38346,35,3714,29.5,-9223372036854775808,577000,0
39344,35,3714,29.5,-9223372036854775808,577000,0
40395,35,3714,29.5,-9223372036854775808,577000,0
41395,35,3714,29.5,-9223372036854775808,577000,0
42397,35,3714,29.5,-9223372036854775808,577000,0
43415,35,3714,29.5,-9223372036854775808,526000,0
44442,35,3714,29.5,-9223372036854775808,526000,0
45442,35,3714,29.5,-9223372036854775808,526000,0
46444,35,3714,29.5,-9223372036854775808,526000,0
47441,35,3714,29.5,-9223372036854775808,526000,0
48444,35,3714,29.5,-9223372036854775808,526000,0
49450,35,3714,29.5,-9223372036854775808,668000,0
50444,35,3714,29.5,-9223372036854775808,668000,0
51500,35,3714,29.5,-9223372036854775808,668000,0
52542,35,3714,29.5,-9223372036854775808,668000,0
53542,35,3714,29.5,-9223372036854775808,668000,0
54544,35,3714,29.5,-9223372036854775808,668000,0
55596,35,3714,29.5,-9223372036854775808,780000,0
56601,35,3714,29.5,-9223372036854775808,780000,0
57612,35,3714,29.5,-9223372036854775808,780000,0
58597,35,3714,29.5,-9223372036854775808,780000,0
59595,35,3714,29.5,-9223372036854775808,780000,0
60649,35,3714,29.5,-9223372036854775808,780000,0
61643,35,3714,29.5,-9223372036854775808,631000,0
62650,35,3714,29.5,-9223372036854775808,631000,0
63712,35,3714,29.5,-9223372036854775808,631000,0
64693,35,3714,29.5,-9223372036854775808,631000,0
65692,35,3714,29.5,-9223372036854775808,631000,0
66706,35,3714,29.5,-9223372036854775808,631000,0
67692,35,3714,29.5,-9223372036854775808,791000,0
68695,35,3714,29.5,-9223372036854775808,791000,0
69692,35,3714,29.5,-9223372036854775808,791000,0
70693,35,3714,29.5,-9223372036854775808,791000,0
71693,35,3714,29.5,-9223372036854775808,791000,0
72698,35,3714,29.5,-9223372036854775808,791000,0
73742,35,3714,29.5,-9223372036854775808,737000,0
74801,35,3714,29.5,-9223372036854775808,737000,0
75793,35,3714,29.5,-9223372036854775808,737000,0
76852,35,3714,29.5,-9223372036854775808,737000,0
77846,35,3714,29.5,-9223372036854775808,737000,0
78851,35,3714,29.5,-9223372036854775808,737000,0
79844,35,3714,29.5,-9223372036854775808,550000,0
80842,35,3714,29.5,-9223372036854775808,550000,0
81854,35,3714,29.5,-9223372036854775808,550000,0
82857,35,3714,29.5,-9223372036854775808,550000,0
83844,35,3714,29.5,-9223372036854775808,550000,0
84895,35,3714,29.5,-9223372036854775808,550000,0
85910,35,3714,29.5,-9223372036854775808,538000,0
86900,35,3714,29.5,-9223372036854775808,538000,0
87945,35,3714,29.5,-9223372036854775808,538000,0
88945,35,3714,29.5,-9223372036854775808,538000,0
89945,35,3714,29.5,-9223372036854775808,538000,0
90996,35,3714,29.5,-9223372036854775808,538000,0
92048,35,3714,29.5,-9223372036854775808,611000,0
93044,35,3714,29.5,-9223372036854775808,611000,0
94048,35,3714,29.5,-9223372036854775808,611000,0
95043,35,3714,29.5,-9223372036854775808,611000,0
96045,35,3714,29.5,-9223372036854775808,611000,0
97050,35,3714,29.5,-9223372036854775808,611000,0
98055,35,3714,29.5,-9223372036854775808,509000,0
99044,35,3714,29.5,-9223372036854775808,509000,0
100099,35,3714,29.5,-9223372036854775808,509000,0
101096,35,3714,29.5,-9223372036854775808,509000,0
102098,35,3714,29.5,-9223372036854775808,509000,0
103098,35,3714,29.5,-9223372036854775808,509000,0
104102,35,3714,29.5,-9223372036854775808,501000,0
105109,35,3714,29.5,-9223372036854775808,501000,0
106106,35,3714,29.5,-9223372036854775808,501000,0
107100,35,3714,29.5,-9223372036854775808,501000,0
108103,35,3714,29.5,-9223372036854775808,501000,0
109095,35,3714,29.5,-9223372036854775808,501000,0
110101,35,3714,29.5,-9223372036854775808,661000,0
111093,35,3714,29.5,-9223372036854775808,661000,0
112103,35,3714,29.5,-9223372036854775808,661000,0
113109,35,3714,29.5,-9223372036854775808,661000,0
114096,35,3714,29.5,-9223372036854775808,661000,0
115143,35,3714,29.5,-9223372036854775808,661000,0
116143,35,3714,29.5,-9223372036854775808,464000,0
117143,35,3714,29.5,-9223372036854775808,464000,0
118146,35,3714,29.5,-9223372036854775808,464000,0
119143,35,3714,29.5,-9223372036854775808,464000,0
120143,35,3714,29.5,-9223372036854775808,464000,0
121141,35,3714,29.5,-9223372036854775808,464000,0
122156,35,3718,29.3,-9223372036854775808,643000,0
123161,35,3718,29.3,-9223372036854775808,643000,0
124151,35,3718,29.3,-9223372036854775808,643000,0
125149,35,3718,29.3,-9223372036854775808,643000,0
126191,35,3718,29.3,-9223372036854775808,643000,0
127213,35,3718,29.3,-9223372036854775808,643000,0
128209,34,3713,29.2,-9223372036854775808,742000,0
129264,34,3713,29.2,-9223372036854775808,742000,0
130261,34,3713,29.2,-9223372036854775808,742000,0
131256,34,3713,29.2,-9223372036854775808,742000,0
132306,34,3713,29.2,-9223372036854775808,742000,0
133305,34,3713,29.2,-9223372036854775808,742000,0
134361,34,3713,29.2,-9223372036854775808,304000,0
135363,34,3713,29.2,-9223372036854775808,304000,0
136360,34,3713,29.2,-9223372036854775808,304000,0
137348,34,3713,29.2,-9223372036854775808,304000,0
138404,34,3713,29.2,-9223372036854775808,304000,0
139409,34,3713,29.2,-9223372036854775808,304000,0
140454,34,3713,29.2,-9223372036854775808,268000,0
141444,34,3713,29.2,-9223372036854775808,268000,0
142444,34,3713,29.2,-9223372036854775808,268000,0
143446,34,3713,29.2,-9223372036854775808,268000,0
144444,34,3713,29.2,-9223372036854775808,268000,0
145494,34,3713,29.2,-9223372036854775808,268000,0
146554,34,3713,29.2,-9223372036854775808,383000,0
147544,34,3713,29.2,-9223372036854775808,383000,0
148549,34,3713,29.2,-9223372036854775808,383000,0
149599,34,3713,29.2,-9223372036854775808,383000,0
150654,34,3713,29.2,-9223372036854775808,383000,0
151714,34,3713,29.2,-9223372036854775808,383000,0
152706,34,3713,29.2,-9223372036854775808,343000,0
153705,34,3713,29.2,-9223372036854775808,343000,0
154724,34,3713,29.2,-9223372036854775808,343000,0
155757,34,3713,29.2,-9223372036854775808,343000,0
156771,34,3713,29.2,-9223372036854775808,343000,0
157811,34,3713,29.2,-9223372036854775808,317000,0
158868,34,3713,29.2,-9223372036854775808,317000,0
159894,34,3713,29.2,-9223372036854775808,317000,0
160912,34,3713,29.2,-9223372036854775808,317000,0
161953,34,3713,29.2,-9223372036854775808,317000,0
162955,34,3713,29.2,-9223372036854775808,317000,0
164018,34,3713,29.2,-9223372036854775808,290000,0
165047,34,3713,29.2,-9223372036854775808,290000,0
166058,34,3713,29.2,-9223372036854775808,290000,0
167056,34,3713,29.2,-9223372036854775808,290000,0
168055,34,3713,29.2,-9223372036854775808,290000,0
169061,34,3713,29.2,-9223372036854775808,290000,0
170068,34,3713,29.2,-9223372036854775808,296000,0
171052,34,3713,29.2,-9223372036854775808,296000,0
172107,34,3713,29.2,-9223372036854775808,296000,0
173109,34,3713,29.2,-9223372036854775808,296000,0
174109,34,3713,29.2,-9223372036854775808,296000,0
175159,34,3713,29.2,-9223372036854775808,296000,0
176145,34,3713,29.2,-9223372036854775808,315000,0
177141,34,3731,28.8,-9223372036854775808,315000,0
