time,azimuth
40,-39
89,-39
141,-39
189,-38
239,-38
290,-36
339,-37
390,-40
439,-40
489,-42
541,-41
589,-45
640,-47
689,-51
740,-49
795,-47
842,-51
889,-51
940,-53
989,-56
1040,-55
1090,-54
1142,-51
1193,-58
1241,-57
1290,-54
1339,-59
1390,-59
1439,-62
1490,-67
1539,-62
1593,-64
1642,-53
1692,-57
1740,-77
1793,-76
1839,-63
1891,-66
1939,-74
1990,-81
2040,-67
2089,-49
2141,-68
2191,-66
2242,-69
2291,-47
2340,-77
2392,-92
2439,-84
2490,-83
2540,-74
2590,-92
2640,-97
2691,-87
2741,-103
2799,-80
2840,-83
2890,-79
2939,-83
2992,-101
3042,-80
3092,-97
3139,-100
3192,-89
3239,-88
3290,-81
3339,-119
3390,-98
3440,-92
3491,-81
3540,-84
3593,-91
3639,-108
3690,-92
3739,-104
3812,-93
3839,-93
3889,-90
3940,-88
3991,-81
4042,-81
4090,-73
4139,-76
4189,-74
4240,-71
4289,-66
4340,-68
4392,-60
4440,-59
4497,-56
4540,-51
4590,-49
4641,-48
4691,-46
4739,-44
4790,-46
4846,-35
4888,-41
4939,-43
4989,-40
5040,-35
5092,-35
5139,-28
5192,-29
5242,-38
5290,-27
5339,-19
5390,-22
5440,-16
5489,-15
5540,-30
5591,-12
5639,-13
5691,-19
5742,-16
5792,-8
5845,-7
5890,-11
5939,2
5991,-14
6040,-9
6092,-3
6140,-3
6190,-2
6241,-7
6291,5
6341,5
6389,-12
6439,-22
6490,-12
6542,-7
6592,-9
6640,-10
6692,-14
6740,-17
6789,-6
6846,-9
6890,-8
6940,-24
6991,-8
7040,-25
7090,-27
7139,-16
7190,-23
7239,-47
7291,-35
7341,-35
7389,-39
7439,-24
7490,-33
7540,-38
7589,-50
7641,-49
7690,-48
7745,-16
7790,-52
7862,-60
7889,-44
7939,-73
7992,-95
8040,-98
8090,-68
8140,-73
8192,-72
8241,-75
8292,-60
8341,-69
8394,-76
8440,-81
8490,-68
8540,-81
8592,-70
8642,-68
8692,-71
8743,-80
8791,-81
8841,-70
8898,-75
8939,-86
8990,-77
9040,-68
9090,-68
9140,-67
9190,-66
9240,-62
9291,-58
9340,-59
9390,-52
9439,-50
9492,-50
9540,-49
9590,-49
9640,-48
9692,-39
9741,-44
9790,-53
9841,-48
9895,-43
9939,-41
9989,-37
10041,-36
10090,-28
10140,30
10190,-9
10242,-16
10290,-16
10339,-24
10392,-13
10439,-21
10490,-19
10539,-41
10591,-37
10639,-24
10691,-29
10740,-32
10790,-39
10840,-28
10899,-18
10939,-17
10989,-60
11040,-17
11093,-30
11139,-40
11190,-61
11241,-30
11290,-16
11340,-60
11389,-67
11439,-24
11490,-51
11541,-42
11590,-31
11642,-39
11691,-87
11742,-74
11790,-62
11840,-91
11891,-72
11944,-70
11990,-71
12039,-67
12091,-67
12142,-36
12192,-70
12240,-68
12289,-57
12340,-55
12390,-54
12439,-62
12490,-65
12539,-73
12589,-72
12640,-58
12691,-54
12742,-59
12791,-63
12840,-55
12890,-63
12947,-60
12989,-48
13040,-56
13092,-55
13143,-53
13190,-60
13239,-46
13291,-85
13341,-45
13389,-43
