time,USER,SYSTEM,IOW,IRQ
795,-1,-1,-1,-1
1794,-1,-1,-1,-1
2800,-1,-1,-1,-1
3813,-1,-1,-1,-1
4847,-1,-1,-1,-1
5846,-1,-1,-1,-1
6847,-1,-1,-1,-1
7863,-1,-1,-1,-1
8901,-1,-1,-1,-1
9896,-1,-1,-1,-1
10900,-1,-1,-1,-1
11944,-1,-1,-1,-1
12948,-1,-1,-1,-1
13955,-1,-1,-1,-1
14955,-1,-1,-1,-1
15953,-1,-1,-1,-1
16956,-1,-1,-1,-1
17948,-1,-1,-1,-1
18947,-1,-1,-1,-1
19951,-1,-1,-1,-1
20946,-1,-1,-1,-1
22000,-1,-1,-1,-1
22996,-1,-1,-1,-1
23996,-1,-1,-1,-1
25013,-1,-1,-1,-1
26003,-1,-1,-1,-1
27010,-1,-1,-1,-1
28048,-1,-1,-1,-1
29054,-1,-1,-1,-1
30095,-1,-1,-1,-1
31145,-1,-1,-1,-1
32195,-1,-1,-1,-1
33201,-1,-1,-1,-1
34245,-1,-1,-1,-1
35243,-1,-1,-1,-1
36246,-1,-1,-1,-1
37296,-1,-1,-1,-1
38346,-1,-1,-1,-1
39344,-1,-1,-1,-1
40395,-1,-1,-1,-1
41396,-1,-1,-1,-1
42397,-1,-1,-1,-1
43415,-1,-1,-1,-1
44442,-1,-1,-1,-1
45442,-1,-1,-1,-1
46444,-1,-1,-1,-1
47442,-1,-1,-1,-1
48444,-1,-1,-1,-1
49450,-1,-1,-1,-1
50444,-1,-1,-1,-1
51501,-1,-1,-1,-1
52543,-1,-1,-1,-1
53542,-1,-1,-1,-1
54544,-1,-1,-1,-1
55596,-1,-1,-1,-1
56601,-1,-1,-1,-1
57613,-1,-1,-1,-1
58597,-1,-1,-1,-1
59595,-1,-1,-1,-1
60649,-1,-1,-1,-1
61644,-1,-1,-1,-1
62650,-1,-1,-1,-1
63712,-1,-1,-1,-1
64693,-1,-1,-1,-1
65692,-1,-1,-1,-1
66706,-1,-1,-1,-1
67692,-1,-1,-1,-1
68695,-1,-1,-1,-1
69692,-1,-1,-1,-1
70693,-1,-1,-1,-1
71704,-1,-1,-1,-1
72698,-1,-1,-1,-1
73742,-1,-1,-1,-1
74801,-1,-1,-1,-1
75793,-1,-1,-1,-1
76852,-1,-1,-1,-1
77847,-1,-1,-1,-1
78851,-1,-1,-1,-1
79844,-1,-1,-1,-1
80842,-1,-1,-1,-1
81854,-1,-1,-1,-1
82857,-1,-1,-1,-1
83844,-1,-1,-1,-1
84895,-1,-1,-1,-1
85910,-1,-1,-1,-1
86901,-1,-1,-1,-1
87945,-1,-1,-1,-1
88945,-1,-1,-1,-1
89945,-1,-1,-1,-1
90996,-1,-1,-1,-1
92048,-1,-1,-1,-1
93044,-1,-1,-1,-1
94048,-1,-1,-1,-1
95043,-1,-1,-1,-1
96045,-1,-1,-1,-1
97051,-1,-1,-1,-1
98056,-1,-1,-1,-1
99044,-1,-1,-1,-1
100099,-1,-1,-1,-1
101097,-1,-1,-1,-1
102098,-1,-1,-1,-1
103098,-1,-1,-1,-1
104102,-1,-1,-1,-1
105109,-1,-1,-1,-1
106106,-1,-1,-1,-1
107100,-1,-1,-1,-1
108103,-1,-1,-1,-1
109095,-1,-1,-1,-1
110102,-1,-1,-1,-1
111093,-1,-1,-1,-1
112103,-1,-1,-1,-1
113109,-1,-1,-1,-1
114096,-1,-1,-1,-1
115144,-1,-1,-1,-1
116143,-1,-1,-1,-1
117143,-1,-1,-1,-1
118147,-1,-1,-1,-1
119143,-1,-1,-1,-1
120143,-1,-1,-1,-1
121141,-1,-1,-1,-1
122156,-1,-1,-1,-1
123161,-1,-1,-1,-1
124151,-1,-1,-1,-1
125149,-1,-1,-1,-1
126191,-1,-1,-1,-1
127213,-1,-1,-1,-1
128209,-1,-1,-1,-1
129265,-1,-1,-1,-1
130262,-1,-1,-1,-1
131257,-1,-1,-1,-1
132306,-1,-1,-1,-1
133306,-1,-1,-1,-1
134362,-1,-1,-1,-1
135363,-1,-1,-1,-1
136360,-1,-1,-1,-1
137348,-1,-1,-1,-1
138404,-1,-1,-1,-1
139410,-1,-1,-1,-1
140454,-1,-1,-1,-1
141445,-1,-1,-1,-1
142444,-1,-1,-1,-1
143446,-1,-1,-1,-1
144445,-1,-1,-1,-1
145494,-1,-1,-1,-1
146554,-1,-1,-1,-1
147544,-1,-1,-1,-1
148550,-1,-1,-1,-1
149599,-1,-1,-1,-1
150654,-1,-1,-1,-1
151714,-1,-1,-1,-1
152706,-1,-1,-1,-1
153706,-1,-1,-1,-1
154724,-1,-1,-1,-1
155757,-1,-1,-1,-1
156771,-1,-1,-1,-1
157811,-1,-1,-1,-1
158868,-1,-1,-1,-1
159894,-1,-1,-1,-1
160912,-1,-1,-1,-1
161953,-1,-1,-1,-1
162955,-1,-1,-1,-1
164018,-1,-1,-1,-1
165047,-1,-1,-1,-1
166058,-1,-1,-1,-1
167056,-1,-1,-1,-1
168055,-1,-1,-1,-1
169061,-1,-1,-1,-1
170068,-1,-1,-1,-1
171052,-1,-1,-1,-1
172107,-1,-1,-1,-1
173109,-1,-1,-1,-1
174109,-1,-1,-1,-1
175159,-1,-1,-1,-1
176145,-1,-1,-1,-1
177141,-1,-1,-1,-1
