time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
795,22.32097510,87.30829090,5,-16.00000,0.00000,31,15
1794,22.32097470,87.30829040,4,-19.00000,0.00000,31,15
2799,22.32097260,87.30828010,4,-19.00000,1.21000,31,15
3813,22.32096690,87.30826950,5,0.00000,0.00000,31,15
4846,22.32096020,87.30826510,5,-10.00000,0.92000,32,15
5845,22.32096410,87.30824690,5,-13.00000,1.87000,32,15
6847,22.32097760,87.30821610,4,-16.00000,2.74000,32,16
7863,22.32099200,87.30818990,4,-17.00000,2.77000,32,17
8900,22.32100110,87.30815610,4,-16.00000,3.11000,33,17
9895,22.32100600,87.30812510,4,-15.00000,2.31000,33,17
10899,22.32100980,87.30809380,4,-14.00000,3.09000,33,17
11944,22.32101600,87.30806260,4,-14.00000,2.57000,33,17
12948,22.32102550,87.30803440,4,-15.00000,2.86000,33,17
13954,22.32102980,87.30800430,4,-14.00000,2.92000,30,14
14955,22.32102990,87.30798150,4,-15.00000,1.55000,31,15
15953,22.32102910,87.30796030,4,-14.00000,2.49000,30,14
16955,22.32103080,87.30792690,4,-17.00000,3.50000,31,16
17946,22.32103230,87.30788990,4,-16.00000,3.31000,32,17
18946,22.32103360,87.30785500,4,-16.00000,3.30000,32,17
19950,22.32103580,87.30781760,4,-16.00000,3.60000,30,14
20946,22.32104050,87.30777960,4,-16.00000,3.60000,30,14
22000,22.32104540,87.30775650,4,-16.00000,1.21000,32,17
22996,22.32104660,87.30774260,4,-15.00000,1.24000,32,17
23996,22.32105410,87.30771970,4,-15.00000,1.42000,32,17
25012,22.32106030,87.30770160,3,-14.00000,0.44000,32,17
26003,22.32106410,87.30766520,4,-15.00000,3.04000,33,17
27009,22.32105270,87.30763210,4,-16.00000,2.60000,34,17
28046,22.32103780,87.30760090,4,-16.00000,2.50000,34,17
29053,22.32103260,87.30756900,4,-15.00000,2.18000,34,17
30095,22.32104120,87.30753790,4,-14.00000,2.41000,34,17
31144,22.32105260,87.30751060,4,-14.00000,2.18000,34,17
32194,22.32106380,87.30748480,4,-14.00000,2.24000,34,17
33200,22.32106200,87.30745630,4,-14.00000,3.24000,34,17
34245,22.32104910,87.30742780,4,-14.00000,2.79000,34,18
35243,22.32103270,87.30740220,4,-14.00000,3.02000,34,18
36246,22.32102100,87.30737230,4,-13.00000,3.26000,34,18
37295,22.32101780,87.30733860,4,-13.00000,3.08000,34,18
38345,22.32102170,87.30730240,4,-13.00000,3.44000,34,18
