time,x,y,z
40,-0.00027,0.00156,-0.00288
89,-0.00183,-0.00037,0.00174
140,-0.00421,0.00214,-0.00615
189,-0.02451,-0.00128,0.00662
239,-0.08177,0.00989,0.13457
289,-0.13725,0.02068,0.23042
339,-0.15607,0.03183,0.24889
390,-0.20583,0.04005,0.35753
439,-0.24190,0.04785,0.45078
489,-0.30963,0.06435,0.61227
540,-0.39995,0.09282,0.86494
589,-0.45256,0.10100,1.10477
639,-0.45915,0.10538,1.16219
689,-0.43710,0.11011,1.23338
739,-0.36603,0.07538,1.08441
794,-0.26045,0.04189,0.70238
841,-0.09460,-0.00848,0.30922
889,-0.07507,-0.05731,0.26505
939,-0.12112,-0.04654,0.46571
989,-0.20775,-0.04266,0.59917
1040,-0.15932,-0.07054,0.61017
1089,-0.11389,-0.10858,0.51759
1142,-0.01195,-0.15622,0.46931
1192,-0.07542,-0.17117,0.59125
1240,-0.18552,-0.17493,0.77419
1289,-0.10440,-0.22266,0.72600
1339,-0.05443,-0.26451,0.59131
1390,0.03914,-0.30515,0.36678
1439,0.06758,-0.31438,0.41832
1489,-0.16412,-0.27040,0.77126
1539,-0.28865,-0.23370,1.23976
1592,-0.30418,-0.28427,1.51294
1641,-0.15970,-0.32718,0.98824
1692,0.34662,-0.41562,0.15471
1740,0.23213,-0.34958,0.12695
1793,0.11942,-0.24063,0.35890
1839,0.25749,-0.28163,0.10049
1891,0.32118,-0.26404,-0.20741
1939,0.39908,-0.20677,-0.48738
1990,0.33939,-0.14355,-0.41614
2040,0.14188,-0.07341,0.00613
2089,-0.01097,-0.13565,0.15218
2140,0.02130,0.05276,0.45152
2191,0.01894,-0.05476,0.55882
2241,-0.22003,-0.06917,1.27771
2290,-0.19185,-0.11092,1.30225
2340,-0.08528,-0.14792,1.16356
2391,-0.00160,-0.17192,0.87062
2439,0.09032,-0.21442,0.77562
2490,0.09244,-0.22443,0.65863
2540,0.33192,-0.21294,0.11737
2590,0.55841,-0.18762,-0.58450
2640,0.53731,-0.13029,-0.73529
2691,0.45045,-0.08182,-0.48997
2740,0.22147,-0.00446,-0.15543
2799,0.15714,-0.02470,-0.05009
2840,0.20346,-0.01617,-0.09653
2889,0.15164,-0.01793,-0.10400
2939,0.12210,-0.00320,0.08023
2991,0.08760,-0.00526,0.72917
3042,-0.28632,0.06268,1.20071
3091,-0.28600,0.02731,1.37834
3139,-0.06891,-0.01410,0.91444
3192,0.19456,-0.05292,0.44046
3239,0.27911,-0.10239,0.21242
3290,0.30577,-0.06314,0.14539
3339,0.26305,-0.02567,0.14648
3390,0.31953,-0.05925,0.09729
3440,0.34431,-0.05132,-0.06445
3491,0.46909,-0.06155,-0.35876
3540,0.50552,-0.01791,-0.50325
3593,0.49600,-0.07391,-0.64456
3639,0.49222,-0.04697,-0.76843
3690,0.45348,-0.02147,-0.61678
3739,0.37479,-0.03723,-0.38992
3812,0.30473,-0.00822,-0.41357
3839,0.43629,0.00186,-0.75084
3889,0.56865,-0.04053,-1.02884
3940,0.58990,-0.05917,-1.23816
3991,0.60696,-0.08418,-1.25266
4041,0.47073,-0.03737,-0.99335
4089,0.40262,-0.04002,-0.98068
4139,0.45319,-0.05777,-1.15044
4189,0.56610,-0.12469,-1.34041
4240,0.59576,-0.14824,-1.48932
4289,0.59058,-0.19833,-1.51952
4340,0.39467,-0.29422,-1.45453
4392,0.62370,-0.34189,-1.74406
