time,lx
40,2818.00000
89,2818.00000
140,2818.00000
189,2818.00000
239,2818.00000
290,2818.00000
339,2818.00000
390,2818.00000
439,2818.00000
489,2866.00000
540,2866.00000
589,2866.00000
640,2866.00000
689,2892.00000
739,2892.00000
795,2892.00000
841,2892.00000
889,2707.00000
939,2707.00000
989,2707.00000
1040,2707.00000
1089,2450.00000
1142,2450.00000
1192,2450.00000
1241,2450.00000
1289,2218.00000
1339,2218.00000
1390,2218.00000
1439,2218.00000
1490,2020.00000
1539,2020.00000
1592,2020.00000
1642,2020.00000
1692,1897.00000
1740,1897.00000
1793,1897.00000
1839,1897.00000
1891,1756.00000
1939,1756.00000
1990,1756.00000
2040,1756.00000
2089,1842.00000
2140,1842.00000
2191,1842.00000
2241,1842.00000
2291,1839.00000
2340,1839.00000
2391,1839.00000
2439,1839.00000
2490,1591.00000
2540,1591.00000
2590,1591.00000
2640,1591.00000
2691,1536.00000
2740,1536.00000
2799,1536.00000
2840,1536.00000
2889,1711.00000
2939,1711.00000
2991,1711.00000
3042,1711.00000
3091,1711.00000
3139,1549.00000
3192,1549.00000
3239,1549.00000
3290,1549.00000
3339,1408.00000
3390,1408.00000
3440,1408.00000
3491,1408.00000
3540,1464.00000
3593,1464.00000
3639,1464.00000
3690,1464.00000
3739,1576.00000
3812,1576.00000
3839,1576.00000
3889,1576.00000
3940,1740.00000
3991,1740.00000
4041,1740.00000
4089,1740.00000
4139,1973.00000
4189,1973.00000
4240,1973.00000
4289,1973.00000
4340,2231.00000
4392,2231.00000
4440,2231.00000
4496,2231.00000
4540,2099.00000
4590,2099.00000
4641,2099.00000
4690,2099.00000
4739,1685.00000
4790,1685.00000
4846,1685.00000
4888,1685.00000
4938,1779.00000
4989,1779.00000
5040,1779.00000
5092,1779.00000
5139,1635.00000
5192,1635.00000
5241,1635.00000
5289,1635.00000
5339,1559.00000
5390,1559.00000
5439,1559.00000
5489,1559.00000
5540,1675.00000
5590,1675.00000
5639,1675.00000
5691,1675.00000
5742,1862.00000
5792,1862.00000
5845,1862.00000
5890,1862.00000
5939,1939.00000
5991,1939.00000
6040,1939.00000
6092,1939.00000
6140,2000.00000
6190,2000.00000
6241,2000.00000
6291,2000.00000
6341,2007.00000
6389,2007.00000
6439,2007.00000
6490,2007.00000
6542,1890.00000
6591,1890.00000
6640,1890.00000
6691,1890.00000
6740,1760.00000
6789,1760.00000
6846,1760.00000
6890,1760.00000
6940,1954.00000
6991,1954.00000
7040,1954.00000
7090,1954.00000
7139,2906.00000
7190,2906.00000
7239,2906.00000
7291,2906.00000
7341,3115.00000
7389,3115.00000
7439,3115.00000
7490,3115.00000
7540,3133.00000
7589,3133.00000
7641,3133.00000
7690,3133.00000
7741,2724.00000
7790,2724.00000
7862,2724.00000
7889,2724.00000
7939,2401.00000
7992,2401.00000
8040,2401.00000
8090,2401.00000
8140,2378.00000
8192,2378.00000
8241,2378.00000
8292,2378.00000
8340,2314.00000
8391,2314.00000
8440,2314.00000
8490,2314.00000
8540,1984.00000
8591,1984.00000
8642,1984.00000
8692,1984.00000
8742,1842.00000
8791,1842.00000
8841,1842.00000
8898,1842.00000
8939,1842.00000
8990,1860.00000
9040,1860.00000
9090,1860.00000
9140,1929.00000
9190,1929.00000
9240,1929.00000
9291,1929.00000
9340,1690.00000
9389,1690.00000
9439,1690.00000
9491,1690.00000
9540,1467.00000
9590,1467.00000
9640,1467.00000
9692,1467.00000
9741,1295.00000
9790,1295.00000
9841,1295.00000
9895,1295.00000
9939,1332.00000
9989,1332.00000
10041,1332.00000
10090,1332.00000
10139,1124.00000
10190,1124.00000
10242,1124.00000
10290,1124.00000
10339,1073.00000
10392,1073.00000
10439,1073.00000
10490,1073.00000
10539,1675.00000
10591,1675.00000
10639,1675.00000
10690,1675.00000
10740,2138.00000
10790,2138.00000
10840,2138.00000
10898,2138.00000
10939,2113.00000
10989,2113.00000
11040,2113.00000
11092,2113.00000
11139,2113.00000
11190,1940.00000
11240,1940.00000
11289,1940.00000
11340,1940.00000
11389,1890.00000
11439,1890.00000
11489,1890.00000
11540,1890.00000
11590,1842.00000
11642,1842.00000
11691,1842.00000
11741,1842.00000
11790,1711.00000
11840,1711.00000
11891,1711.00000
11944,1711.00000
11990,1645.00000
12039,1645.00000
12091,1645.00000
12142,1645.00000
12191,1369.00000
12240,1369.00000
12289,1369.00000
12340,1369.00000
12389,1216.00000
12439,1216.00000
12490,1216.00000
12539,1216.00000
12589,1100.00000
12640,1100.00000
12691,1100.00000
12742,1100.00000
12791,1135.00000
12840,1135.00000
12890,1135.00000
12947,1135.00000
12989,1190.00000
13040,1190.00000
13092,1190.00000
13143,1190.00000
13190,1274.00000
13239,1274.00000
13291,1274.00000
13341,1274.00000
13389,1297.00000
13439,1297.00000
13489,1297.00000
13540,1297.00000
13589,1322.00000
13639,1322.00000
13689,1322.00000
13740,1322.00000
13791,1329.00000
13839,1329.00000
13891,1329.00000
13952,1329.00000
13989,1378.00000
14039,1378.00000
14089,1378.00000
14139,1378.00000
14190,1396.00000
14239,1396.00000
14290,1396.00000
14340,1396.00000
14391,1426.00000
14440,1426.00000
14491,1426.00000
14542,1426.00000
14590,1210.00000
14640,1210.00000
14691,1210.00000
14741,1210.00000
14793,1133.00000
14842,1133.00000
14891,1133.00000
14955,1133.00000
14992,1105.00000
15039,1105.00000
15090,1105.00000
15141,1105.00000
15191,961.00000
15240,961.00000
15290,961.00000
15340,961.00000
15390,819.00000
15440,819.00000
15490,819.00000
15541,819.00000
15590,750.00000
15639,750.00000
15689,750.00000
15739,750.00000
15792,703.00000
15842,703.00000
15891,703.00000
15952,703.00000
15989,682.00000
16039,682.00000
16090,682.00000
16139,682.00000
16191,672.00000
16240,672.00000
16291,672.00000
16339,672.00000
16389,666.00000
16439,666.00000
16491,666.00000
16539,666.00000
16590,638.00000
16639,638.00000
16693,638.00000
16740,638.00000
16791,601.00000
16839,601.00000
16891,601.00000
16954,601.00000
16990,617.00000
17040,617.00000
17093,617.00000
17140,617.00000
17190,591.00000
17239,591.00000
17289,591.00000
17339,591.00000
17391,662.00000
17441,662.00000
17490,662.00000
17540,662.00000
17591,712.00000
17640,712.00000
17690,712.00000
17741,712.00000
17791,726.00000
17840,726.00000
17890,726.00000
17945,726.00000
17988,680.00000
18039,680.00000
18090,680.00000
18140,680.00000
18189,971.00000
18242,971.00000
18291,971.00000
18340,971.00000
18391,954.00000
18439,954.00000
18492,954.00000
18539,954.00000
18589,876.00000
18639,876.00000
18689,876.00000
18739,876.00000
18790,962.00000
18840,962.00000
18891,962.00000
18945,962.00000
18989,1293.00000
19040,1293.00000
19089,1293.00000
19139,1293.00000
19189,932.00000
19239,932.00000
19290,932.00000
19339,932.00000
19391,1595.00000
19439,1595.00000
19490,1595.00000
19539,1595.00000
19591,2127.00000
19639,2127.00000
19691,2127.00000
19741,2127.00000
19789,1309.00000
19841,1309.00000
19890,1309.00000
19950,1309.00000
19989,1801.00000
20039,1801.00000
20090,1801.00000
20141,1801.00000
20191,2291.00000
20239,2291.00000
20291,2291.00000
20341,2291.00000
20389,1551.00000
20439,1551.00000
20489,1551.00000
20539,1551.00000
20590,2252.00000
20641,2252.00000
20691,2252.00000
20741,2252.00000
20791,2688.00000
20840,2688.00000
20890,2688.00000
20945,2688.00000
20991,2627.00000
21039,2627.00000
21089,2627.00000
21139,2627.00000
21188,2663.00000
21240,2663.00000
21289,2663.00000
21339,2663.00000
21389,2862.00000
21439,2862.00000
21489,2862.00000
21539,2862.00000
21590,2932.00000
21642,2932.00000
21691,2932.00000
21741,2932.00000
21790,2977.00000
21840,2977.00000
21891,2977.00000
21939,2977.00000
22000,2885.00000
22039,2885.00000
22089,2885.00000
22139,2885.00000
22190,2822.00000
22240,2822.00000
22290,2822.00000
22340,2822.00000
22389,2787.00000
22440,2787.00000
22490,2787.00000
22541,2787.00000
22590,2729.00000
22639,2729.00000
22690,2729.00000
22740,2729.00000
22791,2708.00000
22841,2708.00000
22889,2708.00000
22940,2708.00000
22996,2708.00000
23039,2708.00000
23089,2708.00000
23139,2708.00000
23192,2758.00000
23241,2758.00000
23292,2758.00000
23339,2758.00000
23391,2824.00000
23440,2824.00000
23490,2824.00000
23539,2824.00000
23592,2961.00000
23641,2961.00000
23690,2961.00000
23740,2961.00000
23792,3214.00000
23840,3214.00000
23889,3214.00000
23939,3214.00000
