time,x,y,z
40,41.02173,-30.74493,-34.46655
89,40.67230,-30.51147,-34.55353
140,40.49377,-30.41534,-33.67004
189,40.77606,-30.75104,-33.84857
239,40.62347,-30.62744,-34.58862
289,41.89301,-29.99725,-34.33990
339,40.71808,-30.00031,-36.44409
389,38.89313,-30.27954,-35.62164
439,38.66119,-30.63965,-35.53619
489,38.48114,-30.34363,-35.96344
540,38.06458,-30.24902,-36.31439
589,36.25336,-29.95453,-37.15363
639,36.08856,-29.47845,-37.31537
689,33.52509,-28.67584,-38.37738
739,32.40356,-29.00391,-37.22229
794,31.70929,-28.57513,-37.99896
841,28.83453,-27.75269,-40.66162
889,29.23431,-27.25372,-41.04462
939,30.00793,-28.48511,-38.04169
989,28.82538,-27.75574,-38.81073
1040,28.00903,-27.42920,-38.64594
1089,27.67181,-27.78320,-38.69324
1141,26.13373,-27.43378,-39.08844
1192,25.74005,-27.39868,-38.51166
1240,24.16687,-27.36969,-38.79089
1289,23.09113,-26.64337,-40.07416
1339,21.44775,-26.02234,-39.88190
1390,19.75708,-25.78735,-39.75067
1439,18.06946,-25.71106,-38.96179
1489,18.88885,-25.89111,-37.74719
1539,17.73071,-24.83521,-38.12408
1592,15.86761,-23.54279,-37.50153
1641,14.42413,-22.41974,-37.77313
1692,13.03406,-21.38214,-36.69891
1740,12.10938,-21.66595,-36.16028
1793,11.49597,-21.72852,-36.58295
1839,9.13696,-21.12274,-37.54883
1890,9.69849,-22.14355,-36.07635
1939,10.73761,-23.34595,-34.06219
1990,9.83887,-24.19739,-32.60651
2040,9.51843,-24.52393,-33.07343
2089,10.11810,-24.87793,-32.25098
2140,9.50623,-24.43848,-32.56989
2191,8.45184,-23.57941,-32.89185
2240,7.63702,-22.67761,-32.58362
2290,5.92957,-21.23108,-33.09174
2340,4.79889,-19.15741,-32.89337
2391,3.40576,-18.11218,-33.16193
2439,0.71106,-16.59088,-33.89587
2490,1.28021,-16.35132,-31.40106
2540,0.14038,-15.54108,-31.57501
2590,-0.10376,-16.97693,-29.93164
2639,-0.19379,-17.87109,-30.00183
2690,0.49744,-19.72504,-28.89404
2740,1.04980,-20.77026,-28.85284
2799,0.59357,-20.76416,-28.45612
2839,0.78278,-21.06323,-29.23279
2889,-1.21460,-20.62073,-30.58014
2939,0.05798,-21.88873,-28.71552
2991,0.57373,-21.67816,-27.60315
3041,-0.18616,-21.08612,-27.92511
3091,-1.87073,-17.80396,-29.07410
3139,-2.80151,-16.27197,-28.89557
3191,-3.33405,-15.47241,-28.73535
3239,-4.09241,-15.19318,-28.43170
3289,-3.90167,-15.22522,-28.48663
3339,-4.79279,-15.00092,-27.38495
3390,-4.46014,-15.06500,-27.49329
3440,-4.31519,-15.60516,-26.95465
3490,-4.21753,-16.80450,-25.85754
3539,-4.47388,-17.72003,-26.24054
3591,-4.25568,-18.85529,-26.12762
3639,-4.40826,-19.65942,-26.38550
3690,-2.83813,-22.12677,-23.98987
3739,-2.78473,-22.70660,-24.04480
3812,-2.40173,-23.42834,-24.24774
3839,-1.42670,-24.80469,-23.79303
3889,-2.65961,-24.95880,-24.77264
3939,0.79193,-28.27606,-21.36536
3990,3.45917,-30.50842,-20.48645
4041,4.87518,-31.34003,-20.51239
4089,6.43921,-33.56628,-18.82935
4139,6.73523,-33.86993,-19.47327
4189,8.43201,-34.80377,-19.64722
4239,12.49695,-37.21313,-15.64636
4289,15.06653,-38.32703,-15.21149
4340,17.69409,-39.60724,-13.38043
4392,21.93756,-40.28778,-13.16833
4440,24.47662,-40.91949,-11.74774
4492,29.28467,-41.23535,-10.39124
4540,31.46820,-41.27502,-10.38055
4590,35.26459,-41.14838,-9.50470
4641,36.93085,-40.82031,-10.50720
4690,39.00146,-40.19470,-10.58197
4739,40.46478,-39.74762,-11.67297
4790,40.67841,-39.72168,-11.40900
4845,41.25366,-39.62555,-12.14447
4888,41.25519,-39.31274,-13.36975
4938,42.61322,-37.36115,-13.63525
4989,47.64862,-37.35199,-12.40845
5040,50.03204,-36.50818,-12.14752
5091,52.74658,-34.60541,-13.09204
5139,54.43420,-33.14056,-13.57422
5191,57.38983,-31.58264,-13.95264
5241,58.92029,-29.37469,-15.12451
5289,60.30426,-28.17078,-16.49628
5339,60.82611,-26.83411,-18.33344
5390,61.26099,-24.81232,-19.93713
5439,61.10077,-22.98431,-21.72394
5489,62.50763,-21.98486,-24.14551
5540,62.97607,-21.15784,-23.53821
5590,62.59766,-20.93201,-25.33722
5639,62.82349,-20.29114,-26.73798
5691,62.89978,-19.38324,-27.50092
5741,63.14850,-17.60406,-29.02985
5792,62.39014,-16.50543,-30.54352
5845,62.94861,-15.47852,-30.00031
5890,61.38763,-13.17139,-32.94067
5939,62.90131,-13.15613,-32.15179
5991,63.90381,-11.54633,-32.04803
6040,63.48419,-10.56366,-32.27692
6092,63.25226,-8.72192,-33.08868
6140,62.68463,-7.92999,-34.03625
6190,62.78992,-6.97021,-34.38721
6241,62.33215,-6.45905,-34.58099
6291,62.28943,-6.64978,-35.86121
6340,61.96289,-7.39899,-35.83527
6389,61.16943,-7.70264,-36.78436
6439,61.15723,-8.50677,-35.80170
6490,62.18414,-8.49609,-35.67810
6541,61.88202,-8.68073,-36.52649
6591,61.49292,-9.41925,-36.68365
6640,61.37543,-9.44519,-36.30371
6691,61.52802,-10.18066,-36.35406
6739,60.76050,-9.88922,-36.83777
6789,60.49957,-10.49805,-36.54785
6846,60.44922,-11.72943,-36.82861
6890,59.80530,-12.26501,-37.77008
6939,57.35626,-13.59253,-39.01215
6990,56.60400,-15.97748,-38.52081
7040,55.08270,-17.02881,-38.95721
7089,53.54767,-19.18182,-40.47241
7139,51.15814,-19.36493,-40.68756
7189,49.41254,-20.85876,-40.98663
7239,48.33069,-21.21277,-40.62042
7290,47.43958,-21.67511,-40.95001
7340,45.20569,-22.40143,-41.78467
7389,43.93311,-22.83630,-42.04865
7439,40.25574,-23.44513,-42.06390
7490,39.29749,-23.66180,-42.59338
7540,37.58698,-23.60229,-42.77344
7589,34.83429,-24.39117,-42.78412
7640,32.83691,-24.14856,-42.86804
7690,30.16510,-24.38354,-42.97028
7741,27.58942,-24.38507,-43.04810
7790,25.72327,-24.16840,-42.67426
7862,22.37701,-23.76709,-41.94794
7889,21.19904,-23.85559,-41.50085
7939,19.04602,-24.30115,-41.20178
7992,17.93823,-25.18158,-39.96277
8040,17.13409,-24.78790,-39.61945
8089,14.20898,-24.02191,-38.38806
8140,12.77313,-23.29254,-37.98370
8191,10.42938,-23.01636,-36.84540
8240,9.39026,-22.67761,-35.74219
8291,7.92999,-22.89276,-35.22339
8340,7.39899,-23.72284,-33.37402
8391,6.51550,-24.73602,-32.41730
8440,6.54755,-26.07727,-30.93567
8490,7.91168,-27.95563,-29.26483
8540,7.63245,-28.55225,-28.55682
8591,7.56989,-28.73993,-27.47650
8641,6.49567,-28.63617,-27.55737
8691,5.83191,-28.23944,-26.62048
8742,5.56641,-28.38135,-26.31683
8790,6.31104,-29.61884,-25.67291
8840,7.73010,-31.73218,-23.94104
8897,8.88062,-32.98187,-22.39380
8939,9.98688,-34.00116,-21.41724
8990,11.12976,-35.16541,-19.96765
9039,12.47253,-35.63385,-19.59839
9089,15.71655,-37.19940,-18.01453
9139,18.50128,-38.29651,-15.97443
9190,21.69647,-39.36005,-14.93225
9239,23.55804,-39.84680,-14.12964
9290,23.99902,-39.99786,-14.09912
9339,26.91650,-40.61279,-13.44147
9389,29.38843,-40.80353,-12.83569
9439,31.94122,-40.70892,-12.39319
9491,35.54230,-40.31372,-11.47766
9540,37.10175,-40.02533,-11.31439
9589,38.77258,-39.93225,-12.29858
9640,39.68048,-39.25018,-12.35504
9691,39.43787,-39.48059,-13.06458
9740,37.38556,-39.72778,-14.63776
9790,36.16486,-39.54620,-15.36407
9840,37.73346,-39.57825,-13.83514
9894,40.63110,-38.78632,-13.83362
9939,42.97943,-37.21466,-15.19470
9989,48.78845,-35.34393,-12.98828
10041,51.57776,-33.73871,-12.34283
10090,54.15802,-31.80389,-14.43787
10139,55.58319,-30.58929,-16.55273
10190,56.97327,-28.91846,-19.71588
10241,57.83539,-27.49634,-22.18170
10290,57.30896,-26.88293,-24.60022
10339,56.91986,-26.10626,-27.08588
10392,55.32532,-25.93384,-29.59442
10439,54.28314,-25.30518,-31.75201
10489,52.84882,-25.80109,-33.52966
10539,51.90582,-25.99030,-33.87604
10591,49.84131,-25.53864,-34.80377
10639,48.79761,-25.83923,-35.87799
10690,47.93854,-26.17035,-36.40442
10740,47.93854,-25.82092,-36.98425
10790,47.53265,-25.65918,-37.20398
10840,48.53363,-25.51117,-37.41302
10898,47.82257,-24.99542,-37.73041
10939,46.69495,-25.26855,-39.26392
10989,45.29877,-25.75989,-39.88647
11040,43.09692,-25.43335,-40.10162
11092,39.59808,-26.37024,-41.03088
11139,35.80933,-25.80719,-42.32635
11189,33.30078,-25.86212,-42.17224
11240,30.66254,-26.93329,-41.98608
11289,29.86755,-27.36053,-41.02936
11339,27.40326,-27.79846,-40.34271
11389,27.74506,-28.87878,-39.22119
11439,27.40479,-29.69666,-38.72681
11489,29.57916,-30.50842,-37.04071
11540,28.40118,-30.24445,-37.82196
11590,27.04010,-29.87823,-37.81281
11642,24.86420,-29.34113,-38.27667
11691,22.35870,-27.77405,-39.07166
11741,18.69354,-26.92719,-39.28223
11790,17.50641,-26.89514,-38.28888
11839,16.62140,-28.06396,-36.71875
11890,15.46021,-28.62854,-36.14655
11944,15.83710,-30.16205,-34.62524
11989,15.55481,-31.41022,-34.10492
12039,17.33093,-32.26318,-31.88171
12090,17.77039,-33.22601,-30.72968
12141,17.27142,-32.95593,-30.20935
12191,15.30304,-32.27234,-30.46417
12239,14.25018,-32.72858,-29.72107
12289,14.60724,-33.35724,-28.95813
12340,14.25781,-33.90045,-27.88086
12389,15.65094,-35.33630,-26.38092
12439,15.23132,-35.43701,-26.16425
12490,18.74237,-36.98425,-23.57941
12539,19.29626,-37.45422,-23.39325
12589,20.59631,-38.00507,-22.96906
12640,20.53680,-37.57477,-22.39532
12691,19.87457,-38.06000,-22.92328
12741,20.59631,-38.16071,-22.35718
12790,20.41473,-38.09814,-22.16492
12840,21.94824,-38.75732,-20.59021
12890,23.23914,-39.57367,-19.68384
12947,25.16632,-39.95972,-18.61420
12989,26.01471,-39.18610,-20.10803
13040,28.11279,-39.55231,-18.67981
13091,31.40411,-40.38544,-16.96625
13142,32.11212,-40.12299,-17.81311
13190,32.32727,-39.78729,-18.12744
13239,33.41522,-39.70490,-19.12384
13291,34.42535,-40.06805,-18.64929
13341,34.00726,-39.81781,-19.01245
13389,33.83484,-39.95361,-18.76068
13439,33.90961,-39.54926,-18.97888
13489,34.32007,-39.75372,-18.71185
13539,35.48431,-39.00299,-18.55621
13589,38.98621,-38.83972,-17.71240
13639,41.33606,-38.34991,-18.62640
13689,42.77496,-38.04169,-18.78052
13740,44.30084,-37.30011,-18.97125
13790,44.61365,-37.53815,-20.03632
13839,45.33081,-36.97815,-20.07294
13890,44.79980,-36.40442,-21.23871
13952,45.71228,-36.34338,-21.34399
13989,46.53015,-35.89783,-21.98029
14039,46.69037,-33.77380,-24.63837
14089,49.20807,-33.34808,-23.29102
14139,51.21613,-32.32117,-24.78027
14190,51.78680,-31.59790,-26.76239
14239,52.83051,-30.17120,-27.43378
14290,51.61133,-29.94843,-28.81165
14340,51.52435,-29.72260,-29.93317
14391,50.59509,-29.41742,-31.28815
14439,48.98376,-28.96729,-32.65991
14491,47.67303,-29.56238,-33.46405
14541,46.31500,-29.77600,-34.15527
14590,44.30695,-29.82788,-35.09674
14639,43.61267,-30.68085,-34.16138
14690,42.37976,-30.37567,-34.38721
14741,42.87415,-30.98907,-35.02197
14793,42.08832,-30.26123,-35.02655
14841,41.76483,-30.81970,-34.92126
14891,41.97540,-30.48096,-35.28137
14955,40.13672,-30.20477,-35.83984
14992,39.84680,-29.86145,-36.40289
15039,37.53204,-29.70734,-38.82141
15089,38.02643,-30.17578,-37.47559
15140,35.95428,-29.05731,-39.05029
15191,34.56726,-29.02069,-38.78479
15239,33.90198,-29.38843,-39.32190
15290,30.96161,-29.21906,-39.71405
15340,30.55420,-29.32739,-39.35699
15390,28.66974,-29.44641,-38.63525
15440,28.41034,-29.58984,-38.88702
15490,27.70996,-29.89502,-38.59253
15540,27.28577,-30.25970,-38.49487
15590,25.56610,-30.00641,-37.43896
15639,23.71521,-29.49219,-37.45728
15689,22.53265,-29.49829,-37.06207
15739,21.44928,-29.69666,-37.30774
15792,19.41376,-29.42657,-36.60278
15841,19.89746,-30.42755,-34.84955
15890,18.62488,-30.48553,-33.70514
15952,19.71588,-31.99158,-33.01544
15989,19.61517,-32.26166,-32.48138
16039,18.12592,-31.47583,-35.40955
16090,17.57813,-31.83594,-32.38983
16139,15.80200,-30.87616,-32.62939
16190,13.38501,-29.84314,-32.97424
16240,11.51428,-29.39606,-31.96869
16291,10.46143,-28.88947,-31.01654
16339,9.51996,-30.13306,-28.92914
16389,11.22437,-31.84967,-27.84424
16439,12.03156,-34.18427,-25.27466
16490,16.64276,-36.81793,-23.09570
16539,17.35382,-37.41455,-22.12372
16590,19.59381,-37.88452,-22.08557
16639,18.79883,-37.80518,-22.32056
16692,19.21082,-38.00964,-22.05353
16739,17.19666,-37.29401,-21.61407
16791,18.20526,-37.96234,-21.85822
16839,20.84656,-38.67340,-20.39185
16890,27.14844,-40.15503,-18.07098
16954,30.28412,-40.04822,-18.26477
16989,32.87354,-39.86359,-18.61725
17039,36.29761,-39.62708,-20.13397
17092,37.79297,-38.89923,-20.73822
17140,34.26056,-38.13934,-24.42169
17190,30.91888,-37.30316,-26.82800
17239,25.24414,-35.45837,-29.76685
17289,21.08307,-34.41467,-30.74951
17339,17.12952,-32.76978,-30.12238
17391,16.81366,-33.26721,-27.93884
17440,18.72253,-34.75647,-26.69678
17489,25.50812,-37.89368,-22.76154
17540,29.62036,-38.78021,-22.38770
17591,35.45837,-38.77258,-22.13440
17640,36.97205,-37.89978,-23.76709
17690,35.39734,-37.70905,-25.35400
17740,30.99670,-36.77673,-28.30505
17791,26.86157,-35.67657,-29.57001
17840,20.97626,-34.21478,-30.85022
17889,18.24036,-33.43964,-30.32532
17944,15.90729,-33.05969,-28.36151
17988,16.94641,-34.41467,-27.03247
18038,21.50726,-36.89270,-24.86115
18089,32.06024,-39.53705,-19.05518
18140,39.40735,-38.81836,-17.92297
18189,42.88025,-37.81586,-18.61725
18241,43.68286,-36.80878,-21.32874
18290,42.59644,-37.37793,-23.67706
18340,38.80615,-37.38556,-26.41296
18391,33.91571,-36.57990,-28.77045
18439,30.21088,-35.53925,-30.79834
18491,27.97394,-35.72845,-30.28107
18539,26.55182,-36.16486,-29.93469
18589,27.10114,-36.63788,-28.49884
18639,28.46069,-36.77673,-27.18201
18689,29.78516,-37.11243,-27.05078
18739,32.44171,-37.32147,-28.53699
18790,34.44672,-37.15515,-26.95618
18839,35.03418,-36.87897,-26.82495
18891,33.32214,-36.34796,-28.88947
18944,30.64270,-35.72235,-30.25513
18989,24.82758,-34.15222,-33.81500
19039,23.92883,-33.84247,-32.81097
19089,21.08154,-33.48999,-30.58472
19139,21.94366,-34.40094,-28.30353
19189,23.91357,-35.78644,-26.84174
19239,29.19006,-38.01270,-24.12872
19290,33.72192,-37.80365,-23.11859
19339,39.00757,-37.44659,-22.39380
19390,42.32483,-36.74316,-23.93799
19439,42.55524,-35.94971,-25.90485
19489,40.87219,-35.67200,-27.62909
19539,38.28278,-35.22949,-29.77448
19591,32.54089,-34.06982,-31.78101
19639,28.66974,-33.13293,-33.46863
19691,25.62866,-32.77283,-33.21991
19740,23.78082,-32.49512,-32.57446
19789,24.00513,-33.95081,-30.49469
19841,27.06757,-35.33936,-28.68042
19889,31.09283,-37.01477,-26.39618
19949,34.46350,-37.01782,-26.04065
19989,37.31384,-36.72791,-26.13831
20039,37.28638,-35.61554,-28.90015
20090,37.01782,-35.01282,-30.45502
20140,33.49457,-33.57086,-33.21533
20191,29.75311,-32.61871,-35.09674
20239,24.07990,-30.58929,-36.66077
20291,20.38574,-29.64478,-36.59973
20340,17.65442,-29.06647,-35.41260
20389,16.49017,-30.87616,-31.83746
20439,18.64624,-33.05969,-30.65491
20489,24.31946,-36.25946,-26.04523
20539,26.94855,-36.87744,-26.01929
20590,31.25610,-37.49695,-24.93744
20640,33.17413,-37.17194,-25.81482
20690,33.31451,-37.27570,-27.20490
20741,33.47168,-36.03973,-28.78113
20791,32.55768,-35.66895,-30.55878
20840,31.03333,-34.66949,-31.97327
20890,27.25220,-33.34351,-32.99866
20945,24.56207,-32.90405,-33.88824
20991,20.47272,-31.41022,-35.78644
21039,18.85071,-31.73676,-34.18579
21089,19.18945,-33.28705,-31.22559
21138,20.86334,-35.17303,-29.94232
21188,21.59271,-35.82306,-28.73688
21240,22.56317,-37.04834,-26.99585
21289,24.29657,-37.31537,-27.21863
21339,22.29156,-36.91559,-26.71204
21389,21.13190,-36.38763,-29.17938
21439,19.93866,-36.51123,-26.96991
21489,21.75903,-37.54425,-26.17188
21539,22.39838,-37.65717,-26.06354
21590,23.61755,-39.08234,-22.98126
21641,26.46942,-39.64691,-21.90704
21690,27.95410,-39.56909,-21.49200
21741,31.94885,-40.60059,-20.13092
21790,33.64105,-40.41443,-20.15228
21840,35.27832,-40.11078,-19.57703
21891,36.19080,-40.20233,-19.71741
21939,37.17346,-40.15656,-19.54803
21999,37.19788,-39.67438,-19.76776
22039,37.23907,-39.62250,-21.16241
22089,38.20496,-38.75580,-21.04950
22139,41.24298,-39.00299,-20.01038
22190,42.35077,-38.70544,-20.69855
22240,43.64166,-38.01117,-20.82520
22290,43.98804,-37.62665,-20.64209
22339,46.42487,-37.01477,-21.01440
22389,46.92383,-36.28387,-21.32721
22439,46.31500,-35.41718,-22.83325
22490,47.19238,-35.17609,-22.71729
22541,47.97363,-35.08759,-23.28033
22590,47.76154,-34.22394,-24.02191
22639,49.34387,-33.71735,-24.80011
22690,49.60022,-33.56781,-25.24261
22740,49.87335,-32.85065,-26.00403
22790,50.30975,-32.41730,-26.57013
22841,50.76294,-31.41785,-26.80664
22889,51.20239,-30.98755,-27.32544
22940,51.75323,-30.56641,-27.66571
22995,52.61841,-30.00183,-28.31268
23039,50.79041,-28.68347,-31.12030
23089,50.99182,-28.80859,-29.73480
23139,52.00806,-28.51563,-30.37262
23191,52.74506,-28.66211,-30.91431
23241,51.53656,-27.79388,-32.01447
23291,51.65253,-27.88239,-32.43256
23339,51.63269,-27.74963,-32.67212
23390,50.88501,-27.28424,-32.84454
23440,50.84991,-26.90887,-33.23975
23489,50.25482,-26.71051,-34.05151
23539,49.28741,-26.84631,-34.03015
23591,48.99902,-27.04468,-34.04541
23640,48.69995,-27.38647,-34.88312
23690,47.73712,-27.17285,-36.04431
23740,47.04437,-27.56348,-35.00366
