time,total received,total sent,mobile received,mobile sent
795,9180577,1755887,0,0
1795,9192279,1756818,0,0
2800,9201059,1757230,0,0
3813,9208766,1757586,0,0
4847,9218355,1757962,0,0
5846,9228301,1758406,0,0
6847,9236966,1758586,0,0
7864,9246338,1758946,0,0
8901,9272056,1759606,0,0
9896,9281727,1760042,0,0
10900,9290796,1760042,0,0
11944,9310034,1760162,0,0
12948,9319033,1760402,0,0
13955,9332221,1760598,0,0
14956,9354745,1760778,0,0
15954,9368730,1760778,0,0
16956,9379366,1760778,0,0
17948,9404142,1762959,0,0
18947,9430256,1763191,0,0
19951,9478088,1763791,0,0
20946,9536084,1763907,0,0
22000,9607147,1763907,0,0
22996,9648326,1764507,0,0
23996,9686819,1764623,0,0
25014,9723191,1764923,0,0
26003,9756550,1765223,0,0
27010,9766219,1765223,0,0
28048,9782991,1765303,0,0
29054,9799889,1765599,0,0
30095,9811607,1765599,0,0
31145,9837515,1765599,0,0
32195,9850691,1765779,0,0
33201,9864612,1765959,0,0
34245,9877778,1766139,0,0
35243,9891776,1766499,0,0
36246,9898861,1766859,0,0
37296,9904035,1766919,0,0
38346,9909699,1767279,0,0
39344,9914581,1767279,0,0
40395,9918360,1767279,0,0
41396,9919821,1767279,0,0
42397,9920676,1767399,0,0
43418,9920676,1767459,0,0
44442,9920676,1767459,0,0
45442,9920676,1767579,0,0
46444,9920676,1767579,0,0
47442,9920831,1767579,0,0
48444,9924913,1768599,0,0
49450,9927284,1769799,0,0
50444,9928637,1770639,0,0
51501,9930789,1771599,0,0
52543,9935287,1772981,0,0
53542,9935287,1774357,0,0
54544,9936221,1774357,0,0
55596,9936221,1775677,0,0
56602,9936221,1775797,0,0
57613,9936221,1777393,15236,105921
58597,9936287,1778653,15302,107181
59596,9936287,1778953,15302,107481
60650,9936363,1780293,15378,108681
61644,9936751,1781428,15438,109532
62650,9936751,1781954,15438,110058
63712,9936871,1782298,15558,110402
64693,9936871,1783697,15558,111801
65692,9936871,1784113,15558,112161
66706,9937654,1784568,15558,112309
67692,9937724,1785454,15558,113075
68695,9938030,1785757,15558,113255
69692,9940499,1787224,15558,113315
70694,9940499,1789341,15558,115432
71704,9940499,1790920,15558,117011
72698,9940499,1794471,15558,120346
73742,9940499,1796643,15558,122310
74802,9951556,1803794,0,0
75794,9955719,1809394,0,0
76853,9956213,1810711,0,0
77849,9956333,1810947,0,0
78851,9956453,1811127,0,0
79844,9956453,1811127,0,0
80842,9957376,1812291,0,0
81855,9957496,1812471,0,0
82858,9957720,1812792,0,0
83844,9957720,1812792,0,0
84895,9957720,1812852,0,0
85910,9958048,1813291,0,0
86901,9958048,1813291,0,0
87950,9958168,1813471,0,0
88945,9958408,1813831,0,0
89946,9958608,1814191,0,0
90996,9959689,1815422,0,0
92048,9959773,1815462,0,0
93044,9966074,1817100,0,0
94048,9966294,1817280,0,0
95043,9966322,1817280,0,0
96045,9966548,1817783,0,0
97051,9968025,1821079,0,0
98058,9968217,1821403,0,0
99044,9968409,1821583,0,0
100101,9968649,1821943,0,0
101097,9968889,1822379,0,0
102098,9968961,1822379,0,0
103098,9968961,1822435,0,0
104103,9969033,1822579,0,0
105109,9969033,1822579,0,0
106108,9969033,1822655,0,0
107100,9969033,1822655,0,0
108103,9969073,1822775,0,0
109095,9969205,1822875,0,0
110102,9969325,1823055,0,0
111094,9970585,1824466,0,0
112104,9970813,1824766,0,0
113109,9971073,1825006,0,0
114099,9971265,1825186,0,0
115144,9971505,1825546,0,0
116143,9971625,1825726,0,0
117143,9973225,1828666,0,0
118149,9975917,1833086,0,0
119144,9977317,1834466,0,0
120143,9979389,1838210,0,0
121141,9979629,1839230,0,0
122157,9982549,1842410,0,0
123163,9984229,1844930,0,0
124151,9984229,1844930,0,0
125149,9984309,1845050,0,0
126191,9985509,1847210,0,0
127213,9986709,1849250,0,0
128209,9987189,1850030,0,0
129265,9987189,1850210,0,0
130262,9987309,1850390,0,0
131257,9987749,1851170,0,0
132306,9987989,1852010,0,0
133309,9988069,1852790,0,0
134362,9988241,1854030,0,0
135363,9988333,1855210,0,0
136360,9988453,1855570,0,0
137349,9988453,1856586,0,0
138404,9988453,1856706,0,0
139410,9988453,1857246,0,0
140455,9988453,1857426,0,0
141445,9989013,1858806,0,0
142444,9989053,1859226,0,0
143446,9989173,1859946,0,0
144445,9989173,1860486,0,0
145494,9989173,1860966,0,0
146555,9989173,1861266,0,0
147544,9989173,1861866,0,0
148550,9989173,1862416,15558,123981
149599,9989173,1864135,15558,125700
150655,9989173,1864351,15558,125700
151715,9989173,1865039,15558,126300
152706,9989225,1866179,15558,127320
153706,9989265,1866888,15558,128029
154725,9989265,1867004,15558,128089
155757,9989317,1868504,15558,129589
156772,9989357,1868504,15558,129589
157811,9989357,1868564,15558,129649
158869,9989357,1869273,15558,130358
159894,9989436,1869333,15637,130418
160912,9989544,1869573,15745,130658
161953,9989544,1869749,15745,130778
162955,9989544,1869869,15745,130898
164019,9989544,1872807,15745,133836
165047,9989853,1873167,16054,134196
166058,9989853,1873407,16054,134436
167056,9989931,1873603,16132,134632
168055,9990038,1874023,16239,135052
169064,9990038,1875211,16239,136240
170068,9990038,1875211,16239,136240
171052,9990038,1875331,16239,136360
172107,9990038,1875767,16239,136796
173109,9990038,1875887,16239,136916
174109,9990038,1877016,16239,138045
175159,9990038,1877256,16239,138285
176145,9990038,1877552,16239,138525
177141,9990038,1877612,16239,138585
