time,distance
40,5.00031
89,5.00031
140,5.00031
189,5.00031
239,5.00031
290,5.00031
339,5.00031
390,5.00031
439,5.00031
489,5.00031
541,5.00031
589,5.00031
640,5.00031
689,5.00031
739,5.00031
795,5.00031
841,5.00031
889,5.00031
940,5.00031
989,5.00031
1040,5.00031
1089,5.00031
1142,5.00031
1193,5.00031
1241,5.00031
1289,5.00031
1339,5.00031
1390,5.00031
1439,5.00031
1490,5.00031
1539,5.00031
1593,5.00031
1642,5.00031
1692,5.00031
1740,5.00031
1793,5.00031
1839,5.00031
1891,5.00031
1939,5.00031
1990,5.00031
2040,5.00031
2089,5.00031
2141,5.00031
2191,5.00031
2241,5.00031
2291,5.00031
2340,5.00031
2392,5.00031
2439,5.00031
2490,5.00031
2540,5.00031
2590,5.00031
2640,5.00031
2691,5.00031
2741,5.00031
2799,5.00031
2840,5.00031
2889,5.00031
2939,5.00031
2992,5.00031
3042,5.00031
3091,5.00031
3139,5.00031
3192,5.00031
3239,5.00031
3290,5.00031
3339,5.00031
3390,5.00031
3440,5.00031
3491,5.00031
3540,5.00031
3593,5.00031
3639,5.00031
3690,5.00031
3739,5.00031
3812,5.00031
3839,5.00031
3889,5.00031
3940,5.00031
3991,5.00031
4042,5.00031
4089,5.00031
4139,5.00031
4189,5.00031
4240,5.00031
4289,5.00031
4340,5.00031
4392,5.00031
4440,5.00031
4497,5.00031
4540,5.00031
4590,5.00031
4641,5.00031
4690,5.00031
4739,5.00031
4790,5.00031
4846,5.00031
4888,5.00031
4939,5.00031
4989,5.00031
5040,5.00031
5092,5.00031
5139,5.00031
5192,5.00031
5242,5.00031
5290,5.00031
5339,5.00031
5390,5.00031
5439,5.00031
5489,5.00031
5540,5.00031
5590,5.00031
5639,5.00031
5691,5.00031
5742,5.00031
5792,5.00031
5845,5.00031
5890,5.00031
5939,5.00031
5991,5.00031
6040,5.00031
6092,5.00031
6140,5.00031
6190,5.00031
6241,5.00031
6291,5.00031
6341,5.00031
6389,5.00031
6439,5.00031
6490,5.00031
6542,5.00031
6591,5.00031
6640,5.00031
6692,5.00031
6740,5.00031
6789,5.00031
6846,5.00031
6890,5.00031
6940,5.00031
6991,5.00031
7040,5.00031
7090,5.00031
7139,5.00031
7190,5.00031
7239,5.00031
7291,5.00031
7341,5.00031
7389,5.00031
7439,5.00031
7490,5.00031
7540,5.00031
7589,5.00031
7641,5.00031
7690,5.00031
7741,5.00031
7790,5.00031
7862,5.00031
7889,5.00031
7939,5.00031
7992,5.00031
8040,5.00031
8090,5.00031
8140,5.00031
8192,5.00031
8241,5.00031
8292,5.00031
8341,5.00031
8393,5.00031
8440,5.00031
8490,5.00031
8540,5.00031
8591,5.00031
8642,5.00031
8692,5.00031
8743,5.00031
8791,5.00031
8841,5.00031
8898,5.00031
8939,5.00031
8990,5.00031
9040,5.00031
9090,5.00031
9140,5.00031
9190,5.00031
9240,5.00031
9291,5.00031
9340,5.00031
9389,5.00031
9439,5.00031
9492,5.00031
9540,5.00031
9590,5.00031
9640,5.00031
9692,5.00031
9741,5.00031
9790,5.00031
9841,5.00031
9895,5.00031
9939,5.00031
9989,5.00031
10041,5.00031
10090,5.00031
10140,5.00031
10190,5.00031
10242,5.00031
10290,5.00031
10339,5.00031
10392,5.00031
10439,5.00031
10490,5.00031
10539,5.00031
10591,5.00031
10639,5.00031
10691,5.00031
10740,5.00031
10790,5.00031
10840,5.00031
10899,5.00031
10939,5.00031
10989,5.00031
11040,5.00031
11092,5.00031
11139,5.00031
11190,5.00031
11241,5.00031
11290,5.00031
11340,5.00031
11389,5.00031
11439,5.00031
11489,5.00031
11540,5.00031
11590,5.00031
11642,5.00031
11691,5.00031
11741,5.00031
11790,5.00031
11840,5.00031
11891,5.00031
11944,5.00031
11990,5.00031
12039,5.00031
12091,5.00031
12142,5.00031
12192,5.00031
12240,5.00031
12289,5.00031
12340,5.00031
12390,5.00031
12439,5.00031
12490,5.00031
12539,5.00031
12589,5.00031
12640,5.00031
12691,5.00031
12742,5.00031
12791,5.00031
12840,5.00031
12890,5.00031
12947,5.00031
12989,5.00031
13040,5.00031
13092,5.00031
13143,5.00031
13190,5.00031
13239,5.00031
13291,5.00031
13341,5.00031
13389,5.00031
13440,5.00031
13489,5.00031
13540,5.00031
13589,5.00031
13639,5.00031
13689,5.00031
13740,5.00031
13791,5.00031
13839,5.00031
13891,5.00031
13952,5.00031
13989,5.00031
14039,5.00031
14089,5.00031
14139,5.00031
14190,5.00031
14239,5.00031
14290,5.00031
14340,5.00031
14391,5.00031
14440,5.00031
14492,5.00031
14542,5.00031
14591,5.00031
14640,5.00031
14691,5.00031
14741,5.00031
14793,5.00031
14842,5.00031
14891,5.00031
14955,5.00031
14992,5.00031
15039,5.00031
15090,5.00031
15141,5.00031
15191,5.00031
15240,5.00031
15290,5.00031
15340,5.00031
15390,5.00031
15440,5.00031
15491,5.00031
15541,5.00031
15590,5.00031
15639,5.00031
15689,5.00031
15739,5.00031
15792,5.00031
15842,5.00031
15891,5.00031
15952,5.00031
15989,5.00031
16039,5.00031
16091,5.00031
16139,5.00031
16191,5.00031
16240,5.00031
16291,5.00031
16339,5.00031
16389,5.00031
16439,5.00031
16491,5.00031
16539,5.00031
16591,5.00031
16640,5.00031
16693,5.00031
16740,5.00031
16791,5.00031
16839,5.00031
16891,5.00031
16954,5.00031
16990,5.00031
17040,5.00031
17094,5.00031
17140,5.00031
17190,5.00031
17239,5.00031
17289,5.00031
17339,5.00031
17391,5.00031
17441,5.00031
17490,5.00031
17541,5.00031
17593,5.00031
17640,5.00031
17690,5.00031
17741,5.00031
17792,5.00031
17840,5.00031
17890,5.00031
17946,5.00031
17989,5.00031
18039,5.00031
18090,5.00031
18141,5.00031
18190,5.00031
18243,5.00031
18291,5.00031
18340,5.00031
18392,5.00031
18439,5.00031
18492,5.00031
18539,5.00031
18589,5.00031
18639,5.00031
18689,5.00031
18739,5.00031
18790,5.00031
18840,5.00031
18891,5.00031
18945,5.00031
18989,5.00031
19040,5.00031
19089,5.00031
19139,5.00031
19189,5.00031
19239,5.00031
19290,5.00031
19339,5.00031
19391,5.00031
19439,5.00031
19490,5.00031
19539,5.00031
19591,5.00031
19639,5.00031
19691,5.00031
19741,5.00031
19789,5.00031
19841,5.00031
19890,5.00031
19950,5.00031
19989,5.00031
20039,5.00031
20090,5.00031
20141,5.00031
20191,5.00031
20239,5.00031
20291,5.00031
20341,5.00031
20389,5.00031
20439,5.00031
20489,5.00031
20540,5.00031
20590,5.00031
20641,5.00031
20691,5.00031
20741,5.00031
20791,5.00031
20840,5.00031
20890,5.00031
20946,5.00031
20991,5.00031
21039,5.00031
21089,5.00031
21139,5.00031
21188,5.00031
21240,5.00031
21289,5.00031
21339,5.00031
21389,5.00031
21439,5.00031
21489,5.00031
21539,5.00031
21590,5.00031
21642,5.00031
21691,5.00031
21741,5.00031
21790,5.00031
21840,5.00031
21891,5.00031
21939,5.00031
22000,5.00031
22039,5.00031
22089,5.00031
22139,5.00031
22191,5.00031
22240,5.00031
22290,5.00031
22340,5.00031
22389,5.00031
22440,5.00031
22490,5.00031
22541,5.00031
22590,5.00031
22639,5.00031
22690,5.00031
22740,5.00031
22791,5.00031
22841,5.00031
22889,5.00031
22940,5.00031
22996,5.00031
23039,5.00031
23089,5.00031
23139,5.00031
23192,5.00031
23242,5.00031
23292,5.00031
23339,5.00031
23391,5.00031
23440,5.00031
23490,5.00031
23539,5.00031
23592,5.00031
23641,5.00031
23690,5.00031
23740,5.00031
23792,5.00031
23840,5.00031
23889,5.00031
23939,5.00031
23995,5.00031
24039,5.00031
24091,5.00031
24140,5.00031
24189,5.00031
24242,5.00031
24290,5.00031
24340,5.00031
24390,5.00031
24439,5.00031
24489,5.00031
24539,5.00031
24589,5.00031
24639,5.00031
24691,5.00031
24741,5.00031
24789,5.00031
24840,5.00031
24890,5.00031
24940,5.00031
25011,5.00031
25039,5.00031
25090,5.00031
25139,5.00031
25190,5.00031
25241,5.00031
25290,5.00031
25340,5.00031
25394,5.00031
25439,5.00031
25490,5.00031
25539,5.00031
25593,5.00031
25639,5.00031
25692,5.00031
25740,5.00031
25790,5.00031
25840,5.00031
25891,5.00031
25939,5.00031
26002,5.00031
26039,5.00031
26089,5.00031
26139,5.00031
26191,5.00031
26241,5.00031
26290,5.00031
26341,5.00031
26391,5.00031
26440,5.00031
26490,5.00031
26541,5.00031
26589,5.00031
26641,5.00031
26689,5.00031
26741,5.00031
26790,5.00031
26839,5.00031
26890,5.00031
26940,5.00031
27008,5.00031
27039,5.00031
27090,5.00031
27139,5.00031
27190,5.00031
27240,5.00031
27289,5.00031
27341,5.00031
27392,5.00031
27440,5.00031
27489,5.00031
27540,5.00031
27591,5.00031
27640,5.00031
27691,5.00031
27740,5.00031
27790,5.00031
27840,5.00031
27889,5.00031
27939,5.00031
27989,5.00031
28046,5.00031
28090,5.00031
28139,5.00031
28190,5.00031
28240,5.00031
28290,5.00031
28340,5.00031
28391,5.00031
28439,5.00031
28489,5.00031
28540,5.00031
28590,5.00031
28640,5.00031
28691,5.00031
28740,5.00031
28789,5.00031
28839,5.00031
28890,5.00031
28941,5.00031
28990,5.00031
29052,5.00031
29089,5.00031
29139,5.00031
29190,5.00031
29241,5.00031
29290,5.00031
29340,5.00031
29390,5.00031
29439,5.00031
29490,5.00031
29539,5.00031
29591,5.00031
29640,5.00031
29690,5.00031
29740,5.00031
29792,5.00031
29839,5.00031
29891,5.00031
29940,5.00031
29990,5.00031
30039,5.00031
30095,5.00031
30138,5.00031
30190,5.00031
30239,5.00031
30288,5.00031
30338,5.00031
30391,5.00031
30439,5.00031
30489,5.00031
30539,5.00031
30589,5.00031
30639,5.00031
30691,5.00031
30739,5.00031
30790,5.00031
30839,5.00031
30890,5.00031
30940,5.00031
30991,5.00031
31041,5.00031
31089,5.00031
31144,5.00031
31189,5.00031
31239,5.00031
31290,5.00031
31340,5.00031
31390,5.00031
31440,5.00031
31490,5.00031
31541,5.00031
31590,5.00031
31640,5.00031
31690,5.00031
31740,5.00031
31792,5.00031
31840,5.00031
31889,5.00031
31941,5.00031
31991,5.00031
32041,5.00031
32090,5.00031
32139,5.00031
32194,5.00031
32239,5.00031
32289,5.00031
