time,strength,level,source
795,99,2,gsm
1794,99,2,gsm
3813,99,2,gsm
4846,99,3,gsm
5845,99,2,gsm
7863,99,2,gsm
9895,99,2,gsm
12948,99,2,gsm
14955,99,3,gsm
18946,99,3,gsm
28048,99,2,gsm
31144,99,3,gsm
33201,99,3,gsm
37295,99,2,gsm
39344,99,0,gsm
42396,99,2,gsm
44442,99,2,gsm
46444,99,3,gsm
48444,99,2,gsm
50443,99,1,gsm
54544,99,2,gsm
57612,99,2,gsm
59595,99,2,gsm
61643,99,2,gsm
62649,99,3,gsm
66705,99,2,gsm
67692,99,2,gsm
68695,99,2,gsm
75793,99,2,gsm
76851,99,2,gsm
77846,99,2,gsm
81854,99,2,gsm
84895,99,3,gsm
86900,99,3,gsm
90996,99,3,gsm
93044,99,3,gsm
96045,99,3,gsm
102098,99,3,gsm
109095,99,3,gsm
112102,99,3,gsm
114096,99,2,gsm
118146,99,3,gsm
120143,99,3,gsm
177141,99,2,gsm
