time,dB(SPL)
40,35.84783
89,31.59567
140,35.56303
189,44.08240
239,33.62482
289,32.86905
339,31.82129
389,34.32007
439,27.60422
489,34.64788
540,42.92256
589,36.12360
639,33.44196
689,33.97940
739,33.06425
794,34.80725
841,44.08240
889,52.42353
939,33.44196
989,34.32007
1040,28.29947
1089,31.36403
1141,28.94316
1192,53.58856
1240,51.97581
1289,53.00615
1339,52.17052
1390,52.36096
1439,52.68955
1489,61.53281
1539,60.05196
1592,50.85651
1640,49.39644
1691,49.06637
1740,49.36695
1792,49.06637
1839,49.03573
1890,49.45513
1939,51.77663
1989,52.48564
2039,33.25516
2089,29.24796
2140,29.54243
2190,30.62958
2240,26.84845
2290,22.92256
2340,25.57507
2391,20.82785
2439,45.10545
2490,59.52700
2540,54.41971
2589,52.08452
2639,54.37003
2690,55.10225
2740,51.48063
2798,26.02060
2839,28.62728
2889,27.23456
2939,35.70660
2991,33.62482
3040,29.24796
3091,45.29636
3139,51.59567
3191,52.34001
3239,51.73175
3289,52.64915
3339,31.12605
3390,33.06425
3439,25.10545
3490,22.27887
3539,27.60422
3591,16.90196
3639,23.52183
3690,30.62958
3739,29.54243
3812,20.00000
3839,29.54243
3889,22.92256
3939,40.50612
3990,35.84783
4041,41.13810
4089,41.79810
4139,38.38156
4189,30.10300
4239,30.62958
4289,34.32007
4340,32.86905
4391,39.91270
4439,40.34067
4491,38.98780
4540,36.90196
4590,38.48559
4640,37.50123
4690,38.58838
4739,38.48559
4790,33.97940
4845,22.27887
4888,18.06180
4938,24.60898
4989,31.36403
5040,29.24796
5090,29.54243
5139,28.62728
5191,36.52150
5241,33.44196
5289,27.23456
5339,28.29947
5390,27.23456
5439,58.19112
5489,58.01826
5540,58.33960
5590,58.46488
5639,27.60422
5690,31.36403
5741,30.10300
5791,26.44439
5844,32.04120
5890,34.32007
5939,24.60898
5990,35.11750
6039,28.29947
6091,28.62728
6140,24.60898
6190,26.84845
6240,19.08485
6290,16.90196
6340,16.90196
6388,20.82785
6439,21.58362
6490,30.37028
6541,58.62916
6591,38.48559
6640,26.44439
6691,20.00000
6739,21.58362
6789,50.68052
6845,53.02556
6890,39.46256
6939,41.86843
6990,39.36966
7040,41.65571
7089,39.73543
7139,23.52183
7189,38.68997
7239,30.62958
7290,36.12360
7340,37.38463
7389,38.88965
7439,38.48559
7490,40.08643
7540,39.36966
7589,40.90646
7640,37.84189
7689,22.27887
7740,22.92256
7789,21.58362
7862,20.00000
7889,19.08485
7939,30.10300
7991,21.58362
8040,34.64788
8089,27.60422
8140,26.44439
8191,23.52183
8240,23.52183
8291,21.58362
8340,12.04120
8390,20.00000
8439,16.90196
8490,23.52183
8539,32.04120
8591,24.08240
8641,20.00000
8691,16.90196
8742,16.90196
8790,24.08240
8840,16.90196
8897,22.92256
8939,19.08485
8990,33.06425
9039,34.32007
9089,30.37028
9139,21.58362
9189,21.58362
9239,28.29947
9290,21.58362
9339,19.08485
9389,13.97940
9439,25.57507
9490,28.94316
9540,25.57507
9589,16.90196
9639,16.90196
9691,20.00000
9740,13.97940
9790,22.27887
9840,29.54243
9894,25.57507
9939,56.72648
9989,58.37109
10041,37.38463
10089,31.82129
10139,25.57507
10189,31.12605
10241,22.92256
10290,21.58362
10339,26.02060
10392,26.84845
10439,20.82785
10489,29.54243
10539,32.25568
10591,33.97940
10639,21.58362
10690,29.54243
10740,27.95880
10789,29.82723
10840,20.00000
10898,20.00000
10939,18.06180
10989,30.62958
11039,33.97940
11091,31.59567
11139,30.88136
11189,19.08485
11240,20.82785
11289,15.56303
11339,16.90196
11389,27.95880
11439,27.60422
11489,28.29947
11540,24.08240
11590,20.82785
11640,13.97940
11690,13.97940
11741,20.00000
11790,19.08485
11839,30.88136
11890,26.44439
11944,27.60422
11989,26.02060
12039,33.25516
12090,34.15140
12141,26.44439
12191,20.82785
12239,18.06180
12289,16.90196
12339,19.08485
12389,32.04120
12439,33.06425
12490,31.12605
12539,24.08240
12589,20.00000
12639,29.54243
12690,29.54243
12741,34.15140
12790,26.84845
12840,25.57507
12890,20.00000
12947,24.60898
12989,20.82785
13039,32.04120
13091,33.62482
13141,33.80392
13189,28.29947
13239,21.58362
13290,28.94316
13341,25.57507
13389,27.95880
13439,22.27887
13489,19.08485
13539,28.94316
13589,30.10300
13639,25.57507
13689,29.54243
13740,27.23456
13790,28.29947
13839,24.08240
13890,16.90196
13951,29.82723
13989,25.10545
14039,23.52183
14089,62.41806
14139,35.11750
14189,26.02060
14239,18.06180
14290,31.12605
14340,33.97940
14391,20.82785
14439,19.08485
14491,22.27887
14540,31.12605
14590,29.24796
14639,29.82723
14690,27.60422
14740,19.08485
14792,22.27887
14840,25.10545
14890,23.52183
14954,20.82785
14991,29.82723
15039,25.57507
15089,31.36403
15140,23.52183
15190,29.54243
15239,27.95880
15290,28.94316
15339,22.27887
15390,18.06180
15440,23.52183
15490,28.62728
15540,29.24796
15589,29.82723
15639,27.60422
15689,60.92210
15739,33.62482
15791,32.46499
15841,24.08240
15890,22.92256
15952,24.08240
15989,20.00000
16039,19.08485
16090,35.56303
16139,27.95880
16190,30.10300
16240,34.80725
16291,22.27887
16339,34.80725
16389,18.06180
16439,19.08485
16490,32.46499
16539,59.55447
16590,46.60828
16639,26.84845
16692,26.84845
16739,25.57507
16789,21.58362
16839,21.58362
16890,32.25568
16952,33.80392
16989,30.37028
17039,27.60422
17092,35.41704
17140,30.37028
17190,24.08240
17239,26.02060
17289,31.12605
17339,28.62728
17390,24.60898
17440,15.56303
17489,26.84845
17540,31.59567
17591,29.82723
17640,18.06180
17689,18.06180
17740,18.06180
17791,15.56303
17839,15.56303
17889,19.08485
17944,16.90196
17988,16.90196
18038,24.08240
18089,57.90845
18140,53.19832
18189,35.41704
18240,30.37028
18290,22.92256
18340,30.37028
18391,24.08240
18439,20.82785
18491,58.23380
18539,42.21179
18588,28.62728
18639,33.62482
18689,28.29947
18739,26.44439
18790,35.56303
18839,31.59567
18891,23.52183
18944,19.08485
18989,22.92256
19039,33.62482
19089,35.11750
19139,30.37028
19189,25.10545
19239,18.06180
19289,18.06180
19339,18.06180
19390,16.90196
19439,15.56303
19489,30.88136
19539,31.12605
19590,20.82785
19639,20.00000
19691,25.10545
19740,21.58362
19789,18.06180
19840,22.92256
19889,26.84845
19949,30.37028
19989,33.06425
20039,33.25516
20089,32.25568
20140,25.57507
20191,19.08485
20239,21.58362
20290,25.10545
20340,21.58362
20389,13.97940
20439,16.90196
20489,22.92256
20539,26.02060
20590,30.10300
20640,27.60422
20690,19.08485
20740,19.08485
20791,20.00000
20840,13.97940
20890,19.08485
20945,20.82785
20991,29.54243
21039,26.84845
21089,35.41704
21138,34.32007
21188,33.44196
21240,32.04120
21289,35.41704
21339,35.26856
21389,34.64788
21439,34.48552
21489,59.45331
21539,58.56792
21590,59.56361
21641,27.95880
21690,21.58362
21740,18.06180
21789,19.08485
21840,15.56303
21891,22.92256
21939,18.06180
21999,16.90196
22039,15.56303
22089,29.82723
22139,35.84783
22190,30.62958
22240,28.94316
22290,22.27887
22339,24.08240
22389,21.58362
22439,32.25568
22490,34.64788
22541,24.60898
22590,20.82785
22638,26.44439
22690,15.56303
22740,21.58362
22790,19.08485
22840,16.90196
22889,26.02060
22940,29.24796
22995,30.37028
23039,16.90196
23089,57.36113
23139,59.81565
23191,33.80392
23241,26.84845
23291,18.06180
23339,22.92256
23390,26.44439
23439,25.57507
23489,26.84845
23539,32.04120
23591,28.62728
23640,19.08485
23690,29.24796
23739,33.62482
23790,16.90196
23840,18.06180
23889,16.90196
23939,18.06180
23995,19.08485
24039,15.56303
24090,33.62482
24140,32.25568
24189,33.25516
24241,20.00000
24290,15.56303
24339,13.97940
24389,25.10545
24438,22.92256
24489,24.08240
24538,27.95880
24589,32.86905
24639,31.82129
24690,29.54243
24740,31.36403
24789,25.10545
24840,29.24796
24890,32.86905
24939,24.60898
25007,31.82129
25039,33.80392
25089,30.88136
25139,36.12360
25190,35.26856
25240,25.57507
25290,20.00000
25339,21.58362
25393,25.10545
25439,28.29947
25489,30.88136
25539,22.27887
25592,29.54243
25639,27.23456
25692,18.06180
25739,16.90196
25790,18.06180
25840,20.00000
25890,28.29947
25939,21.58362
26001,18.06180
26039,18.06180
26089,32.04120
26139,34.15140
26190,33.44196
26240,26.02060
26290,21.58362
26340,27.23456
26390,25.10545
26439,18.06180
26489,24.60898
26541,27.23456
26589,57.67323
26641,24.60898
26689,25.57507
26740,26.44439
26789,25.57507
26839,19.08485
26889,20.00000
26940,13.97940
27006,19.08485
27039,23.52183
27089,56.97609
27138,31.82129
27190,29.82723
27240,24.08240
27289,20.00000
27341,22.92256
27390,32.86905
27439,21.58362
27489,56.83970
27540,59.49023
27590,57.34935
27640,37.95254
27690,20.82785
27740,24.60898
27790,18.06180
27839,15.56303
27889,19.08485
27939,23.52183
27989,27.60422
28044,24.60898
28089,18.06180
28138,30.37028
28190,34.15140
28239,22.92256
28289,16.90196
28339,18.06180
28391,22.92256
28439,30.88136
28489,30.88136
28539,33.06425
28589,26.44439
28639,29.54243
28690,26.84845
28739,24.08240
28789,30.37028
28839,31.59567
28889,35.41704
28940,22.27887
28989,15.56303
29051,29.82723
29089,15.56303
29139,31.59567
29189,33.25516
29240,25.57507
29289,28.29947
29339,26.84845
29389,25.10545
29439,27.95880
29490,32.04120
29539,27.95880
29590,20.00000
29640,16.90196
29689,18.06180
29739,19.08485
29790,16.90196
29839,13.97940
29891,18.06180
29940,26.44439
29990,20.82785
30039,15.56303
30094,19.08485
30138,28.94316
30189,37.14665
30239,33.25516
30288,27.95880
30338,31.59567
30390,35.11750
30439,28.94316
30489,32.86905
30539,33.06425
30589,35.70660
30638,35.56303
30690,28.29947
30739,26.84845
30790,24.60898
30839,20.82785
30890,19.08485
30939,18.06180
30990,15.56303
31040,15.56303
31089,16.90196
31143,29.54243
