time,x,y,z
35,1.86513,0.21335,9.46780
85,1.83220,0.26695,9.44548
136,1.88516,0.13759,9.42638
186,1.92659,0.12228,9.48451
236,2.01756,-0.07027,9.53682
287,1.82106,-0.22833,9.41638
337,1.72464,-0.04160,9.69508
387,1.41357,-0.10306,9.44069
438,1.11488,0.41446,9.41687
485,1.50687,-0.10147,9.60931
537,1.84760,0.36292,9.55029
586,1.35545,0.13524,9.79671
636,0.96761,-0.59573,9.12796
687,2.90962,-0.04973,9.42281
743,4.14896,1.03865,9.04216
787,4.79889,-0.69402,8.58292
836,4.67259,0.07904,8.90149
886,4.62665,-0.21660,8.79739
937,4.07509,-0.50319,9.06108
986,4.66536,-0.31636,8.85756
1037,5.48549,0.58418,9.89209
1086,5.10376,-0.55049,9.65215
1135,4.12968,-0.21545,11.19188
1188,4.91994,-0.68590,10.61714
1236,5.51212,-0.27901,9.11612
1286,4.69054,-0.16722,8.78104
1336,4.87376,2.04970,9.20181
1386,3.08276,0.85468,8.99966
1436,3.16742,1.81711,8.49324
1486,0.03873,0.10991,9.71829
1537,-2.89503,-2.62090,9.27133
1586,-2.85843,-1.90709,12.26978
1636,1.33873,0.22134,11.07675
1686,3.88538,-1.25522,9.93256
1744,1.77107,0.95190,8.55978
1786,0.77531,2.07892,10.09793
1836,2.95268,2.95268,9.85364
1886,-0.64386,1.42499,8.78120
1937,1.08652,3.01891,2.55952
1987,0.47237,1.60471,10.62956
2037,3.99487,4.14932,7.07323
2087,-2.06743,-1.73615,9.24863
2136,4.36832,1.01836,12.97771
2188,0.79874,2.12480,11.01233
2237,9.12216,3.97621,12.55946
2287,3.31438,1.94226,8.36726
2337,2.64154,0.59950,11.45238
2386,0.98859,1.38548,10.22949
2436,3.45174,2.26994,7.91704
2487,3.12175,1.62270,10.35307
2536,1.96056,1.57437,10.76421
2588,2.32388,2.75569,7.42448
2637,2.15764,1.68169,9.04193
2687,3.46051,1.19690,9.24518
2753,1.74417,2.13257,11.00337
2786,1.05563,1.42476,12.23048
2837,3.04678,2.36302,10.11984
2886,4.98392,2.12732,5.50146
2937,6.97293,3.07765,8.02209
2988,3.81944,0.05917,8.65341
3037,-4.23250,-0.64337,6.19583
3086,2.93158,-2.40869,10.19649
3136,1.41846,1.71599,8.97551
3187,-2.03888,-0.84007,7.79794
3237,0.32655,2.63576,14.50458
3286,2.11459,0.82858,13.36967
3336,3.71657,0.57524,7.58533
3387,0.35052,-0.45412,12.12723
3436,-0.52185,0.34882,12.94971
3488,2.62245,0.92848,11.86017
3539,4.21198,-1.59229,6.85748
3586,-4.55554,-0.89943,9.35005
3636,-0.19594,-1.26984,8.47589
3686,3.77538,1.43251,9.46021
3737,0.34613,-0.69620,8.29179
3789,3.00551,2.07385,11.73024
3836,2.32120,0.10568,10.83205
3887,4.47462,1.99628,7.00656
3937,2.42720,1.74814,9.64172
3986,0.47833,1.07724,9.25964
4038,2.29326,2.05145,11.82967
4086,5.02629,1.80089,9.32249
4136,9.29533,-0.43758,11.39792
4185,3.56244,3.64948,8.80255
4239,0.38162,-0.37009,8.81329
4287,0.04857,-1.17783,9.65184
4339,-2.46352,-2.86836,11.69666
4388,4.53987,0.81010,8.37059
4436,9.54123,1.39648,11.67438
4487,-1.28877,0.37714,6.25778
4537,0.95346,1.29761,5.97914
4587,4.98944,0.65498,5.99718
4638,-3.11528,3.42732,3.76819
4688,3.34735,0.68896,12.52223
4738,4.40271,-1.10880,5.92305
