time,azimuth
36,-68
86,-67
137,-69
187,-67
237,-67
287,-68
337,-68
389,-70
440,-69
486,-70
537,-70
587,-68
636,-70
689,-67
744,-59
788,-63
836,-61
887,-64
937,-63
987,-61
1038,-56
1086,-59
1136,-58
1189,-60
1237,-66
1287,-64
1337,-47
1387,-48
1438,-64
1486,-78
1539,-71
1587,-73
1637,-71
1687,-61
1745,-59
1786,-58
1836,-49
1886,-57
1937,-55
1990,-55
2037,-43
2094,-65
2136,-54
2189,-55
2238,-59
2288,-55
2337,-49
2386,-43
2437,-41
2487,-44
2536,-42
2588,-41
2638,-44
2688,-37
2759,-39
2787,-40
2837,-34
2887,-36
2937,-16
2989,-36
3038,-56
3087,-47
3137,-32
3188,-55
3238,-39
3287,-51
3339,-41
3388,-49
3437,-62
3489,-49
3540,-52
3586,-57
3639,-47
3687,-50
3739,-47
3790,-49
3836,-42
3888,-41
3937,-38
3986,-44
4038,-38
4087,-31
4137,-35
4186,-26
4239,-48
4288,-47
4340,-54
4390,-66
4437,-49
4487,-52
4539,-37
4588,-44
4639,-40
4689,-43
4742,-48
4796,-54
4836,-52
4889,-50
4939,-48
4990,-60
5039,-58
5088,-58
5136,-56
5187,-63
5241,-57
5288,-59
5336,-50
5387,-56
5439,-61
5487,-54
5539,-58
5591,-46
5639,-64
5688,-48
5737,-44
5796,-47
5838,-53
5887,-52
5936,-54
5989,-39
6037,-63
6087,-55
6136,-49
6188,-52
6236,-46
6288,-50
6339,-46
6388,-70
6439,-48
6487,-39
6536,-45
6587,-34
6636,-52
6686,-59
6737,-43
6795,-39
6836,-47
6886,-50
6938,-48
6989,-45
7038,-65
7094,-52
7138,-56
7186,-47
7236,-51
7287,-49
7340,-50
7386,-36
7438,-51
7486,-42
7539,-38
7588,-47
7639,-53
7686,-49
7738,-45
7801,-51
7839,-49
7886,-42
7937,-37
7986,-44
8037,-37
8086,-42
8138,-53
8187,-45
8239,-46
8289,-45
8337,-50
8387,-39
8438,-51
8487,-57
8538,-43
8587,-43
8642,-37
8688,-48
8736,-2
8796,-37
8838,-44
8886,-71
8939,-43
8987,-51
9037,-64
9087,-53
9136,-23
9186,-42
9236,-38
9287,-27
9337,-38
9387,-33
9438,-48
9488,-38
9539,-39
9586,-50
9639,-52
9686,-35
9737,-39
9786,-52
9852,-41
9887,-45
9937,-36
9986,-44
