time,USER,SYSTEM,IOW,IRQ
747,-1,-1,-1,-1
1746,-1,-1,-1,-1
2760,-1,-1,-1,-1
3790,-1,-1,-1,-1
4796,-1,-1,-1,-1
5796,-1,-1,-1,-1
6796,-1,-1,-1,-1
7801,-1,-1,-1,-1
8802,-1,-1,-1,-1
9853,-1,-1,-1,-1
10846,-1,-1,-1,-1
11854,-1,-1,-1,-1
12848,-1,-1,-1,-1
13892,-1,-1,-1,-1
14943,-1,-1,-1,-1
15950,-1,-1,-1,-1
16949,-1,-1,-1,-1
17949,-1,-1,-1,-1
19001,-1,-1,-1,-1
19991,-1,-1,-1,-1
20993,-1,-1,-1,-1
21989,-1,-1,-1,-1
23002,-1,-1,-1,-1
23995,-1,-1,-1,-1
24994,-1,-1,-1,-1
25993,-1,-1,-1,-1
27002,-1,-1,-1,-1
27997,-1,-1,-1,-1
29042,-1,-1,-1,-1
30044,-1,-1,-1,-1
31096,-1,-1,-1,-1
32144,-1,-1,-1,-1
33142,-1,-1,-1,-1
34139,-1,-1,-1,-1
35143,-1,-1,-1,-1
36145,-1,-1,-1,-1
37143,-1,-1,-1,-1
38203,-1,-1,-1,-1
39245,-1,-1,-1,-1
40307,-1,-1,-1,-1
41290,-1,-1,-1,-1
42296,-1,-1,-1,-1
43340,-1,-1,-1,-1
44345,-1,-1,-1,-1
45349,-1,-1,-1,-1
46349,-1,-1,-1,-1
47350,-1,-1,-1,-1
48391,-1,-1,-1,-1
49399,-1,-1,-1,-1
50391,-1,-1,-1,-1
51393,-1,-1,-1,-1
52394,-1,-1,-1,-1
53395,-1,-1,-1,-1
54390,-1,-1,-1,-1
55397,-1,-1,-1,-1
56452,-1,-1,-1,-1
57444,-1,-1,-1,-1
58455,-1,-1,-1,-1
59449,-1,-1,-1,-1
60505,-1,-1,-1,-1
61491,-1,-1,-1,-1
62497,-1,-1,-1,-1
63502,-1,-1,-1,-1
64551,-1,-1,-1,-1
65544,-1,-1,-1,-1
66540,-1,-1,-1,-1
67549,-1,-1,-1,-1
68603,-1,-1,-1,-1
69589,-1,-1,-1,-1
70596,-1,-1,-1,-1
71647,-1,-1,-1,-1
72652,-1,-1,-1,-1
73651,-1,-1,-1,-1
74643,-1,-1,-1,-1
75657,-1,-1,-1,-1
76645,-1,-1,-1,-1
77655,-1,-1,-1,-1
78649,-1,-1,-1,-1
79717,-1,-1,-1,-1
80639,-1,-1,-1,-1
81692,-1,-1,-1,-1
82690,-1,-1,-1,-1
83700,-1,-1,-1,-1
84690,-1,-1,-1,-1
85693,-1,-1,-1,-1
86690,-1,-1,-1,-1
87702,-1,-1,-1,-1
88691,-1,-1,-1,-1
89751,-1,-1,-1,-1
90741,-1,-1,-1,-1
91748,-1,-1,-1,-1
92748,-1,-1,-1,-1
93757,-1,-1,-1,-1
94790,-1,-1,-1,-1
95796,-1,-1,-1,-1
96792,-1,-1,-1,-1
97791,-1,-1,-1,-1
98803,-1,-1,-1,-1
99851,-1,-1,-1,-1
100892,-1,-1,-1,-1
101898,-1,-1,-1,-1
102948,-1,-1,-1,-1
103991,-1,-1,-1,-1
104995,-1,-1,-1,-1
105992,-1,-1,-1,-1
106990,-1,-1,-1,-1
107990,-1,-1,-1,-1
108994,-1,-1,-1,-1
109990,-1,-1,-1,-1
110990,-1,-1,-1,-1
111992,-1,-1,-1,-1
112991,-1,-1,-1,-1
113996,-1,-1,-1,-1
115050,-1,-1,-1,-1
116043,-1,-1,-1,-1
117099,-1,-1,-1,-1
118090,-1,-1,-1,-1
119092,-1,-1,-1,-1
120139,-1,-1,-1,-1
121139,-1,-1,-1,-1
122143,-1,-1,-1,-1
123193,-1,-1,-1,-1
124190,-1,-1,-1,-1
125242,-1,-1,-1,-1
126246,-1,-1,-1,-1
127243,-1,-1,-1,-1
128249,-1,-1,-1,-1
129245,-1,-1,-1,-1
130300,-1,-1,-1,-1
131293,-1,-1,-1,-1
132292,-1,-1,-1,-1
133352,-1,-1,-1,-1
134341,-1,-1,-1,-1
135347,-1,-1,-1,-1
136342,-1,-1,-1,-1
137348,-1,-1,-1,-1
138349,-1,-1,-1,-1
139356,-1,-1,-1,-1
140393,-1,-1,-1,-1
141397,-1,-1,-1,-1
142394,-1,-1,-1,-1
143441,-1,-1,-1,-1
144443,-1,-1,-1,-1
145446,-1,-1,-1,-1
146450,-1,-1,-1,-1
147440,-1,-1,-1,-1
148452,-1,-1,-1,-1
149451,-1,-1,-1,-1
