time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
744,22.32101220,87.30826790,4,-20.00000,0.00000,33,16
1746,22.32100700,87.30826640,4,-20.00000,0.00000,33,16
2760,22.32100280,87.30825140,4,-20.00000,1.22000,33,16
3790,22.32100900,87.30824310,4,-20.00000,0.95000,33,16
4796,22.32101030,87.30821780,4,-19.00000,2.05000,33,16
5796,22.32100870,87.30819010,4,-19.00000,2.23000,34,16
6795,22.32101130,87.30816700,3,-20.00000,1.79000,34,16
7801,22.32101180,87.30813660,4,-20.00000,2.61000,34,16
8799,22.32101090,87.30810640,4,-21.00000,2.75000,34,16
9853,22.32101440,87.30808120,4,-20.00000,2.64000,34,16
10846,22.32102420,87.30805570,4,-20.00000,3.04000,34,16
11853,22.32103560,87.30803990,4,-20.00000,1.88000,34,16
12848,22.32104300,87.30802470,4,-19.00000,2.16000,34,16
13892,22.32104650,87.30799730,4,-19.00000,3.38000,34,16
14943,22.32104640,87.30796290,4,-19.00000,3.35000,34,16
15950,22.32104340,87.30792940,4,-18.00000,3.30000,34,16
16949,22.32104320,87.30789530,4,-18.00000,3.51000,34,16
17948,22.32104410,87.30785820,4,-17.00000,3.53000,34,16
19001,22.32104700,87.30782160,4,-17.00000,3.61000,34,16
19991,22.32105030,87.30778270,4,-17.00000,3.81000,34,16
20993,22.32105290,87.30774390,4,-17.00000,3.68000,34,16
21989,22.32105340,87.30770630,4,-17.00000,3.72000,34,16
23002,22.32105310,87.30766710,4,-16.00000,3.92000,34,16
23994,22.32105470,87.30762830,4,-16.00000,3.76000,34,16
24994,22.32105790,87.30758560,4,-17.00000,4.25000,34,16
25991,22.32105570,87.30754630,4,-17.00000,3.90000,34,16
27002,22.32105080,87.30750970,4,-17.00000,3.70000,34,16
27997,22.32104990,87.30747540,4,-17.00000,3.49000,34,15
29042,22.32105260,87.30743710,4,-18.00000,3.93000,34,15
30044,22.32105480,87.30740110,4,-18.00000,3.67000,34,15
31094,22.32105330,87.30735660,4,-18.00000,4.31000,34,15
32144,22.32105540,87.30727640,4,-18.00000,3.45000,34,16
33141,22.32105470,87.30724140,4,-18.00000,3.11000,34,16
34139,22.32104380,87.30720610,4,-18.00000,3.64000,34,16
35142,22.32102950,87.30717580,4,-18.00000,3.21000,34,16
36144,22.32101860,87.30715790,4,-18.00000,2.10000,34,16
37143,22.32099150,87.30714730,4,-18.00000,3.16000,34,16
38202,22.32096240,87.30713900,5,-18.00000,3.05000,34,16
39245,22.32092910,87.30715060,4,-18.00000,2.83000,34,16
40306,22.32088990,87.30716160,5,-17.00000,3.57000,34,15
41290,22.32085450,87.30716830,4,-18.00000,3.58000,35,15
42295,22.32081690,87.30718040,4,-18.00000,3.97000,35,15
43340,22.32077550,87.30718940,4,-18.00000,4.29000,35,16
44344,22.32073200,87.30719950,5,-17.00000,4.05000,35,16
45348,22.32068920,87.30720560,4,-17.00000,4.44000,35,15
46348,22.32064520,87.30721130,4,-17.00000,4.40000,35,16
47349,22.32060180,87.30721390,4,-16.00000,4.49000,35,15
48390,22.32054810,87.30722530,4,-17.00000,5.15000,35,16
49399,22.32051840,87.30723310,4,-15.00000,4.02000,35,16
50391,22.32047450,87.30723290,4,-15.00000,4.49000,35,16
51393,22.32042900,87.30723790,4,-15.00000,4.54000,35,14
52394,22.32039210,87.30723680,4,-15.00000,4.54000,35,12
53394,22.32035280,87.30724010,4,-15.00000,4.42000,35,12
54390,22.32031490,87.30724660,4,-14.00000,4.24000,35,14
55396,22.32027410,87.30725120,4,-14.00000,4.58000,35,14
56452,22.32023430,87.30725280,4,-14.00000,4.44000,35,14
57444,22.32019890,87.30725260,4,-14.00000,4.13000,35,14
58452,22.32016020,87.30725810,4,-14.00000,4.32000,35,14
59449,22.32012840,87.30726880,4,-14.00000,3.70000,35,14
60503,22.32009040,87.30726910,4,-12.00000,4.17000,35,14
61491,22.32006170,87.30726870,4,-12.00000,3.19000,35,15
62497,22.32001990,87.30726820,4,-12.00000,3.59000,35,14
63502,22.31998240,87.30727190,4,-12.00000,3.95000,35,15
64547,22.31994780,87.30727890,4,-13.00000,3.57000,36,16
65544,22.31991430,87.30728610,4,-13.00000,3.68000,35,16
66540,22.31988180,87.30729610,4,-14.00000,3.40000,36,16
67548,22.31985370,87.30730590,4,-13.00000,2.96000,36,17
68602,22.31983370,87.30731930,4,-12.00000,2.66000,36,17
69588,22.31981660,87.30733750,4,-11.00000,2.68000,36,17
70595,22.31980770,87.30736040,4,-11.00000,2.48000,36,17
71646,22.31980190,87.30738840,4,-11.00000,2.94000,36,17
72647,22.31979970,87.30741320,4,-11.00000,2.07000,35,17
73650,22.31980330,87.30744430,4,-11.00000,3.24000,35,17
74643,22.31981070,87.30747450,4,-11.00000,2.65000,35,17
75656,22.31982040,87.30750590,4,-10.00000,3.34000,35,17
76644,22.31982870,87.30753950,4,-12.00000,3.32000,35,17
77654,22.31983530,87.30757470,4,-12.00000,3.42000,36,17
78649,22.31983990,87.30761070,4,-12.00000,3.42000,36,17
79717,22.31984180,87.30762940,4,-13.00000,0.00000,33,14
80639,22.31984320,87.30763800,4,-13.00000,1.12000,33,14
81692,22.31984850,87.30767670,4,-14.00000,2.90000,33,17
82690,22.31985240,87.30771350,5,-14.00000,2.89000,33,17
83700,22.31986970,87.30780780,5,-13.00000,3.69000,33,17
84690,22.31988300,87.30783350,6,-13.00000,3.44000,33,15
85692,22.31988860,87.30788450,6,-13.00000,4.14000,34,15
86690,22.31986840,87.30790890,6,-13.00000,3.46000,34,15
87701,22.31985570,87.30793700,8,-15.00000,3.27000,34,15
