time,x,y,z
36,-0.01331,-0.00041,-0.00963
86,-0.02133,-0.00206,0.01945
137,-0.02312,-0.00052,0.04480
186,-0.03108,-0.00111,0.07443
237,-0.03134,-0.00417,0.05713
287,-0.00229,-0.00653,-0.01073
337,0.00000,-0.00775,-0.01408
389,-0.01718,-0.01003,0.03679
439,-0.00578,-0.01517,-0.00241
486,0.01372,-0.01228,-0.01718
537,-0.01096,-0.00520,0.07648
586,-0.04115,0.00734,0.19849
636,-0.04700,0.01622,0.14548
688,-0.02606,-0.00294,0.11397
744,-0.02048,-0.02510,-0.12416
787,-0.02357,-0.05502,-0.26595
836,0.00815,-0.05931,-0.42108
887,-0.01491,-0.09935,-0.55042
937,-0.00879,-0.06052,-0.46448
987,0.05057,0.03485,-0.34793
1037,0.07080,0.13066,-0.22980
1086,0.11951,0.18953,0.10532
1136,0.10930,0.13931,0.18259
1188,0.12784,0.15634,0.20079
1236,-0.10999,-0.12189,0.23901
1286,-0.12248,-0.32326,0.23943
1337,-0.01654,-0.12805,-0.19853
1386,0.06149,-0.11821,-0.25525
1437,0.14705,0.17578,-0.39505
1486,-0.00803,0.03587,-0.35403
1537,0.03851,0.03645,-0.53925
1587,0.17856,0.01884,-0.59979
1636,0.26102,-0.02505,-0.86043
1687,0.38004,-0.00233,-1.42941
1744,0.38661,-0.01976,-1.61356
1786,0.35231,-0.03386,-1.69930
1836,0.11256,-0.11757,-1.26805
1886,0.01578,-0.19176,-0.92365
1937,0.00694,0.12717,-0.29829
1988,-0.37515,-0.19296,0.34180
2037,-0.44675,-0.27148,0.52686
2089,-0.48602,-0.28262,0.80423
2136,-0.39810,-0.27141,0.54012
2189,0.06462,0.18289,-0.09753
2238,-0.00049,-0.01987,0.02374
2288,0.10074,-0.15491,-0.53729
2337,0.14038,-0.10260,-0.82854
2386,0.18173,-0.07387,-1.10197
2436,0.23074,0.16954,-0.97600
2487,0.04478,-0.00349,-0.63321
2536,0.14027,0.21434,-0.40434
2588,-0.07292,0.02748,-0.23450
2637,-0.20416,-0.11507,-0.27888
2687,-0.29604,-0.22659,-0.17186
2759,-0.49870,-0.38271,-0.12132
2787,-0.28166,-0.08618,0.17351
2837,-0.32980,0.06743,0.58879
2887,-0.65317,-0.25386,1.03760
2937,-0.91176,-0.60248,1.21930
2989,-1.34760,-1.30647,1.14908
3037,-0.39827,-0.16896,-0.18600
3086,0.19609,0.33702,-0.21394
3137,-0.22128,-0.43704,-0.50121
3187,-0.11465,-0.18030,-0.58054
3238,-0.01648,0.06377,-0.42490
3286,0.05525,0.19766,0.13814
3338,-0.09766,0.07527,0.19173
3388,-0.26454,-0.11276,0.44083
3436,-0.28386,-0.15779,0.39427
3489,-0.29871,0.06548,0.26962
3540,-0.00841,-0.03859,0.12872
3586,-0.00035,-0.04050,-0.22972
3636,0.22836,-0.03522,-0.66548
3687,0.14058,-0.06526,-0.69904
3739,0.10362,-0.01849,-0.88933
3789,0.05263,-0.03587,-0.77597
3836,-0.00134,-0.04808,-0.71004
3888,-0.07870,-0.05154,-0.41182
3937,-0.23363,-0.05415,-0.10025
3986,-0.27554,-0.03079,0.22549
4038,-0.25810,0.05321,0.51767
4087,-0.34520,-0.02208,0.86308
4137,-0.29140,-0.06932,1.13522
4186,-0.24202,0.07219,0.95523
4239,-0.09859,0.02515,0.59607
4288,0.01843,0.06349,0.20445
4339,0.17432,0.02928,-0.23250
4389,0.07877,-0.05217,-0.33548
4436,0.01360,-0.06299,-0.29910
4487,0.08156,-0.01299,-0.39862
4539,0.02499,-0.01295,-0.11469
4588,-0.03952,0.16957,0.28343
4639,-0.06265,0.28915,0.87819
4688,-0.08621,0.11650,1.30943
4739,0.09203,0.18597,1.25943
4795,0.38382,0.64651,0.42220
4836,0.46620,0.54091,0.77187
4889,0.32793,0.29149,0.30676
4939,0.01326,-0.07130,0.22749
4989,0.43713,0.46315,0.21194
5039,0.45862,0.38271,0.49365
5088,0.18144,0.06009,0.25458
5136,-0.25912,-0.46591,0.24509
5187,-0.00133,-0.16380,0.01157
5241,0.10870,-0.08324,0.20657
5287,0.25443,-0.08481,-0.00548
5336,0.16557,-0.04070,-0.23882
5387,0.15553,0.05571,-0.42996
5439,0.26057,0.02695,-0.59325
5487,0.21257,-0.03221,-0.55072
5539,0.13004,-0.08578,-0.56290
5590,0.20277,0.03914,-0.55133
5638,0.10243,0.01546,-0.36398
5688,0.03755,-0.03246,-0.34645
5737,0.01567,0.01160,-0.24458
5796,0.00156,-0.00369,-0.23366
5838,0.00784,0.01619,-0.20836
5886,0.06711,-0.03723,-0.37361
5936,0.13963,0.14247,-0.60432
5988,0.06464,-0.05547,-0.47989
6037,-0.32025,-0.25003,-0.45564
6087,-0.12483,-0.03963,-0.30264
