time,lx
36,2712.00000
86,2712.00000
137,2712.00000
186,2712.00000
237,2712.00000
287,2712.00000
337,2712.00000
389,2712.00000
439,2712.00000
486,2665.00000
537,2665.00000
587,2665.00000
636,2665.00000
688,2573.00000
744,2573.00000
787,2573.00000
836,2573.00000
887,1927.00000
937,1927.00000
987,1927.00000
1037,1927.00000
1086,1322.00000
1136,1322.00000
1188,1322.00000
1236,1322.00000
1287,1392.00000
1337,1392.00000
1387,1392.00000
1437,1392.00000
1486,2086.00000
1537,2086.00000
1587,2086.00000
1637,2086.00000
1687,2742.00000
1745,2742.00000
1786,2742.00000
1836,2742.00000
1886,2590.00000
1937,2590.00000
1989,2590.00000
2037,2590.00000
2093,2288.00000
2136,2288.00000
2189,2288.00000
2238,2288.00000
2288,2527.00000
2337,2527.00000
2386,2527.00000
2436,2527.00000
2487,2370.00000
2536,2370.00000
2588,2370.00000
2637,2370.00000
2688,2221.00000
2759,2221.00000
2787,2221.00000
2837,2221.00000
2887,2308.00000
2937,2308.00000
2989,2308.00000
3037,2308.00000
3086,2726.00000
3137,2726.00000
3188,2726.00000
3238,2726.00000
3286,2759.00000
3338,2759.00000
3388,2759.00000
3437,2759.00000
3489,2771.00000
3540,2771.00000
3586,2771.00000
3636,2771.00000
3687,2801.00000
3739,2801.00000
3790,2801.00000
3836,2801.00000
3888,2517.00000
3937,2517.00000
3986,2517.00000
4038,2517.00000
4087,2455.00000
4137,2455.00000
4186,2455.00000
4239,2455.00000
4288,2573.00000
4340,2573.00000
4389,2573.00000
4436,2573.00000
4487,2597.00000
4539,2597.00000
4588,2597.00000
4639,2597.00000
4689,2383.00000
4739,2383.00000
4795,2383.00000
4836,2383.00000
4889,2440.00000
4939,2440.00000
4989,2440.00000
5039,2440.00000
5088,2419.00000
5136,2419.00000
5187,2419.00000
5241,2419.00000
5287,2299.00000
5336,2299.00000
5387,2299.00000
5439,2299.00000
5487,2085.00000
5539,2085.00000
5591,2085.00000
5638,2085.00000
5688,1843.00000
5737,1843.00000
5796,1843.00000
5838,1843.00000
5886,1788.00000
5936,1788.00000
5988,1788.00000
6037,1788.00000
6087,1803.00000
6136,1803.00000
6188,1803.00000
6236,1803.00000
6288,1861.00000
6339,1861.00000
6388,1861.00000
6437,1861.00000
6487,2033.00000
6536,2033.00000
6586,2033.00000
6636,2033.00000
6686,2130.00000
6737,2130.00000
6795,2130.00000
6836,2130.00000
6886,2185.00000
6938,2185.00000
6988,2185.00000
7038,2185.00000
7094,2379.00000
7138,2379.00000
7186,2379.00000
7236,2379.00000
7286,2310.00000
7340,2310.00000
7386,2310.00000
7438,2310.00000
7486,2238.00000
7539,2238.00000
7587,2238.00000
7638,2238.00000
7686,2409.00000
7738,2409.00000
7801,2409.00000
7839,2409.00000
7886,2440.00000
7937,2440.00000
7986,2440.00000
8036,2440.00000
8086,2277.00000
8138,2277.00000
8187,2277.00000
8239,2277.00000
8289,2435.00000
8337,2435.00000
8386,2435.00000
8438,2435.00000
8487,2513.00000
8538,2513.00000
8587,2513.00000
8641,2513.00000
8688,2400.00000
8736,2400.00000
8796,2400.00000
8836,2400.00000
8886,2409.00000
8939,2409.00000
8987,2409.00000
9037,2409.00000
9087,2444.00000
9136,2444.00000
9186,2444.00000
9236,2444.00000
9287,2269.00000
9337,2269.00000
9387,2269.00000
9438,2269.00000
9488,2179.00000
9539,2179.00000
9586,2179.00000
9639,2179.00000
9686,2121.00000
9736,2121.00000
9786,2121.00000
9850,2121.00000
9886,1981.00000
9936,1981.00000
9986,1981.00000
10037,1981.00000
10087,1811.00000
10139,1811.00000
10187,1811.00000
10239,1811.00000
10288,1646.00000
10339,1646.00000
10386,1646.00000
10437,1646.00000
10488,1505.00000
10539,1505.00000
10586,1505.00000
10640,1505.00000
10687,1357.00000
10736,1357.00000
10786,1357.00000
10845,1357.00000
10886,1257.00000
10937,1257.00000
10987,1257.00000
11038,1257.00000
11087,1204.00000
11138,1204.00000
11186,1204.00000
11236,1204.00000
11288,1190.00000
11338,1190.00000
11386,1190.00000
11440,1190.00000
11488,1165.00000
11536,1165.00000
11589,1165.00000
11638,1165.00000
11689,1138.00000
11740,1138.00000
11787,1138.00000
11852,1138.00000
11887,1276.00000
11936,1276.00000
11987,1276.00000
12038,1276.00000
12086,1186.00000
12138,1186.00000
12186,1186.00000
12239,1186.00000
12289,1172.00000
12339,1172.00000
12387,1172.00000
12439,1172.00000
12489,1322.00000
12537,1322.00000
12587,1322.00000
12636,1322.00000
12688,1162.00000
12737,1162.00000
12788,1162.00000
12847,1162.00000
12887,1162.00000
12936,1116.00000
12987,1116.00000
13037,1116.00000
13088,1220.00000
13141,1220.00000
13186,1220.00000
13236,1220.00000
13286,1175.00000
13336,1175.00000
13387,1175.00000
13437,1175.00000
13486,1149.00000
13537,1149.00000
13587,1149.00000
13637,1149.00000
13687,1263.00000
13737,1263.00000
13787,1263.00000
13838,1263.00000
13891,1275.00000
13936,1275.00000
13986,1275.00000
14038,1275.00000
14086,1153.00000
14148,1153.00000
14186,1153.00000
14239,1153.00000
14287,1093.00000
14337,1093.00000
14388,1093.00000
14436,1093.00000
14486,991.00000
14538,991.00000
14588,991.00000
14639,991.00000
14686,973.00000
14737,973.00000
14787,973.00000
14837,973.00000
14887,894.00000
14941,894.00000
14986,894.00000
15038,894.00000
15088,861.00000
15138,861.00000
15187,861.00000
15236,861.00000
15288,807.00000
15339,807.00000
15387,807.00000
15439,807.00000
15490,778.00000
15536,778.00000
15586,778.00000
15637,778.00000
15687,750.00000
15738,750.00000
15790,750.00000
15839,750.00000
15887,741.00000
15949,741.00000
15986,741.00000
16036,741.00000
16087,722.00000
16138,722.00000
16186,722.00000
16238,722.00000
16287,722.00000
16339,735.00000
16390,735.00000
16436,735.00000
16489,735.00000
16538,748.00000
16587,748.00000
16638,748.00000
16688,748.00000
16739,763.00000
16788,763.00000
16839,763.00000
16888,763.00000
16948,808.00000
16986,808.00000
17036,808.00000
17086,808.00000
17137,869.00000
17188,869.00000
17239,869.00000
17288,869.00000
17337,958.00000
17388,958.00000
17436,958.00000
17488,958.00000
17541,1133.00000
17587,1133.00000
17639,1133.00000
17688,1133.00000
17737,1314.00000
17786,1314.00000
17840,1314.00000
17888,1314.00000
17947,1277.00000
17987,1277.00000
18036,1277.00000
18088,1277.00000
18137,1567.00000
18187,1567.00000
18239,1567.00000
18286,1567.00000
18340,1798.00000
18387,1798.00000
18436,1798.00000
18486,1798.00000
18535,2069.00000
18586,2069.00000
18636,2069.00000
18686,2069.00000
18736,2441.00000
18786,2441.00000
18837,2441.00000
18888,2695.00000
18936,2695.00000
19001,2695.00000
19037,2695.00000
19086,2695.00000
19137,2792.00000
19187,2792.00000
19236,2792.00000
19286,2792.00000
19337,2966.00000
19388,2966.00000
19440,2966.00000
19487,2966.00000
19539,3153.00000
19587,3153.00000
19639,3153.00000
19688,3153.00000
19738,3244.00000
19787,3244.00000
19836,3244.00000
19888,3244.00000
19938,3283.00000
19990,3283.00000
20036,3283.00000
20087,3283.00000
20138,3340.00000
20186,3340.00000
20237,3340.00000
20286,3340.00000
20336,3381.00000
20387,3381.00000
20436,3381.00000
20486,3381.00000
20537,3472.00000
20588,3472.00000
20637,3472.00000
20686,3472.00000
20738,3549.00000
20787,3549.00000
20838,3549.00000
20889,3549.00000
20939,3549.00000
20992,3549.00000
21037,3549.00000
21086,3549.00000
21137,3549.00000
21186,3549.00000
21238,3549.00000
21287,3549.00000
21338,3549.00000
21386,3549.00000
21436,3549.00000
21486,3549.00000
21539,3549.00000
21587,3549.00000
21636,3589.00000
21687,3589.00000
21738,3589.00000
