time,x,y,z
35,8.52203,-32.77893,-22.61963
86,9.27277,-33.04901,-23.66333
136,7.67670,-32.69501,-23.54584
186,9.81445,-33.59222,-22.36023
237,10.00671,-33.28247,-21.65375
287,9.27887,-32.86743,-22.24121
337,9.98077,-32.95288,-21.95282
388,9.81445,-33.17566,-20.95490
439,9.41467,-33.17413,-20.46814
486,9.28802,-32.79877,-22.10846
537,9.14459,-32.72858,-21.40961
586,9.89532,-33.19702,-21.18988
636,8.84247,-32.76215,-21.57440
688,8.67920,-32.90710,-21.18378
743,8.67157,-32.66907,-21.24634
787,7.68738,-32.24487,-22.65320
836,9.59015,-33.30688,-21.39587
886,9.76715,-33.71582,-21.05255
937,11.27777,-34.27429,-21.05713
987,11.19232,-34.32465,-20.91064
1037,12.52136,-34.70001,-21.37909
1086,12.08954,-34.66949,-21.95740
1136,12.01172,-34.68323,-22.36786
1188,12.42523,-34.54742,-21.33789
1236,12.22076,-34.50623,-20.81909
1286,11.83014,-34.31854,-20.80994
1337,11.39984,-34.37042,-20.73364
1386,11.92474,-34.39484,-20.20874
1437,12.32910,-34.67255,-20.02716
1486,12.61749,-34.78088,-20.08362
1537,13.93585,-35.14709,-20.69092
1586,15.08179,-35.57739,-20.35980
1636,15.49835,-36.05652,-20.07294
1687,17.94891,-37.08038,-19.26727
1744,20.76111,-37.72736,-18.74084
1786,23.57788,-38.41400,-18.81409
1836,26.78528,-39.02283,-18.17474
1886,29.03748,-39.23340,-17.92450
1937,30.19104,-39.16779,-18.04352
1987,30.15137,-39.20746,-19.24133
2037,29.33350,-38.99384,-19.76318
2088,28.02124,-38.70239,-20.40100
2136,27.16370,-38.72681,-20.85724
2189,26.35956,-38.68408,-19.93256
2237,26.95923,-38.72833,-19.68689
2287,27.21100,-38.88550,-19.59839
2337,27.85797,-38.26599,-20.55969
2386,28.51868,-38.35754,-20.17670
2436,31.39648,-38.71155,-19.35120
2487,32.60193,-38.25684,-20.01038
2536,32.72247,-37.88147,-21.57135
2588,33.00781,-37.94861,-21.67664
2637,33.50220,-37.48322,-22.10999
2687,34.60999,-37.38403,-21.53473
2759,34.90295,-36.68671,-21.36993
2787,33.96912,-35.60486,-23.28796
2837,33.03528,-35.60791,-24.11194
2886,32.73621,-36.07483,-22.99652
2937,30.75256,-36.18622,-23.61145
2988,29.76990,-35.76508,-24.36829
3037,26.58539,-35.48431,-24.75433
3086,26.58081,-35.78796,-24.87183
3136,27.30865,-35.58350,-24.83673
3187,28.45001,-35.51331,-23.79913
3238,29.47693,-35.46143,-24.32709
3286,29.11835,-34.67560,-25.10071
3338,29.87823,-35.30731,-24.77722
3387,29.58069,-35.03418,-25.47302
3436,28.50342,-34.62067,-25.53101
3489,28.78571,-34.76257,-25.67749
3540,28.49884,-34.57794,-25.57983
3586,28.92303,-34.71375,-25.78125
3636,28.55835,-34.62524,-25.44098
3687,30.07813,-34.61304,-25.20905
3738,31.48193,-34.66797,-24.59412
3789,32.89032,-34.33380,-25.16479
3836,32.62939,-33.65936,-27.23389
3888,34.94263,-34.19342,-25.57526
3937,35.70557,-34.44061,-25.14038
