time,available,total
747,3156443136,6018187264
1746,3154001920,6018187264
2760,3153854464,6018187264
3790,3153694720,6018187264
4796,3161292800,6018187264
5796,3176005632,6018187264
6796,3175067648,6018187264
7801,3184402432,6018187264
8802,3182137344,6018187264
9853,3180892160,6018187264
10846,3179180032,6018187264
11854,3177484288,6018187264
12848,3178414080,6018187264
13892,3176955904,6018187264
14944,3182202880,6018187264
15950,3180716032,6018187264
16949,3180105728,6018187264
17949,3178643456,6018187264
19001,3177103360,6018187264
19992,3170197504,6018187264
20993,3167653888,6018187264
21989,3166334976,6018187264
23002,3164987392,6018187264
23995,3169906688,6018187264
24994,3166752768,6018187264
25993,3164299264,6018187264
27002,3162480640,6018187264
27997,3161296896,6018187264
29042,3158999040,6018187264
30044,3158077440,6018187264
31098,3156885504,6018187264
32145,3155734528,6018187264
33142,3154522112,6018187264
34139,3160813568,6018187264
35143,3160154112,6018187264
36145,3158302720,6018187264
37143,3156369408,6018187264
38203,3147853824,6018187264
39245,3143168000,6018187264
40307,3139227648,6018187264
41290,3154747392,6018187264
42296,3151572992,6018187264
43340,3158474752,6018187264
44345,3157483520,6018187264
45349,3156058112,6018187264
46349,3154415616,6018187264
47350,3153702912,6018187264
48391,3152560128,6018187264
49399,3150004224,6018187264
50391,3149180928,6018187264
51393,3148087296,6018187264
52394,3154612224,6018187264
53395,3153403904,6018187264
54390,3151413248,6018187264
55397,3151175680,6018187264
56453,3149725696,6018187264
57444,3148414976,6018187264
58456,3147366400,6018187264
59450,3144781824,6018187264
60505,3143258112,6018187264
61491,3141234688,6018187264
62498,3147603968,6018187264
63502,3146162176,6018187264
64551,3144945664,6018187264
65544,3143630848,6018187264
66540,3142463488,6018187264
67549,3140468736,6018187264
68603,3139387392,6018187264
69589,3134861312,6018187264
70596,3133825024,6018187264
71647,3139530752,6018187264
72653,3138768896,6018187264
73655,3137826816,6018187264
74643,3135807488,6018187264
75657,3134984192,6018187264
76645,3134128128,6018187264
77655,3131437056,6018187264
78649,3129638912,6018187264
79717,3127558144,6018187264
80639,3115737088,6018187264
81692,3119607808,6018187264
82690,3153854464,6018187264
83700,3151679488,6018187264
84690,3149246464,6018187264
85693,3147468800,6018187264
86690,3145981952,6018187264
87702,3145334784,6018187264
88691,3144122368,6018187264
89751,3140816896,6018187264
90741,3145633792,6018187264
91748,3140661248,6018187264
92748,3139952640,6018187264
93757,3137900544,6018187264
94790,3135143936,6018187264
95796,3132043264,6018187264
96792,3130630144,6018187264
97791,3127599104,6018187264
98803,3110342656,6018187264
99851,3149459456,6018187264
100892,3156877312,6018187264
101898,3162382336,6018187264
102949,3190099968,6018187264
103991,3193462784,6018187264
104995,3188195328,6018187264
105992,3214802944,6018187264
106990,3209707520,6018187264
107990,3202113536,6018187264
108994,3193868288,6018187264
109990,3188092928,6018187264
110990,3194273792,6018187264
111992,3187609600,6018187264
112991,3193081856,6018187264
113996,3186343936,6018187264
115050,3190038528,6018187264
116044,3183173632,6018187264
117100,3176460288,6018187264
118090,3179298816,6018187264
119092,3172179968,6018187264
120139,3177504768,6018187264
121139,3171233792,6018187264
122143,3177652224,6018187264
123193,3165671424,6018187264
124190,3171835904,6018187264
125242,3165548544,6018187264
126246,3166691328,6018187264
127243,3161817088,6018187264
128249,3153625088,6018187264
129245,3157524480,6018187264
130300,3152048128,6018187264
131293,3157008384,6018187264
132292,3150057472,6018187264
133352,3155922944,6018187264
134341,3149168640,6018187264
135347,3155091456,6018187264
136343,3149869056,6018187264
137348,3144376320,6018187264
138349,3150454784,6018187264
139359,3165667328,6018187264
140394,3172880384,6018187264
141397,3167686656,6018187264
142394,3173605376,6018187264
143441,3168481280,6018187264
144443,3172605952,6018187264
145447,3168546816,6018187264
146450,3163303936,6018187264
147440,3166986240,6018187264
148453,3165319168,6018187264
149452,3169464320,6018187264
