time,total received,total sent,mobile received,mobile sent
748,3856715,1096624,0,0
1747,3863294,1097104,0,0
2760,3872583,1100067,0,0
3790,3899989,1106913,0,0
4796,3927400,1107505,0,0
5797,3942847,1109747,0,0
6796,3963518,1109787,0,0
7801,3982690,1112577,0,0
8803,4000037,1113613,0,0
9855,4018553,1116365,0,0
10846,4038947,1119489,0,0
11854,4049643,1119789,0,0
12848,4056297,1119969,0,0
13893,4072784,1122847,0,0
14944,4087420,1126339,0,0
15950,4099781,1127979,0,0
16950,4106583,1128279,0,0
17949,4115651,1130679,0,0
19001,4123833,1130739,0,0
19992,4146435,1132066,0,0
20993,4163204,1133266,0,0
21989,4171740,1133326,0,0
23002,4194920,1139678,0,0
23995,4225180,1141752,0,0
24995,4250070,1150288,0,0
25994,4257428,1151776,0,0
27003,4267730,1152916,0,0
27997,4276950,1153156,0,0
29042,4283510,1154356,0,0
30044,4283988,1154596,0,0
31098,4287003,1154988,0,0
32145,4287583,1155108,0,0
33142,4293226,1156308,0,0
34139,4293930,1156488,0,0
35143,4293930,1156608,0,0
36145,4293930,1156916,0,0
37143,4294099,1157036,0,0
38203,4294421,1157297,10312,43052
39246,4298901,1157413,10312,43052
40307,4298901,1159299,10312,44938
41290,4298901,1161075,10312,46498
42296,4298901,1161272,10312,46563
43340,4299788,1163155,10312,48370
44345,4299880,1163216,10312,48431
45349,4299880,1163481,10312,48696
46349,4299880,1163662,10312,48821
47350,4299880,1165282,10312,50441
48391,4300043,1165529,10312,50688
49400,4300163,1165712,10312,50871
50391,4300163,1165915,10312,51074
51393,4300203,1166040,10312,51199
52395,4300203,1166100,10312,51259
53395,4300203,1166527,10312,51686
54390,4300203,1166710,10312,51869
55397,4300203,1168589,10312,53692
56453,4300203,1168654,10312,53757
57444,4300203,1168714,10312,53817
58456,4300203,1169141,10312,54244
59450,4300203,1169326,10312,54429
60505,4300203,1169526,10312,54629
61491,4300203,1169651,10312,54754
62498,4300203,1169651,10312,54754
63502,4300203,1169958,10312,55061
64552,4300203,1170276,10312,55379
65544,4300203,1170344,10312,55447
66540,4300203,1170469,10312,55572
67549,4300203,1170609,10312,55712
68603,4300203,1170916,10312,56019
69589,4300203,1171241,10312,56344
70596,4300203,1171721,10312,56824
71647,4300203,1173346,10312,58449
72653,4300203,1174682,10312,59729
73656,4300203,1176364,10312,61411
74643,4300308,1176679,10417,61726
75657,4300308,1176919,10417,61966
76645,4300368,1177264,10477,62311
77655,4300428,1178656,10537,63703
78650,4300428,1179258,10537,64305
79717,4300488,1179549,10597,64596
80639,4301144,1180395,10597,64856
81692,4302224,1182200,10597,65036
82690,4319120,1192352,0,0
83700,4322809,1195434,0,0
84690,4323852,1196778,0,0
85693,4324052,1197314,0,0
86690,4328340,1203204,0,0
87702,4331700,1208184,0,0
88692,4333100,1210284,0,0
89751,4334580,1212564,0,0
90741,4335047,1213173,0,0
91748,4337975,1217180,0,0
92749,4339561,1219284,0,0
93758,4340413,1220580,0,0
94790,4341413,1222080,0,0
95796,4342941,1224180,0,0
96792,4343285,1224624,0,0
97791,4343513,1225582,0,0
98803,4343613,1226854,0,0
99851,4343865,1228678,0,0
100892,4344337,1230906,0,0
101898,4345137,1233590,0,0
102949,4345937,1236274,0,0
103992,4347977,1240655,0,0
104996,4348257,1241255,0,0
105992,4348777,1241855,0,0
106990,4349864,1242195,0,0
107990,4350024,1242495,0,0
108994,4350064,1242551,0,0
109990,4350064,1242551,0,0
110990,4350824,1243811,0,0
111992,4351424,1244651,0,0
112991,4351464,1244711,0,0
113996,4351624,1245131,0,0
115050,4352184,1246211,0,0
116044,4353116,1247271,0,0
117100,4353396,1247751,0,0
118090,4353716,1248111,0,0
119092,4354116,1248711,0,0
120139,4354116,1248771,0,0
121139,4354116,1248891,0,0
122144,4354436,1249491,0,0
123193,4354476,1249918,0,0
124190,4354516,1250098,0,0
125242,4354796,1250578,0,0
126246,4354796,1250698,0,0
127243,4355236,1251478,0,0
128250,4356877,1254295,0,0
129245,4357317,1255195,0,0
130300,4357609,1256115,0,0
131293,4358115,1257015,0,0
132292,4358195,1257315,0,0
133352,4358235,1257991,0,0
134341,4358687,1258891,0,0
135347,4358779,1259311,0,0
136343,4358819,1259439,0,0
137348,4358819,1259799,0,0
138349,4358819,1259875,0,0
139359,4358819,1260055,0,0
140394,4358819,1260171,0,0
141398,4358819,1260539,0,0
142394,4358819,1260719,0,0
143441,4358819,1261619,0,0
144444,4358819,1262519,0,0
145447,4358819,1262819,0,0
146450,4358819,1263667,0,0
147440,4358819,1263907,0,0
148453,4358976,1266109,10754,67423
149452,4364991,1268201,11304,69419
