time,distance
36,5.00031
86,5.00031
137,5.00031
186,5.00031
237,5.00031
287,5.00031
337,5.00031
389,5.00031
439,5.00031
486,5.00031
537,5.00031
587,5.00031
636,5.00031
688,5.00031
744,5.00031
787,5.00031
836,5.00031
887,5.00031
937,5.00031
987,5.00031
1037,5.00031
1086,5.00031
1136,5.00031
1189,5.00031
1236,5.00031
1287,5.00031
1337,5.00031
1387,5.00031
1437,5.00031
1486,5.00031
1539,5.00031
1587,5.00031
1637,5.00031
1687,5.00031
1745,5.00031
1786,5.00031
1836,5.00031
1886,5.00031
1937,5.00031
1990,5.00031
2037,5.00031
2093,5.00031
2136,5.00031
2189,5.00031
2238,5.00031
2288,5.00031
2337,5.00031
2386,5.00031
2437,5.00031
2487,5.00031
2536,5.00031
2588,5.00031
2638,5.00031
2688,5.00031
2759,5.00031
2787,5.00031
2837,5.00031
2887,5.00031
2937,5.00031
2989,5.00031
3037,5.00031
3087,5.00031
3137,5.00031
3188,5.00031
3238,5.00031
3286,5.00031
3339,5.00031
3388,5.00031
3437,5.00031
3489,5.00031
3540,5.00031
3586,5.00031
3637,5.00031
3687,5.00031
3739,5.00031
3790,5.00031
3836,5.00031
3888,5.00031
3937,5.00031
3986,5.00031
4038,5.00031
4087,5.00031
4137,5.00031
4186,5.00031
4239,5.00031
4288,5.00031
4340,5.00031
4389,5.00031
4436,5.00031
4487,5.00031
4539,5.00031
4588,5.00031
4639,5.00031
4689,5.00031
4740,5.00031
4796,5.00031
4836,5.00031
4889,5.00031
4939,5.00031
4989,5.00031
5039,5.00031
5088,5.00031
5136,5.00031
5187,5.00031
5241,5.00031
5288,5.00031
5336,5.00031
5387,5.00031
5439,5.00031
5487,5.00031
5539,5.00031
5591,5.00031
5639,5.00031
5688,5.00031
5737,5.00031
5796,5.00031
5838,5.00031
5886,5.00031
5936,5.00031
5988,5.00031
6037,5.00031
6087,5.00031
6136,5.00031
6188,5.00031
6236,5.00031
6288,5.00031
6339,5.00031
6388,5.00031
6439,5.00031
6487,5.00031
6536,5.00031
6587,5.00031
6636,5.00031
6686,5.00031
6737,5.00031
6795,5.00031
6836,5.00031
6886,5.00031
6938,5.00031
6988,5.00031
7038,5.00031
7094,5.00031
7138,5.00031
7186,5.00031
7236,5.00031
7287,5.00031
7340,5.00031
7386,5.00031
7438,5.00031
7486,5.00031
7539,5.00031
7588,5.00031
7639,5.00031
7686,5.00031
7738,5.00031
7801,5.00031
7839,5.00031
7886,5.00031
7937,5.00031
7986,5.00031
8037,5.00031
8086,5.00031
8138,5.00031
8187,5.00031
8239,5.00031
8289,5.00031
8337,5.00031
8386,5.00031
8438,5.00031
8487,5.00031
8538,5.00031
8587,5.00031
8642,5.00031
8688,5.00031
8736,5.00031
8796,5.00031
8837,5.00031
8886,5.00031
8939,5.00031
8987,5.00031
9037,5.00031
9087,5.00031
9136,5.00031
9186,5.00031
9236,5.00031
9287,5.00031
9337,5.00031
9387,5.00031
9438,5.00031
9488,5.00031
9539,5.00031
9586,5.00031
9639,5.00031
9686,5.00031
9736,5.00031
9786,5.00031
9852,5.00031
9887,5.00031
9936,5.00031
9986,5.00031
10038,5.00031
10088,5.00031
10139,5.00031
10187,5.00031
10239,5.00031
10288,5.00031
10340,5.00031
10386,5.00031
10438,5.00031
10488,5.00031
10539,5.00031
10586,5.00031
10640,5.00031
10687,5.00031
10736,5.00031
10786,5.00031
10845,5.00031
10886,5.00031
10937,5.00031
10987,5.00031
11038,5.00031
11087,5.00031
11138,5.00031
11186,5.00031
11236,5.00031
11288,5.00031
11338,5.00031
11386,5.00031
11441,5.00031
11488,5.00031
11536,5.00031
11590,5.00031
11638,5.00031
11689,5.00031
11740,5.00031
11787,5.00031
11853,5.00031
11887,5.00031
11936,5.00031
11987,5.00031
12038,5.00031
12086,5.00031
12138,5.00031
12186,5.00031
12239,5.00031
12289,5.00031
12340,5.00031
12387,5.00031
12439,5.00031
12489,5.00031
12537,5.00031
12587,5.00031
12636,5.00031
12689,5.00031
12739,5.00031
12788,5.00031
12847,5.00031
12887,5.00031
12936,5.00031
12987,5.00031
13038,5.00031
13088,5.00031
13141,5.00031
13186,5.00031
13236,5.00031
13286,5.00031
13336,5.00031
13387,5.00031
13437,5.00031
13486,5.00031
13537,5.00031
13587,5.00031
13637,5.00031
13687,5.00031
13737,5.00031
13787,5.00031
13838,5.00031
13891,5.00031
13936,5.00031
13986,5.00031
14038,5.00031
14086,5.00031
14148,5.00031
14186,5.00031
14239,5.00031
14287,5.00031
14337,5.00031
14388,5.00031
14436,5.00031
14486,5.00031
14538,5.00031
14588,5.00031
14639,5.00031
14687,5.00031
14737,5.00031
14787,5.00031
14837,5.00031
14887,5.00031
14941,5.00031
14986,5.00031
15038,5.00031
15088,5.00031
15138,5.00031
15187,5.00031
15236,5.00031
15288,5.00031
15340,5.00031
15388,5.00031
15439,5.00031
15490,5.00031
15536,5.00031
15586,5.00031
15637,5.00031
15687,5.00031
15738,5.00031
15790,5.00031
15839,5.00031
15887,5.00031
15949,5.00031
15986,5.00031
16036,5.00031
16087,5.00031
16138,5.00031
16186,5.00031
16238,5.00031
16288,5.00031
16339,5.00031
16390,5.00031
16436,5.00031
16489,5.00031
16538,5.00031
16587,5.00031
16639,5.00031
16688,5.00031
16739,5.00031
16788,5.00031
16839,5.00031
16888,5.00031
16948,5.00031
16987,5.00031
17036,5.00031
17086,5.00031
17137,5.00031
17188,5.00031
17239,5.00031
17288,5.00031
17337,5.00031
17388,5.00031
17436,5.00031
17488,5.00031
17542,5.00031
17587,5.00031
17639,5.00031
17688,5.00031
17737,5.00031
17786,5.00031
17840,5.00031
17888,5.00031
17947,5.00031
17987,5.00031
18036,5.00031
18088,5.00031
18139,5.00031
18187,5.00031
18239,5.00031
18286,5.00031
18340,5.00031
18387,5.00031
18436,5.00031
18486,5.00031
18535,5.00031
18586,5.00031
18636,5.00031
18686,5.00031
18736,5.00031
18786,5.00031
18837,5.00031
18888,5.00031
18936,5.00031
19001,5.00031
19037,5.00031
19086,5.00031
19137,5.00031
19187,5.00031
19236,5.00031
19286,5.00031
19337,5.00031
19388,5.00031
19440,5.00031
19487,5.00031
19539,5.00031
19587,5.00031
19639,5.00031
19689,5.00031
19738,5.00031
19787,5.00031
19836,5.00031
19888,5.00031
19938,5.00031
19991,5.00031
20036,5.00031
20087,5.00031
20138,5.00031
20186,5.00031
20237,5.00031
20286,5.00031
20336,5.00031
20387,5.00031
20436,5.00031
20486,5.00031
20537,5.00031
20588,5.00031
20637,5.00031
20686,5.00031
20738,5.00031
20787,5.00031
