time,strength,level,source
744,99,2,gsm
4796,99,2,gsm
8799,99,2,gsm
12848,99,2,gsm
17948,99,3,gsm
19991,99,2,gsm
20993,99,4,gsm
21989,99,3,gsm
24994,99,2,gsm
27002,99,3,gsm
29042,99,3,gsm
30044,99,3,gsm
31094,99,3,gsm
33141,99,3,gsm
36144,99,3,gsm
38202,99,2,gsm
41290,99,2,gsm
42295,99,2,gsm
44344,99,2,gsm
47349,99,2,gsm
49399,99,2,gsm
50391,99,2,gsm
53395,99,2,gsm
56452,99,2,gsm
59449,99,2,gsm
62497,99,2,gsm
64550,99,2,gsm
68602,99,3,gsm
71646,99,3,gsm
73650,99,2,gsm
77654,99,3,gsm
80639,99,2,gsm
82690,99,3,gsm
86690,99,3,gsm
89750,99,2,gsm
91746,99,2,gsm
95795,99,2,gsm
98802,99,2,gsm
100891,99,2,gsm
102948,99,2,gsm
104995,99,2,gsm
106989,99,2,gsm
107990,99,2,gsm
109990,99,2,gsm
111992,99,1,gsm
113995,99,2,gsm
119091,99,2,gsm
121139,99,2,gsm
123192,99,2,gsm
125241,99,2,gsm
127242,99,2,gsm
132292,99,2,gsm
134341,99,2,gsm
136342,99,2,gsm
138348,99,2,gsm
141397,99,2,gsm
143441,99,2,gsm
145446,99,2,gsm
147440,99,2,gsm
