time,dB(SPL)
35,31.36403
86,60.08643
136,48.59505
186,34.32007
237,31.82129
287,35.98681
337,56.98839
387,58.39202
438,30.88136
486,28.94316
537,36.25827
586,35.70660
636,33.80392
688,35.70660
743,30.10300
787,29.54243
836,26.44439
886,34.32007
937,36.65018
986,36.52150
1037,33.97940
1086,30.62958
1135,24.08240
1188,21.58362
1236,24.60898
1286,33.06425
1336,30.62958
1386,29.24796
1436,23.52183
1486,24.08240
1537,22.27887
1586,28.62728
1636,29.54243
1686,27.95880
1744,32.66937
1786,28.62728
1836,19.08485
1886,36.52150
1937,34.15140
1987,31.12605
2037,28.62728
2088,33.80392
2136,33.62482
2188,26.84845
2237,34.32007
2287,37.72981
2337,27.60422
2386,23.52183
2436,33.62482
2487,33.80392
2536,32.46499
2588,33.80392
2637,35.41704
2687,33.25516
2753,30.37028
2786,27.60422
2837,21.58362
2886,39.46256
2937,38.16970
2988,32.66937
3037,27.60422
3086,24.08240
3136,22.27887
3187,30.10300
3237,32.86905
3286,31.36403
3337,26.44439
3387,35.98681
3436,23.52183
3488,24.60898
3539,28.29947
3586,25.57507
3636,22.92256
3686,23.52183
3738,25.10545
3789,25.57507
3836,28.62728
3887,58.56792
3937,51.17417
3986,31.12605
4038,29.24796
4087,27.95880
4136,24.60898
4186,24.08240
4239,27.60422
4287,25.57507
4339,24.08240
4388,22.92256
4436,20.82785
4487,33.62482
4537,31.82129
4587,22.27887
4639,18.06180
4688,18.06180
4738,12.04120
4795,22.27887
4836,27.60422
4888,25.57507
4939,28.94316
4988,28.29947
5039,20.82785
5087,29.24796
5136,29.24796
5186,31.59567
5240,33.97940
5286,32.86905
5336,28.29947
5386,58.21249
5438,32.86905
5487,31.12605
5537,29.54243
5590,33.25516
5637,30.10300
5687,27.23456
5737,30.37028
5795,29.82723
5838,20.00000
5886,22.27887
5936,35.56303
5988,30.10300
6036,21.58362
6086,26.84845
6136,25.10545
6188,28.62728
6236,58.25507
6287,59.85107
6338,31.82129
6387,31.12605
6436,24.08240
6486,18.06180
6536,25.10545
6586,22.92256
6635,31.59567
6686,31.59567
6736,29.24796
6795,30.10300
6836,33.06425
6886,28.29947
6937,31.36403
6988,33.06425
7036,35.11750
7088,29.54243
7137,22.92256
7186,20.82785
7236,26.02060
7286,21.58362
7340,26.44439
7385,26.02060
7436,26.02060
7486,27.23456
7538,26.02060
7587,26.44439
7638,24.08240
7686,29.54243
7738,18.06180
7800,22.27887
7838,20.82785
7885,56.91436
7936,58.25507
7986,40.74853
8036,29.54243
8086,29.82723
8136,24.60898
8187,32.86905
8238,31.59567
8289,24.60898
8336,20.82785
8386,31.59567
8437,32.66937
8486,33.25516
8536,21.58362
8586,19.08485
8639,21.58362
8687,35.11750
8736,28.29947
8795,26.84845
8836,22.92256
8886,28.62728
8938,34.32007
8987,34.48552
9037,25.57507
9087,31.59567
9136,26.02060
9186,33.25516
9236,33.80392
9286,33.97940
9336,30.37028
9386,22.92256
9437,36.25827
9487,32.66937
9539,27.95880
9586,26.44439
9638,24.08240
9686,22.27887
9736,35.84783
9786,32.46499
9849,35.84783
9886,29.24796
9936,29.54243
9986,36.52150
10037,36.25827
10087,31.12605
10139,26.02060
10186,26.02060
10237,32.66937
10288,29.82723
10339,22.27887
10386,58.12670
10437,44.13652
10488,32.25568
10538,26.02060
10586,24.08240
10638,22.92256
10687,27.23456
10736,23.52183
10786,27.95880
10844,32.04120
10886,36.12360
10936,27.95880
10986,36.52150
11037,32.46499
11086,38.48559
11137,26.02060
11186,27.60422
11236,33.97940
11287,31.82129
11337,31.82129
11386,29.82723
11440,29.24796
11487,27.60422
11536,23.52183
11589,27.60422
11637,30.37028
11689,25.57507
11739,29.24796
11786,24.08240
11847,19.08485
11887,28.29947
11936,25.10545
11987,35.56303
12037,30.37028
12086,28.29947
12137,36.77698
12186,33.44196
12238,60.29041
12287,31.82129
12338,31.59567
12386,20.82785
12438,15.56303
12488,26.02060
12537,33.25516
12587,29.82723
12636,24.60898
12687,23.52183
12737,30.62958
12787,29.82723
12846,31.59567
12887,28.29947
12936,26.84845
12986,58.87978
13037,40.66848
13087,33.44196
13137,27.60422
13186,26.02060
13236,28.94316
13286,29.54243
13336,32.04120
13386,30.62958
13437,32.46499
13486,28.29947
13536,36.90196
13586,35.56303
13636,32.46499
13687,32.86905
13737,29.24796
13786,33.80392
13837,29.82723
13891,29.54243
13935,26.44439
13986,35.70660
14037,35.26856
14086,34.15140
14136,26.84845
14186,29.54243
14238,28.94316
14287,34.48552
14337,25.10545
14387,28.29947
14436,25.10545
14486,29.82723
14538,23.52183
14587,25.57507
14637,16.90196
14686,27.60422
14736,26.02060
14787,25.10545
14836,24.08240
14886,33.62482
14939,28.62728
14986,20.00000
15037,33.62482
15087,35.41704
15138,27.60422
15186,27.23456
15236,30.62958
15287,33.97940
15339,30.62958
15387,59.58186
15438,41.93820
15489,31.82129
15536,28.94316
15586,32.04120
15636,25.57507
15687,26.02060
15737,22.27887
15789,22.27887
15838,20.00000
15887,24.08240
15948,20.82785
15986,26.02060
16036,20.00000
16086,33.97940
16138,35.11750
16186,31.12605
16238,26.84845
16287,23.52183
16337,25.10545
16389,24.60898
16436,25.57507
16488,21.58362
16538,22.27887
16587,20.82785
16636,22.27887
16688,27.23456
16739,24.60898
16787,20.00000
16838,21.58362
16887,27.23456
16947,27.95880
16986,26.84845
17036,24.60898
17086,58.93887
17136,42.27887
17187,31.82129
17238,24.60898
17287,32.04120
17337,26.44439
17388,26.84845
17436,26.02060
17487,30.62958
17541,25.10545
17587,28.94316
17639,33.06425
17687,27.95880
17736,30.62958
17786,28.29947
17839,28.29947
17887,29.82723
17947,25.10545
17987,26.84845
18036,27.95880
18087,34.32007
18137,32.25568
18187,24.08240
18239,31.59567
18286,28.62728
18339,24.08240
18386,19.08485
18436,30.88136
18486,30.10300
18535,59.43479
18585,40.50612
18635,28.94316
18686,26.02060
18736,58.87978
18786,59.05585
18836,34.15140
18887,35.41704
18936,28.94316
19001,28.94316
19037,32.46499
19086,24.60898
19136,35.26856
19186,32.04120
19236,30.10300
19286,29.24796
19337,36.25827
19387,30.37028
19439,25.57507
