time,x,y,z
46,-0.43282,-2.37608,9.42749
96,-0.38344,-2.31516,9.44209
146,-0.39365,-2.29370,9.43158
195,-0.41768,-2.33449,9.42638
246,-0.47304,-2.36609,9.42337
296,-0.44760,-2.39290,9.43861
347,-0.51257,-2.37244,9.41766
396,-0.51009,-2.40497,9.42047
446,-0.50316,-2.38132,9.41617
496,-0.49484,-2.35553,9.40663
546,-0.41058,-2.23984,9.43382
597,-0.45923,-2.32698,9.41650
646,-0.53343,-2.39644,9.38776
696,-0.46684,-2.41234,9.39076
746,-0.62990,-2.81509,9.28799
795,-0.39796,-2.44804,9.32524
846,-0.14677,-1.09209,8.78488
896,-0.27014,-1.92291,9.09090
950,-0.11560,-2.13698,9.40236
996,-0.20985,-1.55431,9.08922
1045,-1.11470,-3.33415,9.58496
1095,-0.25522,-2.91998,9.40115
1146,1.46321,-0.86070,9.25563
1196,1.19090,-3.51978,9.37051
1246,0.76588,-4.25305,9.77415
1296,0.68910,-3.91443,9.30293
1346,0.04744,-3.57855,8.31625
1396,1.06973,-3.52826,9.77393
1446,1.54196,-4.38466,8.13292
1496,0.38402,-3.75165,9.44688
1546,0.05215,-2.89091,9.16426
1597,0.70483,-2.25523,10.24969
1646,0.67654,-2.80577,9.34006
1696,-0.38588,-2.97818,9.08624
1746,0.25786,-2.04527,8.48477
1797,1.68385,-3.56583,11.08275
1846,-1.15321,-3.45967,9.03310
1896,2.36113,-0.43163,8.83368
1952,6.18369,-0.80125,9.27580
1996,1.99483,-0.14632,9.62161
2046,1.80905,-0.95422,7.55191
2097,-1.58754,-0.31459,7.06706
2147,0.99327,-0.11604,8.42821
2197,0.64754,-0.98395,10.15999
2246,-1.88364,-1.30911,10.72351
2297,-0.51231,-2.99600,11.84238
2347,-0.72362,-1.78000,10.57506
2396,-1.49132,-1.01022,9.88794
2446,0.60347,-4.08511,10.96672
2500,-2.10332,-3.09309,10.04817
2546,1.43239,-0.22011,8.61716
2601,-1.51067,-0.62349,9.10347
2646,-0.66318,-0.40167,8.81697
2697,-1.70752,-1.86534,8.33125
2747,-3.55707,0.20950,9.97839
2796,-0.63705,-4.60405,11.03458
2846,2.34198,0.47885,9.75371
2897,1.62749,0.09569,9.20706
2957,3.47185,0.22273,7.92883
2995,1.02107,1.03305,11.71941
3046,2.83331,0.45056,10.39778
3096,2.36516,0.55034,8.23886
3145,2.22969,0.27727,8.64838
3196,-1.77481,-0.57986,9.16389
3246,1.33211,0.47086,8.36581
3296,0.11882,0.27805,10.43126
3346,3.71735,0.70277,8.64798
3397,-0.87146,-0.29024,9.99121
3446,1.45726,-1.42082,7.53539
3496,-0.61696,-0.25726,8.92055
3546,2.29816,0.90875,7.86777
3596,0.36360,0.16713,8.60689
3646,2.05438,0.13165,11.77310
3697,0.94806,0.27199,10.56802
3746,2.09331,0.36838,9.92218
