time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
954,37,3705,31.4,-9223372036854775808,570000,0
1958,37,3705,31.4,-9223372036854775808,570000,0
2961,37,3705,31.4,-9223372036854775808,570000,0
3960,37,3705,31.4,-9223372036854775808,570000,0
4958,37,3705,31.4,-9223372036854775808,570000,0
6005,37,3705,31.4,-9223372036854775808,529000,0
7048,37,3705,31.4,-9223372036854775808,529000,0
8049,37,3705,31.4,-9223372036854775808,529000,0
9049,37,3705,31.4,-9223372036854775808,529000,0
10069,37,3705,31.4,-9223372036854775808,529000,0
11102,37,3705,31.4,-9223372036854775808,463000,0
12104,37,3705,31.4,-9223372036854775808,463000,0
13160,37,3705,31.4,-9223372036854775808,463000,0
14152,37,3705,31.4,-9223372036854775808,463000,0
15207,37,3705,31.4,-9223372036854775808,463000,0
16201,37,3705,31.4,-9223372036854775808,463000,0
17255,37,3705,31.4,-9223372036854775808,582000,0
18251,37,3705,31.4,-9223372036854775808,582000,0
19258,37,3705,31.4,-9223372036854775808,582000,0
20252,37,3705,31.4,-9223372036854775808,582000,0
21313,37,3705,31.4,-9223372036854775808,582000,0
22301,37,3705,31.4,-9223372036854775808,582000,0
23315,37,3705,31.4,-9223372036854775808,746000,0
24303,37,3705,31.4,-9223372036854775808,746000,0
25353,37,3705,31.4,-9223372036854775808,746000,0
26349,37,3705,31.4,-9223372036854775808,746000,0
27350,37,3705,31.4,-9223372036854775808,746000,0
28368,37,3705,31.4,-9223372036854775808,746000,0
29405,37,3705,31.4,-9223372036854775808,575000,0
30401,37,3705,31.4,-9223372036854775808,575000,0
31451,37,3705,31.4,-9223372036854775808,575000,0
32449,37,3705,31.4,-9223372036854775808,575000,0
33504,37,3705,31.4,-9223372036854775808,575000,0
34549,37,3705,31.4,-9223372036854775808,575000,0
35551,37,3705,31.4,-9223372036854775808,633000,0
36549,37,3705,31.4,-9223372036854775808,633000,0
37604,37,3705,31.4,-9223372036854775808,633000,0
38599,37,3705,31.4,-9223372036854775808,633000,0
39612,37,3705,31.4,-9223372036854775808,633000,0
40648,37,3705,31.4,-9223372036854775808,633000,0
41652,37,3705,31.4,-9223372036854775808,723000,0
42656,37,3705,31.4,-9223372036854775808,723000,0
43702,37,3705,31.4,-9223372036854775808,723000,0
44702,37,3705,31.4,-9223372036854775808,723000,0
45756,37,3705,31.4,-9223372036854775808,723000,0
46753,37,3705,31.4,-9223372036854775808,723000,0
47757,37,3705,31.4,-9223372036854775808,555000,0
48752,37,3705,31.4,-9223372036854775808,555000,0
49756,37,3705,31.4,-9223372036854775808,555000,0
50751,37,3705,31.4,-9223372036854775808,555000,0
51757,37,3705,31.4,-9223372036854775808,555000,0
52810,37,3705,31.4,-9223372036854775808,555000,0
53852,37,3705,31.4,-9223372036854775808,640000,0
54854,37,3705,31.4,-9223372036854775808,640000,0
55907,37,3705,31.4,-9223372036854775808,640000,0
56904,37,3705,31.4,-9223372036854775808,640000,0
57903,37,3705,31.4,-9223372036854775808,640000,0
58957,37,3705,31.4,-9223372036854775808,640000,0
59954,37,3705,31.4,-9223372036854775808,600000,0
60952,37,3705,31.4,-9223372036854775808,600000,0
61952,37,3705,31.4,-9223372036854775808,600000,0
62957,37,3705,31.4,-9223372036854775808,600000,0
64011,37,3705,31.4,-9223372036854775808,600000,0
65003,37,3705,31.4,-9223372036854775808,600000,0
66051,37,3705,31.4,-9223372036854775808,616000,0
67049,37,3705,31.4,-9223372036854775808,616000,0
68068,37,3705,31.4,-9223372036854775808,616000,0
69064,37,3705,31.4,-9223372036854775808,616000,0
70107,37,3705,31.4,-9223372036854775808,616000,0
71113,37,3705,31.4,-9223372036854775808,616000,0
72150,37,3705,31.4,-9223372036854775808,625000,0
73154,37,3705,31.4,-9223372036854775808,625000,0
74151,37,3705,31.4,-9223372036854775808,625000,0
75150,37,3705,31.4,-9223372036854775808,625000,0
76152,37,3705,31.4,-9223372036854775808,625000,0
77205,37,3705,31.4,-9223372036854775808,625000,0
78198,37,3705,31.4,-9223372036854775808,591000,0
79208,37,3705,31.4,-9223372036854775808,591000,0
80211,37,3705,31.4,-9223372036854775808,591000,0
81261,37,3705,31.4,-9223372036854775808,591000,0
82301,37,3705,31.4,-9223372036854775808,591000,0
83310,37,3705,31.4,-9223372036854775808,591000,0
84308,37,3705,31.4,-9223372036854775808,592000,0
85309,37,3705,31.4,-9223372036854775808,592000,0
86368,37,3705,31.4,-9223372036854775808,592000,0
87413,37,3705,31.4,-9223372036854775808,592000,0
88453,37,3705,31.4,-9223372036854775808,592000,0
89451,37,3705,31.4,-9223372036854775808,701000,0
90449,37,3705,31.4,-9223372036854775808,701000,0
91451,37,3705,31.4,-9223372036854775808,701000,0
92502,37,3705,31.4,-9223372036854775808,701000,0
93505,37,3705,31.4,-9223372036854775808,701000,0
94504,37,3705,31.4,-9223372036854775808,701000,0
95552,37,3705,31.4,-9223372036854775808,539000,0
96557,37,3705,31.4,-9223372036854775808,539000,0
97560,37,3705,31.4,-9223372036854775808,539000,0
98548,37,3705,31.4,-9223372036854775808,539000,0
99559,37,3705,31.4,-9223372036854775808,539000,0
100604,37,3705,31.4,-9223372036854775808,539000,0
101611,37,3705,31.4,-9223372036854775808,509000,0
102603,37,3705,31.4,-9223372036854775808,509000,0
103602,37,3705,31.4,-9223372036854775808,509000,0
104649,37,3705,31.4,-9223372036854775808,509000,0
105709,37,3705,31.4,-9223372036854775808,509000,0
106703,37,3705,31.4,-9223372036854775808,509000,0
107709,37,3705,31.4,-9223372036854775808,545000,0
108698,37,3705,31.4,-9223372036854775808,545000,0
109708,37,3705,31.4,-9223372036854775808,545000,0
110712,37,3705,31.4,-9223372036854775808,545000,0
111701,37,3705,31.4,-9223372036854775808,545000,0
112708,37,3705,31.4,-9223372036854775808,545000,0
113718,37,3705,31.4,-9223372036854775808,518000,0
114702,37,3705,31.4,-9223372036854775808,518000,0
115704,37,3705,31.4,-9223372036854775808,518000,0
116712,37,3705,31.4,-9223372036854775808,518000,0
117752,37,3705,31.4,-9223372036854775808,518000,0
118750,37,3705,31.4,-9223372036854775808,518000,0
119754,37,3705,31.4,-9223372036854775808,460000,0
120810,37,3705,31.4,-9223372036854775808,460000,0
121851,37,3728,30.5,-9223372036854775808,460000,0
122851,37,3728,30.5,-9223372036854775808,460000,0
123877,37,3728,30.5,-9223372036854775808,460000,0
124868,37,3728,30.5,-9223372036854775808,460000,0
125917,37,3728,30.5,-9223372036854775808,524000,0
126967,37,3728,30.5,-9223372036854775808,524000,0
128013,37,3728,30.5,-9223372036854775808,524000,0
129013,37,3728,30.5,-9223372036854775808,524000,0
130073,37,3728,30.5,-9223372036854775808,524000,0
131116,37,3728,30.5,-9223372036854775808,524000,0
132128,37,3743,30.4,-9223372036854775808,314000,0
133107,37,3743,30.4,-9223372036854775808,314000,0
134115,37,3743,30.4,-9223372036854775808,314000,0
