time,azimuth
47,-47
96,-48
147,-45
196,-47
247,-47
297,-46
347,-47
398,-47
446,-46
497,-46
547,-46
597,-46
646,-47
697,-47
747,-48
796,-47
846,-43
896,-46
950,-45
997,-46
1045,-49
1095,-47
1147,-41
1197,-45
1247,-47
1296,-47
1347,-47
1396,-46
1447,-49
1497,-50
1547,-47
1598,-45
1646,-50
1698,-50
1746,-40
1798,-46
1846,-54
1896,-33
1957,-38
1997,-54
2046,-53
2098,-50
2148,-67
2198,-59
2247,-66
2298,-61
2347,-67
2397,-67
2446,-69
2501,-69
2546,-64
2602,-71
2647,-74
2700,-70
2748,-50
2797,-70
2847,-43
2900,-71
2958,-54
2995,-69
3047,-63
3096,-52
3146,-56
3198,-65
3246,-60
3297,-63
3347,-49
3398,-65
3446,-56
3496,-61
3546,-50
3597,-60
3646,-50
3698,-55
3746,-48
3798,-47
3847,-49
3898,-50
3959,-50
3998,-50
4046,-62
4097,-58
4147,-60
4197,-55
4247,-62
4297,-65
4347,-64
4397,-63
4446,-69
4498,-60
4547,-69
4597,-66
4647,-59
4697,-63
4747,-63
4798,-49
4847,-57
4897,-53
4957,-49
4997,-54
5047,-48
5097,-54
5147,-59
5197,-54
5248,-49
5297,-45
5346,-48
5398,-63
5448,-58
5498,-42
5548,-57
5598,-79
5646,-58
5699,-62
5749,-36
5796,-54
5847,-56
5897,-49
5951,-58
6004,-49
6047,-63
6097,-46
6149,-50
6198,-54
6247,-63
6298,-52
6349,-46
6396,-56
6447,-47
6497,-74
6546,-57
6598,-55
6646,-50
6697,-61
6747,-62
6796,-60
6847,-55
6897,-61
6947,-38
6995,-51
7048,-46
7096,-55
7146,-49
7198,-47
7248,-44
7301,-43
7347,-50
7397,-46
7448,-38
7499,-40
7546,-48
7601,-46
7648,-42
7698,-29
7747,-20
7797,-25
7848,-32
7898,-41
7947,-21
7997,-43
8049,-36
8096,-39
8147,-34
8199,-23
8248,-35
8297,-33
8352,-44
8398,-35
8448,-45
8496,-42
8547,-43
8596,-34
8646,-28
8698,-53
8748,-48
8796,-45
8846,-49
8896,-55
8947,-47
8997,-40
9049,-62
9096,-51
9147,-58
9196,-56
9247,-55
9297,-50
9347,-38
9397,-46
9447,-37
9501,-57
9547,-39
9597,-54
9646,-52
9698,-48
9748,71
9797,-40
9848,-41
9898,-46
9946,-34
9998,-32
10065,-25
10099,-22
10146,-33
10198,-37
10247,-15
10298,-28
10351,-20
10397,-53
10447,-29
10497,-47
10547,-34
10599,-41
10647,-42
10698,-64
10747,-43
10798,-35
10848,-42
10897,-48
10949,-45
10998,-49
11046,-40
11102,-66
11146,-60
11197,-31
11247,-58
11298,-65
11347,-39
11399,-62
11447,-60
11496,-68
11546,-57
11596,-54
11647,-47
11698,-62
11747,-55
11796,-60
11846,-47
11900,-58
11947,-47
11997,-68
12047,-62
12103,-49
12150,-65
12197,-91
12247,-68
12298,2
12348,-48
12397,-24
12446,-48
12499,-59
12548,-51
12599,-49
12647,-40
12696,-49
12747,-43
12797,-57
12847,-17
12898,-50
12947,-36
12997,-68
13047,-63
13097,-31
13159,-67
13195,-37
13248,-78
13296,-24
13349,-45
13397,-39
13446,-54
13497,-34
13546,-35
13598,-40
13647,-46
13697,-45
13747,-32
13797,-50
13847,-53
13897,-62
13949,-46
13998,-32
14047,-38
14098,-50
14151,-54
14197,-60
14246,-43
14298,-4
14347,-31
14398,-42
14446,-46
14496,-30
14546,-52
14597,-53
14647,-55
14698,-50
14747,-39
14798,-53
14848,-57
14899,-42
14947,-57
14998,-45
15049,-32
15097,-52
15147,-56
15206,-55
15246,-55
15296,-53
15346,-54
15398,-48
15448,-61
15496,-46
15547,-59
15597,-46
15647,-50
15696,-28
15747,-64
15797,-58
15847,-57
15897,-59
15948,-53
15998,-56
16047,-58
16098,-68
16147,-51
16201,-36
16245,-51
16297,-52
16346,-48
16397,-46
16447,-53
16495,-62
16547,-49
16597,-50
16646,-46
16697,-45
16746,-36
16797,-40
16847,-48
16898,-45
16946,-51
16997,-49
17049,-46
17098,-33
17146,-50
17196,-42
17255,-45
17296,-49
17346,-41
17396,-37
17446,-51
17497,-45
17546,-46
17596,-57
17646,-38
17697,-53
17747,-52
17796,-58
17846,-38
17898,-36
17946,-44
17998,-54
18047,-39
18097,-65
18148,-45
18198,-51
18250,-55
18296,-31
18346,-59
18397,-51
18445,-56
18497,-38
18547,-31
18598,-49
18648,-40
18698,-38
18746,-44
18797,-34
18847,-53
18898,-65
18947,-63
18998,-28
19047,-43
19097,-43
19147,-54
19197,-38
19257,-55
19297,-53
19346,-64
19398,-48
19446,-42
19499,-58
19547,-45
19597,-58
19648,-59
19698,-48
19748,-64
19797,-43
19846,-44
19898,-49
19946,-45
19997,-49
20047,-55
20098,-21
20148,-55
20198,-51
20251,-37
20296,-38
20346,-1
20396,-40
20447,-29
20496,-68
20547,-48
20597,-32
20647,-51
20698,-70
20747,-75
20796,-64
20846,-75
20896,-54
20946,-40
20998,-86
21047,-59
21099,-58
21147,-68
21197,-81
21247,-55
21312,-59
21346,-63
21396,-69
21446,-58
21498,-58
21547,-71
21598,-48
21647,-60
21698,-50
21746,-47
21804,-46
21847,-49
21897,-30
21946,-40
21998,-34
22046,-53
22097,-20
22147,-38
22197,-40
22248,-34
22301,-24
22346,-31
22396,-14
22446,-51
22497,-30
22546,-22
22596,-72
22647,-21
22697,-37
22747,-38
22798,0
22847,-48
22897,-55
22947,-50
22998,-41
23046,-49
23098,-51
23147,-49
23197,-53
23247,-66
23314,-70
23346,-55
23397,-60
23447,-66
23497,-52
23548,-70
23600,-51
23646,-67
23698,-55
23748,-69
23797,-91
23847,-69
23898,-76
23947,-55
23997,-60
24046,-57
24097,-63
24148,-57
24198,-74
24247,-55
24300,-61
24346,-56
24396,-58
24446,-58
24498,-53
24547,-43
24597,-54
24646,-43
24698,-47
24748,-44
24796,-56
24848,-48
24898,-40
24948,-36
24998,-39
25047,-34
25098,-52
25147,-35
25197,-53
25247,-41
25298,-37
25351,-36
25396,-36
25446,-39
25499,-32
25548,-59
25597,-39
25647,-40
25697,-36
25747,-42
25798,-41
25847,-41
25898,-14
25948,-39
25997,-49
26047,-44
26097,-61
26148,-39
26200,-45
26247,-63
26298,-48
26348,-58
26396,-63
26446,-72
26497,-82
26549,-82
26598,-58
26646,-15
26697,-86
26746,-78
26797,-50
26847,-79
26898,-56
26946,-67
26996,-61
27046,-66
27096,-56
27146,-60
27196,-64
27247,-59
27296,-58
27350,-60
27396,-62
27446,-54
27498,-53
27546,-58
27597,-40
27647,-65
27695,-56
27746,-56
27797,-52
27848,-53
27897,-54
27946,-54
27998,-60
28048,-56
28097,-55
28147,-55
28199,-67
28247,-44
28300,-58
28367,-58
28398,-50
28446,-55
28496,-52
28546,-58
28596,-52
28646,-47
28697,-36
28746,-41
28800,-43
28847,-50
28898,-50
28946,-43
28998,-57
29047,-46
29097,-44
29147,-54
29199,-49
29247,-51
29297,-46
29347,-51
29404,-38
29446,-43
29497,-70
29546,-7
29598,-51
29648,-47
29697,-44
29747,-52
29798,-55
29848,-53
29896,-57
29948,-49
29997,-58
30048,-50
30097,-68
30147,-55
30197,-61
30248,-68
30297,-73
30347,-56
30401,-39
30447,-63
30497,-40
30547,-83
30597,-54
30647,-101
30697,-66
30748,-100
30797,-80
30847,-111
30897,-94
30946,-107
30998,-58
31047,-70
31098,-80
31147,-39
31198,-137
31246,-113
