time,USER,SYSTEM,IOW,IRQ
955,-1,-1,-1,-1
1958,-1,-1,-1,-1
2961,-1,-1,-1,-1
3960,-1,-1,-1,-1
4958,-1,-1,-1,-1
6005,-1,-1,-1,-1
7048,-1,-1,-1,-1
8049,-1,-1,-1,-1
9051,-1,-1,-1,-1
10069,-1,-1,-1,-1
11103,-1,-1,-1,-1
12104,-1,-1,-1,-1
13160,-1,-1,-1,-1
14152,-1,-1,-1,-1
15207,-1,-1,-1,-1
16201,-1,-1,-1,-1
17255,-1,-1,-1,-1
18251,-1,-1,-1,-1
19258,-1,-1,-1,-1
20252,-1,-1,-1,-1
21314,-1,-1,-1,-1
22302,-1,-1,-1,-1
23316,-1,-1,-1,-1
24303,-1,-1,-1,-1
25353,-1,-1,-1,-1
26349,-1,-1,-1,-1
27350,-1,-1,-1,-1
28368,-1,-1,-1,-1
29405,-1,-1,-1,-1
30401,-1,-1,-1,-1
31451,-1,-1,-1,-1
32449,-1,-1,-1,-1
33504,-1,-1,-1,-1
34549,-1,-1,-1,-1
35551,-1,-1,-1,-1
36549,-1,-1,-1,-1
37605,-1,-1,-1,-1
38599,-1,-1,-1,-1
39613,-1,-1,-1,-1
40648,-1,-1,-1,-1
41652,-1,-1,-1,-1
42656,-1,-1,-1,-1
43702,-1,-1,-1,-1
44702,-1,-1,-1,-1
45756,-1,-1,-1,-1
46753,-1,-1,-1,-1
47757,-1,-1,-1,-1
48752,-1,-1,-1,-1
49756,-1,-1,-1,-1
50751,-1,-1,-1,-1
51757,-1,-1,-1,-1
52810,-1,-1,-1,-1
53853,-1,-1,-1,-1
54854,-1,-1,-1,-1
55907,-1,-1,-1,-1
56904,-1,-1,-1,-1
57903,-1,-1,-1,-1
58957,-1,-1,-1,-1
59954,-1,-1,-1,-1
60952,-1,-1,-1,-1
61952,-1,-1,-1,-1
62957,-1,-1,-1,-1
64011,-1,-1,-1,-1
65003,-1,-1,-1,-1
66051,-1,-1,-1,-1
67050,-1,-1,-1,-1
68068,-1,-1,-1,-1
69064,-1,-1,-1,-1
70108,-1,-1,-1,-1
71113,-1,-1,-1,-1
72150,-1,-1,-1,-1
73154,-1,-1,-1,-1
74151,-1,-1,-1,-1
75150,-1,-1,-1,-1
76152,-1,-1,-1,-1
77205,-1,-1,-1,-1
78198,-1,-1,-1,-1
79209,-1,-1,-1,-1
80211,-1,-1,-1,-1
81261,-1,-1,-1,-1
82301,-1,-1,-1,-1
83310,-1,-1,-1,-1
84309,-1,-1,-1,-1
85309,-1,-1,-1,-1
86368,-1,-1,-1,-1
87413,-1,-1,-1,-1
88453,-1,-1,-1,-1
89451,-1,-1,-1,-1
90449,-1,-1,-1,-1
91452,-1,-1,-1,-1
92502,-1,-1,-1,-1
93505,-1,-1,-1,-1
94504,-1,-1,-1,-1
95552,-1,-1,-1,-1
96557,-1,-1,-1,-1
97560,-1,-1,-1,-1
98548,-1,-1,-1,-1
99559,-1,-1,-1,-1
100605,-1,-1,-1,-1
101611,-1,-1,-1,-1
102603,-1,-1,-1,-1
103602,-1,-1,-1,-1
104649,-1,-1,-1,-1
105709,-1,-1,-1,-1
106703,-1,-1,-1,-1
107709,-1,-1,-1,-1
108698,-1,-1,-1,-1
109708,-1,-1,-1,-1
110712,-1,-1,-1,-1
111702,-1,-1,-1,-1
112709,-1,-1,-1,-1
113718,-1,-1,-1,-1
114702,-1,-1,-1,-1
115704,-1,-1,-1,-1
116712,-1,-1,-1,-1
117752,-1,-1,-1,-1
118750,-1,-1,-1,-1
119754,-1,-1,-1,-1
120810,-1,-1,-1,-1
121851,-1,-1,-1,-1
122852,-1,-1,-1,-1
123877,-1,-1,-1,-1
124868,-1,-1,-1,-1
125917,-1,-1,-1,-1
126969,-1,-1,-1,-1
128014,-1,-1,-1,-1
129014,-1,-1,-1,-1
130073,-1,-1,-1,-1
131116,-1,-1,-1,-1
132128,-1,-1,-1,-1
133107,-1,-1,-1,-1
134115,-1,-1,-1,-1
