time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
951,22.32105240,87.30825480,4,-12.00000,0.00000,36,17
1958,22.32105150,87.30825440,4,-12.00000,0.00000,36,17
2960,22.32105650,87.30825120,4,-13.00000,0.66000,36,16
3959,22.32105420,87.30824290,4,-14.00000,0.57000,36,17
4957,22.32105450,87.30823140,4,-14.00000,1.14000,36,17
6005,22.32105720,87.30822590,4,-14.00000,1.25000,36,17
7048,22.32104690,87.30819780,4,-14.00000,2.48000,36,17
8049,22.32103930,87.30816220,4,-13.00000,3.14000,36,17
9049,22.32103960,87.30812430,4,-13.00000,3.42000,36,17
10068,22.32103780,87.30808110,4,-14.00000,4.37000,36,17
11102,22.32104480,87.30803710,4,-13.00000,4.55000,36,15
12104,22.32105370,87.30799280,4,-13.00000,4.65000,34,13
13159,22.32105570,87.30794750,4,-13.00000,4.50000,36,15
14151,22.32105530,87.30790460,4,-13.00000,4.25000,35,14
15207,22.32105140,87.30786290,4,-14.00000,4.18000,33,13
16201,22.32104910,87.30782210,4,-15.00000,4.03000,35,16
17255,22.32104830,87.30778360,4,-15.00000,3.71000,34,15
18251,22.32105060,87.30774870,4,-16.00000,3.44000,32,14
19258,22.32105160,87.30771390,4,-16.00000,3.88000,35,16
20251,22.32105360,87.30767270,5,-16.00000,4.38000,34,16
21313,22.32105580,87.30763020,4,-16.00000,4.45000,33,15
22301,22.32105940,87.30759600,4,-16.00000,4.19000,30,13
23314,22.32105950,87.30755550,4,-16.00000,4.19000,30,13
24303,22.32105930,87.30751640,4,-17.00000,3.79000,34,18
25353,22.32105490,87.30747740,4,-18.00000,4.19000,31,14
26349,22.32104950,87.30743430,4,-18.00000,4.55000,34,17
27350,22.32104660,87.30739120,4,-18.00000,4.32000,35,17
28367,22.32104490,87.30734770,4,-19.00000,4.34000,35,15
29405,22.32104390,87.30730470,4,-19.00000,4.34000,33,15
30401,22.32104370,87.30726260,4,-20.00000,4.13000,35,17
31451,22.32103440,87.30719110,4,-20.00000,2.96000,30,14
32449,22.32099910,87.30718850,4,-20.00000,2.96000,35,16
33504,22.32097560,87.30718660,4,-19.00000,2.40000,35,16
34549,22.32095170,87.30718540,4,-19.00000,3.01000,35,17
35551,22.32092640,87.30720560,4,-20.00000,2.46000,33,15
36548,22.32087800,87.30723340,4,-22.00000,4.34000,35,15
37604,22.32082320,87.30724180,4,-22.00000,4.47000,36,15
38599,22.32074540,87.30723460,4,-23.00000,5.28000,34,15
39611,22.32069930,87.30723000,4,-24.00000,5.15000,34,15
40648,22.32065280,87.30723090,5,-24.00000,5.15000,34,15
41651,22.32059870,87.30723670,5,-20.00000,5.78000,34,14
42656,22.32053930,87.30723780,5,-20.00000,6.19000,31,12
43702,22.32048030,87.30724350,5,-21.00000,5.94000,35,15
44702,22.32042450,87.30724890,4,-22.00000,6.36000,34,13
45756,22.32036750,87.30725640,5,-22.00000,6.36000,34,14
46751,22.32030330,87.30725520,4,-22.00000,6.51000,34,15
47756,22.32023470,87.30725490,5,-22.00000,6.35000,33,13
48752,22.32018790,87.30726500,4,-21.00000,6.37000,35,12
49755,22.32013180,87.30726190,5,-20.00000,5.85000,35,12
50751,22.32008330,87.30725960,4,-21.00000,4.80000,34,11
51757,22.32004830,87.30726250,4,-21.00000,4.67000,34,11
52810,22.32000640,87.30726790,5,-21.00000,4.67000,34,11
53852,22.31997470,87.30727530,4,-21.00000,4.25000,35,12
54854,22.31993310,87.30727760,5,-21.00000,4.50000,34,12
55903,22.31987950,87.30727690,5,-21.00000,5.14000,35,13
56903,22.31983100,87.30726340,6,-23.00000,3.78000,33,13
57903,22.31981200,87.30729600,5,-23.00000,3.72000,35,15
58956,22.31980070,87.30733310,6,-25.00000,3.34000,34,15
59954,22.31979640,87.30736750,8,-24.00000,3.21000,33,14
60951,22.31979590,87.30739830,6,-24.00000,3.19000,34,14
61951,22.31979330,87.30743960,6,-26.00000,4.53000,32,15
62956,22.31978320,87.30750680,5,-25.00000,5.07000,32,14
64010,22.31978860,87.30755630,5,-25.00000,5.06000,33,15
65003,22.31980130,87.30760360,6,-25.00000,5.06000,33,15
66050,22.31981540,87.30765450,5,-23.00000,5.15000,35,17
67049,22.31982460,87.30770990,5,-22.00000,5.56000,33,16
68067,22.31983210,87.30776910,5,-22.00000,6.19000,34,15
69064,22.31983920,87.30782700,5,-22.00000,6.00000,35,16
70107,22.31983950,87.30786750,5,-22.00000,4.33000,35,16
71113,22.31984480,87.30788930,6,-21.00000,2.69000,33,14
72150,22.31984720,87.30791580,6,-20.00000,1.58000,34,15
73154,22.31985770,87.30793520,6,-19.00000,1.92000,35,17
