time,x,y,z
47,-0.01018,0.01038,-0.01489
96,-0.00873,0.00580,-0.01030
146,-0.00854,0.00650,-0.00970
196,-0.01143,0.00648,-0.00632
246,-0.01221,0.00691,-0.00006
297,-0.00887,0.00676,0.00087
347,-0.00943,0.00578,0.00581
397,-0.00630,0.00192,0.01279
446,-0.00854,-0.00082,0.02026
496,-0.01283,0.00253,0.02814
546,-0.02086,0.00471,0.05042
597,-0.02443,0.00632,0.05737
646,-0.03561,0.00804,0.07573
697,-0.04556,0.00270,0.11569
746,-0.03679,-0.02249,0.12682
796,-0.01378,-0.03819,0.09732
846,-0.03908,-0.00723,0.03246
896,-0.08720,0.04941,0.00687
950,-0.12650,0.07916,0.05336
996,-0.14111,0.08182,0.03902
1045,-0.13490,0.10469,-0.01759
1095,-0.18086,0.10329,0.17355
1146,-0.21281,0.12085,0.26620
1196,-0.21919,0.08055,0.24243
1247,-0.18942,0.02742,0.36113
1296,-0.11084,-0.04474,0.34431
1346,-0.03110,-0.12512,0.29570
1396,0.04373,-0.20128,0.22594
1446,0.12138,-0.19743,0.14931
1496,0.14745,-0.25671,0.11201
1547,0.22446,-0.25729,-0.00095
1597,0.22836,-0.21460,-0.07390
1646,0.26595,-0.25377,-0.15369
1697,0.27231,-0.18895,-0.23671
1746,0.23849,-0.14485,-0.22267
1797,0.21840,-0.18585,-0.07933
1846,0.22263,-0.15862,0.07797
1896,0.18968,-0.16096,0.11519
1957,0.14532,-0.15497,0.16972
1997,0.12125,-0.15392,0.29364
2046,-0.05138,-0.14853,0.64980
2097,-0.21194,-0.07297,1.13820
2147,-0.29613,-0.07213,1.49307
2198,-0.24220,-0.10693,1.51476
2247,-0.27383,-0.17699,1.49753
2297,-0.09271,-0.17244,1.33141
2347,-0.12480,-0.23895,1.39812
2397,-0.15916,-0.28200,0.93588
2446,0.37701,-0.34381,-0.05054
2501,0.67317,-0.28445,-0.69460
2546,0.56966,-0.23987,-0.62561
2602,0.38391,-0.16191,-0.32187
2646,0.26054,-0.15117,-0.03215
2699,0.24902,-0.11873,0.10294
2748,0.31613,-0.19243,-0.18985
2797,0.27545,-0.06755,-0.21051
2847,0.42218,-0.08946,-0.39944
2900,0.34863,-0.07108,-0.43869
2958,0.29655,-0.06035,-0.44241
2995,0.33455,-0.07526,-0.37895
3046,0.22412,-0.06329,-0.39839
3096,0.08347,-0.03987,-0.39159
3146,0.16728,-0.01166,-0.39908
3197,0.10223,0.00583,-0.21677
3246,-0.00311,0.00427,0.15462
3297,-0.09482,0.00488,0.43973
3347,-0.13760,0.01273,0.54164
3398,-0.05681,0.03069,0.31993
3446,0.08612,-0.01141,-0.00493
3496,0.14037,-0.01599,-0.08900
3546,0.14377,-0.00803,-0.09578
3597,0.13223,0.00439,-0.18047
3646,0.17416,0.00313,-0.42421
3697,0.24100,-0.00124,-0.71103
3746,0.22063,-0.03149,-0.82291
3798,0.13870,-0.00935,-0.82590
3847,0.00063,0.01723,-0.52736
3898,-0.15558,-0.00806,-0.05199
3959,-0.27779,0.01822,0.38593
3997,-0.34097,0.04294,0.47992
4046,-0.41226,0.07037,1.17502
4097,-0.42793,0.09482,1.25111
4147,-0.38339,0.08946,1.30421
4197,-0.20795,0.04243,1.02144
4247,-0.10037,0.01981,0.77086
4297,0.00484,-0.04738,0.34973
4347,0.16808,-0.04169,-0.00496
4397,0.27794,-0.04012,-0.20468
4446,0.23810,-0.04512,-0.30710
4498,0.09511,-0.04358,-0.40294
4547,0.27684,-0.03267,-0.72368
