time,lx
47,40.00000
96,26.00000
147,26.00000
196,26.00000
247,26.00000
297,30.00000
347,30.00000
398,30.00000
446,30.00000
497,30.00000
546,30.00000
597,30.00000
646,30.00000
697,1273.00000
746,1273.00000
796,1273.00000
846,1273.00000
896,4086.00000
950,4086.00000
996,4086.00000
1045,4086.00000
1095,4086.00000
1146,4047.00000
1197,4047.00000
1247,4047.00000
1296,4047.00000
1346,3975.00000
1396,3975.00000
1446,3975.00000
1496,3975.00000
1547,3839.00000
1597,3839.00000
1646,3839.00000
1697,3839.00000
1746,3665.00000
1797,3665.00000
1846,3665.00000
1896,3665.00000
1957,3665.00000
1997,3730.00000
2046,3730.00000
2098,3730.00000
2147,3730.00000
2198,3730.00000
2247,3730.00000
2298,3634.00000
2347,3634.00000
2397,3634.00000
2446,3634.00000
2501,3438.00000
2546,3438.00000
2602,3438.00000
2647,3438.00000
2700,3248.00000
2748,3248.00000
2797,3248.00000
2847,3248.00000
2900,3190.00000
2958,3190.00000
2995,3190.00000
3046,3190.00000
3096,3060.00000
3146,3060.00000
3198,3060.00000
3246,3060.00000
3297,2929.00000
3347,2929.00000
3398,2929.00000
3446,2929.00000
3496,2980.00000
3546,2980.00000
3597,2980.00000
3646,2980.00000
3697,2955.00000
3746,2955.00000
3798,2955.00000
3847,2955.00000
3898,2830.00000
3959,2830.00000
3997,2830.00000
4046,2830.00000
4097,2872.00000
4147,2872.00000
4197,2872.00000
4247,2872.00000
4297,3201.00000
4347,3201.00000
4397,3201.00000
4446,3201.00000
4498,3210.00000
4547,3210.00000
4597,3210.00000
4647,3210.00000
4697,3112.00000
4746,3112.00000
4798,3112.00000
4847,3112.00000
4897,2982.00000
4957,2982.00000
4997,2982.00000
5047,2982.00000
5097,2982.00000
5147,2929.00000
5197,2929.00000
5248,2929.00000
5297,2929.00000
5346,2843.00000
5397,2843.00000
5448,2843.00000
5498,2843.00000
5548,2782.00000
5598,2782.00000
5646,2782.00000
5699,2782.00000
5749,2782.00000
5796,2884.00000
5846,2884.00000
5897,2884.00000
5951,2708.00000
6004,2708.00000
6046,2708.00000
6097,2708.00000
6148,2708.00000
6198,2363.00000
6247,2363.00000
6298,2363.00000
6348,2316.00000
6396,2316.00000
6447,2316.00000
6497,2316.00000
6546,2187.00000
6597,2187.00000
6646,2187.00000
6697,2187.00000
6746,2018.00000
6796,2018.00000
6847,2018.00000
6897,2018.00000
6947,1794.00000
6995,1794.00000
7048,1794.00000
7096,1794.00000
7146,1701.00000
7198,1701.00000
7248,1701.00000
7299,1701.00000
7347,1514.00000
7397,1514.00000
7448,1514.00000
7499,1514.00000
7546,1599.00000
7600,1599.00000
7648,1599.00000
7697,1599.00000
7747,1599.00000
7797,1661.00000
7848,1661.00000
7898,1661.00000
7947,1834.00000
7997,1834.00000
8049,1834.00000
8096,1834.00000
8147,2043.00000
8198,2043.00000
8248,2043.00000
8297,2043.00000
8351,2411.00000
8398,2411.00000
8448,2411.00000
8496,2411.00000
8547,2785.00000
8596,2785.00000
8646,2785.00000
8698,2785.00000
8748,2876.00000
8796,2876.00000
8846,2876.00000
8896,2876.00000
8947,2854.00000
8997,2854.00000
9049,2854.00000
9096,2854.00000
9147,2780.00000
9196,2780.00000
9247,2780.00000
9297,2780.00000
9347,2566.00000
9396,2566.00000
9446,2566.00000
9499,2566.00000
9546,2160.00000
9597,2160.00000
9646,2160.00000
9698,2160.00000
9747,1992.00000
9797,1992.00000
9847,1992.00000
9897,1992.00000
9946,1821.00000
9998,1821.00000
10064,1821.00000
10099,1821.00000
10146,1640.00000
10198,1640.00000
10247,1640.00000
10297,1640.00000
10350,1723.00000
10397,1723.00000
10447,1723.00000
10497,1723.00000
10547,1723.00000
10599,1683.00000
10647,1683.00000
10698,1683.00000
10747,1683.00000
10798,1476.00000
10848,1476.00000
10897,1476.00000
10949,1262.00000
10998,1262.00000
11046,1262.00000
11102,1262.00000
11146,1262.00000
11197,1106.00000
11247,1106.00000
11298,1106.00000
11346,1106.00000
11399,937.00000
11447,937.00000
11496,937.00000
11546,868.00000
11596,868.00000
11647,868.00000
11697,868.00000
11747,908.00000
11796,908.00000
11846,908.00000
11899,908.00000
11947,1011.00000
11997,1011.00000
12047,1011.00000
12103,1011.00000
12150,1011.00000
12197,1245.00000
12246,1245.00000
12297,1245.00000
12348,1245.00000
12397,1341.00000
12446,1341.00000
