time,x,y,z
47,35.65826,-28.40881,-37.68921
96,34.88007,-28.65295,-37.76550
146,37.65259,-29.51050,-35.18524
196,35.71625,-28.95966,-37.00714
246,35.77728,-29.51813,-34.98077
296,36.99188,-29.14276,-36.83777
347,36.44409,-29.33807,-35.77423
397,36.73706,-29.13666,-37.00867
446,37.00256,-28.84369,-36.62872
496,36.80573,-29.30908,-36.12061
546,37.22076,-29.44183,-35.76660
597,37.25739,-29.35638,-35.26459
646,36.47614,-29.44031,-36.00006
697,36.71875,-29.31976,-35.97565
746,35.77271,-28.89099,-36.22742
796,36.30829,-28.92151,-36.21063
846,35.92377,-29.00391,-37.47864
896,35.94360,-28.94287,-37.20703
950,36.06873,-28.84979,-36.80420
996,35.52856,-28.84979,-37.55798
1045,35.03571,-28.16010,-36.88354
1095,35.76660,-28.14789,-37.48322
1146,35.88867,-28.24249,-37.80823
1196,36.28998,-27.74200,-38.19122
1246,36.44562,-27.47955,-37.98828
1296,35.79865,-27.20947,-37.50610
1346,36.12671,-27.38953,-37.04987
1396,34.17664,-26.67236,-39.01978
1446,35.21423,-27.64130,-37.62512
1496,34.28802,-27.65503,-37.06055
1546,33.87299,-27.83508,-36.79047
1597,33.49457,-28.43170,-36.12518
1646,32.90405,-28.51257,-35.62012
1697,32.56836,-28.82996,-35.62469
1746,32.55310,-29.08630,-35.88257
1797,32.58667,-29.76990,-35.55908
1846,32.60498,-29.82330,-35.32562
1896,31.77490,-30.02777,-34.79767
1956,31.60095,-30.66559,-34.65118
1996,30.31769,-30.51758,-34.26056
2046,28.39966,-30.41077,-34.61609
2097,28.33862,-30.82886,-34.21326
2147,26.10779,-30.32684,-34.11560
2197,23.73199,-29.78821,-34.66034
2246,22.01996,-29.45709,-34.81293
2297,19.21539,-28.35693,-34.49249
2347,16.09192,-27.15607,-35.82611
2397,14.04114,-26.29395,-35.85663
2446,14.51721,-26.36414,-34.02863
2500,14.57367,-27.14233,-33.42133
2546,14.20135,-27.89764,-32.69806
2601,15.55939,-29.50287,-30.39703
2646,14.81781,-29.69666,-30.61676
2698,15.11841,-30.28412,-29.29840
2747,14.95209,-30.42297,-29.60205
2797,15.53650,-31.57654,-28.49121
2847,15.48920,-31.61926,-27.83661
2898,15.75775,-31.78864,-28.16467
2957,16.96472,-32.88879,-26.49384
2995,16.53900,-33.01849,-27.01416
3046,17.77496,-33.43811,-27.42767
3096,18.73322,-34.19495,-25.11749
3146,18.55469,-34.20715,-25.56915
3197,20.12634,-34.39331,-24.67804
3246,20.19043,-34.63593,-24.52545
3297,20.06989,-34.61456,-25.49133
3347,18.09998,-34.39484,-25.20447
3398,18.69049,-34.46960,-25.09613
3446,16.76025,-33.77228,-26.14136
3496,17.42706,-34.41162,-25.11749
3546,18.68439,-34.54437,-24.53461
3596,18.37769,-34.69238,-24.13635
3646,18.95752,-34.67712,-24.81995
3697,19.66095,-35.26764,-23.93951
3746,20.76416,-35.43091,-24.13330
3798,22.54181,-35.93140,-23.13995
3847,23.62976,-35.85052,-23.48785
3898,24.46442,-36.23047,-23.41766
3957,24.51630,-35.80475,-23.96088
3997,24.51630,-35.80475,-23.96088
4045,20.36591,-34.57489,-25.41962
4097,19.14063,-34.00574,-26.12762
4146,16.90216,-33.26416,-26.74103
4196,15.09094,-32.12433,-26.75934
4247,14.38751,-31.76575,-27.66876
4296,12.53204,-31.01654,-27.70386
4347,12.61902,-31.28052,-27.22778
4397,11.83319,-30.89905,-27.29950
4446,12.39471,-31.80237,-26.43585
4498,13.27515,-32.06635,-25.72937
4546,14.41193,-32.52411,-26.18103
4597,15.73639,-33.48389,-24.85046
4646,16.51001,-34.00726,-24.99847
4697,17.92603,-34.68781,-24.34082
4746,18.91174,-35.18219,-24.87335
4797,20.01343,-35.42023,-25.10681
4847,20.91675,-35.66284,-24.72839
4897,21.36383,-35.78033,-24.60785
4955,21.28754,-35.21881,-24.87335
4997,21.13342,-34.90295,-25.58136
5046,20.27893,-34.73663,-25.95825
5096,22.33582,-35.37903,-24.50867
5147,21.86890,-34.78088,-25.44861
5197,23.49701,-35.35461,-25.18158
5247,24.28894,-35.77728,-25.05951
5296,24.22638,-35.72540,-25.89264
5346,25.72174,-36.23505,-25.43640
5397,24.87335,-35.64758,-26.30615
5447,24.13635,-35.19287,-25.69275
5497,23.38562,-35.22491,-26.01624
5547,23.06366,-35.01434,-25.73395
5597,21.98639,-34.44672,-25.75684
5646,20.46967,-34.76868,-26.01318
5698,20.79773,-34.40704,-26.10474
5748,19.63806,-34.74121,-25.45776
5796,19.16809,-34.18274,-25.79193
5846,20.79010,-35.02655,-24.34845
5896,20.37506,-35.47516,-24.15314
5951,22.88666,-36.27472,-23.78387
6004,22.04895,-36.27777,-23.96545
6046,22.22443,-35.83069,-24.79401
6097,22.40601,-36.01685,-23.68011
6148,22.05963,-35.58960,-24.33777
6197,21.06934,-35.27679,-25.22736
6247,20.71838,-35.15778,-25.35248
6298,20.66650,-35.00519,-24.71313
6348,20.71533,-35.43243,-24.13025
6396,20.82977,-35.24628,-25.16785
6447,22.06879,-35.87036,-23.62518
6497,21.20056,-35.34851,-23.47107
6546,21.19598,-35.73456,-22.93396
6597,22.46704,-36.34033,-22.27325
6646,23.59161,-36.55701,-22.83325
6696,24.13483,-37.02087,-22.13898
6746,25.53711,-37.14752,-22.21375
6796,27.20490,-36.74927,-21.87805
6846,29.21295,-37.88757,-21.82465
6897,29.37469,-37.51373,-21.53778
6947,30.07660,-37.63428,-21.89484
6995,29.35944,-37.42065,-22.37549
7048,30.47943,-37.75787,-21.07697
7096,30.20172,-38.30719,-22.31750
7146,32.16248,-39.07166,-20.20416
7197,34.84802,-38.34839,-19.81354
7247,36.18774,-38.31329,-19.38782
7298,38.73596,-38.28888,-19.67926
7346,38.78479,-37.97913,-19.61212
7396,38.22632,-37.61902,-20.53070
7447,38.19275,-38.17139,-20.44220
7498,38.41248,-37.71973,-21.32111
7546,37.05139,-37.58392,-21.98944
7599,38.59711,-37.62970,-22.07794
7647,37.60223,-37.16278,-22.32971
7697,38.62305,-37.18262,-22.94464
7747,39.49890,-37.01630,-22.86987
7797,40.36102,-36.83929,-22.97974
7847,39.66370,-36.17249,-24.42017
7897,39.07928,-36.29761,-24.46899
7946,39.88037,-35.95276,-25.37537
7997,38.89771,-35.41565,-26.09406
8049,39.25629,-34.88159,-27.03247
8096,40.23895,-33.94775,-27.34222
8147,39.44397,-34.05762,-28.25928
8198,40.86151,-34.23309,-28.79486
8248,40.97595,-33.31451,-29.69971
8297,39.21967,-32.87048,-30.41229
8350,39.01215,-32.51343,-31.16608
8398,37.83264,-32.24487,-32.64313
8447,37.27112,-32.27234,-32.37610
8496,35.73761,-31.53381,-33.95691
8546,35.62775,-32.10297,-34.23309
8596,34.35822,-31.88934,-33.66394
8646,32.98187,-32.16553,-33.97827
8697,31.84814,-31.90308,-33.51288
8747,30.91583,-31.83289,-33.64716
8796,29.10004,-32.23419,-33.37250
8846,27.42157,-32.43256,-33.16498
8896,27.39258,-32.56836,-32.27539
8947,25.70038,-32.79419,-32.25098
8996,24.54071,-33.58765,-32.35626
9048,24.60327,-33.68225,-30.87311
9096,25.09308,-35.18982,-29.12903
9146,24.93591,-35.11047,-27.96783
9196,27.09503,-36.45325,-25.92010
9247,28.47290,-36.94763,-25.73547
9297,30.18036,-37.40082,-23.07434
9346,32.98187,-37.69531,-21.97113
9396,34.03473,-37.82349,-21.51489
9446,36.46393,-38.59711,-20.95795
9498,37.69836,-38.13324,-20.55511
9546,37.73651,-37.19482,-21.17920
9596,39.31274,-38.00201,-20.33691
9646,38.56049,-37.41760,-19.91577
9697,39.77203,-37.35962,-19.90051
9747,41.22009,-37.32758,-19.98901
9797,42.84210,-37.58850,-19.74335
9847,43.49213,-36.97510,-20.01038
9897,44.87305,-36.65924,-20.30029
9946,45.72601,-35.93750,-19.75403
9998,46.80023,-35.30426,-20.83435
10064,48.21930,-34.08966,-21.74530
10098,49.22333,-33.55255,-23.13843
10146,46.59119,-32.29828,-27.00500
10197,48.05603,-31.93665,-26.14594
10247,47.40295,-31.65588,-27.05231
10297,46.55914,-31.99463,-28.69110
10350,45.54596,-31.27899,-29.79126
10396,44.37103,-30.58777,-31.76117
10447,44.39850,-30.61066,-31.39038
10497,43.87512,-30.19867,-32.49969
10547,43.04504,-29.35486,-33.71277
10598,41.49475,-29.22363,-34.97162
10647,40.36102,-29.33807,-35.91461
10697,38.48724,-28.61328,-36.17859
10747,38.44757,-29.39148,-36.21368
10798,36.16028,-29.07410,-36.93237
10847,35.49500,-29.48303,-36.81793
10897,34.35211,-29.20837,-37.13837
10948,33.88977,-30.04761,-36.35864
10997,32.55768,-29.47540,-35.90240
11045,31.57959,-29.91028,-36.09161
11102,31.63605,-30.34210,-35.41565
11146,30.10864,-30.19409,-35.70557
11197,28.45917,-29.56390,-36.25336
11247,27.99377,-29.74243,-36.02753
11298,27.04468,-30.00641,-35.81390
11346,25.89722,-29.77295,-35.53009
11396,23.59314,-29.48151,-35.83069
11447,22.49603,-29.86298,-35.64606
11496,22.18628,-30.35583,-35.36072
11546,22.80884,-30.92499,-33.59833
11596,21.89331,-31.72150,-32.37762
11647,23.32001,-32.60193,-32.26166
11697,22.84698,-32.74078,-30.83496
11747,24.60938,-32.99561,-30.64423
11796,23.54736,-32.82471,-30.54657
11846,23.46954,-33.77228,-29.17938
11899,23.79608,-34.14459,-28.75519
11947,22.95990,-34.57794,-27.70386
11997,23.62366,-34.90601,-26.65558
12047,23.22693,-35.41260,-25.57678
12102,24.91760,-36.61652,-24.57428
12150,24.07684,-36.07788,-24.70093
12196,26.52435,-36.83472,-22.57233
12246,28.67889,-37.35657,-21.73767
12297,29.59900,-37.68768,-21.81549
12347,30.43671,-38.03101,-21.70258
12397,30.52063,-37.74567,-22.46857
12446,31.42395,-37.52136,-22.67761
12498,32.69196,-37.66327,-21.95587
12547,32.50580,-37.01630,-22.36023
12598,34.52148,-37.42523,-22.72949
12647,34.26819,-37.18872,-22.82410
12696,34.33380,-36.77216,-23.82965
12747,34.41162,-37.06665,-23.48938
12797,33.61511,-36.90796,-23.73047
12846,33.69904,-37.31995,-23.98376
12897,34.49402,-36.81793,-24.29810
12947,34.89838,-37.24823,-24.15314
12997,34.62219,-36.83929,-24.53613
13047,35.51636,-36.91864,-24.25995
13096,35.42328,-36.92474,-24.20654
13159,35.03571,-36.85150,-24.83673
13195,34.79614,-36.15570,-26.63116
13248,34.99451,-36.11755,-26.55334
13296,34.89380,-36.61957,-26.04828
13349,34.89685,-36.19537,-26.58844
13397,35.45380,-36.66534,-27.00500
13446,35.93292,-35.91766,-27.59552
13497,36.12976,-35.60944,-27.49023
13546,37.36572,-35.33783,-27.11945
13597,36.26556,-35.17761,-26.87988
13646,35.83832,-34.76257,-27.99530
13697,35.38055,-34.44061,-28.86963
13746,35.18524,-34.86786,-28.96729
13797,34.48792,-34.44214,-28.49274
13847,34.15527,-35.07233,-27.87323
13897,34.28192,-35.20813,-28.14789
13948,34.67407,-35.55603,-27.49939
13997,34.97314,-35.36530,-27.34528
14046,34.77173,-35.44159,-26.81885
14098,35.41412,-35.17151,-26.59912
14151,34.58405,-34.98230,-27.95105
14197,33.51440,-34.17969,-29.79584
14246,35.09216,-35.37598,-28.37067
14297,35.87646,-34.75342,-28.13721
14346,36.61499,-35.13184,-28.70941
14398,36.87897,-34.37500,-28.26996
14446,35.46753,-34.08051,-29.59442
14496,35.07843,-33.97217,-29.57916
14546,34.03168,-33.46100,-30.52521
14597,33.28247,-33.22449,-30.77393
14647,31.41632,-33.00323,-31.69708
14697,31.71844,-33.23822,-31.60553
14746,31.20117,-33.76160,-31.49261
14797,30.74799,-33.71887,-31.05164
