time,available,total
955,3156574208,6018187264
1958,3150802944,6018187264
2961,3147612160,6018187264
3960,3144753152,6018187264
4958,3143045120,6018187264
6005,3141582848,6018187264
7048,3147739136,6018187264
8049,3145478144,6018187264
9051,3143806976,6018187264
10070,3162259456,6018187264
11103,3161391104,6018187264
12104,3161026560,6018187264
13160,3158581248,6018187264
14152,3157975040,6018187264
15207,3156885504,6018187264
16201,3155701760,6018187264
17255,3162800128,6018187264
18251,3159838720,6018187264
19258,3156611072,6018187264
20252,3155353600,6018187264
21314,3153633280,6018187264
22302,3151499264,6018187264
23317,3149438976,6018187264
24304,3146502144,6018187264
25353,3143970816,6018187264
26349,3151163392,6018187264
27350,3150966784,6018187264
28368,3148570624,6018187264
29405,3158241280,6018187264
30401,3157127168,6018187264
31451,3156299776,6018187264
32450,3155095552,6018187264
33505,3152769024,6018187264
34549,3150979072,6018187264
35551,3154182144,6018187264
36549,3149860864,6018187264
37605,3147255808,6018187264
38599,3136073728,6018187264
39613,3132907520,6018187264
40648,3131191296,6018187264
41652,3130208256,6018187264
42657,3129458688,6018187264
43702,3127271424,6018187264
44702,3146035200,6018187264
45756,3145494528,6018187264
46753,3144048640,6018187264
47757,3142983680,6018187264
48752,3141132288,6018187264
49756,3139567616,6018187264
50751,3138293760,6018187264
51757,3134484480,6018187264
52811,3137814528,6018187264
53853,3144474624,6018187264
54854,3143335936,6018187264
55908,3153707008,6018187264
56904,3152687104,6018187264
57903,3152257024,6018187264
58957,3150544896,6018187264
59954,3149180928,6018187264
60952,3149852672,6018187264
61952,3149582336,6018187264
62957,3156729856,6018187264
64011,3154972672,6018187264
65003,3153784832,6018187264
66051,3152179200,6018187264
67050,3151020032,6018187264
68068,3150123008,6018187264
69064,3148058624,6018187264
70108,3146313728,6018187264
71114,3145408512,6018187264
72150,3151597568,6018187264
73154,3150495744,6018187264
74151,3149139968,6018187264
75150,3169099776,6018187264
76152,3163045888,6018187264
77205,3161042944,6018187264
78198,3159248896,6018187264
79209,3137847296,6018187264
80211,3137069056,6018187264
81261,3145605120,6018187264
82301,3143417856,6018187264
83310,3142225920,6018187264
84309,3138564096,6018187264
85309,3137183744,6018187264
86369,3135156224,6018187264
87413,3159187456,6018187264
88453,3157811200,6018187264
89451,3156443136,6018187264
90449,3162656768,6018187264
91452,3160899584,6018187264
92502,3158659072,6018187264
93505,3156774912,6018187264
94504,3153534976,6018187264
95552,3149750272,6018187264
96557,3147530240,6018187264
97560,3145830400,6018187264
98548,3142524928,6018187264
99559,3148611584,6018187264
100605,3146547200,6018187264
101611,3144417280,6018187264
102603,3143286784,6018187264
103602,3140198400,6018187264
104649,3138981888,6018187264
105709,3133542400,6018187264
106703,3136905216,6018187264
107710,3135139840,6018187264
108698,3142225920,6018187264
109708,3139829760,6018187264
110713,3138383872,6018187264
111702,3137138688,6018187264
112709,3135406080,6018187264
113718,3133136896,6018187264
114702,3135049728,6018187264
115704,3135840256,6018187264
116712,3146792960,6018187264
117752,3175645184,6018187264
118750,3174551552,6018187264
119754,3173851136,6018187264
120810,3173199872,6018187264
121851,3171495936,6018187264
122852,3087101952,6018187264
123877,3084058624,6018187264
124868,3088646144,6018187264
125917,3088326656,6018187264
126970,3088232448,6018187264
128014,3085463552,6018187264
129014,3084587008,6018187264
130073,3084103680,6018187264
131116,3083591680,6018187264
132128,3083018240,6018187264
133108,3080335360,6018187264
134117,3102617600,6018187264
