time,total received,total sent,mobile received,mobile sent
955,7833088,1457071,0,0
1958,7864827,1459843,0,0
2962,7886740,1462117,0,0
3960,7916572,1464649,0,0
4958,7946422,1466969,0,0
6005,7981917,1470819,0,0
7048,8009002,1474198,0,0
8049,8033010,1478889,0,0
9051,8058941,1479181,0,0
10070,8085428,1481455,0,0
11103,8116229,1483747,0,0
12105,8159589,1483799,0,0
13160,8193178,1483799,0,0
14152,8217394,1483799,0,0
15207,8239505,1484039,0,0
16201,8259701,1484039,0,0
17255,8292528,1484039,0,0
18251,8331206,1484819,0,0
19258,8359002,1484999,0,0
20252,8397102,1485239,0,0
21314,8429061,1485719,0,0
22302,8455188,1486019,0,0
23319,8474303,1486763,0,0
24304,8479922,1487003,0,0
25353,8507225,1487423,0,0
26349,8535559,1487663,0,0
27350,8554362,1487723,0,0
28371,8567978,1488347,0,0
29405,8581595,1488827,0,0
30401,8605077,1489067,0,0
31451,8617495,1489367,0,0
32450,8618496,1489487,0,0
33505,8618903,1489487,0,0
34549,8618903,1489607,0,0
35551,8619396,1489907,0,0
36549,8623443,1490267,0,0
37605,8626965,1490927,0,0
38599,8626965,1491676,11417,72656
39613,8634812,1491996,11417,72836
40648,8637953,1492280,11417,72836
41652,8639863,1492760,11559,73316
42657,8641046,1493180,11559,73736
43702,8642265,1493875,11559,74375
44702,8642337,1494355,11559,74855
45756,8647833,1494775,11559,75275
46754,8652841,1494835,11559,75335
47757,8654501,1495090,11559,75590
48752,8657002,1495834,11559,76334
49757,8657002,1496014,11559,76514
50751,8657392,1496250,11559,76694
51757,8657547,1496430,11559,76874
52811,8657547,1496685,11559,77129
53853,8657547,1497369,11559,77813
54854,8657547,1497549,11559,77993
55908,8657547,1497669,11559,78113
56904,8657547,1497909,11559,78353
57907,8657547,1498468,11559,78912
58957,8657547,1499027,11559,79471
59954,8657547,1499447,11559,79891
60952,8657547,1499863,11559,80251
61952,8657547,1499983,11559,80371
62957,8657547,1500546,11559,80934
64012,8657547,1500742,11559,81130
65003,8657547,1501042,11559,81430
66051,8657547,1501158,11559,81490
67050,8657547,1501398,11559,81730
68068,8657547,1501585,11559,81917
69065,8657547,1502125,11559,82457
70108,8657547,1502725,11559,83057
71114,8657547,1502845,11559,83177
72150,8657547,1503570,11559,83902
73154,8657547,1504057,11559,84389
74151,8657547,1504477,11559,84809
75150,8657547,1504959,11559,85291
76152,8657742,1506119,11754,86311
77205,8657742,1506867,11754,86851
78198,8658070,1507250,11754,87158
79210,8674024,1516705,0,0
80211,8681895,1526744,0,0
81262,8682055,1527040,0,0
82301,8682375,1527520,0,0
83310,8682853,1528258,0,0
84309,8684241,1529911,0,0
85309,8684241,1529911,0,0
86369,8684721,1530631,0,0
87413,8684881,1530871,0,0
88453,8684881,1530927,0,0
89452,8685409,1531730,0,0
90449,8685809,1532330,0,0
91452,8686169,1532810,0,0
92502,8686649,1533530,0,0
93505,8686649,1533530,0,0
94504,8686649,1533530,0,0
95552,8687732,1534934,0,0
96557,8687892,1535174,0,0
97560,8687892,1535174,0,0
98548,8687920,1536462,0,0
99559,8688508,1538779,0,0
100605,8688936,1540645,0,0
101611,8689256,1542602,0,0
102603,8689527,1544295,0,0
103602,8689527,1545772,0,0
104649,8689647,1547023,0,0
105710,8689967,1547503,0,0
106704,8690059,1547723,0,0
107710,8690539,1548743,0,0
108698,8690699,1549103,0,0
109708,8690699,1549163,0,0
110713,8690979,1549403,0,0
111702,8691099,1549643,0,0
112709,8691139,1549703,0,0
113718,8691139,1549763,0,0
114702,8691139,1549883,0,0
115704,8691139,1549883,0,0
116712,8691613,1551561,0,0
117752,8692314,1552205,0,0
118751,8692314,1552385,0,0
119754,8692314,1552385,0,0
120810,8692314,1552625,0,0
121851,8692314,1552805,0,0
122852,8692314,1553105,0,0
123877,8692314,1553465,0,0
124868,8692667,1554973,0,0
125918,8692667,1555213,0,0
126971,8692667,1555393,0,0
128014,8692667,1555573,0,0
129014,8692667,1555949,0,0
130073,8692667,1556425,0,0
131117,8692667,1556605,0,0
132128,8692667,1557025,0,0
133108,8692667,1557213,0,0
134117,8692667,1557657,0,0
