time,strength,level,source
951,99,2,gsm
2961,99,2,gsm
4957,99,3,gsm
9049,99,2,gsm
12104,99,2,gsm
14152,99,2,gsm
18251,99,3,gsm
20251,99,2,gsm
23314,99,3,gsm
27350,99,2,gsm
29405,99,2,gsm
32449,99,2,gsm
36549,99,3,gsm
38599,99,2,gsm
40648,99,2,gsm
42656,99,3,gsm
45756,99,2,gsm
47756,99,2,gsm
49756,99,2,gsm
54854,99,3,gsm
56904,99,2,gsm
58957,99,3,gsm
62956,99,3,gsm
66050,99,3,gsm
68068,99,3,gsm
72150,99,2,gsm
74150,99,3,gsm
77204,99,2,gsm
81259,99,2,gsm
85309,99,3,gsm
88453,99,3,gsm
91451,99,2,gsm
94504,99,3,gsm
97560,99,2,gsm
100604,99,2,gsm
103602,99,2,gsm
106703,99,2,gsm
108698,99,2,gsm
109708,99,1,gsm
112708,99,2,gsm
115704,99,2,gsm
117752,99,2,gsm
118750,99,1,gsm
121850,99,1,gsm
132128,99,2,gsm
134114,99,2,gsm
