time,dB(SPL)
46,26.84845
96,56.05547
146,57.39636
196,38.68997
246,32.86905
296,34.80725
347,32.86905
397,36.25827
446,33.06425
496,34.80725
546,34.48552
597,33.80392
646,30.10300
697,31.82129
746,31.59567
795,31.12605
846,33.80392
896,33.80392
950,31.36403
996,59.58186
1045,44.60898
1095,36.52150
1146,32.66937
1196,31.82129
1246,34.15140
1296,57.97450
1346,42.41148
1396,30.37028
1446,34.15140
1496,33.25516
1546,28.94316
1597,28.29947
1646,31.36403
1697,32.25568
1746,30.88136
1797,32.25568
1846,28.94316
1896,26.02060
1952,29.24796
1996,30.37028
2046,30.10300
2097,34.32007
2147,32.66937
2197,26.02060
2246,25.10545
2297,26.44439
2347,23.52183
2396,28.62728
2446,35.11750
2500,32.86905
2546,34.15140
2601,28.94316
2646,32.04120
2698,59.81565
2747,44.24375
2796,29.24796
2846,26.84845
2897,26.44439
2957,24.60898
2995,22.92256
3046,26.02060
3096,34.64788
3145,30.88136
3197,27.95880
3246,28.94316
3296,31.36403
3347,33.06425
3397,24.60898
3446,19.08485
3496,36.12360
3546,32.66937
3596,21.58362
3646,27.60422
3697,19.08485
3746,21.58362
3797,16.90196
3846,16.90196
3897,16.90196
3957,19.08485
3997,15.56303
4045,23.52183
4096,32.04120
4146,32.25568
4196,26.02060
4246,20.82785
4296,20.00000
4346,24.60898
4397,19.08485
4446,25.57507
4497,59.15215
4546,43.86249
4596,22.92256
4646,20.82785
4697,20.82785
4746,15.56303
4797,15.56303
4847,20.00000
4897,19.08485
4955,18.06180
4996,30.10300
5046,57.81959
5096,60.86725
5147,58.28686
5197,28.62728
5247,27.95880
5296,25.57507
5346,28.29947
5397,26.84845
5447,23.52183
5497,30.37028
5547,30.62958
5597,28.29947
5646,30.37028
5697,21.58362
5748,20.82785
5795,21.58362
5846,26.84845
5896,34.15140
5950,29.54243
6003,57.46641
6046,59.97390
6096,34.32007
6147,35.41704
6197,21.58362
6246,23.52183
6297,33.06425
6348,22.92256
6396,19.08485
6446,27.95880
6497,27.23456
6546,26.44439
6597,30.88136
6646,28.94316
6696,28.94316
6746,27.60422
6796,20.82785
6846,19.08485
6897,30.10300
6947,27.60422
6995,24.60898
7048,34.64788
7096,35.98681
7146,36.39088
7197,31.12605
7247,27.23456
7298,23.52183
7346,22.92256
7396,23.52183
7447,26.84845
7498,22.27887
7546,18.06180
7598,22.27887
7647,25.10545
7697,28.29947
7747,20.00000
7797,18.06180
7847,19.08485
7897,19.08485
7946,26.44439
7997,20.00000
8049,27.23456
8096,29.82723
8147,33.97940
8197,33.80392
8248,26.02060
8297,24.60898
8350,26.84845
8397,32.66937
8447,29.54243
8496,32.25568
8546,26.84845
8596,32.66937
8646,28.94316
8697,26.02060
8747,20.82785
8796,18.06180
8845,30.37028
8896,21.58362
8947,29.54243
8996,31.82129
9048,31.36403
9096,30.62958
9146,33.80392
9196,35.26856
9246,29.24796
9297,21.58362
9346,18.06180
9396,15.56303
9446,19.08485
9498,57.20676
9546,58.23380
9596,33.62482
9646,33.62482
9697,60.08643
9747,36.12360
9797,20.00000
9847,18.06180
9897,15.56303
9946,18.06180
9998,18.06180
10064,26.02060
10098,23.52183
10146,28.94316
10197,35.84783
10247,34.32007
10297,26.02060
10350,22.27887
10396,20.00000
10447,16.90196
10497,24.08240
10547,20.00000
10598,16.90196
10646,15.56303
10697,15.56303
10747,28.29947
10797,20.00000
10847,19.08485
10897,15.56303
10948,27.60422
10997,22.92256
11045,19.08485
11102,26.44439
11146,24.60898
11197,28.62728
11246,30.37028
11298,28.62728
11346,20.00000
11396,25.10545
11446,25.10545
11496,59.60007
11546,41.36372
11596,32.04120
11646,32.25568
11697,32.25568
11747,28.62728
11796,22.27887
11846,23.52183
11898,23.52183
11946,24.08240
11997,21.58362
12047,22.92256
12102,19.08485
12150,29.82723
12196,32.66937
12246,33.80392
12297,27.60422
12347,20.82785
12397,19.08485
12446,19.08485
12498,16.90196
12547,27.60422
12598,21.58362
12647,19.08485
12695,23.52183
12747,25.57507
12797,21.58362
12846,18.06180
12897,18.06180
12947,22.92256
12997,16.90196
13047,16.90196
13096,16.90196
13158,21.58362
13195,21.58362
13247,30.62958
13296,33.80392
13349,30.62958
13397,21.58362
13446,16.90196
13497,25.57507
13546,28.62728
13597,30.10300
13646,27.60422
13697,22.92256
13746,24.60898
13796,18.06180
13847,24.60898
13897,25.57507
13948,25.57507
13997,21.58362
14046,19.08485
14097,20.00000
14151,16.90196
14196,26.84845
14246,57.79723
14297,39.36966
14346,25.57507
14397,19.08485
14445,18.06180
14496,19.08485
14546,24.08240
14597,33.97940
14647,24.60898
14697,20.00000
14746,26.44439
14797,33.62482
14847,30.62958
14899,19.08485
14947,22.92256
14997,19.08485
15047,21.58362
15096,16.90196
15146,18.06180
15205,21.58362
15246,30.37028
15296,27.95880
15345,34.96376
15397,32.86905
15447,28.29947
15496,21.58362
15546,27.60422
15597,24.60898
15647,23.52183
15696,16.90196
15747,15.56303
15796,19.08485
15847,26.84845
15896,31.36403
15947,20.00000
15997,16.90196
16046,24.08240
16097,30.37028
16147,31.36403
16201,20.82785
16245,19.08485
16297,34.96376
16346,35.11750
16396,26.44439
16447,20.00000
16495,22.27887
16547,33.25516
16597,34.80725
16646,29.54243
16697,31.36403
16746,33.97940
16797,26.02060
16846,22.92256
16897,23.52183
16946,20.82785
16996,21.58362
17049,18.06180
17098,24.08240
17146,59.25685
17196,46.23508
17254,34.96376
17296,31.82129
17345,33.97940
17395,32.86905
17446,35.98681
17496,33.80392
17545,30.10300
17596,30.10300
17646,29.82723
17696,31.12605
17746,33.06425
17796,30.37028
17846,29.82723
17897,29.54243
17946,32.25568
