time,x,y,z
8,1.57260,-0.53357,9.72014
59,1.26622,0.09099,9.42015
108,1.23906,-0.03758,9.26205
161,2.04233,-0.77084,9.52518
208,2.47507,-0.03436,9.37924
257,2.97003,-0.29457,9.64540
308,2.38980,0.07516,9.75952
358,2.59094,1.19519,9.36916
409,2.97047,0.63885,9.26840
458,1.68784,-0.70595,9.84723
509,0.85365,2.30098,8.41014
558,1.85335,0.78365,10.15462
609,3.68416,2.43120,9.98166
658,3.13582,1.37775,9.25009
708,2.43663,-0.83665,9.44876
758,3.37480,-1.15845,9.44591
808,5.37895,-2.03903,9.17122
858,5.99747,-0.82626,10.65657
909,5.43529,-2.49034,8.28470
958,3.04738,-4.38921,6.34120
1008,4.12248,-1.39064,9.29308
1058,2.39052,-0.67624,8.75047
1108,1.20538,-1.65045,8.82390
1167,0.06943,-1.26508,11.77965
1209,2.38234,-2.33614,9.55641
1258,1.78142,-2.07416,7.84550
1308,-1.05907,0.13203,9.08849
1358,0.30176,-0.92911,10.15170
1408,3.74396,-1.57002,11.68230
1457,2.71544,-1.32881,7.76291
1508,2.78070,-2.16357,7.85088
1558,1.27472,-3.83624,6.86815
1609,4.40862,-0.09459,9.78510
1660,7.03734,-0.26744,8.21613
1708,3.17708,-3.15453,7.19513
1758,2.46658,-0.19928,8.11229
1808,2.91481,-1.76566,9.85872
1859,-2.77905,-1.01822,10.97906
1908,-4.68071,-0.52591,9.90605
1958,-1.44870,-0.32353,12.01230
2008,-1.91554,0.27525,9.44647
2059,-1.87143,0.12120,15.74310
2108,1.86313,1.31078,8.33661
2158,0.09218,-3.27182,12.55077
2212,1.27467,-3.82574,8.68677
2258,-0.95706,-1.70198,10.17395
2307,-6.59166,-3.23164,12.09354
2358,2.95226,0.73476,12.43642
2408,0.82643,-1.57709,9.75026
2458,1.71648,-1.12740,9.41100
2509,3.26660,-2.93170,4.96677
2559,0.63957,0.21791,7.49022
2608,0.74661,-0.60173,7.92902
2659,3.82813,0.61955,7.22319
2709,1.99707,-0.91922,9.69835
2760,2.92300,-0.21460,7.56540
2808,6.33025,1.55107,8.19405
2859,5.34404,0.54068,9.05638
2908,4.04196,0.43100,8.86011
2958,4.45563,-0.42572,9.26796
3009,2.46402,-1.99654,10.95372
3057,0.70862,-1.99971,10.47960
3108,8.08679,-0.80037,1.41354
3160,1.07825,-0.40810,11.74541
3213,3.32498,3.78806,10.66376
3259,0.06186,-4.16618,5.17249
3308,-0.36786,-2.96066,12.91309
3358,0.57581,1.19931,9.15953
3408,-0.34622,-1.24646,11.99716
3458,1.96278,-1.39043,10.83885
3507,2.07080,-3.66830,13.13965
3559,0.76372,-1.54544,15.02890
3608,-1.24239,-2.38802,13.83005
3658,0.57642,-0.21059,4.76776
3709,4.79298,0.27583,2.80919
3758,0.31564,-2.39198,8.26303
3809,0.07941,1.87241,19.02374
3858,0.32936,0.52615,11.81248
3909,7.88609,-2.32639,4.31493
3959,6.55336,-2.89383,5.95750
4009,-2.90584,-2.15414,-5.58838
4059,-0.87772,-2.35538,9.21138
4108,3.40709,2.94472,11.96835
4158,-0.25034,-5.68994,9.49727
4223,-1.62451,-4.21098,14.50967
4257,-6.26225,-0.17474,13.42810
4308,0.28148,-0.34964,6.12137
4357,5.86406,-0.82417,8.26436
4408,8.06506,0.89969,3.30527
4458,4.23068,1.36348,13.64815
4508,-2.19043,-1.31383,13.33765
4559,-1.79184,1.21616,2.75371
4610,-2.13148,0.86334,7.92410
4658,2.42070,1.95837,11.78975
4710,-3.57666,0.29396,9.50597
4759,8.69252,6.48781,11.29607
4809,0.85811,2.97865,12.68909
4858,2.89714,3.10121,7.21083
4910,2.15031,0.94357,6.92491
4959,3.10170,-0.66083,11.16016
5009,4.74794,1.82639,4.26501
5058,3.62801,1.40073,5.67683
5108,4.55641,-0.72151,6.80244
5158,1.47095,-1.58730,23.50098
5215,-1.06450,1.33940,6.56914
5258,1.94933,3.40515,9.67009
5308,4.40520,2.18962,7.58080
5358,1.17439,-1.15785,11.65042
5408,-4.55028,-0.47798,14.23785
5459,1.51654,3.97899,10.85332
5509,2.75307,3.09276,13.11957
5557,-0.38167,0.93706,10.23445
5609,-0.01968,0.50014,9.33842
5658,2.73212,1.81065,11.22766
5710,3.34395,0.61629,9.46477
5759,0.25203,-0.60626,6.73671
5809,2.60294,0.38457,7.48096
5858,2.01649,1.75121,6.42468
5909,1.01559,1.61600,9.28691
5959,-0.28812,-0.37727,8.62044
6009,2.41301,-0.04280,9.92345
6058,0.27980,-0.45944,7.68083
6109,2.83025,0.11472,7.23909
6159,2.51511,-0.71242,10.18004
6214,-3.74536,-2.78377,15.32301
6258,1.55147,-2.90952,6.57643
6310,5.10806,2.20410,4.52898
6358,6.33484,1.90906,5.11942
6410,-0.55803,1.67609,11.66420
6458,-3.66940,-0.33382,11.49245
6508,1.13226,2.50049,10.40385
6558,2.10132,0.56387,7.38289
6610,7.60350,1.23663,6.08960
6658,6.29167,1.64806,5.23222
6709,-3.79396,-5.01378,16.34348
6757,1.78897,0.25673,6.77486
6810,3.90512,2.26897,12.96614
6858,-2.13913,-0.18320,18.32713
