time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
164,41,3737,32.8,-9223372036854775808,636000,0
1177,41,3737,32.8,-9223372036854775808,840000,0
2212,41,3737,32.8,-9223372036854775808,840000,0
3214,41,3737,32.8,-9223372036854775808,840000,0
4226,41,3737,32.8,-9223372036854775808,840000,0
5224,41,3737,32.8,-9223372036854775808,840000,0
6216,41,3737,32.8,-9223372036854775808,840000,0
7226,41,3737,32.8,-9223372036854775808,639000,0
8217,41,3737,32.8,-9223372036854775808,639000,0
9264,41,3737,32.8,-9223372036854775808,639000,0
10261,41,3737,32.8,-9223372036854775808,639000,0
11263,41,3737,32.8,-9223372036854775808,639000,0
12266,41,3737,32.8,-9223372036854775808,639000,0
13271,41,3737,32.8,-9223372036854775808,517000,0
14311,41,3737,32.8,-9223372036854775808,517000,0
15316,41,3737,32.8,-9223372036854775808,517000,0
16321,41,3737,32.8,-9223372036854775808,517000,0
17314,41,3737,32.8,-9223372036854775808,517000,0
18319,41,3737,32.8,-9223372036854775808,517000,0
19312,41,3737,32.8,-9223372036854775808,749000,0
20326,41,3737,32.8,-9223372036854775808,749000,0
21364,41,3737,32.8,-9223372036854775808,749000,0
22364,41,3737,32.8,-9223372036854775808,749000,0
23366,41,3737,32.8,-9223372036854775808,749000,0
24415,41,3737,32.8,-9223372036854775808,749000,0
25425,41,3737,32.8,-9223372036854775808,645000,0
26420,41,3737,32.8,-9223372036854775808,645000,0
27414,41,3737,32.8,-9223372036854775808,645000,0
28465,41,3737,32.8,-9223372036854775808,645000,0
29461,41,3737,32.8,-9223372036854775808,645000,0
30466,41,3737,32.8,-9223372036854775808,645000,0
31466,41,3737,32.8,-9223372036854775808,652000,0
32514,41,3737,32.8,-9223372036854775808,652000,0
33567,41,3737,32.8,-9223372036854775808,652000,0
34562,41,3737,32.8,-9223372036854775808,652000,0
35569,41,3737,32.8,-9223372036854775808,652000,0
36566,41,3737,32.8,-9223372036854775808,652000,0
37615,41,3737,32.8,-9223372036854775808,751000,0
38614,41,3737,32.8,-9223372036854775808,751000,0
39663,41,3737,32.8,-9223372036854775808,751000,0
40661,41,3737,32.8,-9223372036854775808,751000,0
41711,41,3737,32.8,-9223372036854775808,751000,0
42715,41,3737,32.8,-9223372036854775808,751000,0
43770,41,3737,32.8,-9223372036854775808,638000,0
44763,41,3737,32.8,-9223372036854775808,638000,0
45766,41,3737,32.8,-9223372036854775808,638000,0
46772,41,3737,32.8,-9223372036854775808,638000,0
47771,41,3737,32.8,-9223372036854775808,638000,0
48773,41,3737,32.8,-9223372036854775808,638000,0
49822,41,3737,32.8,-9223372036854775808,1289000,0
50816,41,3737,32.8,-9223372036854775808,1289000,0
51876,41,3737,32.8,-9223372036854775808,1289000,0
52881,41,3737,32.8,-9223372036854775808,1289000,0
53879,41,3737,32.8,-9223372036854775808,1289000,0
54914,41,3737,32.8,-9223372036854775808,1289000,0
55963,40,3720,32.4,-9223372036854775808,724000,0
56967,40,3720,32.4,-9223372036854775808,724000,0
57976,40,3720,32.4,-9223372036854775808,724000,0
58970,40,3720,32.4,-9223372036854775808,724000,0
59974,40,3720,32.4,-9223372036854775808,724000,0
60964,40,3720,32.4,-9223372036854775808,724000,0
61968,40,3720,32.4,-9223372036854775808,560000,0
62967,40,3720,32.4,-9223372036854775808,560000,0
63972,40,3720,32.4,-9223372036854775808,560000,0
64977,40,3720,32.4,-9223372036854775808,560000,0
66021,40,3720,32.4,-9223372036854775808,560000,0
67016,40,3720,32.4,-9223372036854775808,560000,0
68023,40,3720,32.4,-9223372036854775808,475000,0
69064,40,3720,32.4,-9223372036854775808,475000,0
70066,40,3720,32.4,-9223372036854775808,475000,0
71115,40,3720,32.4,-9223372036854775808,475000,0
72111,40,3720,32.4,-9223372036854775808,475000,0
73163,40,3720,32.4,-9223372036854775808,475000,0
74162,40,3720,32.4,-9223372036854775808,616000,0
75179,40,3720,32.4,-9223372036854775808,616000,0
76221,40,3720,32.4,-9223372036854775808,616000,0
77213,40,3720,32.4,-9223372036854775808,616000,0
78223,40,3720,32.4,-9223372036854775808,616000,0
79262,40,3720,32.4,-9223372036854775808,616000,0
80264,40,3720,32.4,-9223372036854775808,680000,0
81312,40,3720,32.4,-9223372036854775808,680000,0
82370,40,3720,32.4,-9223372036854775808,680000,0
83365,40,3720,32.4,-9223372036854775808,680000,0
84367,40,3720,32.4,-9223372036854775808,680000,0
85417,40,3720,32.4,-9223372036854775808,680000,0
86413,40,3720,32.4,-9223372036854775808,571000,0
87426,40,3720,32.4,-9223372036854775808,571000,0
88462,40,3720,32.4,-9223372036854775808,571000,0
89463,40,3720,32.4,-9223372036854775808,571000,0
90464,40,3720,32.4,-9223372036854775808,571000,0
91481,40,3720,32.4,-9223372036854775808,1016000,0
92464,40,3720,32.4,-9223372036854775808,1016000,0
93514,40,3720,32.4,-9223372036854775808,1016000,0
94520,40,3720,32.4,-9223372036854775808,1016000,0
95513,40,3720,32.4,-9223372036854775808,1016000,0
96515,40,3720,32.4,-9223372036854775808,1016000,0
97519,40,3720,32.4,-9223372036854775808,597000,0
98517,40,3720,32.4,-9223372036854775808,597000,0
99521,40,3720,32.4,-9223372036854775808,597000,0
100515,40,3720,32.4,-9223372036854775808,597000,0
101571,40,3720,32.4,-9223372036854775808,597000,0
102567,40,3720,32.4,-9223372036854775808,597000,0
103566,40,3720,32.4,-9223372036854775808,504000,0
104564,40,3720,32.4,-9223372036854775808,504000,0
105566,40,3720,32.4,-9223372036854775808,504000,0
106572,40,3720,32.4,-9223372036854775808,504000,0
107566,40,3720,32.4,-9223372036854775808,504000,0
108571,40,3720,32.4,-9223372036854775808,504000,0
109579,40,3720,32.4,-9223372036854775808,649000,0
110617,40,3720,32.4,-9223372036854775808,649000,0
111615,40,3720,32.4,-9223372036854775808,649000,0
112631,40,3720,32.4,-9223372036854775808,649000,0
113667,40,3720,32.4,-9223372036854775808,649000,0
114665,40,3720,32.4,-9223372036854775808,649000,0
115679,40,3720,32.4,-9223372036854775808,624000,0
116716,40,3720,32.4,-9223372036854775808,624000,0
117714,40,3720,32.4,-9223372036854775808,624000,0
118721,40,3720,32.4,-9223372036854775808,624000,0
119711,40,3720,32.4,-9223372036854775808,624000,0
120721,40,3720,32.4,-9223372036854775808,624000,0
121763,40,3733,31.7,-9223372036854775808,875000,0
122767,40,3733,31.7,-9223372036854775808,875000,0
123763,40,3733,31.7,-9223372036854775808,875000,0
124783,40,3733,31.7,-9223372036854775808,875000,0
125781,40,3733,31.7,-9223372036854775808,875000,0
126783,40,3733,31.7,-9223372036854775808,875000,0
127776,40,3733,31.7,-9223372036854775808,766000,0
128826,40,3733,31.7,-9223372036854775808,766000,0
129823,40,3733,31.7,-9223372036854775808,766000,0
130820,40,3733,31.7,-9223372036854775808,766000,0
131833,40,3733,31.7,-9223372036854775808,766000,0
132827,40,3733,31.7,-9223372036854775808,766000,0
133880,40,3733,31.7,-9223372036854775808,329000,0
134877,40,3733,31.7,-9223372036854775808,329000,0
135874,40,3733,31.7,-9223372036854775808,329000,0
136923,40,3733,31.7,-9223372036854775808,329000,0
137937,40,3733,31.7,-9223372036854775808,329000,0
138972,40,3733,31.7,-9223372036854775808,329000,0
139972,40,3733,31.7,-9223372036854775808,336000,0
140971,40,3733,31.7,-9223372036854775808,336000,0
141970,40,3733,31.7,-9223372036854775808,336000,0
143016,40,3758,31.5,-9223372036854775808,336000,0
144021,40,3758,31.5,-9223372036854775808,336000,0
