time,azimuth
10,-28
59,-27
109,-26
162,-29
209,-27
257,-27
308,-27
359,-26
409,-25
459,-30
509,-25
560,-30
609,-25
659,-24
709,-34
759,-34
810,-37
860,-36
911,-45
958,-48
1008,-38
1059,-36
1108,-41
1170,-44
1210,-44
1258,-39
1308,-34
1358,-45
1408,-43
1458,-43
1508,-40
1559,-52
1610,-39
1661,-43
1708,-50
1759,-43
1808,-51
1860,-47
1908,-53
1958,-52
2009,-57
2060,-51
2109,-40
2158,-53
2212,-55
2259,-44
2308,-76
2359,-61
2409,-52
2459,-52
2509,-47
2560,-61
2609,-54
2659,-48
2710,-54
2761,-41
2809,-33
2860,-43
2910,-57
2959,-44
3009,-51
3058,-66
3108,-23
3160,-93
3214,-24
3259,-105
3308,-76
3358,-63
3409,-65
3458,-68
3508,-67
3560,-82
3609,-72
3658,-79
3711,-37
3758,-102
3810,0
3858,-83
3909,-70
3959,-80
4010,-122
4060,-113
4109,-117
4158,-105
4226,-102
4258,-62
4309,-98
4357,-92
4411,-78
4459,-69
4509,-72
4560,-11
4611,-63
4658,-67
4712,-77
4762,-82
4811,-71
4859,-57
4911,-68
4960,-65
5009,-37
5059,-70
5109,-61
5158,-43
5216,-66
5259,-53
5309,-54
5359,-50
5410,-51
5459,-43
5509,-60
5558,-46
5610,-51
5658,-43
5710,-39
5759,-48
5810,-38
5858,-48
5910,-37
5960,-53
6010,-42
6059,-50
6110,-47
6159,-52
6215,-60
6259,-14
6310,-28
6358,-49
6411,-43
6459,-57
6510,-30
6558,-41
6610,-53
6658,-46
6710,-56
6758,-47
6812,-41
6858,-38
6910,-48
6960,-34
7011,-25
7063,-28
7108,-43
7159,-38
7224,-18
7258,-42
7309,-23
7358,-31
7411,-33
7458,10
7510,-29
7558,-29
7611,-25
7660,-46
7709,-29
7759,-37
7810,-52
7859,-48
7909,-57
7959,-39
8010,-43
8060,-47
8110,-46
8158,-52
8215,-47
8258,-49
8308,-58
8359,-6
8409,-45
8459,-45
8510,-48
8560,-50
8611,-38
8658,-48
8709,-53
8759,-40
8810,-54
8859,-39
8911,-44
8959,-30
9010,-40
9059,-47
9109,-27
9160,-16
9209,-25
9263,-31
9309,-44
9358,-28
9409,-36
9459,-44
9510,-22
9557,-34
9609,-47
9658,-31
9710,-37
9758,-56
9810,-36
9861,-49
9909,-57
9959,-41
10009,-44
10058,-39
10109,-47
10159,-51
10209,-49
10261,-53
10308,-19
10359,-53
10409,-69
10459,-47
10509,-28
10559,-52
10609,-46
10658,-34
10714,-36
10759,-34
10809,-41
10858,-48
10910,-38
10959,-57
11011,-56
11060,-60
11109,-46
11158,-50
11209,-40
11263,-47
11309,-58
11358,-53
11409,-51
11459,-34
11509,-40
11559,-40
11609,-49
11660,-42
11712,-32
11760,-44
11809,-34
11860,-34
11910,6
11960,-44
12010,-43
12060,-23
12110,-6
12158,-22
12211,-15
12266,-17
12309,-21
12358,-15
12410,-6
12459,-23
12515,-37
12562,-39
12610,-44
12661,-45
12711,-41
12760,-36
12810,-26
12859,-30
12910,-34
12959,-39
13009,-47
13059,-33
13109,-47
13158,-34
13209,-43
13269,-47
13309,-59
13357,-52
13408,-32
13458,-17
13509,-46
13560,-49
13610,-39
13659,-43
13708,-38
13757,-43
13807,-78
13858,-92
13908,-57
13958,-42
14008,-45
14058,-52
14109,-36
14158,-40
14208,-62
14258,-36
14311,-62
14358,-39
14409,-40
14458,-26
14509,-22
14557,-36
14612,-36
14659,-71
14709,-57
14758,-54
14809,-89
14859,-54
14909,-60
14959,-51
15011,-55
15058,-70
15109,-62
15159,-60
15210,-72
15258,-31
15316,0
15357,-52
15410,-63
15458,-61
15509,-65
15558,-56
15611,-62
15658,-79
15712,-63
15759,-69
15808,-70
15860,-39
15908,-38
15959,-62
16011,-46
16059,-60
16110,-37
16158,-45
16208,-56
16258,-53
16320,-51
16359,-49
16409,-56
16458,-33
16509,-59
16559,-46
16611,-52
16659,-40
16709,-66
16759,-59
16810,-36
16859,-58
16910,-41
16958,-61
17011,-47
17059,-55
17108,-41
17158,-41
17210,-41
17259,-48
17313,-35
17357,-58
17409,-51
17458,-56
17509,-41
17558,-50
17609,-33
17660,-37
17709,-58
17758,-47
17810,-52
17859,-52
17909,-49
17960,-51
18010,-56
18059,-38
18109,-50
18159,-42
18211,-46
18258,-49
18318,-52
18358,-45
18407,-53
18458,-40
18509,-51
18558,-41
18608,-41
18658,-46
18709,-36
18758,-10
18809,-47
18858,-39
18910,-39
18959,-39
19009,-19
19058,-89
19108,-57
19158,-45
19208,-52
19257,-44
19312,-26
19357,-10
19408,-40
19458,9
19508,-51
19558,-39
19608,-20
19657,-51
19710,-30
19758,-16
19809,-65
19858,-53
19909,-48
19958,2
20008,-57
20058,-43
20109,-45
20158,-52
20208,-43
20260,-55
20325,11
20359,-41
20410,33
20459,-63
20510,-53
20559,26
20608,-34
20658,-42
20711,-39
20760,-66
20809,-40
20858,-59
20909,90
20958,156
21009,-28
21064,-42
21108,-35
21159,-43
21210,-47
21259,-58
21311,-50
21363,-49
21409,-54
21459,-38
21510,-44
21558,-40
21610,-51
21659,-35
21709,-40
21760,-35
21809,-50
21859,-47
21910,-50
21959,-45
22009,-39
22058,-63
22110,-40
22159,-39
22211,-43
22259,-48
22311,-51
22363,-48
22408,-40
22458,-42
22508,-49
22560,-60
22610,-48
22659,-38
22713,-41
22758,-47
22809,-47
22858,-44
22910,-42
22959,-49
23012,-49
23060,-36
23109,-51
23159,-55
23211,-43
23259,-49
23309,-54
23366,-50
23408,-51
23458,-49
23510,-47
23560,-44
23608,-45
23660,-34
23709,-26
23759,-45
23810,-37
23859,-33
23909,-43
23958,-41
24009,-60
24060,-45
24108,-51
24158,-49
24209,-48
24258,-38
24310,-56
24360,-52
24414,-47
24457,-48
24509,-54
24559,-55
24609,-47
24660,-37
24710,-15
24758,-51
24810,-44
24859,-47
24910,-43
24960,-51
25009,-51
25061,-29
25111,-54
25158,-48
25209,-48
25259,-48
25309,-43
25359,-49
25424,-51
25459,-41
25509,-43
25559,-52
25609,-41
25659,-43
25710,-37
25758,-53
25810,-31
25859,-60
25910,-37
25959,-45
26009,-50
26060,-39
26108,-43
26158,-47
26209,-51
26260,-45
26310,-52
26360,-51
26419,-48
26458,-46
26512,-49
26558,-48
26609,-50
26658,-58
26708,-50
26758,-44
26809,-49
26858,-52
26909,-49
26958,-45
27010,-45
27059,-52
27109,-26
27159,-64
27210,-41
