time,USER,SYSTEM,IOW,IRQ
164,-1,-1,-1,-1
1177,-1,-1,-1,-1
2212,-1,-1,-1,-1
3214,-1,-1,-1,-1
4226,-1,-1,-1,-1
5225,-1,-1,-1,-1
6216,-1,-1,-1,-1
7227,-1,-1,-1,-1
8217,-1,-1,-1,-1
9264,-1,-1,-1,-1
10261,-1,-1,-1,-1
11264,-1,-1,-1,-1
12266,-1,-1,-1,-1
13271,-1,-1,-1,-1
14311,-1,-1,-1,-1
15316,-1,-1,-1,-1
16322,-1,-1,-1,-1
17314,-1,-1,-1,-1
18319,-1,-1,-1,-1
19312,-1,-1,-1,-1
20326,-1,-1,-1,-1
21364,-1,-1,-1,-1
22364,-1,-1,-1,-1
23366,-1,-1,-1,-1
24415,-1,-1,-1,-1
25425,-1,-1,-1,-1
26420,-1,-1,-1,-1
27414,-1,-1,-1,-1
28466,-1,-1,-1,-1
29461,-1,-1,-1,-1
30466,-1,-1,-1,-1
31466,-1,-1,-1,-1
32514,-1,-1,-1,-1
33567,-1,-1,-1,-1
34562,-1,-1,-1,-1
35569,-1,-1,-1,-1
36566,-1,-1,-1,-1
37615,-1,-1,-1,-1
38614,-1,-1,-1,-1
39664,-1,-1,-1,-1
40661,-1,-1,-1,-1
41711,-1,-1,-1,-1
42715,-1,-1,-1,-1
43770,-1,-1,-1,-1
44763,-1,-1,-1,-1
45766,-1,-1,-1,-1
46772,-1,-1,-1,-1
47771,-1,-1,-1,-1
48773,-1,-1,-1,-1
49823,-1,-1,-1,-1
50816,-1,-1,-1,-1
51876,-1,-1,-1,-1
52881,-1,-1,-1,-1
53879,-1,-1,-1,-1
54914,-1,-1,-1,-1
55963,-1,-1,-1,-1
56967,-1,-1,-1,-1
57977,-1,-1,-1,-1
58970,-1,-1,-1,-1
59974,-1,-1,-1,-1
60965,-1,-1,-1,-1
61970,-1,-1,-1,-1
62967,-1,-1,-1,-1
63973,-1,-1,-1,-1
64977,-1,-1,-1,-1
66021,-1,-1,-1,-1
67016,-1,-1,-1,-1
68024,-1,-1,-1,-1
69065,-1,-1,-1,-1
70066,-1,-1,-1,-1
71115,-1,-1,-1,-1
72111,-1,-1,-1,-1
73163,-1,-1,-1,-1
74162,-1,-1,-1,-1
75179,-1,-1,-1,-1
76222,-1,-1,-1,-1
77213,-1,-1,-1,-1
78223,-1,-1,-1,-1
79262,-1,-1,-1,-1
80264,-1,-1,-1,-1
81312,-1,-1,-1,-1
82370,-1,-1,-1,-1
83365,-1,-1,-1,-1
84367,-1,-1,-1,-1
85417,-1,-1,-1,-1
86413,-1,-1,-1,-1
87426,-1,-1,-1,-1
88462,-1,-1,-1,-1
89463,-1,-1,-1,-1
90464,-1,-1,-1,-1
91482,-1,-1,-1,-1
92464,-1,-1,-1,-1
93514,-1,-1,-1,-1
94520,-1,-1,-1,-1
95513,-1,-1,-1,-1
96515,-1,-1,-1,-1
97519,-1,-1,-1,-1
98517,-1,-1,-1,-1
99521,-1,-1,-1,-1
100515,-1,-1,-1,-1
101572,-1,-1,-1,-1
102567,-1,-1,-1,-1
103567,-1,-1,-1,-1
104565,-1,-1,-1,-1
105566,-1,-1,-1,-1
106572,-1,-1,-1,-1
107566,-1,-1,-1,-1
108572,-1,-1,-1,-1
109579,-1,-1,-1,-1
110617,-1,-1,-1,-1
111615,-1,-1,-1,-1
112631,-1,-1,-1,-1
113667,-1,-1,-1,-1
114665,-1,-1,-1,-1
115679,-1,-1,-1,-1
116716,-1,-1,-1,-1
117714,-1,-1,-1,-1
118721,-1,-1,-1,-1
119711,-1,-1,-1,-1
120721,-1,-1,-1,-1
121763,-1,-1,-1,-1
122767,-1,-1,-1,-1
123763,-1,-1,-1,-1
124783,-1,-1,-1,-1
125781,-1,-1,-1,-1
126784,-1,-1,-1,-1
127776,-1,-1,-1,-1
128827,-1,-1,-1,-1
129823,-1,-1,-1,-1
130820,-1,-1,-1,-1
131833,-1,-1,-1,-1
132828,-1,-1,-1,-1
133880,-1,-1,-1,-1
134878,-1,-1,-1,-1
135874,-1,-1,-1,-1
136923,-1,-1,-1,-1
137937,-1,-1,-1,-1
138972,-1,-1,-1,-1
139972,-1,-1,-1,-1
140971,-1,-1,-1,-1
141971,-1,-1,-1,-1
143016,-1,-1,-1,-1
144021,-1,-1,-1,-1
