time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
162,22.32107230,87.30825320,5,-12.00000,0.00000,34,13
1170,22.32107270,87.30825340,5,-12.00000,0.00000,34,14
2212,22.32107260,87.30825320,4,-12.00000,0.00000,33,14
3214,22.32107580,87.30821820,4,-14.00000,1.67000,34,16
4226,22.32106460,87.30815230,4,-20.00000,2.10000,34,17
5216,22.32105560,87.30813100,10,-21.00000,1.81000,34,17
6216,22.32106250,87.30811520,10,-21.00000,2.32000,34,17
7224,22.32106000,87.30808920,10,-23.00000,3.01000,34,17
8216,22.32106190,87.30805590,10,-22.00000,3.43000,34,17
9264,22.32106380,87.30801600,10,-21.00000,4.01000,34,17
10261,22.32106540,87.30797160,11,-22.00000,4.50000,34,17
11263,22.32106660,87.30792360,11,-22.00000,4.81000,34,15
12266,22.32106870,87.30789610,11,-22.00000,0.98000,34,15
13270,22.32106950,87.30788850,11,-22.00000,0.66000,34,15
14311,22.32107020,87.30788240,11,-22.00000,0.66000,34,16
15316,22.32107100,87.30787610,12,-22.00000,0.67000,34,16
16321,22.32107230,87.30786950,13,-22.00000,0.69000,34,16
17313,22.32107320,87.30786200,15,-22.00000,0.73000,34,17
18319,22.32107390,87.30785220,18,-22.00000,0.83000,34,16
19312,22.32107650,87.30761340,11,-23.00000,4.33000,34,16
20325,22.32107590,87.30756360,12,-23.00000,4.14000,34,16
21363,22.32107040,87.30752900,11,-21.00000,3.67000,34,17
22364,22.32105830,87.30747950,11,-23.00000,4.05000,34,16
23366,22.32106460,87.30742340,11,-24.00000,4.66000,34,17
24415,22.32107960,87.30737990,10,-23.00000,4.88000,34,17
25425,22.32108360,87.30734040,10,-23.00000,4.25000,34,17
26419,22.32108150,87.30729730,10,-24.00000,4.03000,34,17
27414,22.32108130,87.30725540,10,-25.00000,4.30000,34,17
28464,22.32106890,87.30721520,10,-25.00000,3.96000,34,17
29461,22.32105480,87.30719110,10,-25.00000,3.00000,34,17
30466,22.32100390,87.30718340,10,-24.00000,3.63000,34,17
31465,22.32097870,87.30717580,10,-23.00000,2.96000,34,17
32514,22.32095560,87.30716970,10,-22.00000,2.78000,34,17
33567,22.32093240,87.30716160,11,-22.00000,3.03000,34,18
34562,22.32090500,87.30715410,11,-22.00000,3.29000,34,18
35569,22.32086790,87.30714530,11,-21.00000,4.50000,34,18
36566,22.32081990,87.30714640,11,-21.00000,5.10000,34,17
37615,22.32077130,87.30715170,12,-22.00000,4.78000,34,17
38613,22.32072620,87.30715450,11,-21.00000,4.56000,34,17
39662,22.32069760,87.30715690,11,-22.00000,1.64000,34,17
40661,22.32068610,87.30715610,11,-21.00000,0.39000,34,15
41710,22.32067920,87.30715490,11,-22.00000,0.43000,34,15
42715,22.32065560,87.30715890,11,-22.00000,3.15000,34,16
43770,22.32051100,87.30719530,11,-20.00000,4.69000,34,17
44763,22.32044590,87.30719760,11,-21.00000,4.83000,34,18
45766,22.32039980,87.30721200,11,-22.00000,5.02000,34,17
46771,22.32034840,87.30720960,12,-21.00000,5.22000,34,9
47771,22.32031630,87.30722340,13,-21.00000,4.81000,34,11
48773,22.32026340,87.30725380,12,-22.00000,4.97000,34,11
49821,22.32021750,87.30727450,13,-21.00000,5.26000,34,11
50816,22.32019010,87.30731870,12,-20.00000,4.37000,34,12
51876,22.32013770,87.30728180,12,-21.00000,4.40000,34,13
52880,22.32008740,87.30728040,12,-20.00000,4.23000,34,13
53878,22.32004050,87.30726890,12,-22.00000,4.25000,34,16
54914,22.32000530,87.30726390,11,-21.00000,3.52000,34,16
55963,22.31996750,87.30726330,11,-21.00000,4.14000,34,17
56967,22.31993330,87.30726700,11,-21.00000,3.43000,34,17
57976,22.31989750,87.30727710,12,-21.00000,3.72000,34,17
58967,22.31985530,87.30728440,12,-20.00000,4.03000,33,17
59972,22.31982110,87.30729580,11,-19.00000,3.75000,34,16
60964,22.31980710,87.30731200,11,-19.00000,2.40000,34,17
61968,22.31978370,87.30732110,11,-20.00000,2.54000,34,17
62967,22.31976050,87.30732580,11,-19.00000,2.62000,34,18
63971,22.31973860,87.30733760,11,-18.00000,2.63000,34,18
64977,22.31973150,87.30736120,11,-18.00000,2.84000,34,18
66021,22.31972940,87.30739240,11,-16.00000,3.13000,34,18
67016,22.31972700,87.30743500,11,-16.00000,4.40000,34,18
68023,22.31972560,87.30747720,11,-15.00000,3.55000,34,18
69064,22.31972550,87.30751880,11,-13.00000,4.32000,34,18
70065,22.31972590,87.30756430,10,-13.00000,4.39000,34,18
71115,22.31972800,87.30761080,10,-12.00000,4.47000,34,18
72111,22.31973440,87.30766100,10,-14.00000,5.09000,34,18
73163,22.31976400,87.30778870,4,-15.00000,4.70000,35,18
74162,22.31977250,87.30784190,4,-15.00000,5.29000,35,18
75178,22.31977160,87.30788910,4,-15.00000,4.78000,35,18
76221,22.31978290,87.30792780,4,-15.00000,4.29000,35,18
77212,22.31978950,87.30794870,4,-15.00000,2.16000,35,18
78223,22.31979800,87.30796350,4,-15.00000,1.68000,35,18
79262,22.31979920,87.30797030,4,-15.00000,1.43000,35,18
80264,22.31980620,87.30799910,4,-16.00000,2.16000,35,18
81312,22.31980580,87.30803230,4,-16.00000,2.81000,35,18
82368,22.31981400,87.30807610,4,-15.00000,3.33000,35,18
83365,22.31982600,87.30813070,4,-16.00000,4.41000,35,18
84367,22.31983680,87.30817220,4,-16.00000,3.78000,35,18
85417,22.31982920,87.30820690,4,-16.00000,3.47000,34,17
86413,22.31982300,87.30824070,4,-17.00000,3.83000,35,18
87425,22.31983720,87.30828160,4,-17.00000,4.14000,31,15
88462,22.31984460,87.30832730,4,-17.00000,4.35000,33,16
89463,22.31985590,87.30839760,5,-17.00000,5.16000,32,15
90464,22.31986150,87.30844740,6,-17.00000,5.16000,32,15
91481,22.31987020,87.30848610,6,-16.00000,4.50000,35,14
92464,22.31989270,87.30854680,6,-15.00000,4.89000,34,14
93514,22.31991170,87.30859400,6,-15.00000,5.01000,35,16
94520,22.31993430,87.30863730,6,-15.00000,4.91000,30,11
95513,22.31995580,87.30867500,6,-14.00000,4.98000,33,14
96515,22.31997730,87.30870700,5,-14.00000,4.27000,35,15
97518,22.32000940,87.30873020,8,-14.00000,4.27000,35,14
98516,22.32001710,87.30874920,6,-13.00000,2.88000,33,11
99521,22.32004030,87.30876180,8,-13.00000,2.88000,33,11
100515,22.32006910,87.30877440,6,-16.00000,3.29000,34,12
101569,22.32011280,87.30879890,6,-16.00000,5.03000,33,11
102567,22.32017970,87.30886230,6,-17.00000,4.93000,34,13
103564,22.32022770,87.30888410,6,-17.00000,5.23000,33,13
104564,22.32026960,87.30890740,8,-17.00000,5.22000,33,14
105565,22.32030530,87.30893050,8,-17.00000,4.69000,33,15
106571,22.32032590,87.30894050,8,-17.00000,2.65000,32,13
107566,22.32034610,87.30895380,9,-17.00000,2.64000,32,13
108570,22.32033920,87.30894960,8,-17.00000,0.89000,30,11
