time,x,y,z
9,0.00119,-0.03362,0.03983
59,0.03259,-0.01773,0.14229
109,-0.00955,-0.00420,0.23988
162,-0.01938,-0.00766,0.34070
208,0.00716,-0.00885,0.31155
257,0.01518,-0.00952,0.10535
308,0.06532,-0.00484,-0.16574
359,0.03226,-0.00113,-0.06380
409,0.00349,-0.00476,-0.02542
459,-0.08498,0.00270,0.40350
509,-0.02077,0.02524,0.89427
559,-0.16977,0.02165,1.16403
609,-0.21875,0.06238,0.86238
659,-0.27625,0.08389,0.64902
708,-0.28603,0.09717,0.67772
759,-0.28546,0.07402,1.03049
810,-0.29324,0.02179,1.24316
860,-0.19574,0.07277,0.85925
910,-0.29353,-0.24246,0.81694
958,-0.05595,-0.18968,0.57312
1008,-0.02426,-0.16934,0.34671
1059,0.07736,-0.11153,-0.07480
1108,0.02914,-0.06296,-0.11304
1168,0.11626,0.01422,0.01431
1210,0.00348,-0.14491,0.08456
1258,-0.08308,-0.15324,0.26971
1308,0.01141,-0.04527,0.26752
1358,0.06367,-0.07352,0.43849
1408,0.02888,-0.07637,0.64323
1457,-0.01466,-0.10344,0.63408
1508,0.29886,0.21242,0.45650
1559,0.09569,-0.21899,0.60541
1610,0.06866,-0.17494,0.54662
1661,0.14624,-0.15620,0.36119
1708,0.11743,-0.22180,0.05516
1758,0.23938,-0.07301,-0.29361
1808,0.23958,-0.07278,-0.44099
1859,0.32050,-0.03918,-0.54855
1908,0.26801,0.02979,-0.41504
1958,0.01215,-0.06593,-0.26805
2009,0.03452,0.08284,-0.24452
2059,0.17996,0.26688,-0.06007
2109,-0.21130,-0.03580,0.37750
2158,-0.34109,-0.01744,0.75697
2212,-0.29022,-0.01491,1.05186
2258,-0.06343,0.15755,1.05054
2308,-0.14792,-0.08864,1.12494
2359,-0.29503,0.02350,0.94174
2409,0.11623,-0.07156,0.15475
2459,0.14928,-0.14073,-0.28333
2509,0.11942,-0.22289,-0.69566
2559,0.18707,0.17664,-0.82411
2609,-0.00377,-0.02066,-0.34184
2659,-0.17265,-0.02348,0.03114
2710,-0.18730,0.12247,0.37894
2760,-0.32460,-0.02191,0.76022
2809,-0.35826,0.01898,1.22083
2859,-0.37633,-0.04947,1.18584
2909,-0.25348,-0.07758,1.17851
2959,-0.18846,0.00893,1.15704
3009,-0.16983,-0.00255,1.39977
3058,-0.30193,-0.28346,1.68642
3108,-0.31128,-0.69720,1.86147
3160,0.27991,0.12837,1.59692
3213,0.06693,-0.14868,1.14146
3259,-0.30734,-1.22707,1.27934
3308,0.39481,-0.36642,1.24495
3358,0.46548,-0.40770,0.48610
3409,0.38458,-0.61848,0.31662
