time,lx
9,1823.00000
59,1823.00000
109,1823.00000
162,1823.00000
208,1805.00000
257,1805.00000
308,1805.00000
359,1805.00000
409,1768.00000
459,1768.00000
509,1768.00000
559,1768.00000
609,1590.00000
659,1590.00000
709,1590.00000
759,1590.00000
810,1471.00000
860,1471.00000
910,1471.00000
958,1471.00000
1008,1492.00000
1059,1492.00000
1108,1492.00000
1168,1492.00000
1210,1681.00000
1258,1681.00000
1308,1681.00000
1358,1681.00000
1408,1929.00000
1458,1929.00000
1508,1929.00000
1559,1929.00000
1610,2082.00000
1661,2082.00000
1708,2082.00000
1758,2082.00000
1808,2108.00000
1859,2108.00000
1908,2108.00000
1958,2108.00000
2009,2241.00000
2060,2241.00000
2109,2241.00000
2158,2241.00000
2212,2319.00000
2259,2319.00000
2308,2319.00000
2359,2319.00000
2409,2865.00000
2459,2865.00000
2509,2865.00000
2559,2865.00000
2609,2863.00000
2659,2863.00000
2710,2863.00000
2761,2863.00000
2809,2744.00000
2860,2744.00000
2909,2744.00000
2959,2744.00000
3009,3183.00000
3058,3183.00000
3108,3183.00000
3160,3183.00000
3214,3433.00000
3259,3433.00000
3308,3433.00000
3358,3433.00000
3409,3186.00000
3458,3186.00000
3508,3186.00000
3559,3186.00000
3609,2904.00000
3658,2904.00000
3710,2904.00000
3758,2904.00000
3810,2830.00000
3858,2830.00000
3909,2830.00000
3959,2830.00000
4010,2742.00000
4059,2742.00000
4109,2742.00000
4158,2742.00000
4226,2719.00000
4258,2719.00000
4308,2719.00000
4357,2719.00000
4411,2454.00000
4459,2454.00000
4509,2454.00000
4559,2454.00000
4611,1928.00000
4658,1928.00000
4711,1928.00000
4762,1928.00000
4811,1808.00000
4859,1808.00000
4911,1808.00000
4960,1808.00000
5009,1779.00000
5059,1779.00000
5109,1779.00000
5158,1779.00000
5216,1506.00000
5259,1506.00000
5309,1506.00000
5359,1506.00000
5409,1394.00000
5459,1394.00000
5509,1394.00000
5558,1394.00000
5610,1456.00000
5658,1456.00000
5710,1456.00000
5759,1456.00000
5810,1656.00000
5858,1656.00000
5910,1656.00000
5960,1656.00000
6009,1997.00000
6059,1997.00000
6110,1997.00000
6159,1997.00000
6215,2212.00000
6259,2212.00000
6310,2212.00000
6358,2212.00000
6411,2165.00000
6458,2165.00000
6509,2165.00000
6558,2165.00000
6610,2172.00000
6658,2172.00000
6710,2172.00000
6758,2172.00000
6811,2222.00000
6858,2222.00000
6910,2222.00000
6960,2222.00000
7011,2078.00000
7062,2078.00000
7108,2078.00000
7159,2078.00000
7223,2237.00000
7258,2237.00000
7309,2237.00000
7358,2237.00000
7410,2384.00000
7458,2384.00000
7509,2384.00000
7558,2384.00000
7611,2669.00000
7660,2669.00000
7709,2669.00000
7759,2669.00000
7809,2790.00000
7858,2790.00000
7909,2790.00000
7959,2790.00000
8010,2734.00000
8060,2734.00000
8110,2734.00000
8158,2734.00000
8214,2534.00000
8258,2534.00000
8308,2534.00000
8359,2534.00000
8409,2291.00000
8459,2291.00000
8510,2291.00000
8560,2291.00000
8611,2030.00000
8658,2030.00000
8709,2030.00000
8759,2030.00000
8810,1739.00000
8858,1739.00000
8911,1739.00000
8959,1739.00000
9010,1486.00000
9059,1486.00000
9109,1486.00000
9160,1486.00000
9209,1369.00000
9263,1369.00000
9309,1369.00000
9358,1369.00000
9409,1307.00000
9458,1307.00000
9510,1307.00000
9557,1307.00000
9608,1143.00000
9658,1143.00000
9710,1143.00000
9758,1143.00000
9810,1023.00000
9861,1023.00000
9909,1023.00000
9959,1023.00000
10009,1067.00000
10058,1067.00000
10109,1067.00000
10159,1067.00000
10209,1067.00000
10261,1067.00000
10308,1067.00000
10359,1067.00000
10409,1041.00000
10458,1041.00000
10508,1041.00000
10559,1041.00000
10609,1024.00000
10658,1024.00000
10713,1024.00000
10759,1024.00000
10809,1086.00000
10858,1086.00000
10910,1086.00000
10959,1086.00000
11010,1170.00000
11060,1170.00000
11109,1170.00000
11158,1170.00000
11209,1186.00000
11263,1186.00000
11309,1186.00000
11358,1186.00000
11409,1382.00000
11459,1382.00000
11509,1382.00000
11559,1382.00000
11609,1443.00000
11660,1443.00000
11712,1443.00000
11760,1443.00000
11809,1178.00000
